Wavelength,Intensity,,,,,,,,,,,,,,,,,,,,,,,,
  200,3.90E+08,,,,,,,,,,,,,,,,,,,,,,,,
  201,5.11E+08,,,,,,,,,,,,,,,,,,,,,,,,
  202,6.07E+08,,,,,,,,,,,,,,,,,,,,,,,,
  203.1,6.61E+08,,,,,,,,,,,,,,,,,,,,,,,,
  204.1,6.55E+08,,,,,,,,,,,,,,,,,,,,,,,,
  205.1,6.03E+08,,,,,,,,,,,,,,,,,,,,,,,,
  206.1,5.22E+08,,,,,,,,,,,,,,,,,,,,,,,,
  207.1,4.31E+08,,,,,,,,,,,,,,,,,,,,,,,,
  208.2,3.42E+08,,,,,,,,,,,,,,,,,,,,,,,,
  209.2,2.84E+08,,,,,,,,,,,,,,,,,,,,,,,,
  210.2,2.54E+08,,,,,,,,,,,,,,,,,,,,,,,,
  211.2,2.50E+08,,,,,,,,,,,,,,,,,,,,,,,,
  212.2,2.61E+08,,,,,,,,,,,,,,,,,,,,,,,,
  213.3,2.76E+08,,,,,,,,,,,,,,,,,,,,,,,,
  214.3,2.79E+08,,,,,,,,,,,,,,,,,,,,,,,,
  215.3,2.68E+08,,,,,,,,,,,,,,,,,,,,,,,,
  216.3,2.44E+08,,,,,,,,,,,,,,,,,,,,,,,,
  217.3,2.14E+08,,,,,,,,,,,,,,,,,,,,,,,,
  218.4,1.83E+08,,,,,,,,,,,,,,,,,,,,,,,,
  219.4,1.60E+08,,,,,,,,,,,,,,,,,,,,,,,,
  220.4,1.45E+08,,,,,,,,,,,,,,,,,,,,,,,,
  221.4,1.35E+08,,,,,,,,,,,,,,,,,,,,,,,,
  222.4,1.31E+08,,,,,,,,,,,,,,,,,,,,,,,,
  223.5,1.30E+08,,,,,,,,,,,,,,,,,,,,,,,,
  224.5,1.30E+08,,,,,,,,,,,,,,,,,,,,,,,,
  225.5,1.28E+08,,,,,,,,,,,,,,,,,,,,,,,,
  226.5,1.22E+08,,,,,,,,,,,,,,,,,,,,,,,,
  227.6,1.11E+08,,,,,,,,,,,,,,,,,,,,,,,,
  228.6,9.73E+07,,,,,,,,,,,,,,,,,,,,,,,,
  229.6,8.38E+07,,,,,,,,,,,,,,,,,,,,,,,,
  230.6,7.46E+07,,,,,,,,,,,,,,,,,,,,,,,,
  231.6,7.31E+07,,,,,,,,,,,,,,,,,,,,,,,,
  232.7,8.16E+07,,,,,,,,,,,,,,,,,,,,,,,,
  233.7,9.71E+07,,,,,,,,,,,,,,,,,,,,,,,,
  234.7,1.16E+08,,,,,,,,,,,,,,,,,,,,,,,,
  235.7,1.32E+08,,,,,,,,,,,,,,,,,,,,,,,,
  236.7,1.42E+08,,,,,,,,,,,,,,,,,,,,,,,,
  237.8,1.41E+08,,,,,,,,,,,,,,,,,,,,,,,,
  238.8,1.29E+08,,,,,,,,,,,,,,,,,,,,,,,,
  239.8,1.09E+08,,,,,,,,,,,,,,,,,,,,,,,,
  240.8,8.55E+07,,,,,,,,,,,,,,,,,,,,,,,,
  241.8,6.28E+07,,,,,,,,,,,,,,,,,,,,,,,,
  242.9,4.18E+07,,,,,,,,,,,,,,,,,,,,,,,,
  243.9,2.78E+07,,,,,,,,,,,,,,,,,,,,,,,,
  244.9,1.86E+07,,,,,,,,,,,,,,,,,,,,,,,,
  245.9,1.35E+07,,,,,,,,,,,,,,,,,,,,,,,,
  246.9,1.14E+07,,,,,,,,,,,,,,,,,,,,,,,,
  248,1.19E+07,,,,,,,,,,,,,,,,,,,,,,,,
  249,1.45E+07,,,,,,,,,,,,,,,,,,,,,,,,
  250,1.92E+07,,,,,,,,,,,,,,,,,,,,,,,,
  251,2.62E+07,,,,,,,,,,,,,,,,,,,,,,,,
  252,3.56E+07,,,,,,,,,,,,,,,,,,,,,,,,
  253.1,4.85E+07,,,,,,,,,,,,,,,,,,,,,,,,
  254.1,6.16E+07,,,,,,,,,,,,,,,,,,,,,,,,
