Wavelength,Spectra
169.08,2.63E-10
169.12,5.47E-09
169.16,1.02E-07
169.2,1.70E-06
169.24,2.55E-05
169.28,3.41E-04
169.32,4.09E-03
169.37,7.81E-02
169.41,7.31E-01
169.45,6.12E+00
169.49,4.59E+01
169.53,3.08E+02
169.57,1.85E+03
169.61,9.98E+03
169.65,4.81E+04
169.69,2.08E+05
169.74,1.11E+06
169.78,3.73E+06
169.82,1.12E+07
169.86,3.04E+07
169.9,7.34E+07
169.94,1.59E+08
169.98,3.08E+08
170.02,5.35E+08
170.06,8.33E+08
170.11,1.24E+09
170.15,1.50E+09
170.19,1.63E+09
170.23,1.59E+09
170.27,1.39E+09
170.31,1.08E+09
170.35,7.60E+08
170.39,4.77E+08
170.43,2.70E+08
170.48,1.19E+08
170.52,6.40E+07
170.56,4.83E+07
170.6,5.89E+07
170.64,8.88E+07
170.68,1.34E+08
170.72,1.90E+08
170.76,2.51E+08
170.8,3.07E+08
170.85,3.56E+08
170.89,3.69E+08
170.93,3.58E+08
170.97,3.30E+08
171.01,3.03E+08
171.05,2.96E+08
171.09,3.32E+08
171.13,4.21E+08
171.17,5.58E+08
171.21,7.15E+08
171.26,8.76E+08
171.3,9.28E+08
171.34,8.92E+08
171.38,7.82E+08
171.42,6.32E+08
171.46,4.81E+08
171.5,3.53E+08
171.54,2.60E+08
171.58,1.98E+08
171.63,1.55E+08
171.67,1.41E+08
171.71,1.44E+08
171.75,1.64E+08
171.79,2.00E+08
171.83,2.56E+08
171.87,3.34E+08
171.91,4.31E+08
171.95,5.35E+08
172,6.43E+08
172.04,6.80E+08
172.08,6.58E+08
172.12,5.78E+08
172.16,4.61E+08
172.2,3.38E+08
172.24,2.35E+08
172.28,1.69E+08
172.32,1.44E+08
172.37,1.63E+08
172.41,2.04E+08
172.45,2.55E+08
172.49,3.04E+08
172.53,3.42E+08
172.57,3.59E+08
172.61,3.53E+08
172.65,3.23E+08
172.69,2.73E+08
172.74,1.97E+08
172.78,1.37E+08
172.82,8.65E+07
172.86,4.95E+07
172.9,2.56E+07
172.94,1.19E+07
172.98,5.02E+06
173.02,1.90E+06
173.06,6.52E+05
173.11,1.67E+05
173.15,1.03E+05
173.19,1.83E+05
173.23,4.28E+05
173.27,9.45E+05
173.31,1.88E+06
173.35,3.38E+06
173.39,5.45E+06
173.43,7.91E+06
173.47,1.03E+07
173.52,1.24E+07
173.56,1.27E+07
173.6,1.17E+07
173.64,9.75E+06
173.68,7.28E+06
173.72,4.89E+06
173.76,2.96E+06
173.8,1.63E+06
173.84,8.78E+05
173.89,6.38E+05
173.93,1.04E+06
173.97,2.21E+06
174.01,4.56E+06
174.05,8.56E+06
174.09,1.45E+07
174.13,2.21E+07
174.17,3.03E+07
174.21,3.76E+07
174.26,4.29E+07
174.3,4.37E+07
174.34,4.31E+07
174.38,4.52E+07
174.42,5.54E+07
174.46,7.91E+07
174.5,1.19E+08
174.54,1.74E+08
174.58,2.36E+08
174.63,3.01E+08
174.67,3.28E+08
174.71,3.23E+08
174.75,2.90E+08
174.79,2.40E+08
174.83,1.86E+08
174.87,1.39E+08
174.91,1.03E+08
174.95,7.71E+07
175,5.49E+07
175.04,4.11E+07
175.08,2.94E+07
175.12,1.96E+07
175.16,1.20E+07
175.2,6.71E+06
175.24,3.41E+06
175.28,1.58E+06
175.32,6.92E+05
175.36,3.70E+05
175.41,5.09E+05
175.45,1.12E+06
175.49,2.47E+06
175.53,4.97E+06
175.57,9.07E+06
175.61,1.50E+07
175.65,2.23E+07
175.69,3.03E+07
175.73,3.76E+07
175.78,4.48E+07
175.82,4.99E+07
175.86,5.79E+07
175.9,7.34E+07
175.94,1.01E+08
175.98,1.43E+08
176.02,1.94E+08
176.06,2.46E+08
176.1,2.85E+08
176.15,2.99E+08
176.19,2.79E+08
176.23,2.38E+08
176.27,1.86E+08
176.31,1.35E+08
176.35,9.42E+07
176.39,6.46E+07
176.43,4.47E+07
176.47,3.15E+07
176.52,2.02E+07
176.56,1.39E+07
176.6,9.76E+06
176.64,8.10E+06
176.68,9.31E+06
176.72,1.37E+07
176.76,2.13E+07
176.8,3.16E+07
176.84,4.31E+07
176.89,5.70E+07
176.93,6.63E+07
176.97,7.50E+07
177.01,8.59E+07
177.05,1.03E+08
177.09,1.29E+08
177.13,1.62E+08
177.17,1.95E+08
177.21,2.20E+08
177.25,2.29E+08
177.3,2.10E+08
177.34,1.75E+08
177.38,1.33E+08
177.42,9.07E+07
177.46,5.62E+07
177.5,3.18E+07
177.54,1.65E+07
177.58,8.14E+06
177.62,4.09E+06
177.67,2.11E+06
177.71,1.66E+06
177.75,1.69E+06
177.79,2.14E+06
177.83,3.13E+06
177.87,4.90E+06
177.91,7.69E+06
177.95,1.16E+07
177.99,1.66E+07
178.04,2.38E+07
178.08,2.96E+07
178.12,3.59E+07
178.16,4.50E+07
178.2,6.27E+07
178.24,9.93E+07
178.28,1.69E+08
178.32,2.85E+08
178.36,4.58E+08
178.41,7.46E+08
178.45,1.01E+09
178.49,1.26E+09
178.53,1.47E+09
178.57,1.62E+09
178.61,1.68E+09
178.65,1.67E+09
178.69,1.60E+09
178.73,1.47E+09
178.78,1.24E+09
178.82,1.03E+09
178.86,8.01E+08
178.9,5.87E+08
178.94,4.01E+08
178.98,2.56E+08
179.02,1.54E+08
179.06,9.34E+07
179.1,6.63E+07
179.14,6.48E+07
179.19,8.70E+07
179.23,1.14E+08
179.27,1.41E+08
179.31,1.59E+08
179.35,1.64E+08
179.39,1.52E+08
179.43,1.29E+08
179.47,1.00E+08
179.51,7.21E+07
179.56,4.68E+07
179.6,3.71E+07
179.64,3.67E+07
179.68,4.32E+07
179.72,5.33E+07
179.76,6.32E+07
179.8,6.92E+07
179.84,6.91E+07
179.88,6.27E+07
179.93,4.86E+07
179.97,3.56E+07
180.01,2.39E+07
180.05,1.47E+07
180.09,8.48E+06
180.13,4.75E+06
180.17,2.75E+06
180.21,1.77E+06
180.25,1.29E+06
180.3,1.00E+06
180.34,8.85E+05
180.38,8.44E+05
180.42,8.82E+05
180.46,9.97E+05
180.5,1.21E+06
180.54,1.59E+06
180.58,2.35E+06
180.62,3.91E+06
180.67,7.86E+06
180.71,1.34E+07
180.75,2.12E+07
180.79,3.10E+07
180.83,4.12E+07
180.87,4.99E+07
180.91,5.49E+07
180.95,5.48E+07
180.99,4.96E+07
181.04,3.82E+07
181.08,2.78E+07
181.12,1.84E+07
181.16,1.13E+07
181.2,6.68E+06
181.24,4.53E+06
181.28,4.48E+06
