Wavelength,Spectra,,,
224.82,4.34E-06,,,
224.87,5.78E-05,,,
224.91,4.28E-04,,,
224.95,2.98E-03,,,
224.99,1.94E-02,,,
225.04,1.86E-01,,,
225.08,1.06E+00,,,
225.12,5.62E+00,,,
225.16,2.82E+01,,,
225.21,1.93E+02,,,
225.25,8.40E+02,,,
225.29,3.43E+03,,,
225.33,1.32E+04,,,
225.38,6.48E+04,,,
225.42,2.16E+05,,,
225.46,6.77E+05,,,
225.5,1.99E+06,,,
225.55,7.02E+06,,,
225.59,1.80E+07,,,
225.63,4.31E+07,,,
225.67,9.72E+07,,,
225.72,2.46E+08,,,
225.76,4.82E+08,,,
225.8,8.87E+08,,,
225.84,1.53E+09,,,
225.89,2.78E+09,,,
225.93,4.18E+09,,,
225.97,5.89E+09,,,
226.01,7.81E+09,,,
226.06,1.02E+10,,,
226.1,1.17E+10,,,
226.14,1.27E+10,,,
226.18,1.29E+10,,,
226.23,1.20E+10,,,
226.27,1.06E+10,,,
226.31,8.78E+09,,,
226.35,6.84E+09,,,
226.4,4.58E+09,,,
226.44,3.10E+09,,,
226.48,1.97E+09,,,
226.52,1.18E+09,,,
226.57,5.64E+08,,,
226.61,2.93E+08,,,
226.65,1.43E+08,,,
226.69,6.52E+07,,,
226.74,2.25E+07,,,
226.78,8.93E+06,,,
226.82,3.33E+06,,,
226.86,1.17E+06,,,
226.91,2.89E+05,,,
226.95,8.81E+04,,,
226.99,2.52E+04,,,
227.03,6.78E+03,,,
227.08,1.20E+03,,,
227.12,2.81E+02,,,
227.16,6.15E+01,,,
227.2,1.27E+01,,,
227.25,1.61E+00,,,
227.29,2.89E-01,,,
227.33,4.85E-02,,,
227.37,7.67E-03,,,
227.42,6.99E-04,,,
227.46,9.60E-05,,,
227.5,1.24E-05,,,
227.54,1.50E-06,,,
233.07,6.28E-08,,,
233.11,4.82E-07,,,
233.16,5.66E-06,,,
233.2,3.81E-05,,,
233.24,2.42E-04,,,
233.28,1.45E-03,,,
233.33,1.25E-02,,,
233.37,6.56E-02,,,
233.41,3.25E-01,,,
233.45,1.52E+00,,,
233.5,9.62E+00,,,
233.54,3.95E+01,,,
233.58,1.53E+02,,,
233.62,5.57E+02,,,
233.67,2.59E+03,,,
233.71,8.30E+03,,,
233.75,2.51E+04,,,
233.79,7.15E+04,,,
233.84,2.44E+05,,,
233.88,6.10E+05,,,
233.92,1.44E+06,,,
233.96,3.21E+06,,,
234.01,8.03E+06,,,
234.05,1.57E+07,,,
234.09,2.89E+07,,,
234.13,5.02E+07,,,
234.18,9.24E+07,,,
234.22,1.41E+08,,,
234.26,2.03E+08,,,
234.3,2.75E+08,,,
234.35,3.71E+08,,,
234.39,4.42E+08,,,
234.43,4.97E+08,,,
234.47,5.26E+08,,,
