Wavelength,Spectra,,
170.49,1.35E-11,,
170.53,2.21E-10,,
170.57,3.27E-09,,
170.62,8.10E-08,,
170.66,9.36E-07,,
170.7,9.69E-06,,
170.74,9.01E-05,,
170.79,1.25E-03,,
170.83,9.13E-03,,
170.87,5.96E-02,,
170.91,3.49E-01,,
170.96,2.72E+00,,
171,1.25E+01,,
171.04,5.13E+01,,
171.08,1.89E+02,,
171.13,8.30E+02,,
171.17,2.40E+03,,
171.21,6.21E+03,,
171.25,1.44E+04,,
171.3,3.55E+04,,
171.34,6.45E+04,,
171.38,1.05E+05,,
171.42,1.54E+05,,
171.47,2.13E+05,,
171.51,2.44E+05,,
171.55,2.50E+05,,
171.59,2.31E+05,,
171.64,1.79E+05,,
171.68,1.29E+05,,
171.72,8.35E+04,,
171.76,4.85E+04,,
171.81,2.11E+04,,
171.85,9.69E+03,,
171.89,4.30E+03,,
171.93,2.74E+03,,
171.98,5.47E+03,,
172.02,1.36E+04,,
172.06,3.20E+04,,
172.1,6.79E+04,,
172.15,1.50E+05,,
172.19,2.50E+05,,
172.23,3.74E+05,,
172.27,5.03E+05,,
172.32,6.26E+05,,
172.36,6.61E+05,,
172.4,6.26E+05,,
172.44,5.33E+05,,
172.49,3.74E+05,,
172.53,2.50E+05,,
172.57,1.50E+05,,
172.61,8.06E+04,,
172.66,3.19E+04,,
172.7,1.35E+04,,
172.74,5.12E+03,,
172.78,1.74E+03,,
172.83,3.90E+02,,
172.87,1.04E+02,,
172.91,2.50E+01,,
172.95,5.39E+00,,
173,6.80E-01,,
173.04,1.15E-01,,
173.08,1.75E-02,,
173.12,2.38E-03,,
173.17,1.69E-04,,
173.21,1.81E-05,,
173.25,1.74E-06,,
173.29,1.50E-07,,
173.34,6.03E-09,,
173.38,4.08E-10,,
173.42,2.48E-11,,
192.17,1.23E-08,,
192.21,1.47E-07,,
192.26,2.90E-06,,
192.3,2.87E-05,,
192.34,2.60E-04,,
192.38,2.16E-03,,
192.43,2.71E-02,,
192.47,1.86E-01,,
192.51,1.17E+00,,
192.55,6.76E+00,,
192.6,5.38E+01,,
192.64,2.56E+02,,
192.68,1.12E+03,,
192.72,4.51E+03,,
192.77,2.28E+04,,
192.81,7.54E+04,,
192.85,2.30E+05,,
192.89,6.41E+05,,
192.94,2.05E+06,,
192.98,4.73E+06,,
193.02,1.00E+07,,
193.06,1.94E+07,,
193.11,3.95E+07,,
193.15,6.32E+07,,
193.19,9.29E+07,,
193.23,1.25E+08,,
193.28,1.62E+08,,
193.32,1.80E+08,,
193.36,1.84E+08,,
193.4,1.72E+08,,
193.45,1.41E+08,,
193.49,1.09E+08,,
193.53,7.74E+07,,
193.57,5.05E+07,,
193.62,2.62E+07,,
193.66,1.41E+07,,
193.7,6.95E+06,,
193.74,3.15E+06,,
193.79,1.04E+06,,
193.83,3.88E+05,,
193.87,1.33E+05,,
193.91,4.19E+04,,
193.96,8.76E+03,,
194,2.28E+03,,
194.04,5.42E+02,,
194.08,1.19E+02,,
194.13,1.58E+01,,
194.17,2.84E+00,,
194.21,4.71E-01,,
194.25,7.17E-02,,
194.3,6.04E-03,,
194.34,7.57E-04,,
194.38,8.72E-05,,
194.42,9.22E-06,,
194.47,4.93E-07,,
194.51,4.30E-08,,
198.21,1.72E-08,,
198.25,1.92E-07,,
198.29,1.98E-06,,
198.34,3.27E-05,,
198.38,2.81E-04,,
198.42,2.23E-03,,
198.46,1.63E-02,,
198.51,1.76E-01,,
198.55,1.08E+00,,
198.59,6.06E+00,,
198.63,3.15E+01,,
198.68,2.21E+02,,
198.72,9.61E+02,,
198.76,3.85E+03,,
198.8,1.42E+04,,
198.85,6.52E+04,,
198.89,2.01E+05,,
198.93,5.72E+05,,
198.97,1.50E+06,,
199.02,4.48E+06,,
199.06,9.83E+06,,
199.1,1.99E+07,,
199.14,3.71E+07,,
199.19,7.22E+07,,
199.23,1.12E+08,,
199.27,1.61E+08,,
199.31,2.14E+08,,
199.36,2.72E+08,,
199.4,3.00E+08,,
199.44,3.06E+08,,
199.48,2.88E+08,,
199.53,2.39E+08,,
199.57,1.88E+08,,
199.61,1.37E+08,,
199.65,9.37E+07,,
199.7,5.66E+07,,
199.74,4.24E+07,,
199.78,4.20E+07,,
199.82,5.45E+07,,
199.87,8.62E+07,,
199.91,1.21E+08,,
199.95,1.59E+08,,
199.99,1.94E+08,,
200.04,2.23E+08,,
200.08,2.27E+08,,
200.12,2.14E+08,,
200.16,1.86E+08,,
200.21,1.40E+08,,
200.25,1.01E+08,,
200.29,6.79E+07,,
200.33,4.21E+07,,
200.38,2.06E+07,,
200.42,1.07E+07,,
200.46,5.09E+06,,
200.5,2.24E+06,,
200.55,7.20E+05,,
200.59,2.65E+05,,
200.63,9.01E+04,,
200.67,2.83E+04,,
200.72,5.93E+03,,
200.76,1.56E+03,,
200.8,4.14E+02,,
200.84,2.55E+02,,
200.89,1.03E+03,,
200.93,3.88E+03,,
200.97,1.37E+04,,
201.01,4.45E+04,,
201.06,1.74E+05,,
201.1,4.76E+05,,
201.14,1.20E+06,,
201.18,2.80E+06,,
201.23,7.21E+06,,
201.27,1.41E+07,,
201.31,2.54E+07,,
201.35,4.24E+07,,
201.4,7.20E+07,,
201.44,1.01E+08,,
201.48,1.30E+08,,
201.52,1.55E+08,,
201.57,1.73E+08,,
201.61,1.73E+08,,
201.65,1.60E+08,,
201.69,1.37E+08,,
201.74,1.01E+08,,
201.78,7.20E+07,,
201.82,4.76E+07,,
201.86,2.91E+07,,
201.91,1.41E+07,,
201.95,7.21E+06,,
201.99,3.41E+06,,
202.03,1.49E+06,,
202.08,4.76E+05,,
202.12,1.74E+05,,
202.16,5.90E+04,,
202.21,1.37E+04,,
202.25,3.87E+03,,
202.29,1.02E+03,,
202.33,2.46E+02,,
202.38,3.75E+01,,
202.42,7.62E+00,,
202.46,1.53E+00,,
202.5,8.17E-01,,
202.55,4.63E+00,,
202.59,2.25E+01,,
202.63,1.02E+02,,
202.67,4.26E+02,,
202.72,2.28E+03,,
202.76,8.02E+03,,
202.8,2.61E+04,,
202.84,7.86E+04,,
202.89,2.80E+05,,
202.93,7.08E+05,,
202.97,1.66E+06,,
203.01,3.59E+06,,
203.06,8.47E+06,,
203.1,1.54E+07,,
203.14,2.60E+07,,
203.18,4.06E+07,,
203.23,6.34E+07,,
203.27,8.32E+07,,
203.31,1.01E+08,,
203.35,1.13E+08,,
203.4,1.18E+08,,
203.44,1.11E+08,,
203.48,9.69E+07,,
203.52,7.83E+07,,
203.57,5.38E+07,,
203.61,3.66E+07,,
203.65,2.30E+07,,
203.69,1.34E+07,,
203.74,6.10E+06,,
203.78,2.98E+06,,
203.82,1.35E+06,,
203.86,5.65E+05,,
203.91,1.71E+05,,
203.95,6.01E+04,,
203.99,1.96E+04,,
204.03,5.90E+03,,
204.08,1.18E+03,,
204.12,3.00E+02,,
204.16,7.03E+01,,
204.2,1.53E+01,,
204.25,2.03E+00,,
204.29,3.70E-01,,
204.33,6.24E-02,,
204.37,9.74E-03,,
204.42,8.58E-04,,
204.46,1.13E-04,,
204.5,1.37E-05,,
204.54,1.54E-06,,
204.59,8.99E-08,,
204.63,8.49E-09,,
204.88,2.07E-08,,
204.93,3.61E-07,,
204.97,3.27E-06,,
205.01,2.74E-05,,
205.05,2.14E-04,,
205.1,2.50E-03,,
205.14,1.64E-02,,
205.18,1.00E-01,,
205.22,5.67E-01,,
205.27,4.45E+00,,
205.31,2.12E+01,,
205.35,9.39E+01,,
205.39,3.86E+02,,
205.44,2.03E+03,,
205.48,7.02E+03,,
205.52,2.26E+04,,
205.56,6.73E+04,,
205.61,2.37E+05,,
205.65,5.96E+05,,
205.69,1.39E+06,,
205.73,3.01E+06,,
205.78,7.11E+06,,
205.82,1.30E+07,,
205.86,2.20E+07,,
205.9,3.46E+07,,
205.95,5.48E+07,,
205.99,7.27E+07,,
206.03,8.97E+07,,
206.07,1.03E+08,,
206.12,1.11E+08,,
206.16,1.12E+08,,
206.2,1.09E+08,,
206.24,1.10E+08,,
206.29,1.24E+08,,
206.33,1.56E+08,,
206.37,2.09E+08,,
