Wavelength,Spectra,,,
170.91,6.11E-07,,,
170.96,1.83E-05,,,
171,2.46E-04,,,
171.04,2.96E-03,,,
171.08,3.21E-02,,,
171.13,5.40E-01,,,
171.17,4.58E+00,,,
171.21,3.49E+01,,,
171.25,2.38E+02,,,
171.3,2.26E+03,,,
171.34,1.21E+04,,,
171.38,5.81E+04,,,
171.42,2.51E+05,,,
171.47,1.34E+06,,,
171.51,4.53E+06,,,
171.55,1.38E+07,,,
171.59,3.76E+07,,,
171.64,1.14E+08,,,
171.68,2.47E+08,,,
171.72,4.82E+08,,,
171.76,8.58E+08,,,
171.81,1.56E+09,,,
171.85,2.31E+09,,,
171.89,3.20E+09,,,
171.93,4.22E+09,,,
171.98,5.59E+09,,,
172.02,6.64E+09,,,
172.06,7.47E+09,,,
172.1,7.88E+09,,,
172.15,7.62E+09,,,
172.19,6.91E+09,,,
172.23,6.10E+09,,,
172.27,5.62E+09,,,
172.32,6.04E+09,,,
172.36,7.28E+09,,,
172.4,9.01E+09,,,
172.44,1.07E+10,,,
172.49,1.17E+10,,,
172.53,1.13E+10,,,
172.57,9.84E+09,,,
172.61,7.69E+09,,,
172.66,4.86E+09,,,
172.7,2.98E+09,,,
172.74,1.64E+09,,,
172.78,8.14E+08,,,
172.83,2.91E+08,,,
172.87,1.13E+08,,,
172.91,3.95E+07,,,
172.95,1.24E+07,,,
173,2.50E+06,,,
173.04,6.16E+05,,,
173.08,1.36E+05,,,
173.12,2.71E+04,,,
173.17,3.09E+03,,,
173.21,4.81E+02,,,
173.25,6.74E+01,,,
173.29,8.48E+00,,,
173.34,5.46E-01,,,
173.38,5.40E-02,,,
173.42,4.79E-03,,,
173.46,3.82E-04,,,
173.51,1.39E-05,,,
173.55,8.69E-07,,,
174.02,6.36E-10,,,
174.06,9.12E-09,,,
174.1,1.18E-07,,,
174.14,1.37E-06,,,
174.19,2.54E-05,,,
174.23,2.34E-04,,,
174.27,1.94E-03,,,
174.31,1.45E-02,,,
174.36,1.54E-01,,,
174.4,9.08E-01,,,
174.44,4.83E+00,,,
174.48,2.31E+01,,,
174.53,1.41E+02,,,
174.57,5.35E+02,,,
174.61,1.83E+03,,,
174.65,5.61E+03,,,
174.7,1.97E+04,,,
174.74,4.79E+04,,,
174.78,1.05E+05,,,
174.82,2.06E+05,,,
174.87,4.16E+05,,,
174.91,6.49E+05,,,
174.95,9.11E+05,,,
174.99,1.15E+06,,,
175.04,1.34E+06,,,
175.08,1.34E+06,,,
175.12,1.20E+06,,,
175.17,9.11E+05,,,
175.21,6.49E+05,,,
175.25,4.16E+05,,,
175.29,2.41E+05,,,
175.34,1.06E+05,,,
175.38,5.36E+04,,,
175.42,4.73E+04,,,
175.46,1.28E+05,,,
175.51,6.56E+05,,,
175.55,2.26E+06,,,
175.59,7.05E+06,,,
175.63,1.98E+07,,,
175.68,6.25E+07,,,
175.72,1.39E+08,,,
175.76,2.81E+08,,,
175.8,5.13E+08,,,
175.85,9.48E+08,,,
175.89,1.39E+09,,,
175.93,1.87E+09,,,
175.97,2.31E+09,,,
176.02,2.75E+09,,,
176.06,3.00E+09,,,
176.1,3.24E+09,,,
176.14,3.57E+09,,,
176.19,4.24E+09,,,
176.23,5.06E+09,,,
176.27,6.07E+09,,,
176.31,7.13E+09,,,
176.36,8.15E+09,,,
176.4,8.45E+09,,,
176.44,8.18E+09,,,
176.48,7.42E+09,,,
176.53,6.13E+09,,,
176.57,5.11E+09,,,
176.61,4.29E+09,,,
176.65,3.70E+09,,,
176.7,3.22E+09,,,
176.74,2.92E+09,,,
176.78,2.59E+09,,,
176.82,2.20E+09,,,
176.87,1.62E+09,,,
176.91,1.16E+09,,,
176.95,7.55E+08,,,
176.99,4.48E+08,,,
177.04,2.03E+08,,,
177.08,9.74E+07,,,
177.12,4.34E+07,,,
177.16,1.95E+07,,,
177.21,9.93E+06,,,
177.25,8.99E+06,,,
177.29,1.00E+07,,,
177.33,1.14E+07,,,
177.38,1.27E+07,,,
177.42,1.31E+07,,,
177.46,1.31E+07,,,
177.5,1.32E+07,,,
177.55,1.39E+07,,,
177.59,1.50E+07,,,
177.63,1.63E+07,,,
177.67,1.73E+07,,,
177.72,1.72E+07,,,
177.76,1.58E+07,,,
177.8,1.32E+07,,,
177.84,1.02E+07,,,
177.89,6.48E+06,,,
177.93,4.08E+06,,,
177.97,2.36E+06,,,
178.01,1.25E+06,,,
178.06,4.99E+05,,,
178.1,2.18E+05,,,
178.14,8.78E+04,,,
178.18,3.26E+04,,,
178.23,8.44E+03,,,
178.27,2.61E+03,,,
178.31,7.46E+02,,,
178.35,1.96E+02,,,
178.4,3.30E+01,,,
178.44,7.19E+00,,,
178.48,1.44E+00,,,
178.52,2.64E-01,,,
178.57,2.79E-02,,,
178.61,4.17E-03,,,
178.65,5.70E-04,,,
178.69,7.08E-05,,,
178.74,4.57E-06,,,
178.78,4.58E-07,,,
178.82,4.16E-08,,,
178.86,3.43E-09,,,
178.91,1.25E-10,,,
178.95,8.35E-12,,,
180.73,3.29E-10,,,
180.78,8.74E-09,,,
180.82,1.09E-07,,,
180.86,1.22E-06,,,
180.9,1.25E-05,,,
180.95,1.99E-04,,,
180.99,1.63E-03,,,
181.03,1.22E-02,,,
181.07,8.25E-02,,,
181.12,7.88E-01,,,
181.16,4.30E+00,,,
181.2,2.13E+01,,,
181.24,9.59E+01,,,
181.29,5.50E+02,,,
181.33,2.00E+03,,,
181.37,6.59E+03,,,
181.41,1.98E+04,,,
181.46,6.86E+04,,,
181.5,1.67E+05,,,
181.54,3.70E+05,,,
181.58,7.48E+05,,,
181.63,1.59E+06,,,
181.67,2.63E+06,,,
181.71,4.00E+06,,,
181.75,5.57E+06,,,
181.8,7.52E+06,,,
181.84,8.74E+06,,,
181.88,9.40E+06,,,
181.93,9.27E+06,,,
181.97,8.45E+06,,,
182.01,7.17E+06,,,
182.05,5.66E+06,,,
182.1,3.80E+06,,,
182.14,2.55E+06,,,
182.18,1.58E+06,,,
182.22,9.06E+05,,,
182.27,4.04E+05,,,
182.31,1.93E+05,,,
182.35,8.62E+04,,,
182.39,4.03E+04,,,
182.44,3.41E+04,,,
182.48,6.72E+04,,,
182.52,1.53E+05,,,
182.56,3.26E+05,,,
182.61,7.42E+05,,,
182.65,1.29E+06,,,
182.69,2.03E+06,,,
182.73,2.90E+06,,,
182.78,3.97E+06,,,
182.82,4.59E+06,,,
182.86,4.82E+06,,,
182.9,4.62E+06,,,
182.95,3.89E+06,,,
182.99,3.14E+06,,,
183.03,2.48E+06,,,
183.07,2.07E+06,,,
183.12,2.01E+06,,,
183.16,2.26E+06,,,
183.2,2.64E+06,,,
183.24,3.00E+06,,,
183.29,3.24E+06,,,
183.33,3.20E+06,,,
183.37,2.98E+06,,,
183.41,2.63E+06,,,
183.46,2.15E+06,,,
183.5,1.80E+06,,,
183.54,1.50E+06,,,
183.58,1.25E+06,,,
183.63,1.02E+06,,,
183.67,8.65E+05,,,
183.71,7.28E+05,,,
183.75,5.95E+05,,,
183.8,4.31E+05,,,
183.84,3.10E+05,,,
183.88,2.06E+05,,,
183.92,1.26E+05,,,
183.97,6.03E+04,,,
184.01,3.02E+04,,,
184.05,1.38E+04,,,
184.09,5.71E+03,,,
184.14,1.67E+03,,,
184.18,5.60E+02,,,
184.22,1.71E+02,,,
184.26,4.75E+01,,,
184.31,8.40E+00,,,
184.35,1.89E+00,,,
184.39,3.85E-01,,,
184.43,7.15E-02,,,
184.48,7.70E-03,,,
184.52,1.78E-03,,,
184.56,5.67E-03,,,
184.6,4.38E-02,,,
184.65,5.11E-01,,,
184.69,3.29E+00,,,
184.73,1.93E+01,,,
184.77,1.04E+02,,,
184.82,7.40E+02,,,
184.86,3.23E+03,,,
184.9,1.28E+04,,,
184.94,4.66E+04,,,
184.99,2.06E+05,,,
185.03,6.12E+05,,,
185.07,1.67E+06,,,
185.11,4.17E+06,,,
185.16,1.16E+07,,,
185.2,2.41E+07,,,
185.24,4.63E+07,,,
185.28,8.22E+07,,,
185.33,1.52E+08,,,
185.37,2.31E+08,,,
185.41,3.28E+08,,,
185.45,4.40E+08,,,
185.5,5.94E+08,,,
185.54,7.26E+08,,,
185.58,8.66E+08,,,
185.62,1.02E+09,,,
185.67,1.21E+09,,,
185.71,1.35E+09,,,
185.75,1.44E+09,,,
185.79,1.45E+09,,,
185.84,1.34E+09,,,
185.88,1.18E+09,,,
185.92,1.01E+09,,,
185.96,8.92E+08,,,
186.01,9.01E+08,,,
186.05,1.07E+09,,,
186.09,1.35E+09,,,
186.13,1.69E+09,,,
186.18,2.05E+09,,,
186.22,2.19E+09,,,
186.26,2.14E+09,,,
186.3,1.92E+09,,,
186.35,1.47E+09,,,
186.39,1.07E+09,,,
186.43,7.09E+08,,,
186.47,4.30E+08,,,
186.52,2.02E+08,,,
186.56,9.99E+07,,,
186.6,4.50E+07,,,
186.64,1.85E+07,,,
186.69,5.36E+06,,,
186.73,1.80E+06,,,
186.77,5.50E+05,,,
186.81,1.54E+05,,,
186.86,2.75E+04,,,
186.9,6.28E+03,,,
186.94,1.31E+03,,,
186.98,2.49E+02,,,
187.03,2.77E+01,,,
187.07,4.31E+00,,,
187.11,6.13E-01,,,
187.15,7.98E-02,,,
187.2,5.50E-03,,,
187.24,5.86E-04,,,
187.28,5.71E-05,,,
187.32,5.09E-06,,,
187.37,2.19E-07,,,
187.41,8.22E-09,,,
189.28,2.04E-10,,,
189.32,2.47E-09,,,
189.37,4.92E-08,,,
189.41,4.88E-07,,,
189.45,4.43E-06,,,
189.49,3.69E-05,,,
189.54,4.59E-04,,,
189.58,3.13E-03,,,
189.62,1.95E-02,,,
189.66,1.12E-01,,,
189.71,8.71E-01,,,
189.75,4.08E+00,,,
189.79,1.75E+01,,,
189.83,6.87E+01,,,
189.88,3.36E+02,,,
189.92,1.08E+03,,,
189.96,3.19E+03,,,
190,8.62E+03,,,
190.05,2.64E+04,,,
190.09,5.87E+04,,,
190.13,1.20E+05,,,
190.17,2.25E+05,,,
190.22,4.41E+05,,,
190.26,6.93E+05,,,
190.3,1.02E+06,,,
190.34,1.40E+06,,,
190.39,1.96E+06,,,
190.43,2.46E+06,,,
190.47,2.99E+06,,,
190.51,3.53E+06,,,
190.56,4.15E+06,,,
190.6,4.49E+06,,,
190.64,4.59E+06,,,
190.68,4.43E+06,,,
190.73,3.91E+06,,,
190.77,3.42E+06,,,
190.81,3.05E+06,,,
190.85,2.99E+06,,,
190.9,3.46E+06,,,
190.94,4.25E+06,,,
190.98,5.22E+06,,,
191.02,6.12E+06,,,
191.07,6.74E+06,,,
191.11,6.65E+06,,,
191.15,6.02E+06,,,
191.19,5.00E+06,,,
191.24,3.51E+06,,,
191.28,2.40E+06,,,
191.32,1.50E+06,,,
191.36,8.60E+05,,,
191.41,3.80E+05,,,
191.45,1.79E+05,,,
191.49,7.74E+04,,,
191.53,3.06E+04,,,
191.58,8.51E+03,,,
191.62,2.77E+03,,,
191.66,8.26E+02,,,
191.7,2.26E+02,,,
191.75,3.95E+01,,,
191.79,8.88E+00,,,
191.83,1.83E+00,,,
191.87,3.45E-01,,,
191.92,3.80E-02,,,
191.96,5.89E-03,,,
192,8.41E-04,,,
192.04,1.39E-04,,,
192.09,4.17E-04,,,
192.13,3.05E-03,,,
192.17,2.11E-02,,,
192.21,1.35E-01,,,
192.26,1.25E+00,,,
192.3,6.75E+00,,,
192.34,3.39E+01,,,
192.38,1.58E+02,,,
192.43,9.64E+02,,,
192.47,3.75E+03,,,
192.51,1.35E+04,,,
192.55,4.48E+04,,,
192.6,1.79E+05,,,
192.64,4.92E+05,,,
