Wavelength,Spectra,,,
190.3,1.55E-22,,,
190.34,1.78E-21,,,
190.39,3.36E-20,,,
190.43,3.19E-19,,,
190.47,2.78E-18,,,
190.51,2.21E-17,,,
190.56,2.62E-16,,,
190.6,1.72E-15,,,
190.64,1.03E-14,,,
190.68,5.69E-14,,,
190.73,4.25E-13,,,
190.77,1.93E-12,,,
190.81,7.99E-12,,,
190.85,3.04E-11,,,
190.9,1.43E-10,,,
190.94,4.49E-10,,,
190.98,1.29E-09,,,
191.02,3.41E-09,,,
191.07,1.02E-08,,,
191.11,2.21E-08,,,
191.15,4.43E-08,,,
191.19,8.14E-08,,,
191.24,1.55E-07,,,
191.28,2.37E-07,,,
191.32,3.34E-07,,,
191.36,4.34E-07,,,
191.41,5.40E-07,,,
191.45,5.91E-07,,,
191.49,6.02E-07,,,
191.53,5.72E-07,,,
191.58,4.92E-07,,,
191.62,4.12E-07,,,
191.66,3.34E-07,,,
191.7,2.70E-07,,,
191.75,2.13E-07,,,
191.79,1.86E-07,,,
191.83,1.68E-07,,,
191.87,1.55E-07,,,
191.92,1.36E-07,,,
191.96,1.18E-07,,,
192,9.74E-08,,,
192.04,7.57E-08,,,
192.09,5.04E-08,,,
192.13,3.36E-08,,,
192.17,2.09E-08,,,
192.21,1.20E-08,,,
192.26,5.36E-09,,,
192.3,2.57E-09,,,
192.34,1.14E-09,,,
192.38,4.62E-10,,,
192.43,1.33E-10,,,
192.47,4.47E-11,,,
192.51,1.38E-11,,,
192.55,3.91E-12,,,
192.6,7.15E-13,,,
192.64,1.67E-13,,,
192.68,3.56E-14,,,
192.72,6.99E-15,,,
192.77,8.07E-16,,,
192.81,1.30E-16,,,
192.85,1.93E-17,,,
192.89,2.61E-18,,,
192.94,1.90E-19,,,
192.98,2.12E-20,,,
193.02,2.17E-21,,,
193.06,2.04E-22,,,
193.11,9.36E-24,,,
222.87,1.31E-25,,,
222.91,1.11E-24,,,
222.95,8.77E-24,,,
223,1.06E-22,,,
223.04,7.30E-22,,,
223.08,4.69E-21,,,
223.12,2.83E-20,,,
223.17,2.45E-19,,,
223.21,1.28E-18,,,
223.25,6.30E-18,,,
223.29,2.90E-17,,,
223.34,1.79E-16,,,
223.38,7.15E-16,,,
223.42,2.68E-15,,,
223.46,9.41E-15,,,
223.51,4.14E-14,,,
223.55,1.26E-13,,,
223.59,3.60E-13,,,
223.63,9.66E-13,,,
223.68,3.03E-12,,,
223.72,7.05E-12,,,
223.76,1.54E-11,,,
223.8,3.15E-11,,,
223.85,7.04E-11,,,
223.89,1.25E-10,,,
223.93,2.08E-10,,,
223.97,3.24E-10,,,
224.02,5.17E-10,,,
224.06,7.00E-10,,,
224.1,8.89E-10,,,
224.14,1.06E-09,,,
224.19,1.21E-09,,,
224.23,1.24E-09,,,
224.27,1.21E-09,,,
224.31,1.10E-09,,,
224.36,8.93E-10,,,
224.4,7.10E-10,,,
224.44,5.38E-10,,,
224.48,3.99E-10,,,
224.53,2.93E-10,,,
224.57,2.68E-10,,,
224.61,2.97E-10,,,
224.65,3.73E-10,,,
224.7,5.19E-10,,,
224.74,6.56E-10,,,
224.78,7.88E-10,,,
224.82,8.92E-10,,,
224.87,9.55E-10,,,
224.91,9.40E-10,,,
224.95,8.68E-10,,,
224.99,7.53E-10,,,
225.04,5.76E-10,,,
225.08,4.34E-10,,,
225.12,3.06E-10,,,
225.16,2.03E-10,,,
225.21,1.11E-10,,,
225.25,6.38E-11,,,
225.29,3.44E-11,,,
225.33,1.74E-11,,,
225.38,6.82E-12,,,
225.42,2.99E-12,,,
225.46,1.23E-12,,,
225.5,4.78E-13,,,
225.55,1.33E-13,,,
225.59,4.48E-14,,,
225.63,1.41E-14,,,
225.67,4.18E-15,,,
225.72,8.33E-16,,,
225.76,2.14E-16,,,
225.8,5.15E-17,,,
225.84,1.16E-17,,,
225.89,1.66E-18,,,
225.93,3.25E-19,,,
225.97,5.98E-20,,,
226.01,1.03E-20,,,
226.06,1.05E-21,,,
226.1,1.58E-22,,,
226.14,2.22E-23,,,
226.18,2.93E-24,,,
226.23,2.13E-25,,,
226.86,1.01E-24,,,
226.91,1.31E-23,,,
226.95,9.53E-23,,,
226.99,6.50E-22,,,
227.03,4.17E-21,,,
227.08,3.90E-20,,,
227.12,2.18E-19,,,
227.16,1.15E-18,,,
227.2,5.66E-18,,,
227.25,3.82E-17,,,
227.29,1.64E-16,,,
227.33,6.65E-16,,,
227.37,2.53E-15,,,
227.42,1.23E-14,,,
227.46,4.09E-14,,,
227.5,1.27E-13,,,
227.54,3.73E-13,,,
227.59,1.31E-12,,,
227.63,3.35E-12,,,
227.67,8.04E-12,,,
227.71,1.81E-11,,,
227.76,4.60E-11,,,
227.8,9.05E-11,,,
227.84,1.67E-10,,,
227.88,2.91E-10,,,
