Wavelength,Spectra
187.92,5.49E-06
187.96,6.44E-05
188,6.91E-04
188.05,1.18E-02
188.09,1.04E-01
188.13,8.32E-01
188.17,6.10E+00
188.22,6.49E+01
188.26,3.89E+02
188.3,2.13E+03
188.34,1.07E+04
188.39,7.07E+04
188.43,2.90E+05
188.47,1.08E+06
188.51,3.71E+06
188.56,1.53E+07
188.6,4.27E+07
188.64,1.09E+08
188.69,3.13E+08
188.73,6.54E+08
188.77,1.25E+09
188.81,2.19E+09
188.86,3.89E+09
188.9,5.56E+09
188.94,7.28E+09
188.98,8.71E+09
189.03,9.60E+09
189.07,9.39E+09
189.11,8.39E+09
189.15,6.86E+09
189.2,4.70E+09
189.24,3.14E+09
189.28,1.92E+09
189.32,1.07E+09
189.37,4.57E+08
189.41,2.09E+08
189.45,8.72E+07
189.49,3.33E+07
189.54,8.82E+06
189.58,2.75E+06
189.62,7.86E+05
189.66,2.05E+05
189.71,3.38E+04
189.75,7.20E+03
189.79,1.41E+03
189.83,2.51E+02
189.88,2.56E+01
189.92,3.74E+00
189.96,4.99E-01
190,6.08E-02
190.05,3.86E-03
190.09,3.85E-04
190.13,3.51E-05
190.17,2.93E-06
192.6,1.60E-06
192.64,1.82E-05
192.68,1.90E-04
192.72,1.82E-03
192.77,2.71E-02
192.81,2.14E-01
192.85,1.55E+00
192.89,1.04E+01
192.94,9.83E+01
192.98,5.41E+02
193.02,2.73E+03
193.06,1.27E+04
193.11,7.65E+04
193.15,2.93E+05
193.19,1.03E+06
193.23,3.32E+06
193.28,1.28E+07
193.32,3.40E+07
193.36,8.32E+07
193.4,1.87E+08
193.45,4.56E+08
193.49,8.47E+08
193.53,1.44E+09
193.57,2.26E+09
193.62,3.50E+09
193.66,4.52E+09
193.7,5.36E+09
193.74,5.84E+09
193.79,5.76E+09
193.83,5.18E+09
193.87,4.28E+09
193.91,3.24E+09
193.96,2.03E+09
194,1.27E+09
194.04,7.31E+08
194.08,3.86E+08
194.13,1.54E+08
194.17,6.70E+07
194.21,2.68E+07
194.25,9.85E+06
194.3,2.50E+06
194.34,7.58E+05
194.38,2.11E+05
194.42,5.39E+04
194.47,8.70E+03
194.51,1.84E+03
194.55,3.56E+02
194.59,6.34E+01
194.64,6.50E+00
194.68,9.55E-01
194.72,1.29E-01
194.76,1.60E-02
194.81,1.04E-03
194.85,1.06E-04
194.89,1.00E-05
194.93,8.62E-07
196.08,8.48E-07
196.13,1.65E-05
196.17,1.62E-04
196.21,1.46E-03
196.25,1.21E-02
196.3,1.52E-01
196.34,1.05E+00
196.38,6.69E+00
196.42,3.92E+01
196.47,3.19E+02
196.51,1.55E+03
196.55,6.96E+03
196.59,2.87E+04
196.64,1.51E+05
196.68,5.18E+05
196.72,1.64E+06
196.76,4.77E+06
196.81,1.62E+07
196.85,3.91E+07
196.89,8.72E+07
196.93,1.79E+08
196.98,3.92E+08
197.02,6.69E+08
197.06,1.05E+09
197.1,1.52E+09
197.15,2.16E+09
197.19,2.59E+09
197.23,2.87E+09
