Wavelength,Spectra
211.39,4.66E-08
211.43,4.33E-07
211.47,3.75E-06
211.52,5.03E-05
211.56,3.71E-04
211.6,2.55E-03
211.64,1.64E-02
211.69,1.51E-01
211.73,8.25E-01
211.77,4.20E+00
211.81,1.99E+01
211.86,1.26E+02
211.9,5.10E+02
211.94,1.92E+03
211.98,6.75E+03
212.03,2.94E+04
212.07,8.80E+04
212.11,2.45E+05
212.15,6.38E+05
212.2,1.91E+06
212.24,4.23E+06
212.28,8.73E+06
212.32,1.68E+07
212.37,3.44E+07
212.41,5.65E+07
212.45,8.64E+07
212.49,1.23E+08
212.54,1.73E+08
212.58,2.11E+08
212.62,2.38E+08
212.66,2.51E+08
212.71,2.43E+08
212.75,2.19E+08
212.79,1.83E+08
212.83,1.43E+08
212.88,9.50E+07
212.92,6.33E+07
212.96,3.92E+07
213,2.27E+07
213.05,1.03E+07
213.09,5.10E+06
213.13,2.34E+06
213.17,1.00E+06
213.22,3.14E+05
213.26,1.15E+05
213.3,3.89E+04
213.34,1.23E+04
213.39,2.65E+03
213.43,7.16E+02
213.47,1.80E+02
213.51,4.22E+01
213.56,6.24E+00
213.6,1.25E+00
213.64,2.32E-01
213.68,4.03E-02
213.73,4.09E-03
213.77,6.06E-04
213.81,8.35E-05
213.85,1.07E-05
213.9,7.47E-07
213.94,8.19E-08
233.84,5.51E-08
233.88,4.17E-07
233.92,2.98E-06
233.96,2.01E-05
234.01,2.01E-04
234.05,1.19E-03
234.09,6.63E-03
234.13,3.50E-02
234.18,2.57E-01
234.22,1.19E+00
234.26,5.20E+00
234.3,2.15E+01
234.35,1.16E+02
234.39,4.21E+02
234.43,1.44E+03
234.47,4.63E+03
234.52,1.85E+04
234.56,5.22E+04
234.6,1.40E+05
234.64,3.52E+05
234.69,1.03E+06
234.73,2.28E+06
234.77,4.77E+06
234.81,9.42E+06
234.86,2.03E+07
234.9,3.52E+07
234.94,5.75E+07
234.98,8.86E+07
235.03,1.41E+08
235.07,1.90E+08
235.11,2.43E+08
235.15,2.94E+08
235.2,3.42E+08
235.24,3.63E+08
235.28,3.63E+08
235.32,3.42E+08
235.37,2.94E+08
235.41,2.43E+08
235.45,1.90E+08
235.49,1.41E+08
235.54,8.86E+07
235.58,5.75E+07
235.62,3.52E+07
235.66,2.03E+07
235.71,9.42E+06
235.75,4.77E+06
235.79,2.28E+06
235.84,8.38E+05
235.88,3.52E+05
235.92,1.40E+05
235.96,5.22E+04
236.01,1.41E+04
236.05,4.63E+03
236.09,1.44E+03
236.13,4.21E+02
236.18,8.35E+01
236.22,2.15E+01
236.26,5.20E+00
236.3,1.19E+00
236.35,1.74E-01
236.39,3.50E-02
236.43,6.63E-03
236.47,1.19E-03
236.52,1.28E-04
236.56,2.01E-05
236.6,2.98E-06
236.64,4.17E-07
236.69,3.29E-08
241.32,2.50E-06
241.36,1.79E-05
241.4,1.21E-04
241.45,1.23E-03
241.49,7.35E-03
241.53,4.18E-02
241.57,2.25E-01
241.62,1.71E+00
241.66,8.13E+00
241.7,3.67E+01
241.74,1.57E+02
241.79,8.91E+02
241.83,3.37E+03
241.87,1.21E+04
241.91,4.09E+04
241.96,1.75E+05
242,5.24E+05
242.04,1.49E+06
242.08,4.01E+06
242.13,1.28E+07
242.17,3.06E+07
242.21,6.90E+07
242.25,1.48E+08
242.3,3.53E+08
242.34,6.69E+08
242.38,1.20E+09
242.42,2.04E+09
242.47,3.65E+09
242.51,5.49E+09
242.55,7.81E+09
242.6,1.13E+10
242.64,1.42E+10
242.68,1.69E+10
242.72,1.91E+10
242.77,2.06E+10
242.81,2.06E+10
242.85,1.95E+10
242.89,1.75E+10
242.94,1.42E+10
242.98,1.13E+10
243.02,8.46E+09
243.06,6.03E+09
243.11,3.65E+09
243.15,2.30E+09
243.19,1.38E+09
243.23,7.78E+08
243.28,3.53E+08
243.32,1.77E+08
243.36,8.39E+07
243.4,3.77E+07
243.45,1.28E+07
243.49,5.10E+06
243.53,1.92E+06
243.57,6.84E+05
243.62,1.75E+05
243.66,5.51E+04
243.7,1.65E+04
243.74,4.66E+03
243.79,8.91E+02
243.83,2.23E+02
243.87,5.30E+01
243.91,1.19E+01
243.96,1.71E+00
244,3.39E-01
244.04,6.40E-02
244.08,1.14E-02
244.13,1.23E-03
244.17,1.94E-04
244.21,2.90E-05
244.25,4.10E-06
262.58,8.60E-08
262.62,5.09E-07
262.66,2.87E-06
262.71,2.34E-05
262.75,1.19E-04
262.79,5.81E-04
262.83,2.70E-03
262.88,1.73E-02
262.92,7.24E-02
262.96,2.90E-01
263,1.11E+00
263.05,5.56E+00
263.09,1.92E+01
263.13,6.32E+01
263.17,1.99E+02
263.22,7.82E+02
263.26,2.22E+03
263.3,6.02E+03
263.34,1.56E+04
263.39,4.80E+04
263.43,1.12E+05
263.47,2.50E+05
263.51,5.34E+05
263.56,1.29E+06
263.6,2.48E+06
263.64,4.55E+06
263.68,7.98E+06
263.73,1.51E+07
263.77,2.39E+07
263.81,3.61E+07
263.85,5.21E+07
263.9,7.72E+07
263.94,1.01E+08
263.98,1.25E+08
264.02,1.48E+08
264.07,1.73E+08
264.11,1.85E+08
264.15,1.89E+08
264.19,1.85E+08
264.24,1.68E+08
264.28,1.48E+08
264.32,1.25E+08
264.36,1.01E+08
264.41,7.18E+07
264.45,5.21E+07
264.49,3.61E+07
264.53,2.39E+07
264.58,1.34E+07
264.62,7.98E+06
264.66,4.55E+06
264.7,2.48E+06
264.75,1.09E+06
264.79,5.34E+05
264.83,2.50E+05
264.87,1.12E+05
264.92,3.86E+04
264.96,1.56E+04
265,6.02E+03
265.04,2.22E+03
265.09,5.98E+02
265.13,1.99E+02
265.17,6.32E+01
265.21,1.92E+01
265.26,4.05E+00
265.3,1.11E+00
265.34,2.90E-01
265.38,7.24E-02
265.43,1.20E-02
265.47,2.70E-03
265.51,5.81E-04
265.55,1.19E-04
265.6,1.55E-05
265.64,2.87E-06
265.68,5.09E-07
265.72,8.60E-08
265.98,2.16E-06
266.02,1.28E-05
266.06,7.21E-05
266.11,5.90E-04
266.15,3.01E-03
266.19,1.47E-02
266.23,6.88E-02
266.28,4.44E-01
266.32,1.88E+00
266.36,7.58E+00
266.4,2.93E+01
266.45,1.49E+02
266.49,5.21E+02
266.53,1.74E+03
266.57,5.56E+03
266.62,2.23E+04
266.66,6.45E+04
266.7,1.78E+05
266.74,4.71E+05
266.79,1.49E+06
266.83,3.57E+06
266.87,8.15E+06
266.91,1.78E+07
266.96,4.45E+07
267,8.79E+07
267.04,1.66E+08
267.08,3.01E+08
267.13,5.92E+08
267.17,9.67E+08
267.21,1.51E+09
267.25,2.26E+09
267.3,3.51E+09
267.34,4.75E+09
267.38,6.14E+09
267.42,7.59E+09
267.47,9.29E+09
267.51,1.04E+10
267.55,1.11E+10
267.59,1.14E+10
267.64,1.10E+10
267.68,1.01E+10
267.72,8.97E+09
267.76,7.59E+09
267.81,5.78E+09
267.85,4.42E+09
267.89,3.23E+09
267.93,2.26E+09
267.98,1.36E+09
268.02,8.59E+08
268.06,5.20E+08
268.1,3.01E+08
268.15,1.42E+08
268.19,7.45E+07
268.23,3.73E+07
268.27,1.78E+07
268.32,6.66E+06
268.36,2.88E+06
268.4,1.19E+06
268.44,4.71E+05
268.49,1.39E+05
268.53,4.97E+04
268.57,1.70E+04
268.61,5.56E+03
268.66,1.29E+03
268.7,3.83E+02
268.74,1.08E+02
268.78,2.93E+01
268.83,5.37E+00
268.87,1.31E+00
268.91,3.07E-01
268.95,6.88E-02
269,9.94E-03
269.04,2.01E-03
269.08,3.89E-04
269.12,7.21E-05
269.17,8.22E-06
269.21,1.38E-06
273.16,9.03E-08
273.21,7.97E-07
273.25,4.34E-06
273.29,2.27E-05
273.33,1.13E-04
273.38,7.99E-04
273.42,3.63E-03
273.46,1.58E-02
273.5,6.62E-02
273.55,3.72E-01
273.59,1.41E+00
273.63,5.15E+00
273.67,1.80E+01
273.72,8.08E+01
273.76,2.56E+02
273.8,7.79E+02
273.84,2.27E+03
273.89,8.15E+03
273.93,2.16E+04
273.97,5.48E+04
274.01,1.34E+05
274.06,3.83E+05
274.1,8.47E+05
274.14,1.80E+06
274.18,3.65E+06
274.23,8.35E+06
274.27,1.54E+07
274.31,2.74E+07
274.35,4.65E+07
274.4,8.49E+07
274.44,1.31E+08
274.48,1.94E+08
274.52,2.75E+08
274.57,4.01E+08
274.61,5.17E+08
274.65,6.39E+08
274.69,7.57E+08
274.74,8.82E+08
274.78,9.50E+08
274.82,9.80E+08
274.86,9.70E+08
274.91,9.02E+08
274.95,8.11E+08
274.99,6.99E+08
275.03,5.78E+08
275.08,4.29E+08
275.12,3.22E+08
275.16,2.32E+08
275.2,1.60E+08
275.25,9.50E+07
275.29,5.96E+07
275.33,3.58E+07
275.37,2.07E+07
275.42,9.78E+06
275.46,5.13E+06
275.5,2.57E+06
275.54,1.24E+06
275.59,4.68E+05
275.63,2.05E+05
275.67,8.60E+04
275.71,3.46E+04
275.76,1.04E+04
275.8,3.82E+03
275.84,1.34E+03
275.88,4.49E+02
275.93,1.08E+02
275.97,3.30E+01
276.01,9.67E+00
276.05,2.71E+00
276.1,5.22E-01
276.14,1.33E-01
276.18,3.25E-02
276.23,5.27E-03
276.27,1.17E-03
276.31,2.49E-04
276.35,5.09E-05
276.4,6.59E-06
276.44,1.22E-06
276.48,2.17E-07
310.41,3.22E-07
310.45,1.47E-06
310.49,6.48E-06
310.54,3.96E-05
310.58,1.62E-04
310.62,6.44E-04
310.66,2.47E-03
310.71,1.27E-02
310.75,4.52E-02
310.79,1.56E-01
310.83,5.21E-01
310.88,2.25E+00
310.92,6.97E+00
310.96,2.09E+01
311,6.08E+01
311.05,2.20E+02
311.09,5.94E+02
311.13,1.55E+03
311.17,3.92E+03
311.22,1.19E+04
311.26,2.80E+04
311.3,6.36E+04
311.34,1.40E+05
311.39,3.57E+05
311.43,7.30E+05
311.47,1.44E+06
311.51,2.76E+06
311.56,5.92E+06
311.6,1.05E+07
311.64,1.81E+07
311.68,3.00E+07
311.73,5.41E+07
311.77,8.36E+07
311.81,1.25E+08
311.85,1.81E+08
311.9,2.74E+08
311.94,3.68E+08
311.98,4.79E+08
312.02,6.02E+08
312.07,7.66E+08
312.11,8.95E+08
312.15,1.01E+09
312.19,1.11E+09
312.24,1.19E+09
312.28,1.20E+09
