Wavelength,Spectra,,,
180.56,1.39E-11,,,
180.6,2.68E-10,,,
180.64,4.47E-09,,,
180.68,6.78E-08,,,
180.72,9.33E-07,,,
180.77,2.16E-05,,,
180.81,2.40E-04,,,
180.85,2.42E-03,,,
180.89,2.22E-02,,,
180.93,1.85E-01,,,
180.97,1.40E+00,,,
181.01,9.67E+00,,,
181.05,6.06E+01,,,
181.1,5.26E+02,,,
181.14,2.66E+03,,,
181.18,1.23E+04,,,
181.22,5.14E+04,,,
181.26,1.96E+05,,,
181.3,6.81E+05,,,
181.34,2.16E+06,,,
181.38,6.21E+06,,,
181.43,2.04E+07,,,
181.47,4.77E+07,,,
181.51,1.01E+08,,,
181.55,1.97E+08,,,
181.59,3.47E+08,,,
181.63,5.58E+08,,,
181.67,8.17E+08,,,
181.71,1.09E+09,,,
181.76,1.37E+09,,,
181.8,1.48E+09,,,
181.84,1.46E+09,,,
181.88,1.31E+09,,,
181.92,1.07E+09,,,
181.96,7.96E+08,,,
182,5.39E+08,,,
182.04,3.32E+08,,,
182.08,1.89E+08,,,
182.13,9.33E+07,,,
182.17,7.91E+07,,,
182.21,1.33E+08,,,
182.25,2.99E+08,,,
182.29,6.68E+08,,,
182.33,1.38E+09,,,
182.37,2.59E+09,,,
182.41,4.44E+09,,,
182.46,7.67E+09,,,
182.5,1.07E+10,,,
182.54,1.36E+10,,,
182.58,1.57E+10,,,
182.62,1.66E+10,,,
182.66,1.60E+10,,,
182.7,1.40E+10,,,
182.74,1.12E+10,,,
182.79,7.44E+09,,,
182.83,4.82E+09,,,
182.87,2.85E+09,,,
182.91,1.53E+09,,,
182.95,7.48E+08,,,
182.99,3.33E+08,,,
183.03,1.35E+08,,,
183.07,4.98E+07,,,
183.12,1.25E+07,,,
183.16,3.73E+06,,,
183.2,1.01E+06,,,
183.24,2.49E+05,,,
183.28,5.59E+04,,,
183.32,1.14E+04,,,
183.36,2.11E+03,,,
183.4,3.56E+02,,,
183.44,5.46E+01,,,
183.49,4.78E+00,,,
183.53,1.81E+00,,,
183.57,6.99E+00,,,
183.61,3.52E+01,,,
183.65,1.63E+02,,,
183.69,6.85E+02,,,
183.73,2.62E+03,,,
183.77,9.14E+03,,,
183.82,3.81E+04,,,
183.86,1.08E+05,,,
183.9,2.76E+05,,,
183.94,6.44E+05,,,
183.98,1.37E+06,,,
184.02,2.65E+06,,,
184.06,4.66E+06,,,
184.1,7.46E+06,,,
184.15,1.18E+07,,,
184.19,1.53E+07,,,
184.23,1.80E+07,,,
184.27,1.93E+07,,,
184.31,1.89E+07,,,
184.35,1.68E+07,,,
184.39,1.36E+07,,,
184.43,9.99E+06,,,
184.48,5.97E+06,,,
184.52,3.55E+06,,,
184.56,1.93E+06,,,
184.6,9.52E+05,,,
184.64,4.29E+05,,,
184.68,1.79E+05,,,
184.72,7.10E+04,,,
184.76,2.96E+04,,,
184.8,1.54E+04,,,
184.85,1.01E+04,,,
184.89,8.31E+03,,,
184.93,6.69E+03,,,
184.97,5.01E+03,,,
185.01,3.43E+03,,,
185.05,2.15E+03,,,
185.09,1.22E+03,,,
185.13,6.36E+02,,,
185.18,2.46E+02,,,
185.22,1.03E+02,,,
185.26,4.02E+01,,,
185.3,1.57E+01,,,
185.34,9.13E+00,,,
185.38,1.22E+01,,,
185.42,2.34E+01,,,
185.46,4.42E+01,,,
185.51,8.72E+01,,,
185.55,1.35E+02,,,
185.59,1.92E+02,,,
185.63,2.48E+02,,,
185.67,2.91E+02,,,
185.71,3.12E+02,,,
185.75,3.05E+02,,,
185.79,2.72E+02,,,
185.84,2.06E+02,,,
185.88,1.49E+02,,,
185.92,9.82E+01,,,
185.96,5.89E+01,,,
186,3.23E+01,,,
186.04,1.61E+01,,,
186.08,7.31E+00,,,
186.12,3.03E+00,,,
186.16,1.14E+00,,,
186.21,2.97E-01,,,
186.25,9.09E-02,,,
186.29,2.54E-02,,,
186.33,6.46E-03,,,
186.37,1.50E-03,,,
186.41,3.17E-04,,,
186.45,6.11E-05,,,
186.49,1.07E-05,,,
186.54,1.07E-06,,,
186.58,1.52E-07,,,
186.62,1.98E-08,,,
186.66,2.34E-09,,,
186.7,2.53E-10,,,
186.74,2.49E-11,,,
186.78,2.23E-12,,,
186.82,1.82E-13,,,
186.87,6.97E-15,,,
186.91,4.62E-16,,,
186.95,2.79E-17,,,
187.85,9.12E-18,,,
187.9,2.96E-16,,,
187.94,4.34E-15,,,
187.98,5.81E-14,,,
188.02,7.12E-13,,,
188.06,7.97E-12,,,
188.1,8.16E-11,,,
188.14,7.64E-10,,,
188.18,6.54E-09,,,
188.23,8.45E-08,,,
188.27,5.92E-07,,,
188.31,3.79E-06,,,
188.35,2.22E-05,,,
188.39,1.19E-04,,,
188.43,5.81E-04,,,
188.47,2.60E-03,,,
188.51,1.06E-02,,,
188.56,5.46E-02,,,
188.6,1.83E-01,,,
188.64,5.59E-01,,,
188.68,1.56E+00,,,
188.72,4.00E+00,,,
188.76,9.36E+00,,,
188.8,2.00E+01,,,
188.84,3.92E+01,,,
188.89,7.99E+01,,,
188.93,1.28E+02,,,
188.97,1.87E+02,,,
189.01,2.50E+02,,,
189.05,3.06E+02,,,
189.09,3.42E+02,,,
189.13,3.50E+02,,,
189.17,3.27E+02,,,
189.21,2.80E+02,,,
189.26,2.03E+02,,,
189.3,1.42E+02,,,
189.34,9.06E+01,,,
189.38,5.30E+01,,,
189.42,2.83E+01,,,
189.46,1.39E+01,,,
189.5,6.19E+00,,,
189.54,2.53E+00,,,
189.59,7.29E-01,,,
189.63,2.44E-01,,,
189.67,7.45E-02,,,
189.71,2.08E-02,,,
189.75,5.32E-03,,,
189.79,1.24E-03,,,
189.83,2.65E-04,,,
189.87,5.19E-05,,,
189.92,5.94E-06,,,
189.96,9.49E-07,,,
190,1.39E-07,,,
190.04,1.85E-08,,,
190.08,2.26E-09,,,
190.12,2.53E-10,,,
190.16,2.58E-11,,,
190.2,2.41E-12,,,
190.25,1.10E-13,,,
190.29,8.38E-15,,,
190.33,5.85E-16,,,
190.37,3.73E-17,,,
191.36,1.54E-16,,,
191.4,2.48E-15,,,
191.44,3.68E-14,,,
191.48,5.00E-13,,,
191.52,6.23E-12,,,
