Wavelength,Spectra,,
176.02,1.20E-08,,
176.06,1.79E-07,,
176.1,2.41E-06,,
176.14,2.94E-05,,
176.19,5.79E-04,,
176.23,5.60E-03,,
176.27,4.90E-02,,
176.31,3.87E-01,,
176.36,4.43E+00,,
176.4,2.78E+01,,
176.44,1.58E+02,,
176.48,8.06E+02,,
176.53,5.37E+03,,
176.57,2.19E+04,,
176.61,8.03E+04,,
176.65,2.66E+05,,
176.7,1.03E+06,,
176.74,2.72E+06,,
176.78,6.47E+06,,
176.82,1.39E+07,,
176.87,3.14E+07,,
176.91,5.36E+07,,
176.95,8.27E+07,,
176.99,1.15E+08,,
177.04,1.51E+08,,
177.08,1.67E+08,,
177.12,1.67E+08,,
177.16,1.51E+08,,
177.21,1.15E+08,,
177.25,8.27E+07,,
177.29,5.36E+07,,
177.33,3.14E+07,,
177.38,1.39E+07,,
177.42,6.47E+06,,
177.46,2.72E+06,,
177.5,1.03E+06,,
177.55,2.66E+05,,
177.59,8.03E+04,,
177.63,2.19E+04,,
177.67,5.37E+03,,
177.72,8.06E+02,,
177.76,1.58E+02,,
177.8,2.78E+01,,
177.84,4.47E+00,,
177.89,8.43E-01,,
177.93,3.19E+00,,
177.97,1.96E+01,,
178.01,1.10E+02,,
178.06,8.33E+02,,
178.1,3.74E+03,,
178.14,1.52E+04,,
178.18,5.61E+04,,
178.23,2.48E+05,,
178.27,7.29E+05,,
178.31,1.94E+06,,
178.35,4.66E+06,,
178.4,1.21E+07,,
178.44,2.32E+07,,
178.48,4.03E+07,,
178.52,6.33E+07,,
178.57,9.66E+07,,
178.61,1.21E+08,,
178.65,1.37E+08,,
178.69,1.41E+08,,
178.74,1.26E+08,,
178.78,1.03E+08,,
178.82,7.64E+07,,
178.86,5.12E+07,,
178.91,2.69E+07,,
178.95,1.44E+07,,
178.99,6.95E+06,,
179.03,3.04E+06,,
179.08,9.40E+05,,
179.12,3.28E+05,,
179.16,1.04E+05,,
179.2,2.96E+04,,
179.25,5.37E+03,,
179.29,1.22E+03,,
179.33,2.52E+02,,
179.37,4.71E+01,,
179.42,5.02E+00,,
179.46,7.47E-01,,
179.5,1.01E-01,,
179.54,1.23E-02,,
179.59,7.66E-04,,
179.63,7.45E-05,,
179.67,6.56E-06,,
179.71,5.22E-07,,
179.76,1.92E-08,,
188.09,4.33E-09,,
188.13,5.53E-08,,
188.17,6.45E-07,,
188.22,1.23E-05,,
188.26,1.17E-04,,
188.3,1.02E-03,,
188.34,8.16E-03,,
188.39,9.66E-02,,
188.43,6.31E-01,,
188.47,3.77E+00,,
188.51,2.06E+01,,
188.56,1.51E+02,,
188.6,6.76E+02,,
188.64,2.76E+03,,
188.69,1.41E+04,,
188.73,4.72E+04,,
188.77,1.44E+05,,
188.81,4.03E+05,,
188.86,1.28E+06,,
188.9,2.94E+06,,
188.94,6.13E+06,,
188.98,1.17E+07,,
189.03,2.32E+07,,
189.07,3.63E+07,,
189.11,5.19E+07,,
189.15,6.79E+07,,
189.2,8.37E+07,,
189.24,8.95E+07,,
189.28,8.75E+07,,
189.32,7.83E+07,,
189.37,6.00E+07,,
189.41,4.39E+07,,
189.45,2.94E+07,,
189.49,1.80E+07,,
189.54,8.58E+06,,
189.58,4.29E+06,,
189.62,1.96E+06,,
189.66,8.22E+05,,
189.71,2.44E+05,,
189.75,8.35E+04,,
189.79,2.61E+04,,
189.83,7.48E+03,,
189.88,1.38E+03,,
189.92,3.23E+02,,
189.96,6.93E+01,,
190,1.36E+01,,
190.05,1.56E+00,,
190.09,2.50E-01,,
190.13,3.66E-02,,
190.17,4.90E-03,,
190.22,3.50E-04,,
190.26,3.83E-05,,
190.3,3.84E-06,,
190.34,3.52E-07,,
190.39,1.57E-08,,
191.32,8.81E-08,,
191.36,1.01E-06,,
191.41,1.89E-05,,
191.45,1.79E-04,,
191.49,1.55E-03,,
191.53,1.23E-02,,
191.58,1.46E-01,,
191.62,9.54E-01,,
191.66,5.73E+00,,
191.7,3.15E+01,,
191.75,2.36E+02,,
191.79,1.07E+03,,
191.83,4.44E+03,,
191.87,1.70E+04,,
191.92,8.01E+04,,
191.96,2.52E+05,,
192,7.25E+05,,
192.04,1.92E+06,,
192.09,5.71E+06,,
192.13,1.24E+07,,
192.17,2.48E+07,,
192.21,4.54E+07,,
192.26,8.57E+07,,
192.3,1.29E+08,,
192.34,1.79E+08,,
192.38,2.26E+08,,
192.43,2.70E+08,,
192.47,2.82E+08,,
192.51,2.70E+08,,
192.55,2.37E+08,,
192.6,1.79E+08,,
192.64,1.29E+08,,
192.68,8.57E+07,,
192.72,5.21E+07,,
192.77,2.48E+07,,
192.81,1.24E+07,,
192.85,5.71E+06,,
192.89,2.41E+06,,
192.94,7.25E+05,,
192.98,2.52E+05,,
193.02,8.01E+04,,
193.06,2.34E+04,,
193.11,4.44E+03,,
193.15,1.07E+03,,
193.19,2.36E+02,,
193.23,4.77E+01,,
193.28,5.73E+00,,
193.32,9.54E-01,,
193.36,1.46E-01,,
193.4,2.04E-02,,
193.45,1.55E-03,,
193.49,1.79E-04,,
193.53,1.89E-05,,
193.57,1.84E-06,,
193.62,8.81E-08,,
194.25,1.99E-08,,
194.3,4.09E-07,,
194.34,4.19E-06,,
194.38,3.94E-05,,
194.42,3.41E-04,,
194.47,4.49E-03,,
194.51,3.22E-02,,
194.55,2.12E-01,,
194.59,1.28E+00,,
194.64,1.09E+01,,
194.68,5.44E+01,,
194.72,2.51E+02,,
194.76,1.07E+03,,
194.81,5.77E+03,,
194.85,2.03E+04,,
194.89,6.55E+04,,
194.93,1.95E+05,,
194.98,6.76E+05,,
195.02,1.66E+06,,
195.06,3.76E+06,,
195.1,7.83E+06,,
195.15,1.74E+07,,
195.19,3.00E+07,,
195.23,4.76E+07,,
195.27,6.94E+07,,
195.32,9.88E+07,,
195.36,1.19E+08,,
195.4,1.33E+08,,
195.45,1.34E+08,,
195.49,1.23E+08,,
195.53,1.04E+08,,
195.57,8.12E+07,,
195.62,5.27E+07,,
195.66,3.40E+07,,
195.7,2.01E+07,,
195.74,1.10E+07,,
195.79,4.56E+06,,
195.83,2.06E+06,,
195.87,8.53E+05,,
195.91,3.25E+05,,
195.96,8.67E+04,,
196,2.74E+04,,
196.04,7.96E+03,,
196.08,2.13E+03,,
196.13,3.63E+02,,
196.17,8.04E+01,,
196.21,1.64E+01,,
196.25,3.06E+00,,
196.3,3.35E-01,,
196.34,5.20E-02,,
196.38,7.41E-03,,
196.42,9.71E-04,,
196.47,6.81E-05,,
196.51,7.39E-06,,
196.55,7.38E-07,,
196.59,6.78E-08,,
197.36,6.91E-09,,
197.4,7.88E-08,,
197.44,8.29E-07,,
197.49,1.40E-05,,
197.53,1.23E-04,,
197.57,9.93E-04,,
