Wavelength,Spectra,,,
174.4,2.48E-69,,,
174.44,3.80E-68,,,
174.48,5.24E-67,,,
174.53,1.20E-65,,,
174.57,1.31E-64,,,
174.61,1.29E-63,,,
174.65,1.15E-62,,,
174.7,1.52E-61,,,
174.74,1.07E-60,,,
174.78,6.74E-60,,,
174.82,3.84E-59,,,
174.87,2.92E-58,,,
174.91,1.32E-57,,,
174.95,5.37E-57,,,
174.99,1.97E-56,,,
175.04,8.63E-56,,,
175.08,2.50E-55,,,
175.12,6.55E-55,,,
175.17,1.88E-54,,,
175.21,3.89E-54,,,
175.25,7.27E-54,,,
175.29,1.22E-53,,,
175.34,2.02E-53,,,
175.38,2.69E-53,,,
175.42,3.23E-53,,,
175.46,3.49E-53,,,
175.51,3.32E-53,,,
175.55,2.84E-53,,,
175.59,2.19E-53,,,
175.63,1.52E-53,,,
175.68,8.35E-54,,,
175.72,4.60E-54,,,
175.76,2.28E-54,,,
175.8,1.02E-54,,,
175.85,3.22E-55,,,
175.89,1.14E-55,,,
175.93,3.63E-56,,,
175.97,1.04E-56,,,
176.02,1.89E-57,,,
176.06,4.30E-58,,,
176.1,8.82E-59,,,
176.14,1.63E-59,,,
176.19,1.71E-60,,,
176.23,2.49E-61,,,
176.27,3.29E-62,,,
176.31,3.90E-63,,,
176.36,2.35E-64,,,
176.4,2.21E-65,,,
176.44,1.87E-66,,,
176.48,1.43E-67,,,
176.53,3.11E-08,,,
176.57,7.01E-07,,,
176.61,9.48E-06,,,
176.65,1.16E-04,,,
176.7,2.30E-03,,,
176.74,2.24E-02,,,
176.78,1.97E-01,,,
176.82,1.57E+00,,,
176.87,1.83E+01,,,
176.91,1.16E+02,,,
176.95,6.65E+02,,,
176.99,3.45E+03,,,
177.04,2.35E+04,,,
177.08,9.71E+04,,,
177.12,3.63E+05,,,
177.16,1.23E+06,,,
177.21,4.89E+06,,,
177.25,1.32E+07,,,
177.29,3.21E+07,,,
177.33,7.07E+07,,,
177.38,1.65E+08,,,
177.42,2.89E+08,,,
177.46,4.59E+08,,,
177.5,6.59E+08,,,
177.55,8.98E+08,,,
177.59,1.03E+09,,,
177.63,1.06E+09,,,
177.67,9.93E+08,,,
177.72,7.93E+08,,,
177.76,5.91E+08,,,
177.8,3.98E+08,,,
177.84,2.42E+08,,,
177.89,1.13E+08,,,
177.93,5.49E+07,,,
177.97,2.41E+07,,,
178.01,9.55E+06,,,
178.06,2.61E+06,,,
178.1,8.24E+05,,,
178.14,2.35E+05,,,
178.18,6.08E+04,,,
178.23,9.70E+03,,,
178.27,2.00E+03,,,
178.31,3.71E+02,,,
178.35,6.24E+01,,,
178.4,5.82E+00,,,
178.44,7.79E-01,,,
178.48,9.43E-02,,,
178.52,1.03E-02,,,
178.57,5.63E-04,,,
178.61,4.90E-05,,,
178.65,3.86E-06,,,
178.69,2.75E-07,,,
190.51,3.49E-69,,,
190.56,7.27E-68,,,
190.6,7.47E-67,,,
190.64,7.04E-66,,,
190.68,6.09E-65,,,
190.73,7.97E-64,,,
190.77,5.66E-63,,,
190.81,3.69E-62,,,
190.85,2.20E-61,,,
190.9,1.81E-60,,,
190.94,8.89E-60,,,
190.98,4.00E-59,,,
191.02,1.65E-58,,,
191.07,8.55E-58,,,
191.11,2.90E-57,,,
191.15,8.99E-57,,,
191.19,2.56E-56,,,
191.24,8.36E-56,,,
191.28,1.95E-55,,,
191.32,4.19E-55,,,
191.36,8.23E-55,,,
191.41,1.69E-54,,,
191.45,2.73E-54,,,
191.49,4.05E-54,,,
191.53,5.49E-54,,,
191.58,7.11E-54,,,
191.62,7.92E-54,,,
191.66,8.10E-54,,,
191.7,7.59E-54,,,
191.75,6.19E-54,,,
191.79,5.17E-09,,,
191.83,6.25E-08,,,
191.87,6.93E-07,,,
191.92,1.24E-05,,,
191.96,1.14E-04,,,
192,9.54E-04,,,
192.04,7.35E-03,,,
192.09,8.35E-02,,,
192.13,5.30E-01,,,
192.17,3.08E+00,,,
192.21,1.65E+01,,,
192.26,1.19E+02,,,
192.3,5.22E+02,,,
192.34,2.11E+03,,,
192.38,7.83E+03,,,
192.43,3.57E+04,,,
192.47,1.09E+05,,,
192.51,3.06E+05,,,
