Wavelength,Spectra,,,
171.25,3.63E-14,,,
171.3,1.07E-12,,,
171.34,1.43E-11,,,
171.38,1.70E-10,,,
171.42,1.82E-09,,,
171.47,3.04E-08,,,
171.51,2.56E-07,,,
171.55,1.93E-06,,,
171.59,1.31E-05,,,
171.64,1.23E-04,,,
171.68,6.53E-04,,,
171.72,3.12E-03,,,
171.76,1.34E-02,,,
171.81,7.09E-02,,,
171.85,2.38E-01,,,
171.89,7.20E-01,,,
171.93,1.95E+00,,,
171.98,5.83E+00,,,
172.02,1.24E+01,,,
172.06,2.37E+01,,,
172.1,4.06E+01,,,
172.15,6.85E+01,,,
172.19,9.21E+01,,,
172.23,1.11E+02,,,
172.27,1.21E+02,,,
172.32,1.15E+02,,,
172.36,9.75E+01,,,
172.4,7.45E+01,,,
172.44,5.11E+01,,,
172.49,2.74E+01,,,
172.53,1.47E+01,,,
172.57,7.11E+00,,,
172.61,3.09E+00,,,
172.66,9.33E-01,,,
172.7,3.17E-01,,,
172.74,9.70E-02,,,
172.78,2.66E-02,,,
172.83,4.53E-03,,,
172.87,9.76E-04,,,
172.91,1.89E-04,,,
172.95,3.27E-05,,,
173,3.14E-06,,,
173.04,4.28E-07,,,
173.08,5.23E-08,,,
173.12,5.73E-09,,,
173.17,3.11E-10,,,
173.21,2.68E-11,,,
173.25,2.07E-12,,,
173.29,1.43E-13,,,
173.34,4.39E-15,,,
175.51,3.32E-15,,,
175.55,4.91E-14,,,
175.59,6.56E-13,,,
175.63,7.90E-12,,,
175.68,1.53E-10,,,
175.72,1.47E-09,,,
175.76,1.27E-08,,,
175.8,9.86E-08,,,
175.85,1.11E-06,,,
175.89,6.87E-06,,,
175.93,3.83E-05,,,
175.97,1.93E-04,,,
176.02,1.26E-03,,,
176.06,5.03E-03,,,
176.1,1.82E-02,,,
176.14,5.91E-02,,,
176.19,2.24E-01,,,
176.23,5.78E-01,,,
176.27,1.35E+00,,,
176.31,2.84E+00,,,
176.36,6.22E+00,,,
176.4,1.04E+01,,,
176.44,1.57E+01,,,
176.48,2.13E+01,,,
176.53,2.71E+01,,,
176.57,2.93E+01,,,
176.61,2.85E+01,,,
176.65,2.51E+01,,,
176.7,1.85E+01,,,
176.74,1.29E+01,,,
176.78,8.15E+00,,,
176.82,4.72E+00,,,
176.87,3.27E+00,,,
176.91,1.09E+01,,,
176.95,7.09E+01,,,
176.99,4.48E+02,,,
177.04,3.92E+03,,,
177.08,1.98E+04,,,
177.12,9.07E+04,,,
177.16,3.75E+05,,,
177.21,1.92E+06,,,
177.25,6.30E+06,,,
177.29,1.87E+07,,,
177.33,5.03E+07,,,
177.38,1.50E+08,,,
177.42,3.21E+08,,,
177.46,6.19E+08,,,
177.5,1.08E+09,,,
177.55,1.88E+09,,,
177.59,2.62E+09,,,
177.63,3.29E+09,,,
177.67,3.73E+09,,,
177.72,3.79E+09,,,
177.76,3.42E+09,,,
177.8,2.80E+09,,,
177.84,2.06E+09,,,
177.89,1.22E+09,,,
177.93,7.19E+08,,,
177.97,3.82E+08,,,
178.01,1.83E+08,,,
178.06,6.34E+07,,,
178.1,2.42E+07,,,
178.14,8.35E+06,,,
178.18,2.60E+06,,,
178.23,5.26E+05,,,
178.27,1.31E+05,,,
178.31,2.93E+04,,,
178.35,5.94E+03,,,
178.4,7.52E+02,,,
178.44,4.58E+02,,,
178.48,2.09E+03,,,
178.52,1.13E+04,,,
178.57,8.16E+04,,,
178.61,3.55E+05,,,
178.65,1.40E+06,,,
178.69,4.98E+06,,,
178.74,2.12E+07,,,
178.78,6.03E+07,,,
178.82,1.56E+08,,,
178.86,3.63E+08,,,
178.91,9.09E+08,,,
178.95,1.70E+09,,,
178.99,2.86E+09,,,
179.03,4.37E+09,,,
179.08,6.45E+09,,,
179.12,7.87E+09,,,
179.16,8.70E+09,,,
179.2,8.70E+09,,,
179.25,7.56E+09,,,
179.29,6.04E+09,,,
179.33,4.37E+09,,,
179.37,2.86E+09,,,
179.42,1.47E+09,,,
179.46,7.66E+08,,,
179.5,3.63E+08,,,
179.54,1.56E+08,,,
179.59,4.69E+07,,,
179.63,1.61E+07,,,
179.67,4.98E+06,,,
179.71,1.40E+06,,,
179.76,2.48E+05,,,
179.8,5.56E+04,,,
179.84,1.13E+04,,,
179.88,2.07E+03,,,
179.93,2.17E+02,,,
179.97,3.18E+01,,,
180.01,4.23E+00,,,
180.05,5.09E-01,,,
180.1,3.13E-02,,,
180.14,3.01E-03,,,
180.18,2.62E-04,,,
180.22,2.06E-05,,,
180.27,7.48E-07,,,
182.31,2.82E-14,,,
182.35,3.86E-13,,,
182.39,4.80E-12,,,
182.44,9.79E-11,,,
182.48,9.83E-10,,,
182.52,8.97E-09,,,
182.56,7.45E-08,,,
182.61,9.18E-07,,,
182.65,6.15E-06,,,
182.69,3.75E-05,,,
182.73,2.08E-04,,,
182.78,1.54E-03,,,
182.82,6.90E-03,,,
182.86,2.81E-02,,,
182.9,1.04E-01,,,
182.95,4.66E-01,,,
182.99,1.39E+00,,,
183.03,3.77E+00,,,
183.07,9.31E+00,,,
183.12,2.52E+01,,,
