Wavelength,Spectra
433.87,3.67E-11
433.92,1.45E-10
433.96,4.25E-10
434,1.23E-09
434.04,3.50E-09
434.09,1.26E-08
434.13,3.46E-08
434.17,9.32E-08
434.21,2.47E-07
434.26,8.15E-07
434.3,2.08E-06
434.34,5.21E-06
434.38,1.29E-05
434.43,3.88E-05
434.47,9.21E-05
434.51,2.15E-04
434.55,4.94E-04
434.6,1.36E-03
434.64,3.02E-03
434.68,6.56E-03
434.72,1.40E-02
434.77,3.54E-02
434.81,7.29E-02
434.85,1.48E-01
434.89,2.94E-01
434.94,6.78E-01
434.98,1.30E+00
435.02,2.45E+00
435.06,4.54E+00
435.11,9.60E+00
435.15,1.71E+01
435.19,3.01E+01
435.23,5.19E+01
435.28,1.00E+02
435.32,1.67E+02
435.36,2.72E+02
435.4,4.38E+02
435.45,7.74E+02
435.49,1.20E+03
435.53,1.82E+03
435.57,2.73E+03
435.62,4.41E+03
435.66,6.35E+03
435.7,9.00E+03
435.74,1.25E+04
435.79,1.85E+04
435.83,2.49E+04
435.87,3.28E+04
435.91,4.26E+04
435.96,5.75E+04
436,7.19E+04
436.04,8.83E+04
436.08,1.07E+05
436.13,1.32E+05
436.17,1.53E+05
436.21,1.76E+05
436.25,1.97E+05
436.3,2.23E+05
436.34,2.42E+05
436.38,2.58E+05
436.42,2.70E+05
436.47,2.79E+05
436.51,2.82E+05
436.55,2.79E+05
436.59,2.72E+05
436.64,2.58E+05
436.68,2.42E+05
436.72,2.23E+05
436.76,2.03E+05
436.81,1.76E+05
436.85,1.53E+05
436.89,1.32E+05
436.93,1.12E+05
436.98,8.83E+04
437.02,7.19E+04
437.06,5.75E+04
437.1,4.53E+04
437.15,3.28E+04
437.19,2.49E+04
437.23,1.85E+04
437.27,1.36E+04
437.32,9.00E+03
437.36,6.35E+03
437.4,4.41E+03
437.44,3.01E+03
437.49,1.82E+03
437.53,1.20E+03
437.57,7.74E+02
437.61,4.92E+02
437.66,2.72E+02
437.7,1.67E+02
437.74,1.00E+02
437.78,5.93E+01
437.83,3.01E+01
437.87,1.71E+01
437.91,9.60E+00
437.96,4.54E+00
438,2.45E+00
438.04,1.30E+00
438.08,6.78E-01
438.13,2.94E-01
438.17,1.48E-01
438.21,7.29E-02
438.25,3.54E-02
438.3,1.40E-02
438.34,6.56E-03
438.38,3.02E-03
438.42,1.36E-03
438.47,4.94E-04
438.51,2.15E-04
438.55,9.21E-05
438.59,3.88E-05
438.64,1.29E-05
438.68,5.21E-06
438.72,2.08E-06
438.76,8.15E-07
438.81,2.47E-07
438.85,9.32E-08
438.89,3.46E-08
438.93,1.26E-08
438.98,3.50E-09
439.02,1.23E-09
439.06,4.25E-10
439.1,1.45E-10
439.15,3.67E-11
441.53,1.99E-10
441.57,5.76E-10
441.61,1.64E-09
441.65,4.59E-09
441.7,1.63E-08
441.74,4.39E-08
441.78,1.17E-07
441.82,3.05E-07
441.87,9.92E-07
441.91,2.50E-06
441.95,6.20E-06
441.99,1.51E-05
442.04,4.51E-05
442.08,1.06E-04
442.12,2.46E-04
442.16,5.59E-04
442.21,1.53E-03
442.25,3.36E-03
442.29,7.26E-03
442.33,1.54E-02
442.38,3.87E-02
442.42,7.94E-02
442.46,1.60E-01
442.5,3.18E-01
442.55,7.31E-01
442.59,1.40E+00
442.63,2.63E+00
442.67,4.88E+00
442.72,1.03E+01
442.76,1.84E+01
442.8,3.23E+01
442.84,5.59E+01
442.89,1.08E+02
442.93,1.81E+02
442.97,2.96E+02
443.01,4.78E+02
443.06,8.49E+02
443.1,1.32E+03
443.14,2.02E+03
443.18,3.05E+03
443.23,4.97E+03
443.27,7.21E+03
443.31,1.03E+04
443.35,1.45E+04
443.4,2.17E+04
443.44,2.94E+04
443.48,3.92E+04
443.52,5.14E+04
443.57,7.06E+04
443.61,8.93E+04
443.65,1.11E+05
443.69,1.36E+05
443.74,1.72E+05
443.78,2.03E+05
443.82,2.35E+05
443.86,2.69E+05
443.91,3.11E+05
443.95,3.43E+05
443.99,3.72E+05
444.03,3.96E+05
444.08,4.20E+05
444.12,4.32E+05
444.16,4.38E+05
444.2,4.36E+05
444.25,4.24E+05
444.29,4.07E+05
444.33,3.85E+05
444.37,3.57E+05
444.42,3.19E+05
444.46,2.86E+05
444.5,2.52E+05
444.55,2.11E+05
444.59,1.79E+05
444.63,1.50E+05
444.67,1.23E+05
444.72,9.45E+04
444.76,7.50E+04
444.8,5.86E+04
444.84,4.50E+04
444.89,3.16E+04
444.93,2.34E+04
444.97,1.71E+04
445.01,1.23E+04
445.06,7.90E+03
445.1,5.46E+03
445.14,3.72E+03
445.18,2.49E+03
445.23,1.47E+03
445.27,9.50E+02
445.31,6.03E+02
445.35,3.77E+02
445.4,2.05E+02
445.44,1.23E+02
445.48,7.31E+01
445.52,4.27E+01
445.57,2.16E+01
445.61,1.26E+01
445.65,7.87E+00
445.69,5.99E+00
445.74,6.83E+00
445.78,1.03E+01
445.82,1.74E+01
445.86,3.01E+01
445.91,5.96E+01
445.95,1.01E+02
445.99,1.70E+02
446.03,2.80E+02
446.08,5.11E+02
446.12,8.13E+02
446.16,1.27E+03
446.2,1.96E+03
446.25,3.29E+03
446.29,4.90E+03
446.33,7.17E+03
446.37,1.03E+04
446.42,1.60E+04
446.46,2.22E+04
446.5,3.04E+04
446.54,4.10E+04
446.59,5.82E+04
446.63,7.59E+04
446.67,9.74E+04
446.71,1.23E+05
446.76,1.62E+05
446.8,1.98E+05
446.84,2.39E+05
446.88,2.85E+05
446.93,3.49E+05
446.97,4.04E+05
447.01,4.63E+05
447.05,5.24E+05
447.1,6.05E+05
447.14,6.71E+05
447.18,7.38E+05
447.22,8.07E+05
447.27,8.92E+05
447.31,9.61E+05
447.35,1.03E+06
447.39,1.10E+06
447.44,1.17E+06
447.48,1.23E+06
447.52,1.29E+06
447.56,1.33E+06
447.61,1.38E+06
447.65,1.40E+06
447.69,1.41E+06
447.73,1.40E+06
447.78,1.37E+06
447.82,1.33E+06
447.86,1.27E+06
447.9,1.20E+06
447.95,1.10E+06
447.99,1.01E+06
448.03,9.09E+05
448.07,8.09E+05
448.12,6.85E+05
448.16,5.90E+05
448.2,5.02E+05
448.24,4.21E+05
448.29,3.32E+05
448.33,2.73E+05
448.37,2.23E+05
448.41,1.82E+05
448.46,1.44E+05
448.5,1.23E+05
448.54,1.09E+05
448.58,1.01E+05
448.63,9.76E+04
448.67,9.96E+04
448.71,1.05E+05
448.75,1.11E+05
448.8,1.22E+05
448.84,1.30E+05
448.88,1.38E+05
448.92,1.45E+05
448.97,1.51E+05
449.01,1.53E+05
449.05,1.54E+05
449.09,1.52E+05
449.14,1.46E+05
449.18,1.39E+05
449.22,1.31E+05
449.26,1.21E+05
449.31,1.07E+05
449.35,9.54E+04
449.39,8.36E+04
449.43,7.22E+04
449.48,5.88E+04
449.52,4.90E+04
449.56,4.02E+04
449.6,3.24E+04
449.65,2.43E+04
449.69,1.89E+04
449.73,1.45E+04
449.77,1.09E+04
449.82,7.51E+03
449.86,5.47E+03
449.9,3.92E+03
449.94,2.77E+03
449.99,1.75E+03
450.03,1.19E+03
450.07,7.97E+02
450.11,5.25E+02
450.16,3.05E+02
450.2,1.94E+02
450.24,1.22E+02
450.28,7.49E+01
450.33,4.00E+01
450.37,2.38E+01
450.41,1.39E+01
450.45,8.02E+00
450.5,3.94E+00
450.54,2.19E+00
450.58,1.20E+00
450.62,6.52E-01
450.67,3.09E-01
450.71,1.88E-01
450.75,1.53E-01
450.79,1.90E-01
450.84,3.71E-01
450.88,6.98E-01
450.92,1.32E+00
450.96,2.49E+00
451.01,5.36E+00
451.05,9.74E+00
451.09,1.74E+01
451.13,3.07E+01
451.18,6.10E+01
451.22,1.04E+02
451.26,1.74E+02
451.31,3.24E+02
451.35,5.24E+02
451.39,8.33E+02
451.43,1.31E+03
451.48,2.24E+03
451.52,3.39E+03
451.56,5.05E+03
451.6,7.40E+03
451.65,1.17E+04
451.69,1.65E+04
451.73,2.31E+04
451.77,3.16E+04
451.82,4.60E+04
451.86,6.09E+04
451.9,7.94E+04
451.94,1.02E+05
451.99,1.36E+05
452.03,1.69E+05
452.07,2.06E+05
452.11,2.48E+05
452.16,3.05E+05
452.2,3.54E+05
452.24,4.04E+05
452.28,4.54E+05
452.33,5.15E+05
452.37,5.58E+05
452.41,5.97E+05
452.45,6.28E+05
452.5,6.55E+05
452.54,6.65E+05
452.58,6.65E+05
452.62,6.55E+05
452.67,6.28E+05
452.71,5.97E+05
452.75,5.58E+05
452.79,5.15E+05
452.84,4.54E+05
452.88,4.04E+05
452.92,3.54E+05
452.96,3.05E+05
453.01,2.48E+05
453.05,2.06E+05
453.09,1.69E+05
453.13,1.36E+05
453.18,1.02E+05
453.22,7.94E+04
453.26,6.09E+04
453.3,4.60E+04
453.35,3.16E+04
453.39,2.31E+04
453.43,1.65E+04
453.47,1.17E+04
453.52,7.40E+03
453.56,5.05E+03
453.6,3.39E+03
453.64,2.24E+03
453.69,1.31E+03
453.73,8.33E+02
453.77,5.24E+02
453.81,3.24E+02
453.86,1.74E+02
453.9,1.04E+02
453.94,6.10E+01
453.98,3.53E+01
454.03,1.74E+01
454.07,9.74E+00
454.11,5.36E+00
454.15,2.90E+00
454.2,1.32E+00
454.24,6.90E-01
454.28,3.55E-01
454.32,1.80E-01
454.37,7.53E-02
454.41,3.68E-02
454.45,1.77E-02
454.49,8.41E-03
454.54,3.24E-03
454.58,1.48E-03
454.62,6.68E-04
454.66,2.97E-04
454.71,1.05E-04
454.75,4.50E-05
454.79,1.90E-05
454.83,7.89E-06
454.88,2.57E-06
454.92,1.03E-06
454.96,4.07E-07
455,1.58E-07
455.05,4.75E-08
455.09,1.78E-08
455.13,6.58E-09
455.17,2.39E-09
455.22,6.61E-10
455.26,2.32E-10
455.3,8.01E-11
631.27,2.05E-10
631.32,5.23E-10
631.36,1.10E-09
631.4,2.28E-09
631.44,4.70E-09
631.49,1.15E-08
631.53,2.33E-08
631.57,4.68E-08
631.61,9.34E-08
631.66,2.19E-07
631.7,4.29E-07
631.74,8.33E-07
631.78,1.61E-06
631.83,3.61E-06
631.87,6.84E-06
631.91,1.29E-05
631.95,2.40E-05
632,5.16E-05
632.04,9.45E-05
632.08,1.72E-04
632.12,3.09E-04
632.17,6.39E-04
632.21,1.13E-03
632.25,1.99E-03
632.29,3.46E-03
632.34,6.86E-03
632.38,1.17E-02
632.42,1.99E-02
632.46,3.36E-02
632.51,6.37E-02
632.55,1.06E-01
632.59,1.73E-01
632.63,2.82E-01
632.68,5.13E-01
632.72,8.22E-01
632.76,1.30E+00
632.8,2.05E+00
632.85,3.58E+00
632.89,5.55E+00
632.93,8.51E+00
632.97,1.30E+01
633.02,2.17E+01
633.06,3.24E+01
633.1,4.81E+01
633.15,7.79E+01
633.19,1.14E+02
633.23,1.64E+02
633.27,2.36E+02
633.32,3.66E+02
633.36,5.16E+02
633.4,7.22E+02
633.44,1.00E+03
633.49,1.49E+03
633.53,2.03E+03
633.57,2.75E+03
633.61,3.68E+03
633.66,5.25E+03
633.7,6.92E+03
633.74,9.05E+03
633.78,1.17E+04
633.83,1.61E+04
633.87,2.05E+04
633.91,2.58E+04
633.95,3.24E+04
634,4.25E+04
634.04,5.24E+04
634.08,6.40E+04
634.12,7.75E+04
634.17,9.75E+04
634.21,1.16E+05
634.25,1.37E+05
634.29,1.61E+05
634.34,1.94E+05
634.38,2.23E+05
634.42,2.55E+05
634.46,2.89E+05
634.51,3.34E+05
634.55,3.72E+05
634.59,4.10E+05
634.63,4.50E+05
634.68,4.98E+05
634.72,5.36E+05
634.76,5.73E+05
634.8,6.07E+05
634.85,6.45E+05
634.89,6.71E+05
634.93,6.92E+05
634.97,7.09E+05
635.02,7.22E+05
635.06,7.26E+05
635.1,7.25E+05
635.14,7.18E+05
635.19,7.01E+05
635.23,6.82E+05
635.27,6.58E+05
635.31,6.30E+05
635.36,5.90E+05
635.4,5.55E+05
635.44,5.18E+05
635.48,4.79E+05
635.53,4.30E+05
635.57,3.91E+05
635.61,3.53E+05
635.65,3.16E+05
635.7,2.72E+05
635.74,2.39E+05
635.78,2.08E+05
635.82,1.80E+05
635.87,1.49E+05
635.91,1.26E+05
635.95,1.07E+05
635.99,8.91E+04
636.04,7.05E+04
636.08,5.79E+04
636.12,4.72E+04
636.16,3.82E+04
636.21,2.90E+04
636.25,2.30E+04
636.29,1.81E+04
636.33,1.42E+04
636.38,1.03E+04
636.42,7.92E+03
636.46,6.04E+03
636.5,4.56E+03
636.55,3.18E+03
636.59,2.36E+03
636.63,1.74E+03
636.67,1.27E+03
636.72,8.51E+02
636.76,6.11E+02
636.8,4.35E+02
636.84,3.08E+02
636.89,1.97E+02
636.93,1.37E+02
636.97,9.42E+01
637.01,6.44E+01
637.06,3.95E+01
637.1,2.65E+01
637.14,1.77E+01
637.18,1.17E+01
637.23,6.88E+00
637.27,4.46E+00
637.31,2.87E+00
637.35,1.84E+00
637.4,1.04E+00
637.44,6.50E-01
637.48,4.05E-01
637.52,2.50E-01
637.57,1.35E-01
637.61,8.21E-02
637.65,4.94E-02
637.69,2.95E-02
637.74,1.53E-02
637.78,8.98E-03
637.82,5.22E-03
637.86,3.02E-03
637.91,1.50E-03
637.95,8.51E-04
637.99,4.79E-04
638.03,2.67E-04
638.08,1.28E-04
638.12,6.99E-05
638.16,3.80E-05
638.2,2.05E-05
638.25,9.38E-06
638.29,4.97E-06
638.33,2.62E-06
638.37,1.36E-06
638.42,5.98E-07
638.46,3.07E-07
638.5,1.56E-07
638.54,7.86E-08
638.59,3.31E-08
638.63,1.64E-08
638.67,8.05E-09
638.71,3.93E-09
638.76,1.58E-09
638.8,7.58E-10
638.84,3.60E-10
638.88,1.70E-10
659.16,5.47E-11
659.21,1.35E-10
659.25,2.76E-10
659.29,5.60E-10
659.33,1.13E-09
659.38,2.68E-09
659.42,5.31E-09
659.46,1.05E-08
659.5,2.04E-08
659.55,4.67E-08
659.59,8.96E-08
659.63,1.71E-07
659.67,3.24E-07
659.72,7.12E-07
659.76,1.33E-06
659.8,2.45E-06
659.84,4.50E-06
659.89,9.53E-06
659.93,1.72E-05
659.97,3.09E-05
660.01,5.49E-05
660.06,1.12E-04
660.1,1.96E-04
660.14,3.40E-04
660.19,6.72E-04
660.23,1.15E-03
660.27,1.95E-03
660.31,3.29E-03
660.36,6.26E-03
660.4,1.04E-02
660.44,1.71E-02
660.48,2.79E-02
660.53,5.10E-02
660.57,8.20E-02
660.61,1.31E-01
660.65,2.07E-01
660.7,3.65E-01
660.74,5.69E-01
660.78,8.80E-01
660.82,1.35E+00
660.87,2.29E+00
660.91,3.46E+00
660.95,5.19E+00
