Wavelength,Spectra,,,
170.11,1.14E+02,,,
170.15,1.34E+02,,,
170.19,1.42E+02,,,
170.23,1.34E+02,,,
170.28,1.07E+02,,,
170.32,7.90E+01,,,
170.36,5.22E+01,,,
170.4,3.09E+01,,,
170.45,1.37E+01,,,
170.49,6.33E+00,,,
170.53,2.62E+00,,,
170.57,9.68E-01,,,
170.62,2.39E-01,,,
170.66,6.90E-02,,,
170.7,1.78E-02,,,
170.74,4.13E-03,,,
170.79,5.67E-04,,,
170.83,1.02E-04,,,
170.87,1.65E-05,,,
170.91,2.39E-06,,,
170.96,1.83E-07,,,
171,2.06E-08,,,
171.04,2.08E-09,,,
171.08,2.34E-10,,,
171.13,1.15E-09,,,
171.17,1.31E-08,,,
171.21,1.36E-07,,,
171.25,1.27E-06,,,
171.3,1.78E-05,,,
171.34,1.30E-04,,,
171.38,8.62E-04,,,
171.42,5.13E-03,,,
171.47,4.12E-02,,,
171.51,1.94E-01,,,
171.55,8.27E-01,,,
171.59,3.18E+00,,,
171.64,1.49E+01,,,
171.68,4.56E+01,,,
171.72,1.27E+02,,,
171.76,3.22E+02,,,
171.81,8.99E+02,,,
171.85,1.84E+03,,,
171.89,3.45E+03,,,
171.93,5.91E+03,,,
171.98,1.02E+04,,,
172.02,1.43E+04,,,
172.06,1.83E+04,,,
172.1,2.14E+04,,,
172.15,2.29E+04,,,
172.19,2.19E+04,,,
172.23,1.90E+04,,,
172.27,1.50E+04,,,
172.32,9.71E+03,,,
172.36,6.16E+03,,,
172.4,3.54E+03,,,
172.44,1.84E+03,,,
172.49,7.06E+02,,,
172.53,2.93E+02,,,
172.57,1.10E+02,,,
172.61,3.72E+01,,,
172.66,8.33E+00,,,
172.7,2.24E+00,,,
172.74,5.46E-01,,,
172.78,1.20E-01,,,
172.83,1.56E-02,,,
172.87,2.71E-03,,,
172.91,4.25E-04,,,
172.95,6.01E-05,,,
173,4.50E-06,,,
173.04,5.04E-07,,,
173.08,5.08E-08,,,
173.12,4.61E-09,,,
173.17,1.98E-10,,,
173.21,1.42E-11,,,
173.25,8.02E-13,,,
174.14,8.64E-08,,,
174.19,2.36E-06,,,
174.23,2.96E-05,,,
174.27,3.34E-04,,,
174.31,3.40E-03,,,
174.36,5.34E-02,,,
174.4,4.29E-01,,,
174.44,3.11E+00,,,
174.48,2.03E+01,,,
174.53,1.84E+02,,,
174.57,9.48E+02,,,
174.61,4.41E+03,,,
174.65,1.85E+04,,,
174.7,9.60E+04,,,
174.74,3.18E+05,,,
174.78,9.51E+05,,,
174.82,2.56E+06,,,
174.87,7.63E+06,,,
174.91,1.63E+07,,,
174.95,3.12E+07,,,
174.99,5.39E+07,,,
175.04,9.23E+07,,,
175.08,1.26E+08,,,
175.12,1.56E+08,,,
175.17,1.74E+08,,,
175.21,1.70E+08,,,
175.25,1.49E+08,,,
175.29,1.18E+08,,,
175.34,7.59E+07,,,
175.38,4.75E+07,,,
175.42,2.68E+07,,,
175.46,1.36E+07,,,
175.51,5.03E+06,,,
175.55,2.02E+06,,,
175.59,7.31E+05,,,
175.63,2.39E+05,,,
175.68,5.30E+04,,,
175.72,1.86E+04,,,
175.76,1.51E+04,,,
175.8,2.45E+04,,,
175.85,4.91E+04,,,
175.89,7.79E+04,,,
175.93,1.12E+05,,,
175.97,1.45E+05,,,
176.02,1.75E+05,,,
176.06,1.81E+05,,,
176.1,1.70E+05,,,
176.14,1.44E+05,,,
176.19,1.01E+05,,,
176.23,6.82E+04,,,
176.27,4.16E+04,,,
176.31,2.29E+04,,,
176.36,9.47E+03,,,
176.4,4.16E+03,,,
176.44,1.66E+03,,,
176.48,5.95E+02,,,
176.53,1.44E+02,,,
176.57,4.12E+01,,,
176.61,1.07E+01,,,
176.65,2.50E+00,,,
176.7,3.53E-01,,,
176.74,6.59E-02,,,
176.78,1.11E-02,,,
176.82,1.69E-03,,,
176.87,1.40E-04,,,
176.91,1.69E-05,,,
176.95,1.86E-06,,,
176.99,1.84E-07,,,
177.04,8.82E-09,,,
177.08,6.94E-10,,,
177.12,4.93E-11,,,
177.16,2.80E-12,,,
177.21,2.39E-18,,,
177.25,1.33E-17,,,
177.29,6.73E-17,,,
177.33,3.07E-16,,,
177.38,1.77E-15,,,
177.42,6.42E-15,,,
177.46,2.11E-14,,,
177.5,6.25E-14,,,
177.55,2.11E-13,,,
177.59,4.98E-13,,,
177.63,1.06E-12,,,
177.67,2.05E-12,,,
177.72,4.04E-12,,,
177.76,6.22E-12,,,
177.8,8.63E-12,,,
177.84,1.08E-11,,,
177.89,1.25E-11,,,
177.93,1.25E-11,,,
177.97,1.13E-11,,,
178.01,9.23E-12,,,
178.06,6.22E-12,,,
178.1,4.05E-12,,,
178.14,2.38E-12,,,
178.18,1.27E-12,,,
178.23,5.07E-13,,,
178.27,2.28E-13,,,
178.31,1.11E-13,,,
178.35,7.36E-14,,,
178.4,7.40E-14,,,
178.44,8.44E-14,,,
178.48,9.18E-14,,,
178.52,9.15E-14,,,
178.57,7.93E-14,,,
178.61,6.33E-14,,,
178.65,4.57E-14,,,
178.69,6.32E-14,,,
178.74,9.77E-13,,,
178.78,1.16E-11,,,
178.82,1.26E-10,,,
178.86,1.25E-09,,,
178.91,1.91E-08,,,
178.95,1.52E-07,,,
178.99,1.10E-06,,,
179.03,7.16E-06,,,
179.08,6.52E-05,,,
179.12,3.42E-04,,,
179.16,1.63E-03,,,
179.2,7.05E-03,,,
179.25,3.84E-02,,,
179.29,1.33E-01,,,
179.33,4.21E-01,,,
179.37,1.21E+00,,,
179.42,3.92E+00,,,
179.46,9.04E+00,,,
179.5,1.89E+01,,,
179.54,3.59E+01,,,
179.59,7.00E+01,,,
179.63,1.07E+02,,,
179.67,1.49E+02,,,
179.71,1.87E+02,,,
179.76,2.18E+02,,,
179.8,2.21E+02,,,
179.84,2.03E+02,,,
179.88,1.70E+02,,,
179.93,1.18E+02,,,
179.97,7.95E+01,,,
180.01,4.85E+01,,,
180.05,2.68E+01,,,
180.1,1.12E+01,,,
180.14,4.95E+00,,,
180.18,2.00E+00,,,
180.22,7.30E-01,,,
180.27,1.81E-01,,,
180.31,5.30E-02,,,
180.35,1.41E-02,,,
180.39,3.40E-03,,,
180.44,5.01E-04,,,
180.48,9.70E-05,,,
180.52,1.70E-05,,,
180.56,2.70E-06,,,
180.61,2.36E-07,,,
180.65,3.01E-08,,,
180.69,3.48E-09,,,
