Wavelength,Spectra,,,
176.27,3.84E-21,,,
176.31,5.28E-20,,,
176.36,1.21E-18,,,
176.4,1.32E-17,,,
176.44,1.31E-16,,,
176.48,1.17E-15,,,
176.53,1.56E-14,,,
176.57,1.10E-13,,,
176.61,7.07E-13,,,
176.65,4.09E-12,,,
176.7,3.18E-11,,,
176.74,1.46E-10,,,
176.78,6.09E-10,,,
176.82,2.29E-09,,,
176.87,1.04E-08,,,
176.91,3.09E-08,,,
176.95,8.34E-08,,,
176.99,2.03E-07,,,
177.04,5.36E-07,,,
177.08,1.04E-06,,,
177.12,1.82E-06,,,
177.16,2.87E-06,,,
177.21,4.41E-06,,,
177.25,5.55E-06,,,
177.29,6.30E-06,,,
177.33,6.47E-06,,,
177.38,5.78E-06,,,
177.42,4.72E-06,,,
177.46,3.48E-06,,,
177.5,2.31E-06,,,
177.55,1.21E-06,,,
177.59,6.38E-07,,,
177.63,3.05E-07,,,
177.67,1.32E-07,,,
177.72,4.08E-08,,,
177.76,1.81E-08,,,
177.8,2.43E-08,,,
177.84,8.52E-08,,,
177.89,4.38E-07,,,
177.93,1.46E-06,,,
177.97,4.42E-06,,,
178.01,1.21E-05,,,
178.06,3.68E-05,,,
178.1,8.03E-05,,,
178.14,1.58E-04,,,
178.18,2.82E-04,,,
178.23,5.05E-04,,,
178.27,7.18E-04,,,
178.31,9.23E-04,,,
178.35,1.07E-03,,,
178.4,1.13E-03,,,
178.44,1.04E-03,,,
178.48,8.75E-04,,,
178.52,6.64E-04,,,
178.57,4.08E-04,,,
178.61,2.47E-04,,,
178.65,1.35E-04,,,
178.69,6.67E-05,,,
178.74,2.40E-05,,,
178.78,9.48E-06,,,
178.82,3.38E-06,,,
178.86,1.09E-06,,,
178.91,2.38E-07,,,
178.95,8.46E-08,,,
178.99,9.12E-08,,,
179.03,2.17E-07,,,
179.08,6.66E-07,,,
179.12,1.48E-06,,,
179.16,2.96E-06,,,
179.2,5.37E-06,,,
179.25,9.84E-06,,,
179.29,1.43E-05,,,
179.33,1.88E-05,,,
179.37,2.24E-05,,,
179.42,2.43E-05,,,
179.46,2.33E-05,,,
179.5,2.09E-05,,,
179.54,1.89E-05,,,
179.59,2.27E-05,,,
179.63,4.00E-05,,,
179.67,8.53E-05,,,
179.71,1.86E-04,,,
179.76,5.17E-04,,,
179.8,1.67E-03,,,
179.84,9.62E-03,,,
179.88,7.23E-02,,,
179.93,8.83E-01,,,
179.97,5.95E+00,,,
180.01,3.64E+01,,,
180.05,2.02E+02,,,
180.1,1.50E+03,,,
180.14,6.69E+03,,,
180.18,2.70E+04,,,
180.22,9.90E+04,,,
180.27,4.37E+05,,,
180.31,1.28E+06,,,
180.35,3.42E+06,,,
180.39,8.26E+06,,,
180.44,2.17E+07,,,
180.48,4.20E+07,,,
180.52,7.37E+07,,,
180.56,1.17E+08,,,
180.61,1.83E+08,,,
180.65,2.34E+08,,,
180.69,2.71E+08,,,
180.73,2.84E+08,,,
180.78,2.63E+08,,,
180.82,2.22E+08,,,
180.86,1.70E+08,,,
180.9,1.17E+08,,,
180.95,6.49E+07,,,
180.99,3.68E+07,,,
181.03,2.06E+07,,,
181.07,1.49E+07,,,
181.12,2.24E+07,,,
181.16,4.29E+07,,,
181.2,8.12E+07,,,
181.24,1.42E+08,,,
181.29,2.49E+08,,,
181.33,3.51E+08,,,
181.37,4.48E+08,,,
181.41,5.20E+08,,,
181.46,5.45E+08,,,
181.5,5.08E+08,,,
181.54,4.30E+08,,,
181.58,3.30E+08,,,
181.63,2.06E+08,,,
181.67,1.27E+08,,,
181.71,7.12E+07,,,
181.75,3.62E+07,,,
181.8,1.35E+07,,,
181.84,5.51E+06,,,
181.88,2.04E+06,,,
181.93,5.14E+05,,,
181.97,1.53E+05,,,
182.01,4.13E+04,,,
182.05,1.01E+04,,,
182.1,1.52E+03,,,
182.14,3.00E+02,,,
182.18,5.36E+01,,,
182.22,8.69E+00,,,
182.27,7.80E-01,,,
182.31,1.02E-01,,,
182.35,1.20E-02,,,
182.39,1.29E-03,,,
182.44,6.93E-05,,,
182.48,6.56E-06,,,
182.52,2.46E-06,,,
182.56,6.17E-06,,,
182.61,2.18E-05,,,
182.65,5.41E-05,,,
182.69,1.24E-04,,,
182.73,2.71E-04,,,
182.78,1.02E-03,,,
182.82,6.04E-03,,,
182.86,5.14E-02,,,
182.9,4.44E-01,,,
182.95,5.90E+00,,,
182.99,4.21E+01,,,
183.03,2.74E+02,,,
183.07,1.62E+03,,,
183.12,1.30E+04,,,
183.16,6.22E+04,,,
183.2,2.70E+05,,,
183.24,1.07E+06,,,
183.29,5.20E+06,,,
183.33,1.66E+07,,,
183.37,4.82E+07,,,
183.41,1.27E+08,,,
183.46,3.76E+08,,,
183.5,8.06E+08,,,
183.54,1.57E+09,,,
183.58,2.81E+09,,,
