Wavelength,Spectra,,
191.07,6.91E-08,,
191.11,7.98E-07,,
191.15,8.45E-06,,
191.19,8.20E-05,,
191.24,1.25E-03,,
191.28,9.95E-03,,
191.32,7.29E-02,,
191.36,4.90E-01,,
191.41,4.70E+00,,
191.45,2.60E+01,,
191.49,1.32E+02,,
191.53,6.13E+02,,
191.58,3.71E+03,,
191.62,1.42E+04,,
191.66,4.98E+04,,
191.7,1.60E+05,,
191.75,6.12E+05,,
191.79,1.62E+06,,
191.83,3.94E+06,,
191.87,8.78E+06,,
191.92,2.12E+07,,
191.96,3.88E+07,,
192,6.52E+07,,
192.04,1.01E+08,,
192.09,1.53E+08,,
192.13,1.94E+08,,
192.17,2.26E+08,,
192.21,2.41E+08,,
192.26,2.32E+08,,
192.3,2.03E+08,,
192.34,1.64E+08,,
192.38,1.21E+08,,
192.43,7.33E+07,,
192.47,4.45E+07,,
192.51,2.48E+07,,
192.55,1.27E+07,,
192.6,4.85E+06,,
192.64,2.04E+06,,
192.68,7.88E+05,,
192.72,2.79E+05,,
192.77,6.73E+04,,
192.81,1.96E+04,,
192.85,5.23E+03,,
192.89,1.28E+03,,
192.94,1.95E+02,,
192.98,3.93E+01,,
193.02,7.26E+00,,
193.06,1.23E+00,,
193.11,1.18E-01,,
193.15,1.65E-02,,
193.19,2.11E-03,,
193.23,2.47E-04,,
193.28,1.50E-05,,
193.32,1.45E-06,,
193.36,1.28E-07,,
193.4,1.04E-08,,
195.36,4.57E-10,,
195.4,5.26E-09,,
195.45,9.93E-08,,
195.49,9.49E-07,,
195.53,8.34E-06,,
195.57,6.76E-05,,
195.62,8.21E-04,,
195.66,5.52E-03,,
195.7,3.41E-02,,
195.74,1.94E-01,,
195.79,1.52E+00,,
195.83,7.19E+00,,
195.87,3.13E+01,,
195.91,1.25E+02,,
195.96,6.32E+02,,
196,2.10E+03,,
196.04,6.42E+03,,
196.08,1.81E+04,,
196.13,5.87E+04,,
196.17,1.37E+05,,
196.21,2.95E+05,,
196.25,5.85E+05,,
196.3,1.22E+06,,
196.34,2.01E+06,,
196.38,3.04E+06,,
196.42,4.24E+06,,
196.47,5.70E+06,,
196.51,6.59E+06,,
196.55,7.02E+06,,
196.59,6.87E+06,,
196.64,5.96E+06,,
196.68,4.85E+06,,
196.72,3.63E+06,,
196.76,2.50E+06,,
196.81,1.40E+06,,
196.85,7.98E+05,,
196.89,4.20E+05,,
196.93,2.03E+05,,
196.98,7.32E+04,,
197.02,2.94E+04,,
197.06,1.09E+04,,
197.1,3.71E+03,,
197.15,8.59E+02,,
197.19,2.43E+02,,
197.23,6.32E+01,,
197.27,1.52E+01,,
197.32,2.26E+00,,
197.36,4.50E-01,,
197.4,8.23E-02,,
197.44,1.39E-02,,
197.49,1.33E-03,,
197.53,1.86E-04,,
197.57,2.40E-05,,
197.61,2.84E-06,,
197.66,1.76E-07,,
197.7,1.73E-08,,
197.74,1.57E-09,,
198.34,4.28E-08,,
198.38,4.58E-07,,
198.42,4.52E-06,,
198.46,4.12E-05,,
198.51,5.83E-04,,
198.55,4.44E-03,,
198.59,3.12E-02,,
198.63,2.02E-01,,
198.68,1.86E+00,,
198.72,1.01E+01,,
198.76,5.03E+01,,
198.8,2.32E+02,,
198.85,1.39E+03,,
198.89,5.36E+03,,
198.93,1.90E+04,,
198.97,6.22E+04,,
199.02,2.44E+05,,
199.06,6.67E+05,,
199.1,1.68E+06,,
199.14,3.91E+06,,
199.19,1.00E+07,,
199.23,1.95E+07,,
199.27,3.48E+07,,
199.31,5.76E+07,,
199.36,9.63E+07,,
199.4,1.33E+08,,
199.44,1.69E+08,,
199.48,1.99E+08,,
199.53,2.17E+08,,
199.57,2.13E+08,,
199.61,1.92E+08,,
199.65,1.60E+08,,
199.7,1.14E+08,,
199.74,7.96E+07,,
199.78,5.12E+07,,
199.82,3.03E+07,,
199.87,1.41E+07,,
199.91,6.98E+06,,
199.95,3.19E+06,,
199.99,1.34E+06,,
200.04,4.09E+05,,
200.08,1.46E+05,,
200.12,5.65E+04,,
200.16,4.74E+04,,
200.21,1.39E+05,,
200.25,3.82E+05,,
200.29,9.90E+05,,
200.33,2.37E+06,,
200.38,6.32E+06,,
200.42,1.27E+07,,
200.46,2.34E+07,,
200.5,4.00E+07,,
200.55,6.99E+07,,
200.59,1.00E+08,,
200.63,1.32E+08,,
200.67,1.61E+08,,
200.72,1.85E+08,,
200.76,1.88E+08,,
200.8,1.77E+08,,
200.84,1.54E+08,,
200.89,1.16E+08,,
200.93,8.45E+07,,
200.97,5.68E+07,,
201.01,3.53E+07,,
201.06,1.74E+07,,
201.1,9.03E+06,,
201.14,4.33E+06,,
201.18,1.92E+06,,
201.23,6.21E+05,,
201.27,2.30E+05,,
201.31,7.88E+04,,
201.35,2.49E+04,,
201.4,5.28E+03,,
201.44,1.40E+03,,
201.48,3.41E+02,,
201.52,7.70E+01,,
201.57,1.07E+01,,
201.61,2.02E+00,,
201.65,3.52E-01,,
201.69,5.67E-02,,
201.74,5.17E-03,,
201.78,6.97E-04,,
201.82,8.67E-05,,
201.86,9.96E-06,,
201.91,5.96E-07,,
201.95,5.72E-08,,
208.33,7.72E-09,,
208.37,7.52E-08,,
208.41,6.81E-07,,
208.45,5.73E-06,,
208.5,7.42E-05,,
208.54,5.30E-04,,
208.58,3.52E-03,,
208.62,2.18E-02,,
208.67,1.91E-01,,
208.71,1.00E+00,,
208.75,4.90E+00,,
208.8,3.20E+01,,
208.84,1.33E+02,,
208.88,5.10E+02,,
208.92,1.82E+03,,
208.97,8.10E+03,,
209.01,2.46E+04,,
209.05,6.95E+04,,
209.09,1.82E+05,,
209.14,5.50E+05,,
209.18,1.23E+06,,
209.22,2.54E+06,,
209.26,4.89E+06,,
209.31,1.00E+07,,
209.35,1.64E+07,,
209.39,2.49E+07,,
209.43,3.52E+07,,
209.48,4.89E+07,,
209.52,5.87E+07,,
209.56,6.55E+07,,
209.6,6.79E+07,,
209.65,6.42E+07,,
209.69,5.65E+07,,
209.73,4.62E+07,,
209.77,3.52E+07,,
209.82,2.26E+07,,
209.86,1.46E+07,,
209.9,8.76E+06,,
209.94,4.89E+06,,
209.99,2.13E+06,,
210.03,1.01E+06,,
210.07,4.45E+05,,
210.11,1.82E+05,,
210.16,5.39E+04,,
210.2,1.88E+04,,
210.24,6.07E+03,,
210.28,1.82E+03,,
210.33,3.67E+02,,
210.37,9.35E+01,,
210.41,2.22E+01,,
210.45,4.90E+00,,
210.5,6.68E-01,,
210.54,1.25E-01,,
210.58,2.18E-02,,
210.62,3.52E-03,,
210.67,3.27E-04,,
210.71,4.49E-05,,
210.75,5.73E-06,,
210.79,6.81E-07,,
210.84,4.29E-08,,
210.88,4.32E-09,,
213.13,1.61E-05,,
213.17,1.52E-04,,
213.22,2.28E-03,,
213.26,1.84E-02,,
213.3,1.38E-01,,
213.34,9.72E-01,,
213.39,1.01E+01,,
213.43,6.04E+01,,
213.47,3.38E+02,,
213.51,1.77E+03,,
213.56,1.26E+04,,
213.6,5.64E+04,,
213.64,2.35E+05,,
213.68,9.12E+05,,
213.73,4.51E+06,,
213.77,1.50E+07,,
213.81,4.64E+07,,
213.85,1.34E+08,,
213.9,4.58E+08,,
213.94,1.13E+09,,
213.98,2.61E+09,,
214.02,5.61E+09,,
214.07,1.33E+10,,
214.11,2.44E+10,,
214.15,4.18E+10,,
214.19,6.68E+10,,
214.24,1.09E+11,,
214.28,1.49E+11,,
214.32,1.90E+11,,
214.36,2.26E+11,,
214.41,2.55E+11,,
214.45,2.60E+11,,
214.49,2.46E+11,,
214.53,2.18E+11,,
214.58,1.70E+11,,
214.62,1.29E+11,,
214.66,9.08E+10,,
214.7,5.98E+10,,
214.75,3.22E+10,,
214.79,1.81E+10,,
214.83,9.52E+09,,
214.87,4.67E+09,,
214.92,1.74E+09,,
214.96,7.27E+08,,
215,2.84E+08,,
215.04,1.04E+08,,
215.09,2.71E+07,,
215.13,9.27E+06,,
215.17,4.23E+06,,
215.21,3.82E+06,,
215.26,5.83E+06,,
215.3,8.52E+06,,
215.34,1.18E+07,,
215.38,1.53E+07,,
215.43,1.91E+07,,
215.47,2.12E+07,,
215.51,2.20E+07,,
215.56,2.08E+07,,
215.6,1.84E+07,,
215.64,1.53E+07,,
215.68,1.18E+07,,
215.73,7.75E+06,,
215.77,5.12E+06,,
215.81,3.16E+06,,
215.85,1.82E+06,,
215.9,8.30E+05,,
215.94,4.10E+05,,
215.98,1.89E+05,,
216.02,8.12E+04,,
216.07,2.57E+04,,
216.11,9.44E+03,,
216.15,3.25E+03,,
216.19,1.04E+03,,
216.24,2.28E+02,,
216.28,6.27E+01,,
216.32,1.61E+01,,
216.36,3.85E+00,,
216.41,5.85E-01,,
216.45,1.20E-01,,
216.49,2.29E-02,,
216.53,4.10E-03,,
216.58,4.32E-04,,
216.62,6.61E-05,,
216.66,9.43E-06,,
216.7,1.26E-06,,
216.75,9.19E-08,,
216.79,1.05E-08,,
218.15,5.99E-07,,
218.19,5.10E-06,,
218.23,4.07E-05,,
218.28,4.97E-04,,
218.32,3.41E-03,,
218.36,2.19E-02,,
218.4,1.32E-01,,
218.45,1.13E+00,,
218.49,5.86E+00,,
218.53,2.84E+01,,
218.57,1.29E+02,,
218.62,7.75E+02,,
218.66,3.03E+03,,
218.7,1.11E+04,,
218.74,3.78E+04,,
218.79,1.60E+05,,
218.83,4.71E+05,,
218.87,1.30E+06,,
218.91,3.35E+06,,
218.96,9.95E+06,,
219,2.21E+07,,
219.04,4.59E+07,,
219.08,8.92E+07,,
219.13,1.86E+08,,
219.17,3.12E+08,,
219.21,4.88E+08,,
219.25,7.15E+08,,
219.3,1.05E+09,,
219.34,1.33E+09,,
219.38,1.57E+09,,
219.42,1.73E+09,,
219.47,1.78E+09,,
219.51,1.70E+09,,
219.55,1.51E+09,,
219.59,1.26E+09,,
219.64,9.12E+08,,
219.68,6.54E+08,,
219.72,4.39E+08,,
219.76,2.76E+08,,
219.81,1.41E+08,,
219.85,7.60E+07,,
219.89,3.85E+07,,
219.93,1.82E+07,,
219.98,6.51E+06,,
220.02,2.66E+06,,
220.06,1.01E+06,,
220.1,3.62E+05,,
220.15,9.11E+04,,
220.19,2.85E+04,,
220.23,9.92E+03,,
220.27,8.26E+03,,
220.32,2.47E+04,,
220.36,6.83E+04,,
220.4,1.79E+05,,
220.44,4.41E+05,,
220.49,1.24E+06,,
220.53,2.64E+06,,
220.57,5.25E+06,,
220.61,9.79E+06,,
220.66,1.94E+07,,
220.7,3.13E+07,,
220.74,4.71E+07,,
220.78,6.64E+07,,
220.83,9.31E+07,,
220.87,1.13E+08,,
220.91,1.29E+08,,
220.95,1.38E+08,,
221,1.37E+08,,
221.04,1.26E+08,,
221.08,1.09E+08,,
221.12,8.77E+07,,
221.17,6.13E+07,,
221.21,4.28E+07,,
221.25,2.79E+07,,
221.29,1.71E+07,,
221.34,8.43E+06,,
221.38,4.45E+06,,
221.42,2.20E+06,,
221.46,1.02E+06,,
221.51,3.55E+05,,
221.55,1.42E+05,,
221.59,5.30E+04,,
221.63,1.86E+04,,
221.68,4.57E+03,,
221.72,1.38E+03,,
221.76,3.91E+02,,
221.8,1.04E+02,,
221.85,1.80E+01,,
221.89,4.12E+00,,
221.93,8.83E-01,,
221.97,1.77E-01,,
222.02,2.17E-02,,
222.06,3.76E-03,,
222.1,6.11E-04,,
222.14,9.28E-05,,
222.19,8.03E-06,,
222.23,1.05E-06,,
222.27,1.29E-07,,
223.8,1.77E-08,,
223.85,2.42E-07,,
223.89,1.83E-06,,
223.93,1.29E-05,,
223.97,8.58E-05,,
224.02,8.38E-04,,
224.06,4.83E-03,,
224.1,2.61E-02,,
224.14,1.33E-01,,
224.19,9.27E-01,,
224.23,4.09E+00,,
224.27,1.69E+01,,
224.31,6.57E+01,,
224.36,3.28E+02,,
224.4,1.11E+03,,
224.44,3.50E+03,,
224.48,1.04E+04,,
224.53,3.71E+04,,
224.57,9.56E+04,,
224.61,2.31E+05,,
224.65,5.26E+05,,
224.7,1.34E+06,,
224.74,2.64E+06,,
224.78,4.89E+06,,
224.82,8.50E+06,,
224.87,1.55E+07,,
224.91,2.34E+07,,
224.95,3.31E+07,,
224.99,4.40E+07,,
225.04,5.74E+07,,
225.08,6.61E+07,,
225.12,7.16E+07,,
225.16,7.27E+07,,
225.21,6.78E+07,,
225.25,5.98E+07,,
225.29,4.95E+07,,
225.33,3.84E+07,,
225.38,2.57E+07,,
225.42,1.73E+07,,
225.46,1.09E+07,,
225.5,6.50E+06,,
225.55,3.11E+06,,
225.59,1.61E+06,,
225.63,8.26E+05,,
225.67,5.48E+05,,
225.72,1.06E+06,,
225.76,3.13E+06,,
225.8,9.50E+06,,
225.84,2.74E+07,,
225.89,9.44E+07,,
225.93,2.37E+08,,
225.97,5.59E+08,,
226.01,1.24E+09,,
226.06,3.06E+09,,
226.1,5.90E+09,,
226.14,1.07E+10,,
226.18,1.81E+10,,
226.23,3.22E+10,,
226.27,4.76E+10,,
226.31,6.60E+10,,
226.35,8.60E+10,,
226.4,1.10E+11,,
226.44,1.24E+11,,
226.48,1.32E+11,,
226.52,1.32E+11,,
226.57,1.21E+11,,
226.61,1.05E+11,,
226.65,8.60E+10,,
226.69,6.60E+10,,
226.74,4.34E+10,,
226.78,2.89E+10,,
226.82,1.81E+10,,
226.86,1.07E+10,,
226.91,5.04E+09,,
226.95,2.58E+09,,
226.99,1.24E+09,,
227.03,5.59E+08,,
227.08,1.89E+08,,
227.12,7.43E+07,,
227.16,2.74E+07,,
227.2,9.49E+06,,
227.25,2.31E+06,,
227.29,6.95E+05,,
227.33,1.97E+05,,
227.37,5.22E+04,,
227.42,9.12E+03,,
227.46,2.11E+03,,
227.5,4.57E+02,,
227.54,9.31E+01,,
227.59,1.17E+01,,
227.63,2.27E+00,,
227.67,1.52E+00,,
227.71,6.46E+00,,
227.76,4.90E+01,,
227.8,2.33E+02,,
227.84,1.04E+03,,
227.88,4.38E+03,,
227.93,2.42E+04,,
227.97,8.88E+04,,
228.01,3.06E+05,,
228.05,9.93E+05,,
228.1,3.97E+06,,
228.14,1.12E+07,,
228.18,2.98E+07,,
228.22,7.46E+07,,
228.27,2.15E+08,,
228.31,4.69E+08,,
228.35,9.62E+08,,
228.39,1.86E+09,,
228.44,3.87E+09,,
228.48,6.51E+09,,
228.52,1.03E+10,,
228.56,1.53E+10,,
228.61,2.31E+10,,
228.65,3.00E+10,,
228.69,3.66E+10,,
228.73,4.19E+10,,
228.78,4.57E+10,,
228.82,4.57E+10,,
228.86,4.30E+10,,
228.9,3.80E+10,,
228.95,3.00E+10,,
228.99,2.31E+10,,
229.03,1.68E+10,,
229.08,1.03E+10,,
229.12,6.51E+09,,
229.16,3.87E+09,,
229.2,2.17E+09,,
229.25,9.62E+08,,
229.29,4.69E+08,,
229.33,2.15E+08,,
229.37,9.29E+07,,
229.42,2.98E+07,,
229.46,1.12E+07,,
229.5,3.97E+06,,
229.54,1.32E+06,,
229.59,3.06E+05,,
229.63,8.88E+04,,
229.67,2.42E+04,,
229.71,6.21E+03,,
229.76,1.04E+03,,
229.8,2.33E+02,,
229.84,4.90E+01,,
229.88,9.70E+00,,
229.93,1.18E+00,,
229.97,2.03E-01,,
230.01,3.31E-02,,
230.05,6.29E-03,,
230.1,1.25E-02,,
230.14,6.84E-02,,
230.18,3.65E-01,,
230.22,1.84E+00,,
230.27,1.27E+01,,
230.31,5.58E+01,,
230.35,2.31E+02,,
230.39,9.02E+02,,
230.44,4.54E+03,,
230.48,1.55E+04,,
230.52,4.98E+04,,
230.56,1.51E+05,,
230.61,5.52E+05,,
230.65,1.46E+06,,
230.69,3.63E+06,,
230.73,8.52E+06,,
230.78,2.27E+07,,
230.82,4.66E+07,,
230.86,9.00E+07,,
230.9,1.64E+08,,
230.95,3.18E+08,,
230.99,5.06E+08,,
231.03,7.57E+08,,
231.07,1.07E+09,,
231.12,1.51E+09,,
231.16,1.86E+09,,
231.2,2.16E+09,,
231.24,2.36E+09,,
231.29,2.43E+09,,
231.33,2.32E+09,,
231.37,2.09E+09,,
231.41,1.78E+09,,
231.46,1.33E+09,,
231.5,9.86E+08,,
231.54,6.89E+08,,
231.58,4.54E+08,,
231.63,2.51E+08,,
231.67,1.50E+08,,
231.71,9.20E+07,,
231.75,6.59E+07,,
231.8,6.53E+07,,
231.84,8.35E+07,,
231.88,1.14E+08,,
231.92,1.53E+08,,
231.97,2.06E+08,,
232.01,2.46E+08,,
232.05,2.77E+08,,
232.09,2.94E+08,,
232.14,2.92E+08,,
232.18,2.71E+08,,
232.22,2.37E+08,,
232.26,1.95E+08,,
232.31,1.41E+08,,
232.35,1.02E+08,,
232.39,6.92E+07,,
232.43,4.43E+07,,
232.48,2.34E+07,,
232.52,1.31E+07,,
232.56,6.91E+06,,
232.6,3.44E+06,,
232.65,1.32E+06,,
232.69,5.76E+05,,
232.73,2.36E+05,,
232.77,9.13E+04,,
232.82,2.56E+04,,
232.86,8.66E+03,,
232.9,2.76E+03,,
232.94,8.29E+02,,
232.99,1.70E+02,,
233.03,4.45E+01,,
233.07,1.10E+01,,
233.11,2.57E+00,,
233.16,3.84E-01,,
233.2,7.84E-02,,
233.24,1.51E-02,,
233.28,2.73E-03,,
233.33,2.97E-04,,
233.37,4.72E-05,,
233.41,7.05E-06,,
233.45,9.93E-07,,
233.5,7.88E-08,,
236.26,5.45E-08,,
236.3,3.96E-07,,
236.35,4.36E-06,,
236.39,2.79E-05,,
236.43,1.68E-04,,
236.47,9.60E-04,,
236.52,7.82E-03,,
236.56,3.93E-02,,
236.6,1.87E-01,,
236.64,8.37E-01,,
236.69,5.05E+00,,
236.73,1.99E+01,,
236.77,7.44E+01,,
236.81,2.62E+02,,
236.86,1.17E+03,,
236.9,3.64E+03,,
236.94,1.07E+04,,
236.98,2.96E+04,,
237.03,9.77E+04,,
237.07,2.38E+05,,
237.11,5.50E+05,,
237.15,1.20E+06,,
237.2,2.93E+06,,
237.24,5.62E+06,,
237.28,1.02E+07,,
237.32,1.74E+07,,
237.37,3.16E+07,,
237.41,4.76E+07,,
237.45,6.78E+07,,
237.49,9.13E+07,,
237.54,1.22E+08,,
237.58,1.45E+08,,
237.62,1.62E+08,,
237.66,1.72E+08,,
237.71,1.70E+08,,
237.75,1.59E+08,,
