Wavelength,Spectra,,
340.21,5.12E-08,,
340.25,2.06E-07,,
340.3,1.13E-06,,
340.34,4.29E-06,,
340.38,1.58E-05,,
340.42,5.67E-05,,
340.47,2.69E-04,,
340.51,9.08E-04,,
340.55,2.98E-03,,
340.59,9.51E-03,,
340.64,3.91E-02,,
340.68,1.17E-01,,
340.72,3.43E-01,,
340.76,9.74E-01,,
340.81,3.46E+00,,
340.85,9.25E+00,,
340.89,2.41E+01,,
340.93,6.09E+01,,
340.98,1.87E+02,,
341.02,4.46E+02,,
341.06,1.03E+03,,
341.1,2.33E+03,,
341.15,6.18E+03,,
341.19,1.31E+04,,
341.23,2.70E+04,,
341.27,5.42E+04,,
341.32,1.25E+05,,
341.36,2.35E+05,,
341.4,4.32E+05,,
341.44,7.73E+05,,
341.49,1.54E+06,,
341.53,2.59E+06,,
341.57,4.23E+06,,
341.61,6.74E+06,,
341.66,1.16E+07,,
341.7,1.74E+07,,
341.74,2.54E+07,,
341.78,3.61E+07,,
341.83,5.39E+07,,
341.87,7.22E+07,,
341.91,9.41E+07,,
341.95,1.20E+08,,
342,1.56E+08,,
342.04,1.87E+08,,
342.08,2.20E+08,,
342.12,2.52E+08,,
342.17,2.90E+08,,
342.21,3.17E+08,,
342.25,3.39E+08,,
342.29,3.56E+08,,
342.34,3.69E+08,,
342.38,3.74E+08,,
342.42,3.73E+08,,
342.46,3.67E+08,,
342.51,3.53E+08,,
342.55,3.37E+08,,
342.59,3.17E+08,,
342.63,2.95E+08,,
342.68,2.63E+08,,
342.72,2.36E+08,,
342.76,2.08E+08,,
342.8,1.80E+08,,
342.85,1.45E+08,,
342.89,1.20E+08,,
342.93,9.65E+07,,
342.97,7.59E+07,,
343.02,5.44E+07,,
343.06,4.05E+07,,
343.1,2.94E+07,,
343.14,2.08E+07,,
343.19,1.30E+07,,
343.23,8.66E+06,,
343.27,5.62E+06,,
343.31,3.55E+06,,
343.36,1.93E+06,,
343.4,1.15E+06,,
343.44,6.65E+05,,
343.48,3.75E+05,,
343.53,1.76E+05,,
343.57,9.34E+04,,
343.61,4.82E+04,,
343.66,2.03E+04,,
343.7,9.86E+03,,
343.74,4.66E+03,,
343.78,2.14E+03,,
343.83,7.80E+02,,
343.87,3.37E+02,,
343.91,1.42E+02,,
343.95,5.82E+01,,
344,1.83E+01,,
344.04,7.06E+00,,
344.08,2.65E+00,,
344.12,9.65E-01,,
344.17,2.63E-01,,
344.21,9.03E-02,,
344.25,3.01E-02,,
344.29,9.79E-03,,
344.34,2.31E-03,,
344.38,7.06E-04,,
344.42,2.10E-04,,
344.46,6.07E-05,,
344.51,1.24E-05,,
344.55,3.37E-06,,
344.59,8.93E-07,,
344.63,2.30E-07,,
344.68,4.06E-08,,
346.42,6.85E-08,,
346.46,2.68E-07,,
346.5,1.02E-06,,
346.55,5.22E-06,,
346.59,1.88E-05,,
346.63,6.55E-05,,
346.67,2.23E-04,,
346.72,9.94E-04,,
346.76,3.19E-03,,
346.8,9.97E-03,,
346.84,3.04E-02,,
346.89,1.18E-01,,
346.93,3.37E-01,,
346.97,9.43E-01,,
347.01,2.57E+00,,
347.06,8.64E+00,,
347.1,2.22E+01,,
347.14,5.54E+01,,
347.18,1.35E+02,,
347.23,3.95E+02,,
347.27,9.05E+02,,
347.31,2.02E+03,,
347.35,4.40E+03,,
347.4,1.12E+04,,
347.44,2.30E+04,,
347.48,4.58E+04,,
347.52,8.91E+04,,
347.57,1.97E+05,,
347.61,3.62E+05,,
347.65,6.46E+05,,
347.69,1.12E+06,,
347.74,2.16E+06,,
347.78,3.54E+06,,
347.82,5.65E+06,,
347.86,8.79E+06,,
347.91,1.47E+07,,
347.95,2.15E+07,,
347.99,3.07E+07,,
348.03,4.27E+07,,
348.08,6.22E+07,,
348.12,8.14E+07,,
348.16,1.04E+08,,
348.2,1.29E+08,,
348.25,1.63E+08,,
348.29,1.91E+08,,
348.33,2.18E+08,,
348.37,2.42E+08,,
348.42,2.66E+08,,
348.46,2.79E+08,,
348.5,2.85E+08,,
348.54,2.83E+08,,
348.59,2.70E+08,,
348.63,2.53E+08,,
348.67,2.31E+08,,
348.71,2.05E+08,,
348.76,1.70E+08,,
348.8,1.43E+08,,
348.84,1.16E+08,,
348.88,9.23E+07,,
348.93,6.67E+07,,
348.97,4.99E+07,,
349.01,3.64E+07,,
349.05,2.58E+07,,
349.1,1.62E+07,,
349.14,1.09E+07,,
349.18,7.07E+06,,
349.22,4.49E+06,,
349.27,2.45E+06,,
349.31,1.47E+06,,
349.35,8.54E+05,,
349.39,4.85E+05,,
349.44,2.30E+05,,
349.48,1.23E+05,,
349.52,6.43E+04,,
349.56,3.30E+04,,
349.61,1.46E+04,,
349.65,8.93E+03,,
349.69,8.20E+03,,
349.73,1.19E+04,,
349.78,2.49E+04,,
349.82,4.66E+04,,
349.86,8.61E+04,,
349.9,1.55E+05,,
349.95,3.14E+05,,
349.99,5.35E+05,,
350.03,8.88E+05,,
350.07,1.44E+06,,
350.12,2.53E+06,,
350.16,3.86E+06,,
350.2,5.73E+06,,
350.25,9.07E+06,,
350.29,1.27E+07,,
350.33,1.74E+07,,
350.37,2.31E+07,,
350.42,3.19E+07,,
350.46,4.00E+07,,
350.5,4.90E+07,,
350.54,5.84E+07,,
350.59,7.01E+07,,
350.63,7.88E+07,,
350.67,8.63E+07,,
350.71,9.21E+07,,
350.76,9.63E+07,,
350.8,9.69E+07,,
350.84,9.51E+07,,
350.88,9.08E+07,,
350.93,8.27E+07,,
350.97,7.46E+07,,
351.01,6.55E+07,,
351.05,5.60E+07,,
351.1,4.45E+07,,
351.14,3.60E+07,,
351.18,2.84E+07,,
351.22,2.20E+07,,
351.27,1.57E+07,,
351.31,1.21E+07,,
351.35,9.66E+06,,
351.39,8.42E+06,,
351.44,8.49E+06,,
351.48,9.87E+06,,
351.52,1.25E+07,,
351.56,1.63E+07,,
351.61,2.31E+07,,
351.65,2.99E+07,,
351.69,3.81E+07,,
351.73,4.73E+07,,
351.78,6.00E+07,,
351.82,7.05E+07,,
351.86,8.07E+07,,
351.9,9.00E+07,,
351.95,9.96E+07,,
351.99,1.05E+08,,
352.03,1.08E+08,,
352.07,1.08E+08,,
352.12,1.04E+08,,
352.16,9.79E+07,,
352.2,9.00E+07,,
352.24,8.07E+07,,
352.29,6.79E+07,,
352.33,5.74E+07,,
352.37,4.73E+07,,
352.41,3.81E+07,,
352.46,2.82E+07,,
352.5,2.18E+07,,
352.54,1.68E+07,,
352.58,1.33E+07,,
352.63,1.11E+07,,
352.67,1.12E+07,,
352.71,1.32E+07,,
352.75,1.74E+07,,
352.8,2.64E+07,,
352.84,3.73E+07,,
352.88,5.21E+07,,
352.92,7.15E+07,,
352.97,1.03E+08,,
353.01,1.34E+08,,
353.05,1.70E+08,,
353.09,2.10E+08,,
353.14,2.65E+08,,
353.18,3.11E+08,,
353.22,3.56E+08,,
353.26,3.98E+08,,
353.31,4.44E+08,,
353.35,4.74E+08,,
353.39,4.96E+08,,
353.43,5.11E+08,,
353.48,5.20E+08,,
353.52,5.21E+08,,
353.56,5.19E+08,,
353.6,5.14E+08,,
353.65,5.09E+08,,
353.69,5.04E+08,,
353.73,5.01E+08,,
353.77,4.96E+08,,
353.82,4.89E+08,,
353.86,4.79E+08,,
353.9,4.65E+08,,
353.94,4.45E+08,,
353.99,4.12E+08,,
354.03,3.80E+08,,
354.07,3.42E+08,,
354.11,3.02E+08,,
354.16,2.50E+08,,
354.2,2.10E+08,,
354.24,1.71E+08,,
354.28,1.37E+08,,
354.33,9.96E+07,,
354.37,7.52E+07,,
354.41,5.55E+07,,
354.45,4.02E+07,,
354.5,2.65E+07,,
354.54,1.92E+07,,
354.58,1.47E+07,,
354.62,1.26E+07,,
354.67,1.31E+07,,
354.71,1.57E+07,,
354.75,2.05E+07,,
354.79,2.75E+07,,
354.84,3.98E+07,,
354.88,5.28E+07,,
354.92,6.86E+07,,
354.96,8.75E+07,,
355.01,1.15E+08,,
355.05,1.40E+08,,
355.09,1.67E+08,,
355.13,1.96E+08,,
355.18,2.31E+08,,
355.22,2.59E+08,,
355.26,2.85E+08,,
355.3,3.09E+08,,
355.35,3.34E+08,,
355.39,3.50E+08,,
355.43,3.64E+08,,
355.47,3.76E+08,,
355.52,3.92E+08,,
355.56,4.08E+08,,
355.6,4.30E+08,,
355.64,4.59E+08,,
355.69,5.09E+08,,
355.73,5.61E+08,,
355.77,6.23E+08,,
355.81,6.93E+08,,
355.86,7.87E+08,,
355.9,8.61E+08,,
355.94,9.29E+08,,
355.98,9.84E+08,,
356.03,1.03E+09,,
356.07,1.04E+09,,
356.11,1.03E+09,,
356.15,9.93E+08,,
356.2,9.18E+08,,
356.24,8.39E+08,,
356.28,7.48E+08,,
356.32,6.51E+08,,
356.37,5.28E+08,,
356.41,4.34E+08,,
356.45,3.48E+08,,
356.49,2.72E+08,,
356.54,1.93E+08,,
356.58,1.43E+08,,
356.62,1.03E+08,,
356.66,7.22E+07,,
356.71,4.49E+07,,
356.75,3.00E+07,,
356.79,1.99E+07,,
356.83,1.33E+07,,
356.88,8.99E+06,,
356.92,8.02E+06,,
356.96,9.08E+06,,
357.01,1.35E+07,,
357.05,2.00E+07,,
357.09,3.00E+07,,
357.13,4.44E+07,,
357.18,7.05E+07,,
357.22,9.94E+07,,
357.26,1.37E+08,,
357.3,1.83E+08,,
357.35,2.56E+08,,
357.39,3.24E+08,,
357.43,4.01E+08,,
357.47,4.84E+08,,
357.52,5.90E+08,,
357.56,6.73E+08,,
357.6,7.48E+08,,
357.64,8.12E+08,,
357.69,8.67E+08,,
357.73,8.89E+08,,
357.77,8.89E+08,,
357.81,8.67E+08,,
357.86,8.12E+08,,
357.9,7.48E+08,,
357.94,6.73E+08,,
357.98,5.90E+08,,
358.03,4.84E+08,,
358.07,4.01E+08,,
358.11,3.24E+08,,
358.15,2.56E+08,,
358.2,1.83E+08,,
358.24,1.37E+08,,
358.28,9.94E+07,,
358.32,7.05E+07,,
358.37,4.43E+07,,
358.41,2.97E+07,,
358.45,1.94E+07,,
358.49,1.24E+07,,
358.54,6.80E+06,,
358.58,4.10E+06,,
358.62,2.41E+06,,
358.66,1.38E+06,,
358.71,6.65E+05,,
358.75,3.61E+05,,
358.79,1.91E+05,,
358.83,9.83E+04,,
358.88,4.14E+04,,
358.92,2.02E+04,,
358.96,9.60E+03,,
359,4.45E+03,,
359.05,1.64E+03,,
359.09,7.20E+02,,
359.13,3.08E+02,,
359.17,1.28E+02,,
359.22,4.15E+01,,
359.26,1.63E+01,,
359.3,6.28E+00,,
359.34,2.35E+00,,
359.39,6.66E-01,,
359.43,2.36E-01,,
359.47,8.15E-02,,
359.51,2.75E-02,,
359.56,6.81E-03,,
359.6,2.17E-03,,
359.64,6.74E-04,,
359.68,2.04E-04,,
359.73,4.44E-05,,
359.77,1.27E-05,,
359.81,3.55E-06,,
