Wavelength,Spectra,,,
179.76,5.81E-21,,,
179.8,7.77E-20,,,
179.84,9.42E-19,,,
179.88,1.04E-17,,,
179.93,1.81E-16,,,
179.97,1.59E-15,,,
180.01,1.28E-14,,,
180.05,9.25E-14,,,
180.1,9.59E-13,,,
180.14,5.58E-12,,,
180.18,2.95E-11,,,
180.22,1.41E-10,,,
180.27,8.69E-10,,,
180.31,3.34E-09,,,
180.35,1.16E-08,,,
180.39,3.67E-08,,,
180.44,1.35E-07,,,
180.48,3.41E-07,,,
180.52,7.83E-07,,,
180.56,1.63E-06,,,
180.61,3.56E-06,,,
180.65,5.95E-06,,,
180.69,9.02E-06,,,
180.73,1.24E-05,,,
180.78,1.61E-05,,,
180.82,1.77E-05,,,
180.86,1.77E-05,,,
180.9,1.61E-05,,,
180.95,1.24E-05,,,
180.99,9.02E-06,,,
181.03,5.95E-06,,,
181.07,3.56E-06,,,
181.12,1.63E-06,,,
181.16,7.84E-07,,,
181.2,3.43E-07,,,
181.24,1.41E-07,,,
181.29,6.69E-08,,,
181.33,1.01E-07,,,
181.37,2.45E-07,,,
181.41,5.94E-07,,,
181.46,1.59E-06,,,
181.5,3.12E-06,,,
181.54,5.59E-06,,,
181.58,9.07E-06,,,
181.63,1.45E-05,,,
181.67,1.89E-05,,,
181.71,2.24E-05,,,
181.75,2.42E-05,,,
181.8,2.35E-05,,,
181.84,2.12E-05,,,
181.88,1.88E-05,,,
181.93,1.88E-05,,,
181.97,2.40E-05,,,
182.01,3.58E-05,,,
182.05,5.54E-05,,,
182.1,8.88E-05,,,
182.14,1.18E-04,,,
182.18,1.44E-04,,,
182.22,1.60E-04,,,
182.27,1.61E-04,,,
182.31,1.47E-04,,,
182.35,1.24E-04,,,
182.39,9.81E-05,,,
182.44,6.80E-05,,,
182.48,4.98E-05,,,
182.52,3.81E-05,,,
182.56,3.35E-05,,,
182.61,3.79E-05,,,
182.65,4.94E-05,,,
182.69,6.62E-05,,,
182.73,8.51E-05,,,
182.78,1.05E-04,,,
182.82,1.13E-04,,,
182.86,1.12E-04,,,
182.9,1.02E-04,,,
182.95,8.58E-05,,,
182.99,7.51E-05,,,
183.03,7.10E-05,,,
183.07,7.50E-05,,,
183.12,8.86E-05,,,
183.16,1.02E-04,,,
183.2,1.12E-04,,,
183.24,1.16E-04,,,
183.29,1.09E-04,,,
183.33,9.59E-05,,,
183.37,7.83E-05,,,
183.41,5.92E-05,,,
183.46,3.76E-05,,,
183.5,2.39E-05,,,
183.54,1.40E-05,,,
183.58,7.56E-06,,,
183.63,3.10E-06,,,
183.67,1.38E-06,,,
183.71,5.59E-07,,,
183.75,2.08E-07,,,
183.8,5.28E-08,,,
183.84,1.59E-08,,,
183.88,4.38E-09,,,
183.92,1.10E-09,,,
183.97,1.70E-10,,,
184.01,3.44E-11,,,
184.05,6.33E-12,,,
184.09,1.06E-12,,,
184.14,9.94E-14,,,
184.18,1.35E-14,,,
184.22,1.66E-15,,,
184.26,1.85E-16,,,
184.31,1.05E-17,,,
184.35,9.45E-19,,,
184.39,7.76E-20,,,
184.43,5.79E-21,,,
188.64,5.89E-21,,,
188.69,1.27E-19,,,
188.73,1.33E-18,,,
188.77,1.29E-17,,,
188.81,1.13E-16,,,
188.86,1.52E-15,,,
188.9,1.10E-14,,,
188.94,7.26E-14,,,
188.98,4.39E-13,,,
189.03,3.67E-12,,,
189.07,1.82E-11,,,
189.11,8.23E-11,,,
189.15,3.41E-10,,,
189.2,1.78E-09,,,
189.24,6.04E-09,,,
189.28,1.87E-08,,,
189.32,5.33E-08,,,
189.37,1.73E-07,,,
189.41,4.03E-07,,,
189.45,8.58E-07,,,
189.49,1.67E-06,,,
