Wavelength,Spectra,,,
169,7.10E-18,,,
169.04,1.37E-16,,,
169.08,2.36E-15,,,
169.12,3.65E-14,,,
169.16,5.04E-13,,,
169.2,6.29E-12,,,
169.24,7.01E-11,,,
169.28,7.02E-10,,,
169.32,6.33E-09,,,
169.37,8.59E-08,,,
169.41,6.22E-07,,,
169.45,4.14E-06,,,
169.49,2.56E-05,,,
169.53,1.49E-04,,,
169.57,8.28E-04,,,
169.61,4.39E-03,,,
169.65,2.23E-02,,,
169.69,1.07E-01,,,
169.74,6.82E-01,,,
169.78,2.74E+00,,,
169.82,1.00E+01,,,
169.86,3.34E+01,,,
169.9,1.01E+02,,,
169.94,2.77E+02,,,
169.98,7.12E+02,,,
170.02,1.77E+03,,,
170.06,4.55E+03,,,
170.11,1.67E+04,,,
170.15,5.07E+04,,,
170.19,1.54E+05,,,
170.23,4.44E+05,,,
170.27,1.17E+06,,,
170.31,2.81E+06,,,
170.35,6.05E+06,,,
170.39,1.17E+07,,,
170.44,2.28E+07,,,
170.48,3.45E+07,,,
170.52,4.66E+07,,,
170.56,5.65E+07,,,
170.6,6.14E+07,,,
170.64,5.98E+07,,,
170.68,5.22E+07,,,
170.72,4.09E+07,,,
170.76,2.91E+07,,,
170.81,1.73E+07,,,
170.85,1.22E+07,,,
170.89,1.12E+07,,,
170.93,1.39E+07,,,
170.97,1.94E+07,,,
171.01,2.62E+07,,,
171.05,3.24E+07,,,
171.09,3.61E+07,,,
171.13,3.61E+07,,,
171.18,3.09E+07,,,
171.22,2.42E+07,,,
171.26,1.70E+07,,,
171.3,1.07E+07,,,
171.34,6.00E+06,,,
171.38,3.03E+06,,,
171.42,1.38E+06,,,
171.46,5.62E+05,,,
171.5,2.10E+05,,,
171.55,5.86E+04,,,
171.59,2.49E+04,,,
171.63,1.48E+04,,,
171.67,1.16E+04,,,
171.71,1.11E+04,,,
171.75,1.75E+04,,,
171.79,5.03E+04,,,
171.83,1.75E+05,,,
171.87,5.80E+05,,,
171.92,2.26E+06,,,
171.96,5.97E+06,,,
172,1.41E+07,,,
172.04,3.01E+07,,,
172.08,5.74E+07,,,
172.12,9.84E+07,,,
172.16,1.51E+08,,,
172.2,2.09E+08,,,
172.25,2.69E+08,,,
172.29,2.92E+08,,,
172.33,2.84E+08,,,
172.37,2.49E+08,,,
172.41,1.95E+08,,,
172.45,1.37E+08,,,
172.49,8.69E+07,,,
172.53,4.93E+07,,,
172.57,2.52E+07,,,
172.62,9.32E+06,,,
172.66,3.73E+06,,,
172.7,1.34E+06,,,
172.74,4.33E+05,,,
172.78,1.26E+05,,,
172.82,3.41E+04,,,
172.86,1.26E+04,,,
172.9,2.03E+04,,,
172.94,6.76E+04,,,
172.99,2.93E+05,,,
173.03,8.48E+05,,,
173.07,2.21E+06,,,
173.11,5.17E+06,,,
173.15,1.09E+07,,,
173.19,2.06E+07,,,
173.23,3.51E+07,,,
173.27,5.37E+07,,,
173.31,7.39E+07,,,
173.36,9.49E+07,,,
173.4,1.03E+08,,,
173.44,1.00E+08,,,
173.48,8.76E+07,,,
173.52,6.90E+07,,,
173.56,4.88E+07,,,
173.6,3.11E+07,,,
173.64,1.78E+07,,,
173.69,7.61E+06,,,
173.73,3.43E+06,,,
173.77,1.39E+06,,,
173.81,5.08E+05,,,
173.85,1.68E+05,,,
173.89,5.07E+04,,,
173.93,1.46E+04,,,
173.97,4.63E+03,,,
174.01,2.07E+03,,,
174.06,1.28E+03,,,
174.1,1.05E+03,,,
174.14,1.02E+03,,,
174.18,1.73E+03,,,
174.22,5.50E+03,,,
174.26,2.13E+04,,,
174.3,7.94E+04,,,
174.34,2.71E+05,,,
174.38,8.33E+05,,,
174.43,2.94E+06,,,
174.47,7.15E+06,,,
174.51,1.57E+07,,,
174.55,3.10E+07,,,
174.59,5.51E+07,,,
174.63,8.83E+07,,,
174.67,1.27E+08,,,
174.71,1.66E+08,,,
174.75,1.94E+08,,,
174.8,2.03E+08,,,
174.84,1.88E+08,,,
174.88,1.57E+08,,,
174.92,1.17E+08,,,
174.96,7.94E+07,,,
175,4.85E+07,,,
175.04,2.72E+07,,,
175.08,1.51E+07,,,
175.12,1.06E+07,,,
175.17,1.36E+07,,,
175.21,2.22E+07,,,
175.25,3.55E+07,,,
175.29,5.24E+07,,,
175.33,6.99E+07,,,
175.37,8.42E+07,,,
175.41,9.16E+07,,,
175.45,9.01E+07,,,
175.5,7.69E+07,,,
175.54,6.13E+07,,,
175.58,4.62E+07,,,
175.62,3.54E+07,,,
175.66,3.10E+07,,,
175.7,3.33E+07,,,
175.74,4.10E+07,,,
175.78,5.12E+07,,,
175.82,6.03E+07,,,
175.87,6.60E+07,,,
175.91,6.44E+07,,,
175.95,5.85E+07,,,
175.99,5.09E+07,,,
176.03,4.45E+07,,,
176.07,4.19E+07,,,
176.11,4.49E+07,,,
176.15,5.43E+07,,,
176.19,7.04E+07,,,
176.24,9.76E+07,,,
176.28,1.21E+08,,,
176.32,1.39E+08,,,
176.36,1.46E+08,,,
176.4,1.41E+08,,,
176.44,1.23E+08,,,
176.48,9.73E+07,,,
176.52,6.95E+07,,,
176.56,4.48E+07,,,
176.61,2.24E+07,,,
176.65,1.15E+07,,,
176.69,5.32E+06,,,
176.73,2.22E+06,,,
176.77,8.42E+05,,,
176.81,2.94E+05,,,
176.85,1.03E+05,,,
176.89,4.58E+04,,,
176.93,3.53E+04,,,
176.98,4.67E+04,,,
177.02,7.70E+04,,,
177.06,1.49E+05,,,
177.1,3.03E+05,,,
177.14,6.02E+05,,,
177.18,1.11E+06,,,
177.22,1.87E+06,,,
177.26,2.87E+06,,,
177.31,4.25E+06,,,
177.35,5.21E+06,,,
177.39,5.81E+06,,,
177.43,5.95E+06,,,
177.47,5.76E+06,,,
177.51,5.64E+06,,,
177.55,6.19E+06,,,
177.59,8.07E+06,,,
177.63,1.18E+07,,,
177.68,1.91E+07,,,
177.72,2.64E+07,,,
177.76,3.37E+07,,,
177.8,3.93E+07,,,
177.84,4.20E+07,,,
177.88,4.12E+07,,,
177.92,3.75E+07,,,
177.96,3.16E+07,,,
178,2.49E+07,,,
178.05,1.68E+07,,,
178.09,1.15E+07,,,
178.13,7.36E+06,,,
178.17,4.45E+06,,,
178.21,2.60E+06,,,
178.25,1.58E+06,,,
178.29,1.17E+06,,,
178.33,1.18E+06,,,
178.37,1.45E+06,,,
178.42,1.97E+06,,,
178.46,2.47E+06,,,
178.5,3.06E+06,,,
178.54,3.88E+06,,,
178.58,5.11E+06,,,
178.62,6.91E+06,,,
178.66,9.24E+06,,,
178.7,1.18E+07,,,
178.75,1.45E+07,,,
178.79,1.56E+07,,,
178.83,1.55E+07,,,
178.87,1.46E+07,,,
178.91,1.38E+07,,,
178.95,1.42E+07,,,
178.99,1.70E+07,,,
179.03,2.28E+07,,,
179.07,3.12E+07,,,
179.12,4.33E+07,,,
179.16,5.13E+07,,,
179.2,5.55E+07,,,
179.24,5.46E+07,,,
179.28,4.89E+07,,,
179.32,3.98E+07,,,
179.36,2.96E+07,,,
179.4,2.01E+07,,,
179.44,1.26E+07,,,
179.49,6.21E+06,,,
179.53,3.26E+06,,,
179.57,1.62E+06,,,
179.61,8.41E+05,,,
179.65,5.78E+05,,,
179.69,6.50E+05,,,
179.73,9.59E+05,,,
179.77,1.44E+06,,,
179.81,2.02E+06,,,
179.86,2.70E+06,,,
179.9,3.06E+06,,,
179.94,3.15E+06,,,
179.98,2.98E+06,,,
180.02,2.71E+06,,,
180.06,2.68E+06,,,
180.1,3.57E+06,,,
180.14,6.62E+06,,,
180.18,1.39E+07,,,
180.23,3.33E+07,,,
180.27,6.13E+07,,,
180.31,1.03E+08,,,
180.35,1.56E+08,,,
180.39,2.14E+08,,,
180.43,2.67E+08,,,
180.47,3.02E+08,,,
180.51,3.10E+08,,,
180.56,2.79E+08,,,
180.6,2.30E+08,,,
180.64,1.73E+08,,,
180.68,1.19E+08,,,
180.72,7.76E+07,,,
180.76,4.96E+07,,,
180.8,3.37E+07,,,
180.84,2.63E+07,,,
180.88,2.35E+07,,,
180.93,2.27E+07,,,
180.97,2.29E+07,,,
181.01,2.36E+07,,,
181.05,2.47E+07,,,
181.09,2.62E+07,,,
181.13,2.75E+07,,,
181.17,2.78E+07,,,
181.21,2.68E+07,,,
181.25,2.43E+07,,,
181.3,1.96E+07,,,
181.34,1.53E+07,,,
181.38,1.11E+07,,,
181.42,7.54E+06,,,
181.46,4.85E+06,,,
181.5,3.14E+06,,,
181.54,2.41E+06,,,
181.58,2.67E+06,,,
181.62,3.98E+06,,,
181.67,7.11E+06,,,
181.71,1.06E+07,,,
181.75,1.46E+07,,,
181.79,1.82E+07,,,
181.83,2.09E+07,,,
181.87,2.22E+07,,,
181.91,2.22E+07,,,
181.95,2.16E+07,,,
181.99,2.12E+07,,,
182.04,2.22E+07,,,
182.08,2.40E+07,,,
182.12,2.60E+07,,,
182.16,2.70E+07,,,
182.2,2.63E+07,,,
182.24,2.36E+07,,,
182.28,1.95E+07,,,
182.32,1.48E+07,,,
182.37,9.70E+06,,,
182.41,6.88E+06,,,
182.45,5.37E+06,,,
182.49,4.91E+06,,,
182.53,5.06E+06,,,
182.57,5.36E+06,,,
182.61,5.44E+06,,,
182.65,5.13E+06,,,
182.69,4.42E+06,,,
182.74,3.22E+06,,,
182.78,2.25E+06,,,
182.82,1.43E+06,,,
182.86,8.33E+05,,,
182.9,4.47E+05,,,
182.94,2.28E+05,,,
182.98,1.17E+05,,,
183.02,6.68E+04,,,
183.06,4.78E+04,,,
183.11,4.63E+04,,,
183.15,6.44E+04,,,
183.19,1.20E+05,,,
183.23,2.58E+05,,,
183.27,5.60E+05,,,
183.31,1.15E+06,,,
183.35,2.17E+06,,,
183.39,3.77E+06,,,
183.43,6.04E+06,,,
183.48,9.87E+06,,,
183.52,1.40E+07,,,
183.56,1.99E+07,,,
183.6,2.97E+07,,,
183.64,4.72E+07,,,
183.68,7.79E+07,,,
183.72,1.27E+08,,,
183.76,1.98E+08,,,
183.81,3.10E+08,,,
183.85,4.04E+08,,,
183.89,4.83E+08,,,
183.93,5.28E+08,,,
183.97,5.27E+08,,,
184.01,4.81E+08,,,
184.05,4.01E+08,,,
184.09,3.07E+08,,,
184.13,2.16E+08,,,
184.18,1.26E+08,,,
184.22,8.24E+07,,,
184.26,6.51E+07,,,
184.3,7.55E+07,,,
184.34,1.15E+08,,,
184.38,1.85E+08,,,
184.42,2.82E+08,,,
184.46,3.96E+08,,,
184.5,5.09E+08,,,
184.55,6.11E+08,,,
184.59,6.38E+08,,,
184.63,6.06E+08,,,
184.67,5.24E+08,,,
184.71,4.14E+08,,,
184.75,2.97E+08,,,
184.79,1.94E+08,,,
184.83,1.16E+08,,,
184.87,6.28E+07,,,
184.92,2.57E+07,,,
184.96,1.14E+07,,,
185,4.88E+06,,,
185.04,2.49E+06,,,
185.08,2.29E+06,,,
185.12,3.42E+06,,,
185.16,5.60E+06,,,
185.2,8.66E+06,,,
185.24,1.23E+07,,,
185.29,1.66E+07,,,
185.33,1.91E+07,,,
185.37,2.00E+07,,,
185.41,1.91E+07,,,
185.45,1.66E+07,,,
185.49,1.32E+07,,,
185.53,9.58E+06,,,
185.57,6.46E+06,,,
185.62,3.94E+06,,,
185.66,3.39E+06,,,
185.7,4.51E+06,,,
185.74,7.80E+06,,,
185.78,1.40E+07,,,
185.82,2.37E+07,,,
185.86,3.74E+07,,,
185.9,5.51E+07,,,
185.94,7.62E+07,,,
185.99,1.06E+08,,,
186.03,1.32E+08,,,
186.07,1.60E+08,,,
186.11,1.87E+08,,,
186.15,2.13E+08,,,
186.19,2.32E+08,,,
186.23,2.43E+08,,,
186.27,2.43E+08,,,
186.31,2.32E+08,,,
186.36,2.04E+08,,,
186.4,1.77E+08,,,
186.44,1.49E+08,,,
186.48,1.27E+08,,,
186.52,1.12E+08,,,
186.56,1.05E+08,,,
186.6,1.06E+08,,,
186.64,1.08E+08,,,
186.68,1.10E+08,,,
186.73,1.03E+08,,,
186.77,9.02E+07,,,
186.81,7.28E+07,,,
186.85,5.38E+07,,,
186.89,3.63E+07,,,
186.93,2.24E+07,,,
186.97,1.26E+07,,,
187.01,6.49E+06,,,
187.05,3.05E+06,,,
187.1,1.05E+06,,,
187.14,4.05E+05,,,
187.18,1.49E+05,,,
187.22,5.54E+04,,,
187.26,2.43E+04,,,
187.3,1.43E+04,,,
187.34,1.09E+04,,,
187.38,9.19E+03,,,
187.43,7.83E+03,,,
187.47,6.91E+03,,,
187.51,6.03E+03,,,
187.55,5.16E+03,,,
187.59,4.35E+03,,,
187.63,3.70E+03,,,
187.67,3.32E+03,,,
187.71,3.26E+03,,,
187.75,3.54E+03,,,
187.8,4.32E+03,,,
187.84,5.22E+03,,,
187.88,6.33E+03,,,
187.92,7.67E+03,,,
187.96,9.26E+03,,,
188,1.11E+04,,,
188.04,1.31E+04,,,
188.08,1.50E+04,,,
188.12,1.64E+04,,,
188.17,1.70E+04,,,
188.21,1.62E+04,,,
188.25,1.45E+04,,,
188.29,1.21E+04,,,
188.33,9.49E+03,,,
188.37,7.08E+03,,,
188.41,5.17E+03,,,
188.45,3.87E+03,,,
188.49,3.19E+03,,,
188.54,3.03E+03,,,
188.58,3.23E+03,,,
188.62,3.53E+03,,,
188.66,3.76E+03,,,
188.7,3.84E+03,,,
188.74,3.75E+03,,,
188.78,3.53E+03,,,
188.82,3.27E+03,,,
188.87,3.12E+03,,,
188.91,3.73E+03,,,
188.95,6.98E+03,,,
188.99,1.92E+04,,,
189.03,5.89E+04,,,
189.07,1.76E+05,,,
189.11,4.86E+05,,,
189.15,1.24E+06,,,
189.19,2.88E+06,,,
189.24,7.31E+06,,,
189.28,1.40E+07,,,
189.32,2.43E+07,,,
189.36,3.89E+07,,,
189.4,5.67E+07,,,
189.44,7.58E+07,,,
189.48,9.26E+07,,,
189.52,1.04E+08,,,
189.56,1.06E+08,,,
189.61,9.60E+07,,,
189.65,8.03E+07,,,
189.69,6.15E+07,,,
189.73,4.31E+07,,,
