Wavelength,Spectra,,
170.11,8.35E-04,,
170.15,1.68E-03,,
170.19,3.22E-03,,
170.23,5.89E-03,,
170.28,1.17E-02,,
170.32,1.90E-02,,
170.36,2.88E-02,,
170.4,4.02E-02,,
170.45,5.36E-02,,
170.49,6.05E-02,,
170.53,6.17E-02,,
170.57,5.67E-02,,
170.62,4.41E-02,,
170.66,3.21E-02,,
170.7,2.12E-02,,
170.74,1.26E-02,,
170.79,5.82E-03,,
170.83,2.85E-03,,
170.87,1.31E-03,,
170.91,5.78E-04,,
170.96,2.65E-04,,
171,2.88E-04,,
171.04,5.46E-04,,
171.08,1.18E-03,,
171.13,2.98E-03,,
171.17,5.75E-03,,
171.21,1.02E-02,,
171.25,1.63E-02,,
171.3,2.56E-02,,
171.34,3.25E-02,,
171.38,3.71E-02,,
171.42,3.81E-02,,
171.47,3.38E-02,,
171.51,2.72E-02,,
171.55,1.96E-02,,
171.59,1.27E-02,,
171.64,6.31E-03,,
171.68,3.19E-03,,
171.72,1.45E-03,,
171.76,5.90E-04,,
171.81,1.65E-04,,
171.85,5.32E-05,,
171.89,1.78E-05,,
171.93,1.40E-05,,
171.98,4.49E-05,,
172.02,1.29E-04,,
172.06,3.40E-04,,
172.1,8.09E-04,,
172.15,2.07E-03,,
172.19,3.90E-03,,
172.23,6.62E-03,,
172.27,1.01E-02,,
172.32,1.48E-02,,
172.36,1.78E-02,,
172.4,1.92E-02,,
172.44,1.87E-02,,
172.49,1.56E-02,,
172.53,1.20E-02,,
172.57,8.55E-03,,
172.61,5.91E-03,,
172.66,4.29E-03,,
172.7,4.30E-03,,
172.74,5.10E-03,,
172.78,6.23E-03,,
172.83,7.38E-03,,
172.87,7.71E-03,,
172.91,7.54E-03,,
172.95,7.25E-03,,
173,7.79E-03,,
173.04,9.89E-03,,
173.08,1.42E-02,,
173.12,2.08E-02,,
173.17,3.13E-02,,
173.21,3.99E-02,,
173.25,4.65E-02,,
173.29,4.94E-02,,
173.34,4.64E-02,,
173.38,3.95E-02,,
173.42,3.04E-02,,
173.46,2.12E-02,,
173.51,1.16E-02,,
173.55,6.42E-03,,
173.59,3.22E-03,,
173.63,1.51E-03,,
173.68,6.80E-04,,
173.72,6.47E-04,,
173.76,1.02E-03,,
173.8,1.85E-03,,
173.85,3.73E-03,,
173.89,6.09E-03,,
173.93,9.22E-03,,
173.97,1.28E-02,,
174.02,1.71E-02,,
174.06,1.93E-02,,
174.1,1.98E-02,,
174.14,1.83E-02,,
174.19,1.45E-02,,
174.23,1.07E-02,,
174.27,7.24E-03,,
174.31,4.52E-03,,
174.36,2.35E-03,,
174.4,1.42E-03,,
174.44,9.33E-04,,
174.48,6.76E-04,,
174.53,4.75E-04,,
174.57,3.46E-04,,
174.61,2.34E-04,,
174.65,1.45E-04,,
174.7,6.87E-05,,
174.74,3.38E-05,,
174.78,1.49E-05,,
174.82,5.95E-06,,
174.87,1.63E-06,,
174.91,5.11E-07,,
174.95,1.45E-07,,
174.99,3.69E-08,,
175.04,5.76E-09,,
175.08,1.16E-09,,
175.12,2.10E-10,,
175.17,2.24E-11,,
175.21,9.39E-12,,
175.25,3.71E-11,,
175.29,1.92E-10,,
175.34,1.31E-09,,
175.38,5.45E-09,,
175.42,2.04E-08,,
175.46,6.87E-08,,
175.51,2.71E-07,,
175.55,7.25E-07,,
175.59,1.75E-06,,
175.63,3.81E-06,,
175.68,8.75E-06,,
175.72,1.52E-05,,
175.76,2.41E-05,,
175.8,3.49E-05,,
175.85,5.00E-05,,
175.89,6.26E-05,,
175.93,7.59E-05,,
175.97,9.07E-05,,
176.02,1.12E-04,,
176.06,1.29E-04,,
176.1,1.41E-04,,
176.14,1.46E-04,,
176.19,1.39E-04,,
176.23,1.29E-04,,
176.27,1.31E-04,,
176.31,1.71E-04,,
176.36,3.37E-04,,
176.4,6.25E-04,,
176.44,1.10E-03,,
176.48,1.79E-03,,
176.53,2.84E-03,,
176.57,3.67E-03,,
176.61,4.27E-03,,
176.65,4.50E-03,,
176.7,4.16E-03,,
176.74,3.48E-03,,
176.78,2.66E-03,,
176.82,1.92E-03,,
176.87,1.45E-03,,
176.91,1.76E-03,,
176.95,3.06E-03,,
176.99,5.85E-03,,
177.04,1.22E-02,,
177.08,1.97E-02,,
177.12,2.88E-02,,
177.16,3.81E-02,,
177.21,4.69E-02,,
177.25,4.94E-02,,
177.29,4.69E-02,,
177.33,4.03E-02,,
177.38,2.88E-02,,
177.42,1.97E-02,,
177.46,1.21E-02,,
177.5,6.77E-03,,
177.55,2.87E-03,,
177.59,1.39E-03,,
177.63,8.38E-04,,
177.67,9.20E-04,,
177.72,1.76E-03,,
177.76,3.05E-03,,
177.8,4.88E-03,,
177.84,7.11E-03,,
177.89,9.97E-03,,
177.93,1.18E-02,,
177.97,1.29E-02,,
178.01,1.34E-02,,
178.06,1.36E-02,,
178.1,1.43E-02,,
178.14,1.58E-02,,
178.18,1.81E-02,,
178.23,2.12E-02,,
178.27,2.27E-02,,
178.31,2.29E-02,,
178.35,2.16E-02,,
178.4,1.84E-02,,
178.44,1.54E-02,,
178.48,1.25E-02,,
178.52,9.98E-03,,
178.57,7.34E-03,,
178.61,5.54E-03,,
178.65,3.96E-03,,
178.69,2.65E-03,,
178.74,1.43E-03,,
178.78,7.92E-04,,
178.82,3.98E-04,,
178.86,1.82E-04,,
178.91,5.95E-05,,
178.95,2.18E-05,,
178.99,7.21E-06,,
179.03,2.16E-06,,
179.08,4.16E-07,,
179.12,9.95E-08,,
179.16,2.19E-08,,
179.2,6.66E-09,,
179.25,2.28E-08,,
179.29,1.17E-07,,
179.33,5.54E-07,,
179.37,2.38E-06,,
179.42,1.28E-05,,
179.46,4.40E-05,,
179.5,1.37E-04,,
179.54,3.88E-04,,
179.59,1.23E-03,,
179.63,2.79E-03,,
179.67,5.72E-03,,
179.71,1.06E-02,,
179.76,2.01E-02,,
179.8,3.01E-02,,
179.84,4.10E-02,,
179.88,5.11E-02,,
179.93,6.01E-02,,
179.97,6.34E-02,,
180.01,6.36E-02,,
180.05,6.20E-02,,
180.1,5.86E-02,,
180.14,5.52E-02,,
180.18,5.06E-02,,
180.22,4.43E-02,,
180.27,3.43E-02,,
180.31,2.55E-02,,
180.35,1.74E-02,,
180.39,1.09E-02,,
180.44,5.29E-03,,
180.48,2.67E-03,,
180.52,1.23E-03,,
180.56,5.16E-04,,
180.61,1.54E-04,,
180.65,5.31E-05,,
180.69,1.69E-05,,
180.73,4.99E-06,,
180.78,9.88E-07,,
180.82,2.52E-07,,
180.86,6.04E-08,,
180.9,1.37E-08,,
180.95,1.95E-09,,
180.99,3.80E-10,,
181.03,6.88E-11,,
181.07,1.15E-11,,
181.12,1.09E-12,,
181.16,1.49E-13,,
181.2,1.86E-14,,
181.24,2.12E-15,,
181.29,1.25E-16,,
181.33,5.11E-17,,
181.37,4.92E-16,,
181.41,5.45E-15,,
181.46,9.64E-14,,
181.5,8.62E-13,,
181.54,7.00E-12,,
181.58,5.17E-11,,
181.63,5.50E-10,,
181.67,3.28E-09,,
181.71,1.78E-08,,
181.75,8.75E-08,,
181.8,5.62E-07,,
181.84,2.24E-06,,
181.88,8.12E-06,,
181.93,3.56E-05,,
181.97,1.05E-04,,
182.01,2.80E-04,,
182.05,6.85E-04,,
182.1,1.84E-03,,
182.14,3.67E-03,,
182.18,6.67E-03,,
182.22,1.11E-02,,
182.27,1.86E-02,,
182.31,2.54E-02,,
182.35,3.19E-02,,
182.39,3.66E-02,,
182.44,3.88E-02,,
182.48,3.69E-02,,
182.52,3.24E-02,,
182.56,2.63E-02,,
182.61,1.83E-02,,
182.65,1.27E-02,,
182.69,8.38E-03,,
182.73,5.28E-03,,
182.78,2.83E-03,,
182.82,1.66E-03,,
182.86,9.56E-04,,
182.9,5.41E-04,,
182.95,2.65E-04,,
182.99,1.53E-04,,
183.03,9.24E-05,,
183.07,6.10E-05,,
183.12,4.62E-05,,
183.16,4.86E-05,,
183.2,6.15E-05,,
183.24,8.20E-05,,
183.29,1.11E-04,,
183.33,1.31E-04,,
183.37,1.41E-04,,
183.41,1.42E-04,,
183.46,1.39E-04,,
183.5,1.53E-04,,
183.54,2.19E-04,,
183.58,3.89E-04,,
183.63,8.67E-04,,
183.67,1.58E-03,,
183.71,2.71E-03,,
183.75,4.37E-03,,
183.8,7.44E-03,,
183.84,1.11E-02,,
183.88,1.63E-02,,
183.92,2.41E-02,,
183.97,3.86E-02,,
184.01,5.42E-02,,
184.05,7.22E-02,,
184.09,8.98E-02,,
184.14,1.06E-01,,
184.18,1.09E-01,,
184.22,1.03E-01,,
184.26,8.90E-02,,
184.31,6.50E-02,,
184.35,4.55E-02,,
184.39,2.90E-02,,
184.43,1.69E-02,,
184.48,7.49E-03,,
184.52,3.52E-03,,
184.56,1.51E-03,,
184.6,5.86E-04,,
184.65,1.58E-04,,
184.69,4.97E-05,,
184.73,1.42E-05,,
184.77,3.71E-06,,
184.82,6.06E-07,,
184.86,1.28E-07,,
184.9,2.45E-08,,
184.94,4.28E-09,,
184.99,4.35E-10,,
185.03,1.32E-10,,
185.07,4.07E-10,,
185.11,2.02E-09,,
185.16,1.35E-08,,
185.2,5.55E-08,,
185.24,2.08E-07,,
185.28,7.10E-07,,
185.33,2.89E-06,,
185.37,8.03E-06,,
185.41,2.03E-05,,
185.45,4.67E-05,,
185.5,1.16E-04,,
185.54,2.18E-04,,
185.58,3.71E-04,,
185.62,5.76E-04,,
185.67,8.76E-04,,
185.71,1.11E-03,,
185.75,1.27E-03,,
185.79,1.33E-03,,
185.84,1.24E-03,,
185.88,1.05E-03,,
185.92,8.15E-04,,
185.96,5.76E-04,,
186.01,3.27E-04,,
186.05,1.88E-04,,
186.09,9.81E-05,,
186.13,4.67E-05,,
186.18,1.62E-05,,
186.22,6.27E-06,,
186.26,2.21E-06,,
186.3,7.10E-07,,
186.35,1.53E-07,,
186.39,5.13E-08,,
186.43,6.47E-08,,
186.47,2.36E-07,,
186.52,1.25E-06,,
186.56,4.28E-06,,
186.6,1.35E-05,,
186.64,3.86E-05,,
186.69,1.27E-04,,
186.73,2.96E-04,,
186.77,6.32E-04,,
186.81,1.24E-03,,
186.86,2.51E-03,,
186.9,4.02E-03,,
186.94,5.89E-03,,
186.98,7.91E-03,,
187.03,1.02E-02,,
187.07,1.13E-02,,
187.11,1.16E-02,,
187.15,1.10E-02,,
187.2,9.31E-03,,
187.24,7.49E-03,,
187.28,5.62E-03,,
187.32,3.93E-03,,
187.37,2.28E-03,,
187.41,1.36E-03,,
187.45,7.56E-04,,
187.49,3.90E-04,,
187.54,1.53E-04,,
187.58,6.62E-05,,
187.62,2.64E-05,,
187.66,9.89E-06,,
187.71,3.78E-06,,
187.75,5.62E-06,,
187.79,1.66E-05,,
187.83,5.06E-05,,
187.88,1.83E-04,,
187.92,4.64E-04,,
187.96,1.08E-03,,
188,2.30E-03,,
188.05,5.24E-03,,
188.09,9.14E-03,,
188.13,1.46E-02,,
188.17,2.14E-02,,
188.22,3.03E-02,,
188.26,3.61E-02,,
188.3,3.95E-02,,
188.34,3.94E-02,,
188.39,3.47E-02,,
188.43,2.83E-02,,
188.47,2.11E-02,,
188.51,1.44E-02,,
188.56,7.82E-03,,
188.6,4.35E-03,,
188.64,2.21E-03,,
188.69,8.35E-04,,
188.73,3.46E-04,,
188.77,1.31E-04,,
188.81,4.55E-05,,
188.86,1.06E-05,,
188.9,3.02E-06,,
188.94,8.27E-07,,
188.98,3.77E-07,,
189.03,9.61E-07,,
189.07,2.98E-06,,
189.11,8.66E-06,,
189.15,2.31E-05,,
189.2,6.96E-05,,
189.24,1.53E-04,,
189.28,3.07E-04,,
189.32,5.69E-04,,
189.37,1.10E-03,,
189.41,1.71E-03,,
189.45,2.50E-03,,
189.49,3.43E-03,,
189.54,4.78E-03,,
189.58,5.95E-03,,
189.62,7.17E-03,,
189.66,8.32E-03,,
189.71,9.41E-03,,
189.75,9.77E-03,,
189.79,9.52E-03,,
189.83,8.65E-03,,
189.88,6.95E-03,,
189.92,5.46E-03,,
189.96,4.26E-03,,
190,3.67E-03,,
190.05,4.15E-03,,
190.09,5.68E-03,,
190.13,8.16E-03,,
190.17,1.13E-02,,
190.22,1.53E-02,,
190.26,1.78E-02,,
190.3,1.90E-02,,
190.34,1.86E-02,,
190.39,1.59E-02,,
190.43,1.27E-02,,
190.47,9.35E-03,,
190.51,6.28E-03,,
190.56,3.38E-03,,
190.6,1.89E-03,,
190.64,1.02E-03,,
190.68,6.21E-04,,
190.73,6.08E-04,,
190.77,9.11E-04,,
190.81,1.47E-03,,
190.85,2.25E-03,,
190.9,3.44E-03,,
190.94,4.38E-03,,
190.98,5.11E-03,,
191.02,5.49E-03,,
191.07,5.42E-03,,
191.11,5.12E-03,,
191.15,5.02E-03,,
191.19,5.77E-03,,
191.24,9.27E-03,,
191.28,1.54E-02,,
191.32,2.54E-02,,
191.36,3.95E-02,,
191.41,6.16E-02,,
191.45,7.99E-02,,
191.49,9.52E-02,,
191.53,1.04E-01,,
191.58,1.03E-01,,
191.62,9.22E-02,,
191.66,7.64E-02,,
191.7,5.87E-02,,
191.75,3.91E-02,,
191.79,2.81E-02,,
191.83,2.17E-02,,
191.87,1.92E-02,,
191.92,1.98E-02,,
191.96,2.20E-02,,
192,2.52E-02,,
192.04,3.00E-02,,
192.09,4.01E-02,,
192.13,5.27E-02,,
192.17,6.96E-02,,
192.21,8.88E-02,,
192.26,1.11E-01,,
192.3,1.22E-01,,
192.34,1.24E-01,,
192.38,1.16E-01,,
192.43,9.46E-02,,
192.47,7.29E-02,,
192.51,5.16E-02,,
192.55,3.35E-02,,
192.6,1.73E-02,,
192.64,9.21E-03,,
192.68,4.51E-03,,
192.72,2.03E-03,,
192.77,6.60E-04,,
192.81,2.44E-04,,
192.85,8.28E-05,,
192.89,2.58E-05,,
192.94,5.53E-06,,
192.98,2.28E-06,,
193.02,3.63E-06,,
193.06,1.10E-05,,
193.11,4.33E-05,,
193.15,1.18E-04,,
193.19,2.96E-04,,
193.23,6.81E-04,,
193.28,1.71E-03,,
193.32,3.25E-03,,
193.36,5.67E-03,,
193.4,9.08E-03,,
193.45,1.45E-02,,
193.49,1.92E-02,,
193.53,2.34E-02,,
193.57,2.61E-02,,
193.62,2.67E-02,,
193.66,2.47E-02,,
193.7,2.10E-02,,
193.74,1.64E-02,,
193.79,1.08E-02,,
193.83,7.02E-03,,
193.87,4.21E-03,,
193.91,2.34E-03,,
193.96,1.01E-03,,
194,4.75E-04,,
194.04,2.19E-04,,
194.08,1.16E-04,,
194.13,9.85E-05,,
194.17,1.43E-04,,
194.21,2.37E-04,,
194.25,3.93E-04,,
194.3,6.94E-04,,
194.34,1.02E-03,,
194.38,1.40E-03,,
194.42,1.78E-03,,
194.47,2.15E-03,,
194.51,2.29E-03,,
194.55,2.24E-03,,
194.59,2.01E-03,,
194.64,1.57E-03,,
194.68,1.17E-03,,
194.72,7.99E-04,,
194.76,5.05E-04,,
194.81,2.56E-04,,
194.85,1.43E-04,,
194.89,8.48E-05,,
194.93,6.56E-05,,
194.98,7.56E-05,,
195.02,9.98E-05,,
195.06,1.31E-04,,
195.1,1.64E-04,,
195.15,1.99E-04,,
195.19,2.16E-04,,
195.23,2.21E-04,,
195.27,2.14E-04,,
195.32,1.90E-04,,
195.36,1.62E-04,,
195.4,1.32E-04,,
195.45,9.70E-05,,
195.49,7.46E-05,,
195.53,6.10E-05,,
195.57,6.22E-05,,
195.62,1.11E-04,,
195.66,2.42E-04,,
195.7,5.68E-04,,
195.74,1.29E-03,,
195.79,3.30E-03,,
195.83,6.41E-03,,
195.87,1.15E-02,,
195.91,1.89E-02,,
195.96,3.15E-02,,
196,4.31E-02,,
196.04,5.45E-02,,
196.08,6.37E-02,,
196.13,6.93E-02,,
196.17,6.82E-02,,
196.21,6.28E-02,,
196.25,5.44E-02,,
196.3,4.26E-02,,
196.34,3.39E-02,,
196.38,2.67E-02,,
196.42,2.12E-02,,
196.47,1.63E-02,,
196.51,1.35E-02,,
196.55,1.17E-02,,
196.59,1.07E-02,,
196.64,1.04E-02,,
196.68,1.09E-02,,
196.72,1.15E-02,,
196.76,1.20E-02,,
196.81,1.19E-02,,
196.85,1.09E-02,,
196.89,9.36E-03,,
196.93,7.41E-03,,
196.98,4.95E-03,,
197.02,3.27E-03,,
197.06,1.99E-03,,
197.1,1.12E-03,,
197.15,4.82E-04,,
197.19,2.25E-04,,
197.23,9.62E-05,,
197.27,3.80E-05,,
197.32,1.06E-05,,
197.36,3.47E-06,,
197.4,1.07E-06,,
197.44,3.83E-07,,
197.49,5.81E-07,,
197.53,1.96E-06,,
197.57,6.61E-06,,
197.61,2.07E-05,,
197.66,7.68E-05,,
197.7,2.00E-04,,
197.74,4.81E-04,,
197.78,1.07E-03,,
197.83,2.57E-03,,
197.87,4.75E-03,,
197.91,8.09E-03,,
197.95,1.27E-02,,
198,2.01E-02,,
198.04,2.65E-02,,
198.08,3.25E-02,,
198.12,3.70E-02,,
198.17,3.97E-02,,
198.21,3.92E-02,,
198.25,3.67E-02,,
198.29,3.28E-02,,
198.34,2.69E-02,,
198.38,2.21E-02,,
198.42,1.75E-02,,
198.46,1.33E-02,,
198.51,8.74E-03,,
198.55,5.87E-03,,
198.59,3.69E-03,,
198.63,2.17E-03,,
198.68,1.01E-03,,
198.72,4.99E-04,,
198.76,2.29E-04,,
198.8,9.71E-05,,
198.85,2.97E-05,,
198.89,1.05E-05,,
198.93,3.43E-06,,
198.97,1.03E-06,,
199.02,2.06E-07,,
199.06,5.16E-08,,
199.1,1.19E-08,,
199.14,2.55E-09,,
199.19,3.29E-10,,
199.23,5.85E-11,,
199.27,1.00E-11,,
199.31,4.62E-12,,
199.36,3.44E-11,,
199.4,2.11E-10,,
199.44,1.19E-09,,
199.48,6.24E-09,,
199.53,4.42E-08,,
199.57,1.93E-07,,
199.61,7.80E-07,,
199.65,2.91E-06,,
199.7,1.35E-05,,
199.74,4.20E-05,,
199.78,1.21E-04,,
199.82,3.21E-04,,
199.87,9.74E-04,,
199.91,2.16E-03,,
199.95,4.43E-03,,
199.99,8.39E-03,,
200.04,1.67E-02,,
200.08,2.63E-02,,
200.12,3.85E-02,,
200.16,5.19E-02,,
200.21,6.74E-02,,
200.25,7.60E-02,,
200.29,7.91E-02,,
200.33,7.60E-02,,
200.38,6.46E-02,,
200.42,5.20E-02,,
200.46,3.87E-02,,
200.5,2.69E-02,,
200.55,1.60E-02,,
200.59,1.08E-02,,
200.63,8.69E-03,,
200.67,9.01E-03,,
200.72,1.19E-02,,
200.76,1.53E-02,,
200.8,1.87E-02,,
200.84,2.14E-02,,
200.89,2.28E-02,,
200.93,2.19E-02,,
200.97,1.94E-02,,
201.01,1.59E-02,,
201.06,1.11E-02,,
201.1,7.62E-03,,
201.14,4.83E-03,,
201.18,2.83E-03,,
201.23,1.30E-03,,
201.27,6.35E-04,,
201.31,2.87E-04,,
201.35,1.20E-04,,
201.4,3.74E-05,,
201.44,1.73E-05,,
201.48,2.00E-05,,
201.52,5.18E-05,,
201.57,1.92E-04,,
201.61,5.12E-04,,
201.65,1.26E-03,,
201.69,2.87E-03,,
201.74,7.19E-03,,
201.78,1.37E-02,,
201.82,2.42E-02,,
201.86,3.95E-02,,
201.91,6.53E-02,,
201.95,8.93E-02,,
201.99,1.13E-01,,
202.03,1.32E-01,,
202.08,1.44E-01,,
202.12,1.41E-01,,
202.16,1.28E-01,,
202.21,1.02E-01,,
202.25,7.73E-02,,
202.29,5.45E-02,,
202.33,3.56E-02,,
202.38,1.93E-02,,
202.42,1.21E-02,,
202.46,9.82E-03,,
202.5,1.31E-02,,
202.55,2.78E-02,,
202.59,5.25E-02,,
202.63,9.39E-02,,
202.67,1.57E-01,,
202.72,2.70E-01,,
202.76,3.83E-01,,
202.8,5.08E-01,,
202.84,6.28E-01,,
202.89,7.43E-01,,
202.93,7.88E-01,,
202.97,7.82E-01,,
203.01,7.27E-01,,
203.06,6.13E-01,,
203.1,5.11E-01,,
203.14,4.28E-01,,
203.18,3.91E-01,,
203.23,4.42E-01,,
203.27,5.80E-01,,
203.31,8.04E-01,,
203.35,1.10E+00,,
