Wavelength,Spectra,,
173.38,1.25E-10,,
173.42,1.97E-09,,
173.46,2.81E-08,,
173.51,6.69E-07,,
173.55,7.51E-06,,
173.59,7.59E-05,,
173.63,6.91E-04,,
173.68,9.42E-03,,
173.72,6.76E-02,,
173.76,4.37E-01,,
173.8,2.54E+00,,
173.85,1.98E+01,,
173.89,9.11E+01,,
173.93,3.77E+02,,
173.97,1.40E+03,,
174.02,6.26E+03,,
174.06,1.84E+04,,
174.1,4.86E+04,,
174.14,1.16E+05,,
174.19,2.95E+05,,
174.23,5.55E+05,,
174.27,9.39E+05,,
174.31,1.43E+06,,
174.36,2.09E+06,,
174.4,2.51E+06,,
174.44,2.71E+06,,
174.48,2.64E+06,,
174.53,2.21E+06,,
174.57,1.70E+06,,
174.61,1.17E+06,,
174.65,7.31E+05,,
174.7,3.49E+05,,
174.74,1.72E+05,,
174.78,7.60E+04,,
174.82,3.03E+04,,
174.87,8.27E+03,,
174.91,2.60E+03,,
174.95,7.37E+02,,
174.99,1.88E+02,,
175.04,2.93E+01,,
175.08,5.90E+00,,
175.12,1.07E+00,,
175.17,1.09E-01,,
175.21,1.56E-02,,
175.25,2.00E-03,,
175.29,2.32E-04,,
175.34,1.35E-05,,
175.38,1.24E-06,,
175.42,1.02E-07,,
175.46,7.54E-09,,
175.51,2.52E-10,,
193.28,7.34E-08,,
193.32,8.54E-07,,
193.36,9.13E-06,,
193.4,8.97E-05,,
193.45,1.38E-03,,
193.49,1.12E-02,,
193.53,8.39E-02,,
193.57,5.75E-01,,
193.62,5.67E+00,,
193.66,3.21E+01,,
193.7,1.67E+02,,
193.74,8.00E+02,,
193.79,5.03E+03,,
193.83,1.99E+04,,
193.87,7.23E+04,,
193.91,2.41E+05,,
193.96,9.68E+05,,
194,2.67E+06,,
194.04,6.78E+06,,
194.08,1.58E+07,,
194.13,4.04E+07,,
194.17,7.78E+07,,
194.21,1.38E+08,,
194.25,2.24E+08,,
194.3,3.66E+08,,
194.34,4.92E+08,,
194.38,6.07E+08,,
194.42,6.90E+08,,
194.47,7.18E+08,,
194.51,6.73E+08,,
194.55,5.81E+08,,
194.59,4.60E+08,,
194.64,3.05E+08,,
194.68,2.00E+08,,
194.72,1.20E+08,,
194.76,6.66E+07,,
194.81,2.82E+07,,
194.85,1.29E+07,,
194.89,5.41E+06,,
194.93,2.09E+06,,
194.98,5.64E+05,,
195.02,1.80E+05,,
195.06,5.28E+04,,
195.1,1.42E+04,,
195.15,2.45E+03,,
195.19,5.45E+02,,
195.23,1.12E+02,,
195.27,2.10E+01,,
195.32,2.31E+00,,
195.36,3.58E-01,,
195.4,5.12E-02,,
195.45,3.99E-03,,
195.49,4.71E-04,,
195.53,5.11E-05,,
195.57,5.09E-06,,
195.62,2.53E-07,,
196.81,6.87E-07,,
196.85,7.48E-06,,
196.89,7.50E-05,,
196.93,6.94E-04,,
196.98,9.97E-03,,
197.02,7.68E-02,,
197.06,5.44E-01,,
197.1,3.56E+00,,
197.15,3.32E+01,,
197.19,1.80E+02,,
197.23,9.05E+02,,
197.27,4.18E+03,,
197.32,2.52E+04,,
197.36,9.71E+04,,
197.4,3.44E+05,,
197.44,1.12E+06,,
197.49,4.40E+06,,
197.53,1.20E+07,,
197.57,3.00E+07,,
197.61,6.91E+07,,
197.66,1.75E+08,,
197.7,3.37E+08,,
197.74,5.97E+08,,
197.78,9.74E+08,,
197.83,1.60E+09,,
197.87,2.18E+09,,
197.91,2.72E+09,,
197.95,3.14E+09,,
198,3.35E+09,,
198.04,3.21E+09,,
198.08,2.84E+09,,
198.12,2.32E+09,,
198.17,1.60E+09,,
198.21,1.09E+09,,
198.25,6.80E+08,,
198.29,3.92E+08,,
198.34,1.76E+08,,
198.38,8.43E+07,,
198.42,3.78E+07,,
198.46,1.69E+07,,
198.51,1.06E+07,,
198.55,1.73E+07,,
198.59,3.75E+07,,
198.63,7.99E+07,,
198.68,1.86E+08,,
198.72,3.34E+08,,
198.76,5.54E+08,,
198.8,8.47E+08,,
198.85,1.29E+09,,
198.89,1.64E+09,,
198.93,1.93E+09,,
198.97,2.09E+09,,
199.02,2.07E+09,,
199.06,1.87E+09,,
199.1,1.56E+09,,
199.14,1.20E+09,,
199.19,7.71E+08,,
199.23,4.95E+08,,
199.27,2.93E+08,,
199.31,1.60E+08,,
199.36,6.80E+07,,
199.4,3.41E+07,,
199.44,2.36E+07,,
199.48,3.50E+07,,
199.53,9.75E+07,,
199.57,2.23E+08,,
199.61,4.77E+08,,
199.65,9.41E+08,,
199.7,1.97E+09,,
199.74,3.24E+09,,
199.78,4.94E+09,,
199.82,6.94E+09,,
199.87,9.48E+09,,
199.91,1.11E+10,,
199.95,1.21E+10,,
199.99,1.21E+10,,
200.04,1.08E+10,,
200.08,9.00E+09,,
200.12,6.94E+09,,
200.16,4.94E+09,,
200.21,2.88E+09,,
200.25,1.71E+09,,
200.29,9.41E+08,,
200.33,4.76E+08,,
200.38,1.82E+08,,
200.42,7.70E+07,,
200.46,3.01E+07,,
200.5,1.08E+07,,
200.55,2.70E+06,,
200.59,8.14E+05,,
200.63,2.27E+05,,
200.67,6.13E+04,,
200.72,2.41E+04,,
200.76,4.64E+04,,
200.8,1.24E+05,,
200.84,3.20E+05,,
200.89,9.39E+05,,
200.93,2.04E+06,,
200.97,4.10E+06,,
201.01,7.65E+06,,
201.06,1.51E+07,,
201.1,2.43E+07,,
201.14,3.68E+07,,
201.18,5.32E+07,,
201.23,8.05E+07,,
201.27,1.10E+08,,
201.31,1.47E+08,,
201.35,1.94E+08,,
201.4,2.65E+08,,
201.44,3.25E+08,,
201.48,3.78E+08,,
201.52,4.13E+08,,
201.57,4.20E+08,,
201.61,3.92E+08,,
201.65,3.40E+08,,
201.69,2.73E+08,,
201.74,1.86E+08,,
201.78,1.25E+08,,
201.82,7.80E+07,,
201.86,4.50E+07,,
201.91,2.07E+07,,
201.95,1.11E+07,,
201.99,7.98E+06,,
202.03,1.07E+07,,
202.08,2.54E+07,,
202.12,5.27E+07,,
202.16,1.04E+08,,
202.21,2.24E+08,,
202.25,3.83E+08,,
202.29,6.14E+08,,
202.33,9.22E+08,,
202.38,1.39E+09,,
202.42,1.79E+09,,
202.46,2.14E+09,,
202.5,2.39E+09,,
202.55,2.47E+09,,
202.59,2.34E+09,,
202.63,2.06E+09,,
202.67,1.68E+09,,
202.72,1.17E+09,,
202.76,8.11E+08,,
202.8,5.26E+08,,
202.84,3.24E+08,,
202.89,1.76E+08,,
202.93,1.18E+08,,
202.97,9.45E+07,,
203.01,8.97E+07,,
203.06,9.67E+07,,
203.1,1.11E+08,,
203.14,1.41E+08,,
203.18,2.11E+08,,
203.23,4.15E+08,,
203.27,7.49E+08,,
203.31,1.33E+09,,
203.35,2.23E+09,,
203.4,3.91E+09,,
203.44,5.69E+09,,
203.48,7.74E+09,,
203.52,9.86E+09,,
203.57,1.22E+10,,
203.61,1.34E+10,,
203.65,1.38E+10,,
203.69,1.34E+10,,
203.74,1.17E+10,,
203.78,9.83E+09,,
203.82,7.72E+09,,
203.86,5.68E+09,,
203.91,3.54E+09,,
203.95,2.31E+09,,
203.99,1.53E+09,,
204.03,1.18E+09,,
204.08,1.33E+09,,
204.12,1.90E+09,,
204.16,2.85E+09,,
204.2,4.11E+09,,
204.25,5.93E+09,,
204.29,7.32E+09,,
204.33,8.37E+09,,
204.37,8.86E+09,,
204.42,8.55E+09,,
204.46,7.62E+09,,
204.5,6.29E+09,,
204.54,4.81E+09,,
204.59,3.09E+09,,
204.63,1.99E+09,,
204.67,1.19E+09,,
204.71,6.62E+08,,
204.76,2.88E+08,,
204.8,1.38E+08,,
204.84,6.33E+07,,
204.88,2.91E+07,,
204.93,1.38E+07,,
204.97,1.41E+07,,
205.01,2.60E+07,,
205.05,5.81E+07,,
205.1,1.55E+08,,
205.14,3.18E+08,,
205.18,6.03E+08,,
205.22,1.06E+09,,
205.27,1.94E+09,,
205.31,2.89E+09,,
205.35,3.98E+09,,
205.39,5.08E+09,,
205.44,6.21E+09,,
205.48,6.70E+09,,
205.52,6.69E+09,,
205.56,6.20E+09,,
205.61,5.07E+09,,
205.65,3.96E+09,,
205.69,2.87E+09,,
205.73,1.93E+09,,
205.78,1.05E+09,,
205.82,5.97E+08,,
205.86,3.14E+08,,
205.9,1.54E+08,,
205.95,5.93E+07,,
205.99,2.89E+07,,
206.03,1.80E+07,,
206.07,1.64E+07,,
206.12,1.95E+07,,
206.16,2.30E+07,,
206.2,2.56E+07,,
206.24,2.68E+07,,
206.29,2.59E+07,,
206.33,2.38E+07,,
206.37,2.11E+07,,
206.41,1.87E+07,,
206.46,1.69E+07,,
206.5,1.66E+07,,
206.54,1.70E+07,,
206.58,1.75E+07,,
206.63,1.76E+07,,
206.67,1.68E+07,,
206.71,1.52E+07,,
206.75,1.31E+07,,
206.8,1.05E+07,,
206.84,8.64E+06,,
206.88,7.30E+06,,
206.92,6.39E+06,,
206.97,5.63E+06,,
207.01,5.09E+06,,
207.05,4.46E+06,,
207.09,3.73E+06,,
207.14,2.74E+06,,
207.18,1.98E+06,,
207.22,1.34E+06,,
207.26,8.47E+05,,
207.31,4.70E+05,,
207.35,3.61E+05,,
207.39,4.60E+05,,
207.43,8.73E+05,,
207.48,2.17E+06,,
207.52,4.27E+06,,
207.56,7.86E+06,,
207.6,1.35E+07,,
207.65,2.37E+07,,
207.69,3.43E+07,,
207.73,4.62E+07,,
207.77,5.77E+07,,
207.82,6.86E+07,,
207.86,7.25E+07,,
207.9,7.12E+07,,
207.94,6.49E+07,,
207.99,5.21E+07,,
208.03,4.02E+07,,
208.07,2.89E+07,,
208.11,1.93E+07,,
208.16,1.08E+07,,
208.2,6.71E+06,,
208.24,4.64E+06,,
208.28,4.20E+06,,
208.33,5.52E+06,,
208.37,7.96E+06,,
208.41,1.18E+07,,
208.45,1.74E+07,,
208.5,2.79E+07,,
208.54,3.98E+07,,
208.58,5.51E+07,,
208.62,7.34E+07,,
208.67,9.80E+07,,
208.71,1.16E+08,,
208.75,1.28E+08,,
208.8,1.32E+08,,
208.84,1.25E+08,,
208.88,1.11E+08,,
208.92,9.13E+07,,
208.97,6.50E+07,,
209.01,4.62E+07,,
209.05,3.16E+07,,
209.09,2.17E+07,,
209.14,1.56E+07,,
209.18,1.47E+07,,
209.22,1.59E+07,,
209.26,1.82E+07,,
209.31,2.09E+07,,
209.35,2.21E+07,,
209.39,2.21E+07,,
209.43,2.11E+07,,
209.48,1.96E+07,,
209.52,1.94E+07,,
209.56,2.13E+07,,
209.6,2.60E+07,,
209.65,3.58E+07,,
209.69,4.61E+07,,
209.73,5.68E+07,,
209.77,6.60E+07,,
209.82,7.25E+07,,
209.86,7.24E+07,,
209.9,6.81E+07,,
209.94,6.15E+07,,
209.99,5.62E+07,,
210.03,6.24E+07,,
210.07,8.86E+07,,
210.11,1.50E+08,,
210.16,3.03E+08,,
210.2,5.13E+08,,
210.24,8.17E+08,,
210.28,1.21E+09,,
210.33,1.80E+09,,
210.37,2.28E+09,,
210.41,2.68E+09,,
210.45,2.93E+09,,
210.5,2.96E+09,,
210.54,2.76E+09,,
210.58,2.39E+09,,
210.62,1.92E+09,,
210.67,1.33E+09,,
210.71,9.30E+08,,
210.75,6.32E+08,,
210.79,4.63E+08,,
210.84,4.53E+08,,
210.88,6.28E+08,,
210.92,9.91E+08,,
210.96,1.56E+09,,
211.01,2.56E+09,,
211.05,3.53E+09,,
211.09,4.54E+09,,
211.13,5.42E+09,,
211.18,6.13E+09,,
211.22,6.24E+09,,
211.26,5.91E+09,,
211.3,5.22E+09,,
211.35,4.04E+09,,
211.39,3.04E+09,,
211.43,2.14E+09,,
211.47,1.42E+09,,
211.52,8.02E+08,,
211.56,5.10E+08,,
211.6,3.49E+08,,
211.64,2.73E+08,,
211.69,2.38E+08,,
211.73,2.28E+08,,
211.77,2.20E+08,,
211.81,2.15E+08,,
211.86,2.34E+08,,
211.9,3.01E+08,,
211.94,4.55E+08,,
211.98,7.41E+08,,
212.03,1.36E+09,,
212.07,2.09E+09,,
212.11,3.04E+09,,
212.15,4.13E+09,,
212.2,5.54E+09,,
212.24,6.54E+09,,
212.28,7.31E+09,,
212.32,7.80E+09,,
212.37,8.06E+09,,
212.41,8.10E+09,,
212.45,8.09E+09,,
212.49,8.08E+09,,
212.54,7.98E+09,,
212.58,7.73E+09,,
212.62,7.24E+09,,
212.66,6.48E+09,,
212.71,5.21E+09,,
212.75,4.09E+09,,
212.79,3.00E+09,,
212.83,2.06E+09,,
212.88,1.18E+09,,
212.92,6.98E+08,,
212.96,3.94E+08,,
213,2.25E+08,,
213.05,1.56E+08,,
213.09,2.12E+08,,
213.13,4.06E+08,,
213.17,8.36E+08,,
213.22,1.96E+09,,
213.26,3.63E+09,,
213.3,6.30E+09,,
213.34,1.02E+10,,
213.39,1.70E+10,,
213.43,2.36E+10,,
213.47,3.06E+10,,
213.51,3.70E+10,,
213.56,4.26E+10,,
213.6,4.40E+10,,
213.64,4.25E+10,,
213.68,3.82E+10,,
213.73,3.04E+10,,
213.77,2.33E+10,,
213.81,1.67E+10,,
213.85,1.12E+10,,
213.9,6.11E+09,,
213.94,3.49E+09,,
213.98,1.85E+09,,
214.02,9.19E+08,,
214.07,3.47E+08,,
214.11,1.47E+08,,
214.15,5.84E+07,,
214.19,2.23E+07,,
214.24,7.81E+06,,
214.28,6.32E+06,,
214.32,9.86E+06,,
214.36,1.95E+07,,
214.41,4.81E+07,,
214.45,9.83E+07,,
214.49,1.95E+08,,
214.53,3.68E+08,,
214.58,7.56E+08,,
214.62,1.26E+09,,
214.66,1.96E+09,,
214.7,2.85E+09,,
214.75,4.15E+09,,
214.79,5.19E+09,,
214.83,6.06E+09,,
214.87,6.60E+09,,
214.92,6.67E+09,,
214.96,6.23E+09,,
215,5.43E+09,,
215.04,4.43E+09,,
215.09,3.12E+09,,
215.13,2.18E+09,,
215.17,1.44E+09,,
215.21,8.89E+08,,
215.26,4.51E+08,,
215.3,2.48E+08,,
215.34,1.31E+08,,
215.38,6.76E+07,,
215.43,2.88E+07,,
215.47,1.44E+07,,
215.51,7.08E+06,,
215.56,2.88E+06,,
215.6,1.44E+06,,
215.64,8.89E+05,,
215.68,9.25E+05,,
215.73,1.76E+06,,
215.77,3.26E+06,,
215.81,5.82E+06,,
215.85,9.78E+06,,
215.9,1.72E+07,,
215.94,2.52E+07,,
215.98,3.54E+07,,
216.02,4.82E+07,,
216.07,7.04E+07,,
216.11,9.73E+07,,
216.15,1.39E+08,,
216.19,2.05E+08,,
216.24,3.35E+08,,
216.28,4.85E+08,,
216.32,6.72E+08,,
216.36,8.83E+08,,
216.41,1.14E+09,,
216.45,1.30E+09,,
216.49,1.39E+09,,
216.53,1.39E+09,,
216.58,1.26E+09,,
216.62,1.08E+09,,
216.66,8.66E+08,,
216.7,6.48E+08,,
216.75,4.10E+08,,
216.79,2.63E+08,,
216.83,1.58E+08,,
216.87,8.82E+07,,
216.92,3.89E+07,,
216.96,1.88E+07,,
217,8.86E+06,,
217.04,4.66E+06,,
217.09,3.99E+06,,
217.13,6.05E+06,,
217.17,1.04E+07,,
217.21,1.75E+07,,
217.26,3.13E+07,,
217.3,4.70E+07,,
217.34,6.83E+07,,
217.38,9.80E+07,,
217.43,1.59E+08,,
217.47,2.49E+08,,
217.51,4.09E+08,,
217.55,6.92E+08,,
217.6,1.32E+09,,
217.64,2.14E+09,,
217.68,3.29E+09,,
217.72,4.79E+09,,
217.77,7.00E+09,,
217.81,8.85E+09,,
217.85,1.05E+10,,
217.89,1.17E+10,,
217.94,1.22E+10,,
217.98,1.18E+10,,
218.02,1.08E+10,,
218.06,9.34E+09,,
218.11,7.25E+09,,
218.15,5.63E+09,,
218.19,4.21E+09,,
218.23,3.04E+09,,
218.28,1.95E+09,,
218.32,1.32E+09,,
218.36,8.73E+08,,
218.4,5.61E+08,,
218.45,3.19E+08,,
218.49,2.21E+08,,
218.53,2.00E+08,,
218.57,2.59E+08,,
218.62,4.73E+08,,
218.66,7.91E+08,,
218.7,1.27E+09,,
218.74,1.95E+09,,
218.79,3.08E+09,,
218.83,4.22E+09,,
218.87,5.57E+09,,
218.91,7.14E+09,,
218.96,9.45E+09,,
219,1.16E+10,,
219.04,1.40E+10,,
219.08,1.65E+10,,
219.13,1.94E+10,,
219.17,2.10E+10,,
219.21,2.17E+10,,
219.25,2.12E+10,,
219.3,1.90E+10,,
219.34,1.62E+10,,
219.38,1.30E+10,,
219.42,9.79E+09,,
219.47,6.28E+09,,
219.51,4.11E+09,,
219.55,2.54E+09,,
219.59,1.49E+09,,
219.64,7.14E+08,,
219.68,3.85E+08,,
219.72,2.06E+08,,
219.76,1.12E+08,,
219.81,5.67E+07,,
219.85,3.68E+07,,
219.89,2.76E+07,,
219.93,2.41E+07,,
219.98,2.31E+07,,
220.02,2.31E+07,,
220.06,2.26E+07,,
220.1,2.11E+07,,
220.15,1.79E+07,,
220.19,1.46E+07,,
220.23,1.12E+07,,
220.27,8.10E+06,,
220.32,5.04E+06,,
220.36,3.57E+06,,
220.4,3.38E+06,,
220.44,5.39E+06,,
220.49,1.45E+07,,
220.53,3.31E+07,,
220.57,7.23E+07,,
220.61,1.48E+08,,
220.66,3.32E+08,,
220.7,5.88E+08,,
220.74,9.76E+08,,
220.78,1.52E+09,,
220.83,2.40E+09,,
220.87,3.22E+09,,
220.91,4.05E+09,,
220.95,4.77E+09,,
221,5.34E+09,,
221.04,5.42E+09,,
221.08,5.16E+09,,
221.12,4.61E+09,,
221.17,3.65E+09,,
221.21,2.82E+09,,
221.25,2.06E+09,,
221.29,1.44E+09,,
221.34,9.38E+08,,
221.38,7.70E+08,,
221.42,8.30E+08,,
221.46,1.15E+09,,
221.51,1.96E+09,,
221.55,2.99E+09,,
221.59,4.36E+09,,
221.63,5.99E+09,,
221.68,8.18E+09,,
221.72,9.76E+09,,
221.76,1.09E+10,,
221.8,1.15E+10,,
221.85,1.11E+10,,
221.89,1.01E+10,,
221.93,8.57E+09,,
221.97,6.83E+09,,
222.02,4.69E+09,,
222.06,3.23E+09,,
222.1,2.09E+09,,
222.14,1.27E+09,,
222.19,6.48E+08,,
222.23,3.84E+08,,
222.27,2.65E+08,,
222.32,2.50E+08,,
222.36,3.07E+08,,
222.4,4.05E+08,,
222.44,5.32E+08,,
222.49,7.26E+08,,
222.53,9.12E+08,,
222.57,1.14E+09,,
222.61,1.42E+09,,
222.66,1.86E+09,,
222.7,2.30E+09,,
222.74,2.77E+09,,
222.78,3.24E+09,,
222.83,3.69E+09,,
222.87,3.87E+09,,
222.91,3.84E+09,,
222.95,3.59E+09,,
223,3.03E+09,,
223.04,2.47E+09,,
223.08,1.90E+09,,
223.12,1.37E+09,,
223.17,8.40E+08,,
223.21,5.33E+08,,
223.25,3.20E+08,,
223.29,1.83E+08,,
223.34,8.49E+07,,
223.38,4.40E+07,,
223.42,2.20E+07,,
223.46,1.07E+07,,
223.51,4.33E+06,,
223.55,2.47E+06,,
223.59,2.57E+06,,
223.63,5.22E+06,,
223.68,1.63E+07,,
223.72,3.95E+07,,
223.76,9.01E+07,,
223.8,1.93E+08,,
223.85,4.59E+08,,
223.89,8.54E+08,,
223.93,1.49E+09,,
223.97,2.44E+09,,
224.02,4.14E+09,,
224.06,5.88E+09,,
224.1,7.83E+09,,
224.14,9.81E+09,,
224.19,1.19E+10,,
224.23,1.31E+10,,
224.27,1.35E+10,,
224.31,1.34E+10,,
224.36,1.28E+10,,
224.4,1.24E+10,,
224.44,1.24E+10,,
224.48,1.31E+10,,
224.53,1.50E+10,,
224.57,1.71E+10,,
224.61,1.92E+10,,
224.65,2.07E+10,,
224.7,2.14E+10,,
224.74,2.06E+10,,
224.78,1.87E+10,,
224.82,1.59E+10,,
224.87,1.19E+10,,
224.91,8.84E+09,,
224.95,6.14E+09,,
224.99,4.01E+09,,
225.04,2.15E+09,,
225.08,1.22E+09,,
225.12,6.50E+08,,
225.16,3.26E+08,,
225.21,1.28E+08,,
225.25,5.82E+07,,
225.29,2.76E+07,,
225.33,1.56E+07,,
225.38,1.16E+07,,
225.42,1.16E+07,,
225.46,1.21E+07,,
225.5,1.23E+07,,
225.55,1.16E+07,,
225.59,1.04E+07,,
