Wavelength,Spectra,,
284.56,7.25E-10,,
284.6,3.77E-09,,
284.64,1.89E-08,,
284.69,1.34E-07,,
284.73,6.14E-07,,
284.77,2.71E-06,,
284.81,1.15E-05,,
284.86,6.62E-05,,
284.9,2.57E-04,,
284.94,9.60E-04,,
284.98,3.45E-03,,
285.03,1.61E-02,,
285.07,5.31E-02,,
285.11,1.68E-01,,
285.15,5.12E-01,,
285.2,1.95E+00,,
285.24,5.42E+00,,
285.28,1.45E+01,,
285.32,3.75E+01,,
285.37,1.16E+02,,
285.41,2.74E+02,,
285.45,6.21E+02,,
285.49,1.36E+03,,
285.54,3.41E+03,,
285.58,6.82E+03,,
285.62,1.31E+04,,
285.66,2.42E+04,,
285.71,4.95E+04,,
285.75,8.39E+04,,
285.79,1.37E+05,,
285.83,2.14E+05,,
285.88,3.55E+05,,
285.92,5.10E+05,,
285.96,7.04E+05,,
286,9.34E+05,,
286.05,1.26E+06,,
286.09,1.53E+06,,
286.13,1.79E+06,,
286.17,2.01E+06,,
286.22,2.20E+06,,
286.26,2.27E+06,,
286.3,2.25E+06,,
286.34,2.14E+06,,
286.39,1.91E+06,,
286.43,1.66E+06,,
286.47,1.40E+06,,
286.51,1.13E+06,,
286.56,8.14E+05,,
286.6,6.02E+05,,
286.64,4.28E+05,,
286.68,2.92E+05,,
286.73,1.72E+05,,
286.77,1.08E+05,,
286.81,6.47E+04,,
286.85,3.75E+04,,
286.9,1.79E+04,,
286.94,9.50E+03,,
286.98,4.84E+03,,
287.02,2.37E+03,,
287.07,9.22E+02,,
287.11,4.14E+02,,
287.15,1.79E+02,,
287.19,7.43E+01,,
287.24,2.35E+01,,
287.28,8.92E+00,,
287.32,3.27E+00,,
287.36,1.15E+00,,
287.41,2.95E-01,,
287.45,9.50E-02,,
287.49,2.94E-02,,
287.53,8.77E-03,,
287.58,1.83E-03,,
287.62,4.99E-04,,
287.66,1.31E-04,,
287.7,3.31E-05,,
287.75,5.60E-06,,
287.79,1.30E-06,,
287.83,2.88E-07,,
287.87,6.16E-08,,
287.92,8.49E-09,,
287.96,1.66E-09,,
288,3.13E-10,,
294.68,5.06E-10,,
294.72,2.51E-09,,
294.76,1.20E-08,,
294.8,5.54E-08,,
294.85,3.56E-07,,
294.89,1.52E-06,,
294.93,6.21E-06,,
294.97,2.46E-05,,
295.02,1.30E-04,,
295.06,4.73E-04,,
295.1,1.66E-03,,
295.14,5.63E-03,,
295.19,2.46E-02,,
295.23,7.67E-02,,
295.27,2.31E-01,,
295.31,6.69E-01,,
295.36,2.41E+00,,
295.4,6.43E+00,,
295.44,1.66E+01,,
295.48,4.12E+01,,
295.53,1.22E+02,,
295.57,2.80E+02,,
295.61,6.17E+02,,
295.65,1.31E+03,,
295.7,3.21E+03,,
295.74,6.29E+03,,
295.78,1.19E+04,,
295.82,2.17E+04,,
295.87,4.37E+04,,
295.91,7.34E+04,,
295.95,1.19E+05,,
295.99,1.86E+05,,
296.04,3.08E+05,,
296.08,4.44E+05,,
296.12,6.16E+05,,
296.16,8.24E+05,,
296.21,1.13E+06,,
296.25,1.39E+06,,
296.29,1.65E+06,,
296.33,1.89E+06,,
296.38,2.13E+06,,
296.42,2.25E+06,,
296.46,2.29E+06,,
296.51,2.23E+06,,
296.55,2.09E+06,,
296.59,1.89E+06,,
296.63,1.65E+06,,
296.68,1.32E+06,,
296.72,1.06E+06,,
296.76,8.24E+05,,
296.8,6.16E+05,,
296.85,4.06E+05,,
296.89,2.80E+05,,
296.93,1.86E+05,,
296.97,1.19E+05,,
297.02,6.47E+04,,
297.06,3.82E+04,,
297.1,2.17E+04,,
297.14,1.19E+04,,
297.19,5.34E+03,,
297.23,2.70E+03,,
297.27,1.31E+03,,
297.31,6.17E+02,,
297.36,2.28E+02,,
297.4,9.87E+01,,
297.44,4.12E+01,,
297.48,1.66E+01,,
297.53,5.05E+00,,
297.57,1.87E+00,,
297.61,6.69E-01,,
297.65,2.31E-01,,
297.7,5.79E-02,,
297.74,1.84E-02,,
297.78,5.63E-03,,
297.82,1.66E-03,,
