Wavelength,Spectra,,
321.12,2.06E-06,,
321.16,8.96E-06,,
321.21,5.40E-05,,
321.25,2.20E-04,,
321.29,8.66E-04,,
321.33,3.31E-03,,
321.38,1.70E-02,,
321.42,6.05E-02,,
321.46,2.10E-01,,
321.5,7.04E-01,,
321.55,3.06E+00,,
321.59,9.60E+00,,
321.63,2.92E+01,,
321.67,8.59E+01,,
321.72,3.18E+02,,
321.76,8.74E+02,,
321.8,2.33E+03,,
321.84,6.03E+03,,
321.89,1.90E+04,,
321.93,4.58E+04,,
321.97,1.07E+05,,
322.01,2.43E+05,,
322.06,6.50E+05,,
322.1,1.38E+06,,
322.14,2.83E+06,,
322.18,5.65E+06,,
322.23,1.28E+07,,
322.27,2.38E+07,,
322.31,4.30E+07,,
322.35,7.52E+07,,
322.4,1.45E+08,,
322.44,2.37E+08,,
322.48,3.75E+08,,
322.52,5.76E+08,,
322.57,9.44E+08,,
322.61,1.35E+09,,
322.65,1.88E+09,,
322.69,2.54E+09,,
322.74,3.53E+09,,
322.78,4.45E+09,,
322.82,5.43E+09,,
322.86,6.42E+09,,
322.91,7.60E+09,,
322.95,8.39E+09,,
322.99,8.99E+09,,
323.03,9.34E+09,,
323.08,9.39E+09,,
323.12,9.10E+09,,
323.16,8.56E+09,,
323.2,7.81E+09,,
323.25,6.67E+09,,
323.29,5.68E+09,,
323.33,4.69E+09,,
323.38,3.53E+09,,
323.42,2.72E+09,,
323.46,2.03E+09,,
323.5,1.47E+09,,
323.55,9.44E+08,,
323.59,6.39E+08,,
323.63,4.19E+08,,
323.67,2.67E+08,,
323.72,1.45E+08,,
323.76,8.61E+07,,
323.8,4.96E+07,,
323.84,2.77E+07,,
323.89,1.28E+07,,
323.93,6.68E+06,,
323.97,3.38E+06,,
324.01,1.65E+06,,
324.06,6.50E+05,,
324.1,2.97E+05,,
324.14,1.32E+05,,
324.18,5.68E+04,,
324.23,1.90E+04,,
324.27,7.62E+03,,
324.31,2.97E+03,,
324.35,1.12E+03,,
324.4,3.18E+02,,
324.44,1.12E+02,,
