Wavelength,Spectra,,
235.84,7.00E-10,,
235.88,5.26E-09,,
235.92,3.74E-08,,
235.96,2.51E-07,,
236.01,2.50E-06,,
236.05,1.48E-05,,
236.09,8.25E-05,,
236.13,4.35E-04,,
236.18,3.21E-03,,
236.22,1.49E-02,,
236.26,6.53E-02,,
236.3,2.70E-01,,
236.35,1.47E+00,,
236.39,5.37E+00,,
236.43,1.85E+01,,
236.47,6.01E+01,,
236.52,2.42E+02,,
236.56,6.94E+02,,
236.6,1.88E+03,,
236.64,4.80E+03,,
236.69,1.43E+04,,
236.73,3.22E+04,,
236.77,6.85E+04,,
236.81,1.38E+05,,
236.86,3.05E+05,,
236.9,5.40E+05,,
236.94,9.07E+05,,
236.98,1.44E+06,,
237.03,2.39E+06,,
237.07,3.39E+06,,
237.11,4.56E+06,,
237.15,5.87E+06,,
237.2,7.57E+06,,
237.24,8.90E+06,,
237.28,1.01E+07,,
237.32,1.12E+07,,
237.37,1.22E+07,,
237.41,1.27E+07,,
237.45,1.29E+07,,
237.49,1.28E+07,,
237.54,1.23E+07,,
237.58,1.16E+07,,
237.62,1.08E+07,,
237.66,1.02E+07,,
237.71,9.74E+06,,
237.75,9.82E+06,,
237.79,1.03E+07,,
237.83,1.10E+07,,
237.88,1.20E+07,,
237.92,1.25E+07,,
237.96,1.25E+07,,
238,1.20E+07,,
238.05,1.06E+07,,
238.09,9.06E+06,,
238.13,7.31E+06,,
238.17,5.59E+06,,
238.22,3.69E+06,,
238.26,2.48E+06,,
238.3,1.58E+06,,
238.34,9.49E+05,,
238.39,4.64E+05,,
238.43,2.46E+05,,
238.47,1.23E+05,,
238.51,5.82E+04,,
238.56,2.11E+04,,
238.6,8.78E+03,,
238.64,3.46E+03,,
238.68,1.29E+03,,
238.73,3.45E+02,,
238.77,1.13E+02,,
238.81,3.50E+01,,
238.85,1.02E+01,,
238.9,2.03E+00,,
238.94,5.24E-01,,
238.98,1.28E-01,,
239.02,2.93E-02,,
239.07,4.32E-03,,
239.11,8.75E-04,,
239.15,1.68E-04,,
239.19,3.03E-05,,
239.24,3.31E-06,,
239.28,5.27E-07,,
239.32,7.94E-08,,
239.36,1.13E-08,,
239.41,9.12E-10,,
269.38,3.72E-09,,
269.42,2.13E-08,,
269.47,1.77E-07,,
269.51,9.15E-07,,
269.55,4.54E-06,,
269.59,2.15E-05,,
269.64,1.42E-04,,
269.68,6.11E-04,,
269.72,2.52E-03,,
269.76,9.94E-03,,
269.81,5.20E-02,,
269.85,1.86E-01,,
269.89,6.37E-01,,
269.93,2.09E+00,,
269.98,8.66E+00,,
270.02,2.57E+01,,
270.06,7.32E+01,,
270.1,2.00E+02,,
