Wavelength,Spectra,,,
301.61,4.47E-40,,,
301.65,2.17E-39,,,
301.69,1.02E-38,,,
301.73,4.62E-38,,,
301.78,2.91E-37,,,
301.82,1.22E-36,,,
301.86,4.95E-36,,,
301.9,1.93E-35,,,
301.95,1.01E-34,,,
301.99,3.67E-34,,,
302.03,1.28E-33,,,
302.07,4.32E-33,,,
302.12,1.88E-32,,,
302.16,5.88E-32,,,
302.2,1.77E-31,,,
302.24,5.16E-31,,,
302.29,1.87E-30,,,
302.33,5.03E-30,,,
302.37,1.31E-29,,,
302.41,3.28E-29,,,
302.46,9.89E-29,,,
302.5,2.30E-28,,,
302.54,5.15E-28,,,
302.58,1.12E-27,,,
302.63,2.80E-27,,,
302.67,5.60E-27,,,
302.71,1.09E-26,,,
302.75,2.03E-26,,,
302.8,4.23E-26,,,
302.84,7.32E-26,,,
302.88,1.22E-25,,,
302.92,1.98E-25,,,
302.97,3.45E-25,,,
303.01,5.19E-25,,,
303.05,7.57E-25,,,
303.1,1.17E-24,,,
303.14,1.60E-24,,,
303.18,2.16E-24,,,
303.22,2.86E-24,,,
303.27,4.02E-24,,,
303.31,5.27E-24,,,
303.35,6.96E-24,,,
303.39,9.27E-24,,,
303.44,1.34E-23,,,
303.48,1.81E-23,,,
303.52,2.44E-23,,,
303.56,3.25E-23,,,
303.61,4.55E-23,,,
303.65,5.80E-23,,,
303.69,7.21E-23,,,
303.73,8.70E-23,,,
303.78,1.06E-22,,,
303.82,1.19E-22,,,
303.86,1.30E-22,,,
303.9,1.37E-22,,,
303.95,1.39E-22,,,
303.99,1.36E-22,,,
304.03,1.29E-22,,,
304.07,1.18E-22,,,
304.12,1.00E-22,,,
304.16,8.49E-23,,,
304.2,6.95E-23,,,
304.24,5.50E-23,,,
304.29,3.91E-23,,,
304.33,2.87E-23,,,
304.37,2.03E-23,,,
304.41,1.39E-23,,,
304.46,8.27E-24,,,
304.5,5.25E-24,,,
304.54,3.22E-24,,,
304.58,1.91E-24,,,
304.63,9.47E-25,,,
304.67,5.20E-25,,,
304.71,2.76E-25,,,
304.75,1.42E-25,,,
304.8,5.87E-26,,,
304.84,2.79E-26,,,
304.88,1.28E-26,,,
304.92,5.69E-27,,,
304.97,1.96E-27,,,
305.01,8.08E-28,,,
305.05,3.21E-28,,,
305.09,1.23E-28,,,
305.14,3.55E-29,,,
305.18,1.26E-29,,,
305.22,4.35E-30,,,
305.26,1.44E-30,,,
305.31,3.47E-31,,,
305.35,1.07E-31,,,
305.39,3.17E-32,,,
305.43,9.12E-33,,,
305.48,1.83E-33,,,
305.52,4.86E-34,,,
305.56,1.25E-34,,,
305.6,3.10E-35,,,
305.65,5.18E-36,,,
305.69,1.19E-36,,,
305.73,2.65E-37,,,
305.77,5.68E-38,,,
305.82,7.03E-39,,,
309.47,2.78E-36,,,
309.51,1.30E-35,,,
309.56,8.56E-35,,,
309.6,3.72E-34,,,
309.64,1.56E-33,,,
309.68,6.36E-33,,,
309.73,3.51E-32,,,
309.77,1.33E-31,,,
309.81,4.84E-31,,,
309.86,2.34E-30,,,
309.9,7.92E-30,,,
309.94,2.60E-29,,,
309.98,8.26E-29,,,
310.03,3.35E-28,,,
310.07,9.87E-28,,,
310.11,2.82E-27,,,
310.15,7.79E-27,,,
310.2,2.65E-26,,,
310.24,6.80E-26,,,
310.28,1.69E-25,,,
310.32,4.06E-25,,,
310.37,1.16E-24,,,
310.41,2.60E-24,,,
310.45,5.62E-24,,,
310.49,1.18E-23,,,
310.54,2.84E-23,,,
310.58,5.54E-23,,,
310.62,1.05E-22,,,
310.66,1.92E-22,,,
310.71,3.91E-22,,,
310.75,6.68E-22,,,
310.79,1.11E-21,,,
310.83,1.78E-21,,,
310.88,3.10E-21,,,
310.92,4.66E-21,,,
310.96,6.82E-21,,,
311,9.71E-21,,,
311.05,1.45E-20,,,
311.09,1.95E-20,,,
311.13,2.54E-20,,,
311.17,3.22E-20,,,
311.22,4.19E-20,,,
311.26,5.02E-20,,,
311.3,5.87E-20,,,
311.34,6.70E-20,,,
311.39,7.62E-20,,,
311.43,8.21E-20,,,
311.47,8.64E-20,,,
311.51,8.88E-20,,,
311.56,8.92E-20,,,
311.6,8.77E-20,,,
311.64,8.51E-20,,,
311.68,8.21E-20,,,
311.73,7.91E-20,,,
311.77,7.82E-20,,,
311.81,7.93E-20,,,
311.85,8.27E-20,,,
311.9,9.03E-20,,,
311.94,9.86E-20,,,
311.98,1.08E-19,,,
312.02,1.18E-19,,,
312.07,1.28E-19,,,
312.11,1.34E-19,,,
312.15,1.37E-19,,,
312.19,1.37E-19,,,
312.24,1.32E-19,,,
312.28,1.24E-19,,,
312.32,1.15E-19,,,
312.36,1.04E-19,,,
312.41,8.89E-20,,,
312.45,7.70E-20,,,
312.49,6.57E-20,,,
312.53,5.52E-20,,,
312.58,4.36E-20,,,
312.62,3.54E-20,,,
312.66,2.84E-20,,,
312.7,2.25E-20,,,
312.75,1.64E-20,,,
312.79,1.27E-20,,,
312.83,9.89E-21,,,
312.87,7.96E-21,,,
312.92,6.77E-21,,,
312.96,6.75E-21,,,
313,7.54E-21,,,
313.04,9.10E-21,,,
313.09,1.20E-20,,,
313.13,1.51E-20,,,
313.17,1.85E-20,,,
313.21,2.22E-20,,,
313.26,2.67E-20,,,
313.3,2.99E-20,,,
313.34,3.24E-20,,,
313.38,3.41E-20,,,
313.43,3.46E-20,,,
313.47,3.37E-20,,,
313.51,3.19E-20,,,
313.55,2.91E-20,,,
313.6,2.49E-20,,,
313.64,2.12E-20,,,
313.68,1.74E-20,,,
313.72,1.39E-20,,,
313.77,9.96E-21,,,
313.81,7.39E-21,,,
313.85,5.33E-21,,,
313.89,3.76E-21,,,
313.94,2.42E-21,,,
313.98,1.78E-21,,,
314.02,1.47E-21,,,
314.06,1.47E-21,,,
314.11,1.88E-21,,,
314.15,2.56E-21,,,
314.19,3.59E-21,,,
314.23,5.00E-21,,,
314.28,7.35E-21,,,
314.32,9.73E-21,,,
314.36,1.25E-20,,,
314.4,1.57E-20,,,
314.45,1.99E-20,,,
314.49,2.32E-20,,,
314.53,2.64E-20,,,
314.57,2.91E-20,,,
314.62,3.15E-20,,,
314.66,3.25E-20,,,
314.7,3.24E-20,,,
314.74,3.14E-20,,,
314.79,2.90E-20,,,
314.83,2.62E-20,,,
314.87,2.29E-20,,,
314.91,1.95E-20,,,
314.96,1.52E-20,,,
315,1.20E-20,,,
315.04,9.24E-21,,,
315.08,6.87E-21,,,
315.13,4.54E-21,,,
315.17,3.15E-21,,,
315.21,2.11E-21,,,
315.25,1.38E-21,,,
315.3,7.78E-22,,,
315.34,4.79E-22,,,
315.38,2.90E-22,,,
315.42,1.74E-22,,,
315.47,9.32E-23,,,
315.51,5.88E-23,,,
315.55,3.91E-23,,,
315.59,2.77E-23,,,
315.64,1.96E-23,,,
315.68,1.58E-23,,,
315.72,1.34E-23,,,
315.76,1.24E-23,,,
315.81,1.38E-23,,,
315.85,1.81E-23,,,
315.89,2.70E-23,,,
315.93,4.29E-23,,,
315.98,7.75E-23,,,
316.02,1.23E-22,,,
316.06,1.89E-22,,,
316.1,2.84E-22,,,
316.15,4.51E-22,,,
316.19,6.30E-22,,,
316.23,8.53E-22,,,
316.27,1.12E-21,,,
316.32,1.50E-21,,,
316.36,1.84E-21,,,
316.4,2.17E-21,,,
316.44,2.49E-21,,,
316.49,2.82E-21,,,
316.53,3.02E-21,,,
316.57,3.13E-21,,,
316.62,3.17E-21,,,
316.66,3.12E-21,,,
316.7,3.05E-21,,,
316.74,2.99E-21,,,
316.79,3.07E-21,,,
316.83,3.37E-21,,,
316.87,3.99E-21,,,
316.91,5.08E-21,,,
316.96,7.29E-21,,,
317,9.90E-21,,,
317.04,1.34E-20,,,
317.08,1.78E-20,,,
317.13,2.45E-20,,,
317.17,3.06E-20,,,
317.21,3.72E-20,,,
317.25,4.39E-20,,,
317.3,5.16E-20,,,
317.34,5.67E-20,,,
317.38,6.05E-20,,,
317.42,6.25E-20,,,
317.47,6.23E-20,,,
317.51,6.00E-20,,,
317.55,5.60E-20,,,
317.59,5.07E-20,,,
317.64,4.28E-20,,,
317.68,3.61E-20,,,
317.72,2.95E-20,,,
317.76,2.34E-20,,,
317.81,1.67E-20,,,
317.85,1.24E-20,,,
317.89,8.85E-21,,,
317.93,6.14E-21,,,
317.98,3.72E-21,,,
318.02,2.41E-21,,,
318.06,1.51E-21,,,
318.1,9.18E-22,,,
318.15,4.72E-22,,,
318.19,2.67E-22,,,
318.23,1.47E-22,,,
318.27,7.82E-23,,,
318.32,3.40E-23,,,
318.36,1.44E-19,,,
318.4,6.35E-19,,,
318.44,2.71E-18,,,
318.49,1.59E-17,,,
318.53,6.32E-17,,,
318.57,2.43E-16,,,
318.61,9.09E-16,,,
318.66,4.52E-15,,,
318.7,1.58E-14,,,
318.74,5.32E-14,,,
318.78,1.74E-13,,,
318.83,7.33E-13,,,
318.87,2.24E-12,,,
318.91,6.61E-12,,,
318.95,1.89E-11,,,
319,6.76E-11,,,
319.04,1.81E-10,,,
319.08,4.68E-10,,,
319.12,1.17E-09,,,
319.17,3.55E-09,,,
319.21,8.30E-09,,,
319.25,1.88E-08,,,
319.29,4.14E-08,,,
319.34,1.06E-07,,,
319.38,2.17E-07,,,
319.42,4.32E-07,,,
319.46,8.31E-07,,,
319.51,1.80E-06,,,
319.55,3.24E-06,,,
319.59,5.63E-06,,,
319.63,9.50E-06,,,
319.68,1.75E-05,,,
319.72,2.75E-05,,,
319.76,4.19E-05,,,
319.8,6.18E-05,,,
319.85,9.63E-05,,,
319.89,1.33E-04,,,
