Wavelength,Spectra
363.13,1.40E-09
363.17,5.12E-09
363.21,1.82E-08
363.25,6.35E-08
363.3,2.92E-07
363.34,9.61E-07
363.38,3.09E-06
363.42,9.72E-06
363.47,3.93E-05
363.51,1.17E-04
363.55,3.40E-04
363.59,9.66E-04
363.64,3.44E-03
363.68,9.25E-03
363.72,2.43E-02
363.77,7.85E-02
363.81,1.95E-01
363.85,4.74E-01
363.89,1.12E+00
363.94,3.20E+00
363.98,7.18E+00
364.02,1.57E+01
364.06,3.37E+01
364.11,8.44E+01
364.15,1.71E+02
364.19,3.39E+02
364.23,6.56E+02
364.28,1.45E+03
364.32,2.65E+03
364.36,4.74E+03
364.4,8.27E+03
364.45,1.61E+04
364.49,2.66E+04
364.53,4.29E+04
364.57,6.77E+04
364.62,1.16E+05
364.66,1.73E+05
364.7,2.52E+05
364.74,3.59E+05
364.79,5.40E+05
364.83,7.29E+05
364.87,9.61E+05
364.91,1.24E+06
364.96,1.64E+06
365,1.99E+06
365.04,2.37E+06
365.08,2.76E+06
365.13,3.22E+06
365.17,3.54E+06
365.21,3.80E+06
365.25,3.99E+06
365.3,4.10E+06
365.34,4.07E+06
365.38,3.95E+06
365.42,3.74E+06
365.47,3.38E+06
365.51,3.04E+06
365.55,2.66E+06
365.59,2.28E+06
365.64,1.81E+06
365.68,1.47E+06
365.72,1.16E+06
365.76,8.99E+05
365.81,6.30E+05
365.85,4.61E+05
365.89,3.30E+05
365.93,2.30E+05
365.98,1.42E+05
366.02,9.38E+04
366.06,6.05E+04
366.1,3.82E+04
366.15,2.07E+04
366.19,1.24E+04
366.23,7.21E+03
366.27,4.11E+03
366.32,1.96E+03
366.36,1.06E+03
366.4,5.57E+02
366.44,2.87E+02
366.49,1.21E+02
366.53,5.87E+01
366.57,2.79E+01
366.61,1.30E+01
366.66,4.80E+00
366.7,2.11E+00
366.74,9.07E-01
366.78,3.80E-01
366.83,1.24E-01
366.87,4.93E-02
366.91,1.91E-02
366.95,7.24E-03
367,2.08E-03
367.04,7.46E-04
367.08,2.61E-04
367.12,8.94E-05
367.17,2.26E-05
367.21,7.32E-06
367.25,2.32E-06
367.29,7.15E-07
367.34,1.59E-07
367.38,4.66E-08
367.42,1.33E-08
367.46,3.71E-09
367.51,7.27E-10
420.01,2.09E-09
420.06,8.65E-09
420.1,2.64E-08
420.14,7.91E-08
420.18,2.33E-07
420.23,8.75E-07
420.27,2.48E-06
420.31,6.87E-06
420.35,1.88E-05
420.4,6.41E-05
420.44,1.68E-04
420.48,4.32E-04
420.52,1.09E-03
420.57,3.40E-03
420.61,8.25E-03
420.65,1.97E-02
420.69,4.61E-02
420.74,1.30E-01
420.78,2.93E-01
420.82,6.48E-01
420.86,1.41E+00
420.91,3.61E+00
420.95,7.53E+00
420.99,1.54E+01
421.03,3.10E+01
421.08,7.25E+01
421.12,1.40E+02
421.16,2.66E+02
421.2,4.95E+02
421.25,1.05E+03
421.29,1.88E+03
421.33,3.31E+03
421.37,5.72E+03
421.42,1.11E+04
421.46,1.83E+04
421.5,2.99E+04
421.54,4.78E+04
421.59,8.39E+04
421.63,1.29E+05
421.67,1.95E+05
421.71,2.89E+05
421.76,4.61E+05
421.8,6.57E+05
421.84,9.20E+05
421.88,1.26E+06
421.93,1.84E+06
421.97,2.42E+06
422.01,3.14E+06
422.05,4.00E+06
422.1,5.28E+06
422.14,6.46E+06
422.18,7.76E+06
422.22,9.16E+06
422.27,1.10E+07
422.31,1.25E+07
422.35,1.39E+07
422.39,1.52E+07
422.44,1.66E+07
422.48,1.74E+07
422.52,1.79E+07
422.56,1.82E+07
422.61,1.80E+07
422.65,1.76E+07
422.69,1.68E+07
422.73,1.58E+07
422.78,1.42E+07
422.82,1.28E+07
422.86,1.14E+07
422.9,9.88E+06
422.95,8.10E+06
422.99,6.77E+06
423.03,5.56E+06
423.07,4.49E+06
423.12,3.34E+06
423.16,2.59E+06
423.2,1.97E+06
423.24,1.47E+06
423.29,9.98E+05
423.33,7.16E+05
423.37,5.05E+05
423.41,3.50E+05
423.46,2.15E+05
423.5,1.43E+05
423.54,9.36E+04
423.58,6.01E+04
423.63,3.37E+04
423.67,2.07E+04
423.71,1.26E+04
423.75,7.47E+03
423.8,3.80E+03
423.84,2.17E+03
423.88,1.22E+03
423.92,6.72E+02
423.97,3.11E+02
424.01,1.65E+02
424.05,8.56E+01
424.09,4.37E+01
424.14,1.84E+01
424.18,9.02E+00
424.22,4.35E+00
424.26,2.06E+00
424.31,7.87E-01
424.35,3.58E-01
424.39,1.60E-01
424.44,5.68E-02
424.48,2.44E-02
424.52,1.03E-02
424.56,4.25E-03
424.61,1.37E-03
424.65,5.46E-04
424.69,2.13E-04
424.73,8.17E-05
424.78,2.40E-05
424.82,8.85E-06
424.86,3.20E-06
424.9,1.14E-06
424.95,3.04E-07
424.99,1.04E-07
425.03,3.48E-08
425.07,1.15E-08
425.12,2.78E-09
429.92,1.01E-09
429.96,3.07E-09
430,9.18E-09
430.05,3.52E-08
430.09,1.01E-07
430.13,2.86E-07
430.17,7.95E-07
430.22,2.79E-06
430.26,7.45E-06
430.3,1.96E-05
430.34,5.06E-05
430.39,1.62E-04
430.43,4.02E-04
430.47,9.83E-04
430.51,2.36E-03
430.56,6.90E-03
430.6,1.59E-02
430.64,3.62E-02
430.68,8.10E-02
430.73,2.16E-01
430.77,4.64E-01
430.81,9.81E-01
430.85,2.04E+00
430.9,4.96E+00
430.94,9.92E+00
430.98,1.95E+01
431.02,3.77E+01
431.07,8.38E+01
431.11,1.56E+02
431.15,2.85E+02
431.2,5.90E+02
431.24,1.04E+03
431.28,1.79E+03
431.32,3.05E+03
431.37,5.78E+03
431.41,9.44E+03
431.45,1.52E+04
431.49,2.40E+04
431.54,4.15E+04
431.58,6.31E+04
431.62,9.43E+04
431.66,1.39E+05
431.71,2.19E+05
431.75,3.09E+05
431.79,4.30E+05
431.83,5.88E+05
431.88,8.47E+05
431.92,1.11E+06
431.96,1.44E+06
432,1.83E+06
432.05,2.41E+06
432.09,2.95E+06
432.13,3.54E+06
432.17,4.18E+06
432.22,5.03E+06
432.26,5.72E+06
432.3,6.39E+06
432.34,7.02E+06
432.39,7.71E+06
432.43,8.15E+06
432.47,8.47E+06
432.51,8.65E+06
432.56,8.68E+06
432.6,8.53E+06
432.64,8.24E+06
432.68,7.83E+06
432.73,7.17E+06
432.77,6.55E+06
432.81,5.89E+06
432.85,5.20E+06
432.9,4.35E+06
432.94,3.70E+06
432.98,3.09E+06
433.02,2.54E+06
433.07,1.94E+06
433.11,1.53E+06
433.15,1.19E+06
433.19,9.09E+05
433.24,6.34E+05
433.28,4.66E+05
433.32,3.36E+05
433.36,2.39E+05
433.41,1.52E+05
433.45,1.04E+05
433.49,6.99E+04
433.53,4.61E+04
433.58,2.68E+04
433.62,1.71E+04
433.66,1.07E+04
433.7,6.54E+03
