Wavelength,Spectra,,
179.12,1.25E-08,,
179.16,1.79E-07,,
179.2,2.32E-06,,
179.25,4.97E-05,,
179.29,5.16E-04,,
179.33,4.85E-03,,
179.37,4.14E-02,,
179.42,5.24E-01,,
179.46,3.58E+00,,
179.5,2.22E+01,,
179.54,1.24E+02,,
179.59,9.33E+02,,
179.63,4.19E+03,,
179.67,1.71E+04,,
179.71,6.30E+04,,
179.76,2.80E+05,,
179.8,8.29E+05,,
179.84,2.22E+06,,
179.88,5.39E+06,,
179.93,1.42E+07,,
179.97,2.76E+07,,
180.01,4.87E+07,,
180.05,7.77E+07,,
180.1,1.21E+08,,
180.14,1.55E+08,,
180.18,1.80E+08,,
180.22,1.89E+08,,
180.27,1.75E+08,,
180.31,1.47E+08,,
180.35,1.12E+08,,
180.39,7.77E+07,,
180.44,4.26E+07,,
180.48,2.36E+07,,
180.52,1.19E+07,,
180.56,5.39E+06,,
180.61,1.75E+06,,
180.65,6.38E+05,,
180.69,2.11E+05,,
180.73,6.30E+04,,
180.78,1.21E+04,,
180.82,2.91E+03,,
180.86,6.31E+02,,
180.9,1.24E+02,,
180.95,1.42E+01,,
180.99,2.24E+00,,
181.03,3.19E-01,,
181.07,4.14E-02,,
181.12,2.80E-03,,
181.16,2.90E-04,,
181.2,2.73E-05,,
181.24,2.32E-06,,
181.29,9.31E-08,,
181.33,6.35E-09,,
220.1,5.67E-09,,
220.15,8.29E-08,,
220.19,6.58E-07,,
220.23,4.89E-06,,
220.27,3.41E-05,,
220.32,3.52E-04,,
220.36,2.12E-03,,
220.4,1.20E-02,,
220.44,6.31E-02,,
220.49,4.61E-01,,
220.53,2.10E+00,,
220.57,8.98E+00,,
220.61,3.60E+01,,
220.66,1.86E+02,,
220.7,6.41E+02,,
220.74,2.08E+03,,
220.78,6.30E+03,,
220.83,2.30E+04,,
220.87,6.02E+04,,
220.91,1.48E+05,,
220.95,3.39E+05,,
221,8.76E+05,,
221.04,1.74E+06,,
221.08,3.23E+06,,
221.12,5.63E+06,,
221.17,1.03E+07,,
221.21,1.54E+07,,
221.25,2.18E+07,,
221.29,2.87E+07,,
221.34,3.70E+07,,
221.38,4.22E+07,,
221.42,4.51E+07,,
221.46,4.51E+07,,
221.51,4.11E+07,,
