Wavelength,Spectra
366.19,4.48E-09
366.23,1.64E-08
366.27,5.86E-08
366.32,2.78E-07
366.36,9.42E-07
366.4,3.12E-06
366.44,1.01E-05
366.49,4.22E-05
366.53,1.29E-04
366.57,3.87E-04
366.61,1.13E-03
366.66,4.19E-03
366.7,1.16E-02
366.74,3.14E-02
366.78,8.31E-02
366.83,2.71E-01
366.87,6.80E-01
366.91,1.67E+00
366.95,3.99E+00
367,1.15E+01
367.04,2.60E+01
367.08,5.77E+01
367.12,1.25E+02
367.17,3.17E+02
367.21,6.51E+02
367.25,1.31E+03
367.29,2.56E+03
367.34,5.72E+03
367.38,1.06E+04
367.42,1.93E+04
367.46,3.42E+04
367.51,6.75E+04
367.55,1.13E+05
367.59,1.86E+05
367.63,2.98E+05
367.68,5.20E+05
367.72,7.90E+05
367.76,1.17E+06
367.8,1.70E+06
367.85,2.62E+06
367.89,3.60E+06
367.93,4.83E+06
367.97,6.33E+06
368.02,8.60E+06
368.06,1.07E+07
368.1,1.30E+07
368.14,1.54E+07
368.19,1.85E+07
368.23,2.08E+07
368.27,2.28E+07
368.31,2.45E+07
368.36,2.59E+07
368.4,2.64E+07
368.44,2.62E+07
368.48,2.54E+07
368.53,2.37E+07
368.57,2.18E+07
368.61,1.96E+07
368.65,1.73E+07
368.7,1.42E+07
368.74,1.18E+07
368.78,9.62E+06
368.82,7.64E+06
368.87,5.55E+06
368.91,4.18E+06
368.95,3.08E+06
368.99,2.21E+06
369.04,1.42E+06
369.08,9.66E+05
369.12,6.43E+05
369.16,4.18E+05
369.21,2.36E+05
369.25,1.46E+05
369.29,8.78E+04
369.33,5.16E+04
369.38,2.57E+04
369.42,1.44E+04
369.46,7.82E+03
369.5,4.16E+03
369.55,1.83E+03
369.59,9.24E+02
369.63,4.56E+02
369.67,2.19E+02
369.72,8.52E+01
369.76,3.91E+01
369.8,1.79E+01
369.84,8.94E+00
369.89,6.70E+00
369.93,1.06E+01
369.97,2.20E+01
370.01,4.80E+01
370.06,1.25E+02
370.1,2.63E+02
370.14,5.39E+02
370.18,1.08E+03
370.23,2.50E+03
370.27,4.76E+03
370.31,8.86E+03
370.35,1.61E+04
370.4,3.29E+04
370.44,5.68E+04
370.48,9.58E+04
370.53,1.78E+05
370.57,2.85E+05
370.61,4.46E+05
370.65,6.82E+05
370.7,1.12E+06
370.74,1.63E+06
370.78,2.32E+06
370.82,3.21E+06
370.87,4.69E+06
370.91,6.19E+06
370.95,7.99E+06
370.99,1.01E+07
371.04,1.31E+07
371.08,1.58E+07
371.12,1.86E+07
371.16,2.16E+07
371.21,2.52E+07
371.25,2.80E+07
371.29,3.05E+07
371.33,3.28E+07
371.38,3.51E+07
371.42,3.65E+07
371.46,3.75E+07
371.5,3.80E+07
371.55,3.82E+07
371.59,3.78E+07
371.63,3.71E+07
371.67,3.60E+07
371.72,3.41E+07
371.76,3.22E+07
371.8,3.00E+07
371.84,2.76E+07
371.89,2.43E+07
371.93,2.15E+07
371.97,1.87E+07
372.01,1.59E+07
372.06,1.27E+07
372.1,1.04E+07
372.14,8.30E+06
372.18,6.50E+06
372.23,4.64E+06
372.27,3.46E+06
372.31,2.52E+06
372.35,1.80E+06
372.4,1.14E+06
372.44,7.71E+05
372.48,5.11E+05
372.52,3.30E+05
372.57,1.86E+05
372.61,1.14E+05
372.65,6.85E+04
372.69,4.02E+04
372.74,2.00E+04
372.78,1.11E+04
372.82,6.06E+03
372.86,3.23E+03
372.91,1.42E+03
372.95,7.16E+02
372.99,3.54E+02
373.03,1.70E+02
373.08,6.63E+01
373.12,3.03E+01
373.16,1.36E+01
373.2,5.93E+00
373.25,2.04E+00
373.29,8.46E-01
373.33,3.43E-01
373.37,1.36E-01
373.42,4.13E-02
373.46,1.55E-02
373.5,5.70E-03
373.54,2.05E-03
373.59,5.51E-04
373.63,1.88E-04
373.67,6.24E-05
373.71,2.03E-05
373.76,4.83E-06
373.8,1.49E-06
373.84,4.50E-07
373.88,1.33E-07
373.93,2.79E-08
373.97,7.81E-09
376.01,2.84E-09
376.05,1.02E-08
376.09,3.55E-08
376.14,1.65E-07
376.18,5.47E-07
376.22,1.78E-06
376.26,5.66E-06
376.31,2.33E-05
376.35,7.05E-05
376.39,2.09E-04
376.43,6.03E-04
376.48,2.20E-03
376.52,6.06E-03
376.56,1.63E-02
376.6,4.29E-02
376.65,1.39E-01
376.69,3.48E-01
376.73,8.52E-01
376.77,2.04E+00
376.82,5.87E+00
376.86,1.34E+01
376.9,2.97E+01
376.94,6.46E+01
376.99,1.65E+02
377.03,3.42E+02
377.07,6.91E+02
377.11,1.37E+03
377.16,3.11E+03
377.2,5.85E+03
377.24,1.08E+04
377.29,2.23E+04
377.33,3.90E+04
377.37,6.67E+04
377.41,1.12E+05
377.46,2.06E+05
377.5,3.27E+05
377.54,5.09E+05
377.58,7.74E+05
377.63,1.27E+06
377.67,1.83E+06
377.71,2.59E+06
377.75,3.58E+06
377.8,5.21E+06
377.84,6.85E+06
377.88,8.80E+06
377.92,1.11E+07
377.97,1.43E+07
378.01,1.71E+07
378.05,2.00E+07
378.09,2.29E+07
378.14,2.62E+07
378.18,2.85E+07
378.22,3.03E+07
378.26,3.15E+07
378.31,3.20E+07
378.35,3.17E+07
378.39,3.06E+07
378.43,2.90E+07
378.48,2.62E+07
378.52,2.35E+07
378.56,2.07E+07
378.6,1.78E+07
378.65,1.43E+07
378.69,1.17E+07
378.73,9.34E+06
378.77,7.31E+06
378.82,5.21E+06
378.86,3.87E+06
378.9,2.81E+06
378.94,2.00E+06
378.99,1.27E+06
379.03,8.56E+05
379.07,5.66E+05
379.11,3.66E+05
379.16,2.06E+05
379.2,1.27E+05
379.24,7.61E+04
379.28,4.47E+04
379.33,2.23E+04
379.37,1.25E+04
