Wavelength,Spectra,,
193.28,7.04E-09,,
193.32,8.36E-08,,
193.36,9.13E-07,,
193.4,9.16E-06,,
193.45,1.45E-04,,
193.49,1.20E-03,,
193.53,9.17E-03,,
193.57,6.42E-02,,
193.62,6.49E-01,,
193.66,3.76E+00,,
193.7,2.00E+01,,
193.74,9.76E+01,,
193.79,6.30E+02,,
193.83,2.54E+03,,
193.87,9.44E+03,,
193.91,3.22E+04,,
193.96,1.33E+05,,
194,3.74E+05,,
194.04,9.68E+05,,
194.08,2.30E+06,,
194.13,6.05E+06,,
194.17,1.19E+07,,
194.21,2.15E+07,,
194.25,3.57E+07,,
194.3,5.99E+07,,
194.34,8.22E+07,,
194.38,1.04E+08,,
194.42,1.20E+08,,
194.47,1.29E+08,,
194.51,1.23E+08,,
194.55,1.09E+08,,
194.59,8.78E+07,,
194.64,5.99E+07,,
194.68,4.00E+07,,
194.72,2.46E+07,,
194.76,1.39E+07,,
194.81,6.05E+06,,
194.85,2.83E+06,,
194.89,1.22E+06,,
194.93,5.01E+05,,
194.98,2.34E+05,,
195.02,3.39E+05,,
195.06,8.03E+05,,
195.1,1.95E+06,,
195.15,5.32E+06,,
195.19,1.08E+07,,
195.23,2.03E+07,,
195.27,3.50E+07,,
195.32,6.14E+07,,
195.36,8.76E+07,,
195.4,1.15E+08,,
195.45,1.44E+08,,
195.49,1.56E+08,,
195.53,1.56E+08,,
195.57,1.44E+08,,
195.62,1.15E+08,,
195.66,8.76E+07,,
195.7,6.14E+07,,
195.74,3.96E+07,,
195.79,2.03E+07,,
195.83,1.08E+07,,
195.87,5.32E+06,,
195.91,2.40E+06,,
195.96,7.90E+05,,
196,2.95E+05,,
196.04,1.02E+05,,
196.08,3.21E+04,,
196.13,6.77E+03,,
196.17,1.77E+03,,
196.21,4.28E+02,,
196.25,9.48E+01,,
196.3,1.28E+01,,
196.34,2.35E+00,,
196.38,3.97E-01,,
196.42,6.16E-02,,
196.47,5.34E-03,,
196.51,6.86E-04,,
196.55,8.12E-05,,
196.59,8.83E-06,,
196.64,4.90E-07,,
196.68,4.42E-08,,
197.61,6.07E-09,,
197.66,1.25E-07,,
197.7,1.28E-06,,
197.74,1.21E-05,,
197.78,1.05E-04,,
197.83,1.41E-03,,
197.87,1.02E-02,,
197.91,6.85E-02,,
197.95,4.24E-01,,
198,3.68E+00,,
198.04,1.90E+01,,
198.08,9.01E+01,,
198.12,3.95E+02,,
198.17,2.23E+03,,
198.21,8.15E+03,,
198.25,2.75E+04,,
198.29,8.53E+04,,
198.34,3.14E+05,,
198.38,8.12E+05,,
198.42,1.94E+06,,
198.46,4.27E+06,,
198.51,1.02E+07,,
198.55,1.88E+07,,
198.59,3.17E+07,,
198.63,4.95E+07,,
198.68,7.71E+07,,
198.72,1.00E+08,,
198.76,1.20E+08,,
198.8,1.33E+08,,
198.85,1.35E+08,,
198.89,1.24E+08,,
198.93,1.06E+08,,
198.97,8.30E+07,,
199.02,5.47E+07,,
199.06,3.57E+07,,
199.1,2.16E+07,,
199.14,1.20E+07,,
199.19,5.14E+06,,
