Wavelength,Spectra
381.24,1.26E-10
381.28,4.34E-10
381.32,1.47E-09
381.37,6.52E-09
381.41,2.10E-08
381.45,6.61E-08
381.49,2.04E-07
381.54,8.07E-07
381.58,2.37E-06
381.62,6.81E-06
381.66,1.91E-05
381.71,6.75E-05
381.75,1.81E-04
381.79,4.73E-04
381.83,1.21E-03
381.88,3.81E-03
381.92,9.30E-03
381.96,2.22E-02
382,5.18E-02
382.05,1.45E-01
382.09,3.23E-01
382.13,7.03E-01
382.17,1.50E+00
382.22,3.74E+00
382.26,7.57E+00
382.3,1.50E+01
382.34,2.92E+01
382.39,6.49E+01
382.43,1.20E+02
382.47,2.17E+02
382.51,3.84E+02
382.56,7.60E+02
382.6,1.28E+03
382.64,2.11E+03
382.68,3.41E+03
382.73,6.02E+03
382.77,9.25E+03
382.81,1.39E+04
382.85,2.05E+04
382.9,3.22E+04
382.94,4.50E+04
382.98,6.17E+04
383.02,8.28E+04
383.07,1.16E+05
383.11,1.48E+05
383.15,1.85E+05
383.19,2.26E+05
383.24,2.82E+05
383.28,3.29E+05
383.32,3.75E+05
383.36,4.18E+05
383.41,4.64E+05
383.45,4.93E+05
383.49,5.12E+05
383.53,5.20E+05
383.58,5.15E+05
383.62,4.98E+05
383.66,4.72E+05
383.7,4.37E+05
383.75,3.86E+05
383.79,3.40E+05
383.83,2.94E+05
383.87,2.48E+05
383.92,1.95E+05
383.96,1.57E+05
384,1.24E+05
384.05,8.88E+04
384.09,6.66E+04
384.13,4.88E+04
384.17,3.51E+04
384.22,2.25E+04
384.26,1.53E+04
384.3,1.03E+04
384.34,6.71E+03
384.39,3.83E+03
384.43,2.39E+03
384.47,1.46E+03
384.51,8.68E+02
384.56,4.41E+02
384.6,2.51E+02
384.64,1.39E+02
384.68,7.58E+01
384.73,3.43E+01
384.77,1.78E+01
384.81,9.01E+00
384.85,4.47E+00
384.9,1.80E+00
384.94,8.51E-01
384.98,3.93E-01
385.02,1.78E-01
385.07,6.39E-02
385.11,2.75E-02
385.15,1.16E-02
385.19,4.77E-03
385.24,1.53E-03
385.28,6.00E-04
385.32,2.30E-04
385.36,8.65E-05
385.41,2.47E-05
385.45,8.83E-06
385.49,3.09E-06
385.53,1.06E-06
385.58,2.69E-07
385.62,8.78E-08
385.66,2.80E-08
385.7,8.75E-09
385.75,1.98E-09
385.79,5.89E-10
385.83,1.71E-10
386.55,7.75E-11
386.6,3.63E-10
386.64,1.22E-09
386.68,4.01E-09
386.72,1.29E-08
386.77,5.40E-08
386.81,1.66E-07
386.85,4.98E-07
386.89,1.46E-06
386.94,5.47E-06
386.98,1.54E-05
387.02,4.22E-05
387.06,1.13E-04
387.11,3.79E-04
387.15,9.72E-04
387.19,2.44E-03
387.23,5.99E-03
387.28,1.79E-02
387.32,4.20E-02
387.36,9.63E-02
387.4,2.16E-01
387.45,5.77E-01
387.49,1.24E+00
387.53,2.59E+00
387.57,5.32E+00
387.62,1.27E+01
387.66,2.49E+01
387.7,4.76E+01
387.74,8.94E+01
387.79,1.91E+02
387.83,3.41E+02
387.87,5.97E+02
387.91,1.03E+03
387.96,1.95E+03
388,3.19E+03
388.04,5.11E+03
388.08,8.01E+03
388.13,1.37E+04
388.17,2.04E+04
388.21,2.99E+04
388.25,4.28E+04
388.3,6.51E+04
388.34,8.89E+04
388.38,1.19E+05
388.42,1.56E+05
388.47,2.12E+05
388.51,2.65E+05
388.55,3.24E+05
388.59,3.87E+05
388.64,4.71E+05
388.68,5.37E+05
388.72,6.00E+05
388.76,6.57E+05
388.81,7.13E+05
388.85,7.44E+05
388.89,7.60E+05
388.93,7.60E+05
388.98,7.38E+05
389.02,7.03E+05
389.06,6.57E+05
389.1,6.00E+05
389.15,5.21E+05
389.19,4.54E+05
389.23,3.87E+05
389.27,3.24E+05
389.32,2.51E+05
389.36,2.00E+05
389.4,1.56E+05
389.44,1.19E+05
389.49,8.24E+04
389.53,6.00E+04
389.57,4.28E+04
389.61,2.99E+04
389.66,1.85E+04
389.7,1.23E+04
389.74,8.01E+03
389.78,5.11E+03
