Wavelength,Spectra
271.68,1.45E-31
271.72,8.30E-31
271.76,4.54E-30
271.8,2.38E-29
271.85,1.78E-28
271.89,8.46E-28
271.93,3.86E-27
271.97,1.69E-26
272.02,1.00E-25
272.06,3.98E-25
272.1,1.51E-24
272.14,5.51E-24
272.19,2.61E-23
272.23,8.64E-23
272.27,2.74E-22
272.31,8.31E-22
272.36,3.14E-21
272.4,8.65E-21
272.44,2.29E-20
272.48,5.79E-20
272.53,1.74E-19
272.57,4.00E-19
272.61,8.81E-19
272.65,1.86E-18
272.7,4.45E-18
272.74,8.53E-18
272.78,1.57E-17
272.82,2.76E-17
272.87,5.26E-17
272.91,8.40E-17
272.95,1.29E-16
272.99,1.89E-16
273.04,2.87E-16
273.08,3.82E-16
273.12,4.87E-16
273.16,5.95E-16
273.21,7.21E-16
273.25,8.00E-16
273.29,8.51E-16
273.33,8.68E-16
273.38,8.37E-16
273.42,7.74E-16
273.46,6.87E-16
273.5,5.84E-16
273.55,4.48E-16
273.59,3.46E-16
273.63,2.56E-16
273.67,1.81E-16
273.72,1.11E-16
273.76,7.13E-17
273.8,4.39E-17
273.84,2.59E-17
273.89,1.26E-17
273.93,6.78E-18
273.97,3.48E-18
274.01,1.71E-18
274.06,6.65E-19
274.1,2.97E-19
274.14,1.27E-19
274.18,5.23E-20
274.23,1.62E-20
274.27,6.02E-21
274.31,2.15E-21
274.35,7.36E-22
274.4,1.81E-22
274.44,5.63E-23
274.48,1.68E-23
274.52,4.78E-24
274.57,9.37E-25
274.61,2.43E-25
274.65,6.02E-26
274.69,1.43E-26
274.74,6.57E-15
274.78,3.58E-14
274.82,1.88E-13
274.86,9.41E-13
274.91,6.66E-12
274.95,3.04E-11
274.99,1.33E-10
275.03,5.59E-10
275.08,3.17E-09
275.12,1.21E-08
275.16,4.44E-08
275.2,1.56E-07
275.25,7.07E-07
275.29,2.26E-06
275.33,6.93E-06
275.37,2.04E-05
275.42,7.40E-05
275.46,1.98E-04
275.5,5.09E-04
275.54,1.25E-03
275.59,3.64E-03
275.63,8.15E-03
275.67,1.75E-02
275.71,3.61E-02
275.76,8.39E-02
275.8,1.57E-01
275.84,2.83E-01
275.88,4.87E-01
275.93,9.08E-01
275.97,1.42E+00
276.01,2.14E+00
276.05,3.09E+00
276.1,4.61E+00
276.14,6.05E+00
276.18,7.62E+00
276.23,9.58E+00
276.27,1.10E+01
276.31,1.21E+01
276.35,1.27E+01
276.4,1.28E+01
276.44,1.23E+01
276.48,1.13E+01
276.52,9.95E+00
276.57,8.02E+00
276.61,6.43E+00
276.65,4.95E+00
276.69,3.66E+00
276.74,2.36E+00
276.78,1.58E+00
276.82,1.02E+00
276.86,6.30E-01
276.91,3.25E-01
276.95,1.83E-01
276.99,9.86E-02
277.03,5.09E-02
277.08,2.11E-02
277.12,9.90E-03
277.16,4.47E-03
277.2,1.93E-03
277.25,6.40E-04
277.29,2.52E-04
277.33,9.51E-05
277.37,3.44E-05
277.42,9.12E-06
277.46,3.00E-06
277.5,9.49E-07
277.54,2.88E-07
277.59,6.10E-08
277.63,1.68E-08
277.67,4.45E-09
277.71,1.13E-09
277.76,1.91E-10
277.8,4.42E-11
277.84,9.77E-12
277.88,2.07E-12
277.93,2.82E-13
277.97,5.44E-14
278.01,1.01E-14
278.05,1.79E-15
281.2,4.59E-15
281.24,2.49E-14
281.28,1.29E-13
281.33,9.61E-13
281.37,4.57E-12
281.41,2.09E-11
281.45,9.16E-11
281.5,5.50E-10
281.54,2.21E-09
281.58,8.51E-09
281.62,3.15E-08
281.67,1.53E-07
281.71,5.18E-07
281.75,1.69E-06
281.79,5.27E-06
281.84,2.07E-05
281.88,5.91E-05
281.92,1.62E-04
281.96,4.28E-04
282.01,1.36E-03
282.05,3.28E-03
282.09,7.58E-03
282.13,1.69E-02
282.18,4.33E-02
282.22,8.81E-02
282.26,1.72E-01
282.3,3.23E-01
282.35,6.71E-01
282.39,1.15E+00
282.43,1.90E+00
282.47,3.01E+00
282.52,5.05E+00
282.56,7.31E+00
