Wavelength,Spectra,,
314.36,9.92E-09,,
314.4,4.46E-08,,
314.45,2.80E-07,,
314.49,1.17E-06,,
314.53,4.74E-06,,
314.57,1.86E-05,,
314.62,9.84E-05,,
314.66,3.60E-04,,
314.7,1.27E-03,,
314.74,4.36E-03,,
314.79,1.94E-02,,
314.83,6.20E-02,,
314.87,1.92E-01,,
314.91,5.73E-01,,
314.96,2.16E+00,,
315,6.00E+00,,
315.04,1.62E+01,,
315.08,4.22E+01,,
315.13,1.34E+02,,
315.17,3.26E+02,,
315.21,7.67E+02,,
315.25,1.75E+03,,
315.3,4.68E+03,,
315.34,9.92E+03,,
315.38,2.04E+04,,
315.42,4.05E+04,,
315.47,9.16E+04,,
315.51,1.70E+05,,
315.55,3.04E+05,,
315.59,5.28E+05,,
315.64,1.01E+06,,
315.68,1.63E+06,,
315.72,2.54E+06,,
315.76,3.86E+06,,
315.81,6.20E+06,,
315.85,8.75E+06,,
315.89,1.20E+07,,
315.93,1.58E+07,,
315.98,2.15E+07,,
316.02,2.64E+07,,
316.06,3.15E+07,,
316.1,3.64E+07,,
316.15,4.16E+07,,
316.19,4.47E+07,,
316.23,4.65E+07,,
316.27,4.69E+07,,
316.32,4.53E+07,,
316.36,4.25E+07,,
316.4,3.86E+07,,
316.44,3.40E+07,,
316.49,2.77E+07,,
316.53,2.27E+07,,
316.57,1.80E+07,,
316.62,1.29E+07,,
316.66,9.48E+06,,
316.7,6.78E+06,,
316.74,4.69E+06,,
316.79,2.83E+06,,
316.83,1.82E+06,,
316.87,1.14E+06,,
316.91,6.87E+05,,
316.96,3.50E+05,,
317,1.97E+05,,
317.04,1.07E+05,,
317.08,5.65E+04,,
317.13,2.43E+04,,
317.17,1.19E+04,,
317.21,5.66E+03,,
317.25,2.61E+03,,
317.3,9.45E+02,,
317.34,4.05E+02,,
317.38,1.68E+02,,
317.42,6.74E+01,,
317.47,2.06E+01,,
317.51,7.72E+00,,
317.55,2.82E+00,,
317.59,1.06E+00,,
317.64,5.41E-01,,
317.68,8.83E-01,,
317.72,2.18E+00,,
317.76,5.64E+00,,
317.81,1.79E+01,,
317.85,4.34E+01,,
317.89,1.02E+02,,
317.93,2.34E+02,,
317.98,6.28E+02,,
318.02,1.34E+03,,
318.06,2.75E+03,,
318.1,5.50E+03,,
318.15,1.25E+04,,
318.19,2.33E+04,,
318.23,4.19E+04,,
318.27,7.33E+04,,
318.32,1.41E+05,,
318.36,2.29E+05,,
318.4,3.62E+05,,
318.44,5.53E+05,,
318.49,9.00E+05,,
318.53,1.28E+06,,
318.57,1.77E+06,,
318.61,2.37E+06,,
318.66,3.26E+06,,
318.7,4.06E+06,,
318.74,4.91E+06,,
318.78,5.74E+06,,
318.83,6.69E+06,,
318.87,7.29E+06,,
318.91,7.70E+06,,
318.95,7.89E+06,,
319,7.77E+06,,
319.04,7.41E+06,,
319.08,6.85E+06,,
319.12,6.14E+06,,
319.17,5.12E+06,,
319.21,4.27E+06,,
319.25,3.45E+06,,
319.29,2.71E+06,,
319.34,1.91E+06,,
319.38,1.39E+06,,
319.42,9.86E+05,,
319.46,6.76E+05,,
319.51,4.04E+05,,
319.55,2.58E+05,,
319.59,1.60E+05,,
319.63,9.57E+04,,
319.68,4.84E+04,,
319.72,2.70E+04,,
319.76,1.46E+04,,
319.8,7.68E+03,,
319.85,3.28E+03,,
319.89,1.60E+03,,
319.93,7.60E+02,,
319.97,3.49E+02,,
320.02,1.26E+02,,
320.06,5.40E+01,,
320.1,2.24E+01,,
320.14,8.98E+00,,
320.19,2.75E+00,,
320.23,1.03E+00,,
320.27,3.73E-01,,
320.31,1.31E-01,,
320.36,3.39E-02,,
320.4,1.11E-02,,
320.44,3.52E-03,,
320.48,1.08E-03,,
320.53,2.37E-04,,
320.57,6.80E-05,,
320.61,1.89E-05,,
320.65,5.07E-06,,
320.7,9.40E-07,,
320.74,2.36E-07,,
320.78,5.72E-08,,
320.82,1.35E-08,,
320.87,2.11E-09,,
323.42,9.23E-07,,
323.46,3.97E-06,,
323.5,1.66E-05,,
323.55,9.46E-05,,
323.59,3.69E-04,,
323.63,1.39E-03,,
323.67,5.11E-03,,
323.72,2.49E-02,,
323.76,8.53E-02,,
323.8,2.84E-01,,
323.84,9.15E-01,,
323.89,3.79E+00,,
323.93,1.14E+01,,
323.97,3.34E+01,,
324.01,9.48E+01,,
324.06,3.35E+02,,
324.1,8.87E+02,,
324.14,2.28E+03,,
324.18,5.69E+03,,
324.23,1.71E+04,,
324.27,3.99E+04,,
324.31,9.02E+04,,
324.35,1.98E+05,,
324.4,5.06E+05,,
324.44,1.04E+06,,
324.48,2.07E+06,,
324.52,3.99E+06,,
324.57,8.69E+06,,
324.61,1.57E+07,,
324.65,2.74E+07,,
324.69,4.65E+07,,
324.74,8.63E+07,,
324.78,1.37E+08,,
324.82,2.11E+08,,
324.86,3.14E+08,,
324.91,4.97E+08,,
324.95,6.93E+08,,
324.99,9.38E+08,,
325.03,1.23E+09,,
325.08,1.66E+09,,
325.12,2.03E+09,,
325.16,2.42E+09,,
325.2,2.79E+09,,
325.25,3.20E+09,,
325.29,3.45E+09,,
325.33,3.61E+09,,
325.37,3.67E+09,,
325.42,3.58E+09,,
325.46,3.40E+09,,
325.5,3.13E+09,,
325.54,2.79E+09,,
325.59,2.32E+09,,
325.63,1.94E+09,,
325.67,1.57E+09,,
325.71,1.23E+09,,
325.76,8.72E+08,,
325.8,6.40E+08,,
325.84,4.55E+08,,
325.88,3.14E+08,,
325.93,1.90E+08,,
325.97,1.22E+08,,
326.01,7.66E+07,,
326.05,4.65E+07,,
326.1,2.39E+07,,
326.14,1.36E+07,,
326.18,7.46E+06,,
326.22,3.99E+06,,
326.27,1.74E+06,,
326.31,8.70E+05,,
326.35,4.21E+05,,
326.39,1.98E+05,,
326.44,7.37E+04,,
326.48,3.24E+04,,
326.52,1.38E+04,,
326.56,5.69E+03,,
326.61,1.81E+03,,
326.65,6.97E+02,,
326.69,2.61E+02,,
326.73,9.48E+01,,
326.78,2.56E+01,,
326.82,8.69E+00,,
326.86,2.86E+00,,
326.9,9.15E-01,,
326.95,2.11E-01,,
326.99,6.28E-02,,
327.03,1.82E-02,,
327.07,5.11E-03,,
327.12,1.00E-03,,
327.16,2.63E-04,,
327.2,6.70E-05,,
327.24,1.66E-05,,
327.29,2.76E-06,,
327.33,6.38E-07,,
331.28,2.13E-08,,
331.33,1.25E-07,,
331.37,4.97E-07,,
331.41,1.93E-06,,
331.45,7.25E-06,,
331.5,3.65E-05,,
331.54,1.29E-04,,
331.58,4.41E-04,,
331.62,1.47E-03,,
331.67,6.34E-03,,
331.71,1.98E-02,,
331.75,6.00E-02,,
331.79,1.77E-01,,
331.84,6.55E-01,,
331.88,1.81E+00,,
331.92,4.85E+00,,
331.96,1.27E+01,,
332.01,4.02E+01,,
332.05,9.83E+01,,
332.09,2.33E+02,,
332.13,5.38E+02,,
332.18,1.47E+03,,
332.22,3.17E+03,,
332.26,6.66E+03,,
332.3,1.36E+04,,
332.35,3.18E+04,,
332.39,6.08E+04,,
332.43,1.13E+05,,
332.47,2.04E+05,,
332.52,4.10E+05,,
332.56,6.94E+05,,
332.6,1.14E+06,,
332.64,1.82E+06,,
332.69,3.14E+06,,
332.73,4.70E+06,,
332.77,6.83E+06,,
332.81,9.65E+06,,
332.86,1.43E+07,,
332.9,1.89E+07,,
332.94,2.43E+07,,
332.98,3.04E+07,,
333.03,3.86E+07,,
333.07,4.53E+07,,
333.11,5.15E+07,,
333.15,5.70E+07,,
333.2,6.21E+07,,
333.24,6.44E+07,,
333.28,6.48E+07,,
333.32,6.34E+07,,
333.37,5.93E+07,,
333.41,5.44E+07,,
333.45,4.85E+07,,
333.49,4.20E+07,,
333.54,3.37E+07,,
333.58,2.73E+07,,
333.62,2.15E+07,,
333.66,1.65E+07,,
333.71,1.14E+07,,
333.75,8.15E+06,,
333.79,5.69E+06,,
333.83,3.85E+06,,
333.88,2.28E+06,,
333.92,1.45E+06,,
333.96,8.92E+05,,
334,5.35E+05,,
