Wavelength,Spectra,,
170.11,9.35E+03,,
170.15,1.71E+04,,
170.19,2.82E+04,,
170.23,4.14E+04,,
170.28,5.75E+04,,
170.32,6.59E+04,,
170.36,6.78E+04,,
170.4,6.24E+04,,
170.45,4.84E+04,,
170.49,3.51E+04,,
170.53,2.37E+04,,
170.57,1.63E+04,,
170.62,1.48E+04,,
170.66,2.03E+04,,
170.7,3.19E+04,,
170.74,4.82E+04,,
170.79,7.11E+04,,
170.83,8.61E+04,,
170.87,9.38E+04,,
170.91,9.24E+04,,
170.96,8.07E+04,,
171,6.99E+04,,
171.04,6.56E+04,,
171.08,7.36E+04,,
171.13,1.05E+05,,
171.17,1.42E+05,,
171.21,1.82E+05,,
171.25,2.13E+05,,
171.3,2.23E+05,,
171.34,2.06E+05,,
171.38,1.70E+05,,
171.42,1.26E+05,,
171.47,7.53E+04,,
171.51,4.58E+04,,
171.55,2.87E+04,,
171.59,2.37E+04,,
171.64,3.19E+04,,
171.68,4.76E+04,,
171.72,6.81E+04,,
171.76,8.89E+04,,
171.81,1.07E+05,,
171.85,1.10E+05,,
171.89,1.01E+05,,
171.93,8.38E+04,,
171.98,5.68E+04,,
172.02,3.68E+04,,
172.06,2.14E+04,,
172.1,1.12E+04,,
172.15,4.26E+03,,
172.19,1.74E+03,,
172.23,6.39E+02,,
172.27,2.10E+02,,
172.32,4.51E+01,,
172.36,1.16E+01,,
172.4,2.69E+00,,
172.44,5.60E-01,,
172.49,6.74E-02,,
172.53,1.10E-02,,
172.57,1.60E-03,,
172.61,2.10E-04,,
172.66,1.42E-05,,
172.7,1.46E-06,,
172.74,1.35E-07,,
172.78,1.12E-08,,
172.83,4.25E-10,,
172.87,2.75E-11,,
177.67,8.80E-12,,
177.72,2.47E-10,,
177.76,3.17E-09,,
177.8,3.69E-08,,
177.84,3.88E-07,,
177.89,6.38E-06,,
177.93,5.36E-05,,
177.97,4.07E-04,,
178.01,2.80E-03,,
178.06,2.71E-02,,
178.1,1.49E-01,,
178.14,7.37E-01,,
178.18,3.31E+00,,
178.23,1.88E+01,,
178.27,6.74E+01,,
178.31,2.19E+02,,
178.35,6.41E+02,,
178.4,2.14E+03,,
178.44,5.01E+03,,
178.48,1.06E+04,,
178.52,2.04E+04,,
178.57,3.99E+04,,
178.61,6.11E+04,,
178.65,8.46E+04,,
178.69,1.06E+05,,
178.74,1.22E+05,,
178.78,1.22E+05,,
178.82,1.10E+05,,
178.86,9.03E+04,,
178.91,6.11E+04,,
178.95,3.99E+04,,
178.99,2.36E+04,,
179.03,1.26E+04,,
179.08,5.01E+03,,
179.12,2.14E+03,,
179.16,8.29E+02,,
179.2,3.02E+02,,
179.25,1.60E+02,,
179.29,4.19E+02,,
179.33,1.58E+03,,
179.37,5.59E+03,,
179.42,2.38E+04,,
179.46,6.78E+04,,
179.5,1.75E+05,,
179.54,4.11E+05,,
179.59,1.04E+06,,
179.63,1.95E+06,,
179.67,3.32E+06,,
179.71,5.13E+06,,
179.76,7.70E+06,,
179.8,9.53E+06,,
179.84,1.07E+07,,
179.88,1.09E+07,,
179.93,9.72E+06,,
179.97,7.94E+06,,
180.01,5.88E+06,,
180.05,3.95E+06,,
180.1,2.10E+06,,
180.14,1.13E+06,,
180.18,5.54E+05,,
180.22,2.49E+05,,
180.27,8.85E+04,,
180.31,5.24E+04,,
180.35,5.97E+04,,
180.39,9.71E+04,,
180.44,1.81E+05,,
180.48,2.75E+05,,
180.52,3.85E+05,,
180.56,5.01E+05,,
180.61,6.40E+05,,
180.65,7.37E+05,,
180.69,8.20E+05,,
180.73,8.83E+05,,
180.78,9.18E+05,,
180.82,8.95E+05,,
180.86,8.20E+05,,
180.9,6.97E+05,,
180.95,5.06E+05,,
180.99,3.55E+05,,
181.03,2.26E+05,,
181.07,1.32E+05,,
181.12,5.83E+04,,
181.16,2.73E+04,,
181.2,1.16E+04,,
181.24,4.45E+03,,
181.29,1.18E+03,,
181.33,3.64E+02,,
181.37,1.06E+02,,
181.41,4.81E+01,,
181.46,1.55E+02,,
181.5,6.27E+02,,
181.54,2.36E+03,,
181.58,8.09E+03,,
181.63,3.29E+04,,
181.67,9.06E+04,,
181.71,2.27E+05,,
181.75,5.15E+05,,
181.8,1.25E+06,,
181.84,2.29E+06,,
181.88,3.81E+06,,
181.93,6.26E+06,,
181.97,8.36E+06,,
182.01,1.01E+07,,
182.05,1.12E+07,,
182.1,1.10E+07,,
182.14,9.78E+06,,
182.18,7.90E+06,,
182.22,5.81E+06,,
182.27,3.50E+06,,
182.31,2.14E+06,,
182.35,1.23E+06,,
182.39,6.95E+05,,
182.44,3.49E+05,,
182.48,2.12E+05,,
182.52,1.33E+05,,
182.56,8.34E+04,,
182.61,4.36E+04,,
182.65,2.40E+04,,
182.69,1.21E+04,,
182.73,5.58E+03,,
182.78,1.86E+03,,
182.82,6.93E+02,,
182.86,2.35E+02,,
182.9,7.22E+01,,
182.95,1.45E+01,,
182.99,4.02E+00,,
183.03,2.90E+00,,
183.07,9.29E+00,,
183.12,5.02E+01,,
183.16,1.76E+02,,
183.2,5.64E+02,,
183.24,1.64E+03,,
183.29,5.44E+03,,
183.33,1.28E+04,,
183.37,2.73E+04,,
183.41,5.31E+04,,
183.46,1.07E+05,,
183.5,1.67E+05,,
183.54,2.39E+05,,
183.58,3.13E+05,,
183.63,3.87E+05,,
183.67,4.25E+05,,
183.71,4.52E+05,,
183.75,4.92E+05,,
183.8,6.26E+05,,
183.84,8.52E+05,,
183.88,1.21E+06,,
183.92,1.68E+06,,
183.97,2.30E+06,,
184.01,2.71E+06,,
184.05,2.92E+06,,
184.09,2.87E+06,,
184.14,2.46E+06,,
184.18,1.96E+06,,
184.22,1.44E+06,,
184.26,1.02E+06,,
184.31,1.09E+06,,
184.35,2.80E+06,,
184.39,9.97E+06,,
184.43,3.48E+07,,
184.48,1.48E+08,,
184.52,4.23E+08,,
184.56,1.10E+09,,
184.6,2.62E+09,,
184.65,6.78E+09,,
184.69,1.31E+10,,
184.73,2.29E+10,,
184.77,3.65E+10,,
184.82,5.75E+10,,
184.86,7.44E+10,,
184.9,8.76E+10,,
184.94,9.39E+10,,
184.99,8.99E+10,,
185.03,7.81E+10,,
185.07,6.18E+10,,
185.11,4.46E+10,,
185.16,2.60E+10,,
185.2,1.52E+10,,
185.24,8.06E+09,,
185.28,3.91E+09,,
185.33,1.38E+09,,
185.37,5.44E+08,,
185.41,1.95E+08,,
185.45,6.38E+07,,
185.5,1.40E+07,,
185.54,3.87E+06,,
185.58,1.03E+06,,
185.62,2.78E+05,,
185.67,6.26E+04,,
185.71,2.51E+04,,
185.75,1.83E+04,,
185.79,2.53E+04,,
185.84,4.86E+04,,
185.88,7.83E+04,,
185.92,1.16E+05,,
185.96,1.56E+05,,
186.01,2.00E+05,,
186.05,2.19E+05,,
186.09,2.19E+05,,
186.13,2.00E+05,,
186.18,1.56E+05,,
186.22,1.16E+05,,
186.26,8.02E+04,,
186.3,5.69E+04,,
186.35,7.15E+04,,
186.39,1.82E+05,,
186.43,5.54E+05,,
186.47,1.61E+06,,
186.52,5.43E+06,,
186.56,1.30E+07,,
186.6,2.83E+07,,
186.64,5.62E+07,,
186.69,1.17E+08,,
186.73,1.89E+08,,
186.77,2.78E+08,,
186.81,3.75E+08,,
186.86,4.78E+08,,
186.9,5.24E+08,,
186.94,5.24E+08,,
186.98,4.78E+08,,
187.03,3.75E+08,,
187.07,2.78E+08,,
187.11,1.89E+08,,
187.15,1.17E+08,,
187.2,5.63E+07,,
187.24,2.83E+07,,
187.28,1.30E+07,,
187.32,5.45E+06,,
187.37,1.62E+06,,
187.41,5.51E+05,,
187.45,1.72E+05,,
187.49,4.87E+04,,
187.54,8.89E+03,,
187.58,2.06E+03,,
187.62,4.34E+02,,
187.66,8.36E+01,,
187.71,9.39E+00,,
187.75,1.47E+00,,
187.79,2.11E-01,,
187.83,2.76E-02,,
187.88,1.91E-03,,
187.92,2.03E-04,,
187.96,2.00E-05,,
188,3.43E-06,,
188.05,2.36E-05,,
188.09,1.77E-04,,
188.13,1.21E-03,,
188.17,7.61E-03,,
188.22,6.67E-02,,
188.26,3.42E-01,,
188.3,1.61E+00,,
188.34,6.89E+00,,
188.39,3.75E+01,,
188.43,1.31E+02,,
188.47,4.21E+02,,
188.51,1.24E+03,,
188.56,4.18E+03,,
188.6,1.00E+04,,
188.64,2.19E+04,,
188.69,5.16E+04,,
188.73,9.25E+04,,
188.77,1.52E+05,,
188.81,2.29E+05,,
188.86,3.37E+05,,
188.9,4.20E+05,,
188.94,4.82E+05,,
188.98,5.16E+05,,
189.03,5.16E+05,,
189.07,4.90E+05,,
189.11,4.51E+05,,
189.15,4.06E+05,,
189.2,3.47E+05,,
189.24,2.97E+05,,
189.28,2.43E+05,,
189.32,1.88E+05,,
189.37,1.24E+05,,
189.41,8.15E+04,,
189.45,4.93E+04,,
189.49,2.74E+04,,
189.54,1.16E+04,,
189.58,5.32E+03,,
189.62,2.22E+03,,
189.66,8.49E+02,,
189.71,2.26E+02,,
189.75,7.28E+01,,
189.79,3.11E+01,,
189.83,5.20E+01,,
189.88,2.56E+02,,
189.92,8.95E+02,,
189.96,2.88E+03,,
190,8.48E+03,,
190.05,2.89E+04,,
190.09,6.99E+04,,
190.13,1.55E+05,,
190.17,3.13E+05,,
190.22,6.68E+05,,
190.26,1.11E+06,,
190.3,1.69E+06,,
190.34,2.35E+06,,
190.39,3.14E+06,,
190.43,3.58E+06,,
190.47,3.74E+06,,
190.51,3.58E+06,,
190.56,2.99E+06,,
190.6,2.35E+06,,
190.64,1.69E+06,,
190.68,1.11E+06,,
190.73,5.80E+05,,
190.77,3.13E+05,,
190.81,1.55E+05,,
190.85,6.99E+04,,
190.9,2.29E+04,,
190.94,8.48E+03,,
190.98,2.88E+03,,
191.02,9.03E+02,,
191.07,2.19E+02,,
191.11,1.52E+02,,
191.15,2.99E+02,,
191.19,7.22E+02,,
191.24,2.00E+03,,
191.28,4.10E+03,,
191.32,7.72E+03,,
191.36,1.33E+04,,
191.41,2.33E+04,,
191.45,3.30E+04,,
191.49,4.28E+04,,
191.53,5.10E+04,,
191.58,5.61E+04,,
191.62,5.49E+04,,
191.66,4.92E+04,,
191.7,4.04E+04,,
191.75,2.80E+04,,
191.79,1.89E+04,,
191.83,1.17E+04,,
191.87,6.64E+03,,
191.92,2.89E+03,,
191.96,1.35E+03,,
192,5.77E+02,,
192.04,2.27E+02,,
192.09,6.90E+01,,
192.13,4.85E+01,,
192.17,1.12E+02,,
192.21,3.64E+02,,
192.26,1.49E+03,,
192.3,4.18E+03,,
192.34,1.08E+04,,
192.38,2.55E+04,,
192.43,6.64E+04,,
192.47,1.30E+05,,
192.51,2.32E+05,,
192.55,3.82E+05,,
192.6,6.30E+05,,
192.64,8.55E+05,,
192.68,1.07E+06,,
192.72,1.22E+06,,
192.77,1.28E+06,,
192.81,1.22E+06,,
192.85,1.07E+06,,
192.89,8.60E+05,,
192.94,5.88E+05,,
192.98,4.00E+05,,
193.02,2.55E+05,,
193.06,1.58E+05,,
193.11,9.89E+04,,
193.15,9.70E+04,,
193.19,1.33E+05,,
193.23,2.07E+05,,
193.28,3.48E+05,,
193.32,4.87E+05,,
193.36,6.29E+05,,
193.4,7.48E+05,,
193.45,8.33E+05,,
193.49,8.72E+05,,
193.53,1.04E+06,,
193.57,1.95E+06,,
193.62,7.70E+06,,
193.66,2.57E+07,,
193.7,8.18E+07,,
193.74,2.41E+08,,
193.79,8.25E+08,,
193.83,2.01E+09,,
193.87,4.50E+09,,
193.91,9.25E+09,,
193.96,2.02E+10,,
