Wavelength,Spectra,,
337.83,9.18E-07,,
337.87,3.80E-06,,
337.92,2.15E-05,,
337.96,8.37E-05,,
338,3.16E-04,,
338.04,1.16E-03,,
338.09,5.69E-03,,
338.13,1.97E-02,,
338.17,6.60E-02,,
338.21,2.16E-01,,
338.26,9.12E-01,,
338.3,2.80E+00,,
338.34,8.36E+00,,
338.38,2.43E+01,,
338.43,8.86E+01,,
338.47,2.42E+02,,
338.51,6.42E+02,,
338.55,1.66E+03,,
338.6,5.22E+03,,
338.64,1.27E+04,,
338.68,2.99E+04,,
338.72,6.86E+04,,
338.77,1.86E+05,,
338.81,4.02E+05,,
338.85,8.43E+05,,
338.89,1.72E+06,,
338.94,4.04E+06,,
338.98,7.74E+06,,
339.02,1.44E+07,,
339.06,2.62E+07,,
339.11,5.30E+07,,
339.15,9.04E+07,,
339.19,1.50E+08,,
339.23,2.42E+08,,
339.28,4.22E+08,,
339.32,6.40E+08,,
339.36,9.43E+08,,
339.4,1.35E+09,,
339.45,2.04E+09,,
339.49,2.75E+09,,
339.53,3.60E+09,,
339.57,4.58E+09,,
339.62,5.97E+09,,
339.66,7.15E+09,,
339.7,8.32E+09,,
339.74,9.43E+09,,
339.79,1.06E+10,,
339.83,1.13E+10,,
339.87,1.17E+10,,
339.91,1.18E+10,,
339.96,1.14E+10,,
340,1.08E+10,,
340.04,9.93E+09,,
340.08,8.89E+09,,
340.13,7.44E+09,,
340.17,6.26E+09,,
340.21,5.12E+09,,
340.25,4.07E+09,,
340.3,2.95E+09,,
340.34,2.20E+09,,
340.38,1.60E+09,,
340.42,1.13E+09,,
340.47,7.07E+08,,
340.51,4.70E+08,,
340.55,3.04E+08,,
340.59,1.91E+08,,
340.64,1.03E+08,,
340.68,6.07E+07,,
340.72,3.49E+07,,
340.76,1.95E+07,,
340.81,9.07E+06,,
340.85,4.76E+06,,
340.89,2.43E+06,,
340.93,1.21E+06,,
340.98,4.85E+05,,
341.02,2.27E+05,,
341.06,1.03E+05,,
341.1,4.54E+04,,
341.15,1.57E+04,,
341.19,6.53E+03,,
341.23,2.64E+03,,
341.27,1.04E+03,,
341.32,3.09E+02,,
341.36,1.14E+02,,
341.4,4.10E+01,,
341.44,1.43E+01,,
341.49,3.69E+00,,
341.53,1.21E+00,,
341.57,3.86E-01,,
341.61,1.20E-01,,
341.66,2.67E-02,,
341.7,7.78E-03,,
341.74,2.21E-03,,
341.78,6.08E-04,,
341.83,1.17E-04,,
341.87,3.03E-05,,
341.91,7.64E-06,,
341.95,1.87E-06,,
345.36,4.65E-06,,
345.4,1.80E-05,,
345.44,6.77E-05,,
345.48,2.48E-04,,
345.53,1.21E-03,,
345.57,4.19E-03,,
345.61,1.41E-02,,
345.65,4.61E-02,,
345.7,1.96E-01,,
345.74,6.04E-01,,
345.78,1.82E+00,,
345.82,5.31E+00,,
345.87,1.96E+01,,
345.91,5.40E+01,,
345.95,1.45E+02,,
345.99,3.79E+02,,
346.04,1.21E+03,,
346.08,2.99E+03,,
346.12,7.17E+03,,
346.16,1.68E+04,,
346.21,4.66E+04,,
346.25,1.03E+05,,
346.29,2.20E+05,,
346.33,4.59E+05,,
346.38,1.11E+06,,
346.42,2.18E+06,,
346.46,4.17E+06,,
346.5,7.78E+06,,
346.55,1.63E+07,,
346.59,2.87E+07,,
346.63,4.91E+07,,
346.67,8.17E+07,,
346.72,1.49E+08,,
346.76,2.34E+08,,
346.8,3.57E+08,,
346.84,5.32E+08,,
346.89,8.43E+08,,
346.93,1.18E+09,,
346.97,1.61E+09,,
347.01,2.15E+09,,
347.06,2.95E+09,,
347.1,3.70E+09,,
347.14,4.51E+09,,
347.18,5.36E+09,,
347.23,6.40E+09,,
347.27,7.17E+09,,
347.31,7.81E+09,,
347.35,8.29E+09,,
347.4,8.61E+09,,
347.44,8.61E+09,,
347.48,8.38E+09,,
347.52,7.95E+09,,
347.57,7.17E+09,,
347.61,6.40E+09,,
347.65,5.57E+09,,
347.69,4.72E+09,,
347.74,3.70E+09,,
347.78,2.95E+09,,
347.82,2.29E+09,,
347.86,1.74E+09,,
347.91,1.18E+09,,
347.95,8.43E+08,,
347.99,5.85E+08,,
348.03,3.96E+08,,
348.08,2.34E+08,,
348.12,1.49E+08,,
348.16,9.25E+07,,
348.2,5.59E+07,,
348.25,2.87E+07,,
348.29,1.63E+07,,
348.33,9.05E+06,,
348.37,4.89E+06,,
348.42,2.18E+06,,
348.46,1.11E+06,,
348.5,5.49E+05,,
348.54,2.65E+05,,
348.59,1.03E+05,,
348.63,4.66E+04,,
348.67,2.06E+04,,
348.71,8.89E+03,,
348.76,2.99E+03,,
348.8,1.21E+03,,
348.84,4.80E+02,,
348.88,1.85E+02,,
348.93,5.40E+01,,
348.97,1.96E+01,,
349.01,6.92E+00,,
349.05,2.38E+00,,
349.1,6.04E-01,,
349.14,1.96E-01,,
349.18,6.18E-02,,
349.22,1.90E-02,,
349.27,4.19E-03,,
349.31,1.21E-03,,
349.35,3.42E-04,,
349.39,9.39E-05,,
349.44,1.80E-05,,
349.48,4.65E-06,,
349.52,1.17E-06,,
377.41,3.83E-06,,
377.46,1.81E-05,,
377.5,6.09E-05,,
377.54,2.01E-04,,
377.58,6.47E-04,,
377.63,2.71E-03,,
377.67,8.32E-03,,
377.71,2.50E-02,,
377.75,7.33E-02,,
377.8,2.73E-01,,
377.84,7.62E-01,,
377.88,2.08E+00,,
377.92,5.55E+00,,
377.97,1.84E+01,,
378.01,4.67E+01,,
378.05,1.16E+02,,
378.09,2.82E+02,,
378.14,8.29E+02,,
378.18,1.92E+03,,
378.22,4.33E+03,,
378.26,9.58E+03,,
378.31,2.50E+04,,
378.35,5.27E+04,,
378.39,1.08E+05,,
378.43,2.18E+05,,
378.48,5.07E+05,,
378.52,9.70E+05,,
378.56,1.82E+06,,
378.6,3.33E+06,,
378.65,6.86E+06,,
378.69,1.20E+07,,
378.73,2.04E+07,,
378.77,3.39E+07,,
378.82,6.23E+07,,
378.86,9.87E+07,,
378.9,1.53E+08,,
378.94,2.32E+08,,
378.99,3.78E+08,,
379.03,5.46E+08,,
379.07,7.70E+08,,
379.11,1.06E+09,,
379.16,1.54E+09,,
379.2,2.02E+09,,
379.24,2.59E+09,,
379.28,3.26E+09,,
379.33,4.20E+09,,
379.37,5.01E+09,,
379.41,5.85E+09,,
379.45,6.69E+09,,
379.5,7.66E+09,,
379.54,8.32E+09,,
379.58,8.84E+09,,
379.62,9.19E+09,,
379.67,9.36E+09,,
379.71,9.25E+09,,
379.75,8.95E+09,,
379.79,8.47E+09,,
379.84,7.66E+09,,
379.88,6.89E+09,,
379.92,6.06E+09,,
379.96,5.22E+09,,
380.01,4.20E+09,,
380.05,3.44E+09,,
380.09,2.75E+09,,
380.13,2.16E+09,,
380.18,1.54E+09,,
380.22,1.15E+09,,
380.26,8.36E+08,,
380.3,5.96E+08,,
380.35,3.78E+08,,
380.39,2.57E+08,,
380.43,1.70E+08,,
380.47,1.10E+08,,
380.52,6.23E+07,,
380.56,3.84E+07,,
380.6,2.32E+07,,
380.64,1.37E+07,,
380.69,6.86E+06,,
380.73,3.85E+06,,
380.77,2.12E+06,,
380.81,1.14E+06,,
380.86,5.07E+05,,
380.9,2.59E+05,,
380.94,1.29E+05,,
380.98,6.32E+04,,
381.03,2.50E+04,,
381.07,1.16E+04,,
381.11,5.29E+03,,
381.15,2.36E+03,,
381.2,8.29E+02,,
381.24,3.51E+02,,
381.28,1.45E+02,,
381.32,5.87E+01,,
381.37,1.84E+01,,
381.41,7.07E+00,,
381.45,2.66E+00,,
381.49,9.81E-01,,
381.54,2.73E-01,,
381.58,9.56E-02,,
381.62,3.27E-02,,
381.66,1.10E-02,,
381.71,2.71E-03,,
381.75,8.64E-04,,
381.79,2.70E-04,,
381.83,8.22E-05,,
381.88,1.81E-05,,
381.92,5.24E-06,,
381.96,1.49E-06,,
386.77,5.26E-06,,
386.81,1.77E-05,,
386.85,5.85E-05,,
386.89,1.89E-04,,
386.94,7.95E-04,,
386.98,2.45E-03,,
387.02,7.40E-03,,
387.06,2.19E-02,,
387.11,8.21E-02,,
387.15,2.31E-01,,
387.19,6.38E-01,,
387.23,1.72E+00,,
387.28,5.79E+00,,
387.32,1.49E+01,,
387.36,3.76E+01,,
387.4,9.28E+01,,
387.45,2.79E+02,,
387.49,6.56E+02,,
387.53,1.51E+03,,
387.57,3.41E+03,,
387.62,9.16E+03,,
387.66,1.97E+04,,
387.7,4.15E+04,,
387.74,8.56E+04,,
387.79,2.06E+05,,
387.83,4.04E+05,,
387.87,7.78E+05,,
387.91,1.47E+06,,
387.96,3.15E+06,,
388,5.66E+06,,
388.04,9.96E+06,,
388.08,1.72E+07,,
388.13,3.29E+07,,
388.17,5.40E+07,,
