Wavelength,Spectra
170.11,1.66E+09
170.15,2.07E+09
170.19,2.31E+09
170.23,2.31E+09
170.28,1.98E+09
170.32,1.54E+09
170.36,1.08E+09
170.4,6.74E+08
170.45,3.21E+08
170.49,1.57E+08
170.53,6.83E+07
170.57,2.67E+07
170.62,7.08E+06
170.66,2.16E+06
170.7,5.89E+05
170.74,1.44E+05
170.79,2.12E+04
170.83,4.05E+03
170.87,6.91E+02
170.91,1.06E+02
170.96,8.66E+00
171,1.03E+00
171.04,1.10E-01
171.08,1.06E-02
171.13,4.80E-04
171.17,3.58E-05
171.21,2.39E-06
171.25,1.43E-07
177.21,2.28E-06
177.25,3.21E-05
177.29,4.08E-04
177.33,4.69E-03
177.38,8.61E-02
177.42,7.89E-01
177.46,6.54E+00
177.5,4.90E+01
177.55,5.27E+02
177.59,3.15E+03
177.63,1.70E+04
177.67,8.29E+04
177.72,5.23E+05
177.76,2.03E+06
177.8,7.16E+06
177.84,2.28E+07
177.89,8.41E+07
177.93,2.14E+08
177.97,4.90E+08
178.01,1.02E+09
178.06,2.20E+09
178.1,3.64E+09
178.14,5.44E+09
178.18,7.36E+09
178.23,9.31E+09
178.27,1.01E+10
178.31,9.80E+09
178.35,8.64E+09
178.4,6.41E+09
178.44,4.50E+09
178.48,2.86E+09
178.52,1.65E+09
178.57,7.15E+08
178.61,3.28E+08
178.65,1.36E+08
178.69,5.09E+07
178.74,1.29E+07
178.78,3.87E+06
178.82,1.04E+06
178.86,2.55E+05
178.91,3.80E+04
178.95,7.40E+03
178.99,1.30E+03
179.03,2.08E+02
179.08,1.81E+01
179.12,2.30E+00
179.16,2.64E-01
179.2,2.74E-02
179.25,1.40E-03
179.29,1.16E-04
179.33,8.67E-06
179.37,5.87E-07
181.93,1.08E-07
181.97,1.46E-06
182.01,1.80E-05
182.05,2.00E-04
182.1,3.57E-03
182.14,3.21E-02
182.18,2.62E-01
182.22,1.95E+00
182.27,2.09E+01
182.31,1.25E+02
182.35,6.83E+02
182.39,3.38E+03
182.44,2.19E+04
182.48,8.73E+04
182.52,3.17E+05
182.56,1.05E+06
182.61,4.07E+06
182.65,1.08E+07
182.69,2.62E+07
182.73,5.76E+07
182.78,1.35E+08
182.82,2.39E+08
182.86,3.86E+08
182.9,5.65E+08
182.95,7.97E+08
182.99,9.42E+08
183.03,1.01E+09
183.07,9.88E+08
183.12,8.38E+08
183.16,6.60E+08
183.2,4.73E+08
183.24,3.07E+08
183.29,1.57E+08
183.33,8.24E+07
183.37,3.93E+07
183.41,1.71E+07
183.46,5.24E+06
183.5,1.83E+06
183.54,5.83E+05
183.58,1.68E+05
183.63,3.12E+04
183.67,7.27E+03
183.71,1.55E+03
183.75,3.63E+02
183.8,5.16E+02
183.84,2.13E+03
183.88,8.51E+03
183.92,3.10E+04
183.97,1.37E+05
184.01,4.04E+05
184.05,1.08E+06
184.09,2.65E+06
184.14,7.09E+06
184.18,1.40E+07
184.22,2.53E+07
184.26,4.14E+07
184.31,6.72E+07
184.35,8.91E+07
184.39,1.08E+08
184.43,1.18E+08
184.48,1.16E+08
184.52,1.04E+08
184.56,8.38E+07
184.6,6.17E+07
184.65,3.69E+07
184.69,2.20E+07
184.73,1.19E+07
184.77,5.89E+06
184.82,2.14E+06
184.86,8.54E+05
184.9,3.11E+05
184.94,1.03E+05
184.99,2.27E+04
185.03,6.07E+03
185.07,1.48E+03
185.11,3.29E+02
185.16,4.39E+01
185.2,7.88E+00
185.24,1.29E+00
185.28,1.92E-01
185.33,1.56E-02
185.37,1.87E-03
185.41,2.05E-04
185.45,2.05E-05
185.5,1.01E-06
185.54,8.14E-08
204.93,2.90E-08
204.97,2.83E-07
205.01,2.56E-06
205.05,2.15E-05
205.1,2.76E-04
205.14,1.95E-03
205.18,1.28E-02
205.22,7.81E-02
205.27,6.72E-01
205.31,3.46E+00
205.35,1.65E+01
205.39,7.29E+01
205.44,4.21E+02
205.48,1.57E+03
205.52,5.44E+03
205.56,1.75E+04
205.61,6.76E+04
205.65,1.83E+05
205.69,4.61E+05
205.73,1.08E+06
205.78,2.79E+06
205.82,5.49E+06
205.86,1.00E+07
205.9,1.70E+07
205.95,2.96E+07
205.99,4.23E+07
206.03,5.60E+07
206.07,6.89E+07
206.12,8.03E+07
206.16,8.34E+07
206.2,8.03E+07
206.24,7.17E+07
206.29,5.60E+07
206.33,4.23E+07
206.37,2.96E+07
206.41,1.92E+07
206.46,1.00E+07
206.5,5.49E+06
206.54,2.79E+06
206.58,1.31E+06
206.63,4.61E+05
206.67,1.83E+05
206.71,6.76E+04
206.75,2.31E+04
206.8,5.44E+03
206.84,1.57E+03
206.88,4.21E+02
206.92,1.05E+02
206.97,1.65E+01
207.01,3.46E+00
207.05,6.72E-01
207.09,1.21E-01
207.14,1.28E-02
207.18,1.95E-03
207.22,2.76E-04
207.26,3.61E-05
207.31,2.56E-06
207.35,2.83E-07
207.39,2.90E-08
