Wavelength,Spectra,,
170.11,3.60E+08,,
170.15,5.01E+08,,
170.19,6.25E+08,,
170.23,6.98E+08,,
170.28,6.86E+08,,
170.32,5.97E+08,,
170.36,4.66E+08,,
170.4,3.25E+08,,
170.45,1.78E+08,,
170.49,9.69E+07,,
170.53,4.73E+07,,
170.57,2.07E+07,,
170.62,6.29E+06,,
170.66,2.14E+06,,
170.7,6.54E+05,,
170.74,1.79E+05,,
170.79,3.02E+04,,
170.83,6.44E+03,,
170.87,1.23E+03,,
170.91,2.16E+02,,
170.96,8.53E+01,,
171,4.08E+02,,
171.04,2.24E+03,,
171.08,1.12E+04,,
171.13,7.11E+04,,
171.17,2.77E+05,,
171.21,9.68E+05,,
171.25,3.04E+06,,
171.3,1.09E+07,,
171.34,2.67E+07,,
171.38,5.89E+07,,
171.42,1.16E+08,,
171.47,2.34E+08,,
171.51,3.63E+08,,
171.55,5.05E+08,,
171.59,6.30E+08,,
171.64,7.13E+08,,
171.68,6.97E+08,,
171.72,6.11E+08,,
171.76,4.81E+08,,
171.81,3.06E+08,,
171.85,1.89E+08,,
171.89,1.04E+08,,
171.93,5.19E+07,,
171.98,1.86E+07,,
172.02,7.22E+06,,
172.06,2.52E+06,,
172.1,7.90E+05,,
172.15,1.59E+05,,
172.19,3.91E+04,,
172.23,8.62E+03,,
172.27,1.71E+03,,
172.32,1.93E+02,,
172.36,3.00E+01,,
172.4,4.17E+00,,
172.44,5.21E-01,,
172.49,3.32E-02,,
172.53,3.26E-03,,
172.57,2.86E-04,,
172.61,2.26E-05,,
172.66,8.12E-07,,
172.7,5.02E-08,,
173.12,4.51E-07,,
173.17,1.24E-05,,
173.21,1.56E-04,,
173.25,1.76E-03,,
173.29,1.80E-02,,
173.34,2.82E-01,,
173.38,2.27E+00,,
173.42,1.64E+01,,
173.46,1.07E+02,,
173.51,9.54E+02,,
173.55,4.90E+03,,
173.59,2.26E+04,,
173.63,9.40E+04,,
173.68,4.81E+05,,
173.72,1.58E+06,,
173.76,4.64E+06,,
173.8,1.23E+07,,
173.85,3.60E+07,,
173.89,7.53E+07,,
173.93,1.42E+08,,
173.97,2.40E+08,,
174.02,4.01E+08,,
174.06,5.36E+08,,
174.1,6.44E+08,,
174.14,6.97E+08,,
174.19,6.64E+08,,
174.23,5.66E+08,,
174.27,4.35E+08,,
174.31,3.01E+08,,
174.36,1.63E+08,,
174.4,8.91E+07,,
174.44,4.37E+07,,
174.48,1.93E+07,,
174.53,5.99E+06,,
174.57,2.08E+06,,
174.61,6.53E+05,,
