Wavelength,Spectra,,
176.74,3.86E-08,,
176.78,5.78E-07,,
176.82,7.83E-06,,
176.87,1.76E-04,,
176.91,1.90E-03,,
176.95,1.85E-02,,
176.99,1.63E-01,,
177.04,2.15E+00,,
177.08,1.51E+01,,
177.12,9.55E+01,,
177.16,5.47E+02,,
177.21,4.21E+03,,
177.25,1.92E+04,,
177.29,7.92E+04,,
177.33,2.95E+05,,
177.38,1.33E+06,,
177.42,3.93E+06,,
177.46,1.06E+07,,
177.5,2.56E+07,,
177.55,6.71E+07,,
177.59,1.30E+08,,
177.63,2.26E+08,,
177.67,3.56E+08,,
177.72,5.46E+08,,
177.76,6.85E+08,,
177.8,7.78E+08,,
177.84,7.98E+08,,
177.89,7.14E+08,,
177.93,5.83E+08,,
177.97,4.31E+08,,
178.01,2.87E+08,,
178.06,1.50E+08,,
178.1,7.98E+07,,
178.14,3.83E+07,,
178.18,1.66E+07,,
178.23,5.08E+06,,
178.27,1.76E+06,,
178.31,5.48E+05,,
178.35,1.55E+05,,
178.4,2.76E+04,,
178.44,6.21E+03,,
178.48,1.26E+03,,
178.52,2.32E+02,,
178.57,2.41E+01,,
178.61,3.53E+00,,
178.65,4.67E-01,,
178.69,5.57E-02,,
178.74,3.39E-03,,
178.78,3.23E-04,,
178.82,2.77E-05,,
178.86,2.16E-06,,
178.91,7.67E-08,,
184.18,1.82E-07,,
184.22,2.25E-06,,
184.26,2.54E-05,,
184.31,4.61E-04,,
184.35,4.22E-03,,
184.39,3.52E-02,,
184.43,2.67E-01,,
184.48,2.95E+00,,
184.52,1.82E+01,,
184.56,1.02E+02,,
184.6,5.21E+02,,
184.65,3.51E+03,,
184.69,1.46E+04,,
184.73,5.49E+04,,
184.77,1.89E+05,,
184.82,7.76E+05,,
184.86,2.16E+06,,
184.9,5.49E+06,,
184.94,1.27E+07,,
184.99,3.18E+07,,
185.03,5.97E+07,,
185.07,1.02E+08,,
185.11,1.59E+08,,
185.16,2.42E+08,,
185.2,3.06E+08,,
185.24,3.52E+08,,
185.28,3.69E+08,,
185.33,3.43E+08,,
185.37,2.91E+08,,
185.41,2.25E+08,,
185.45,1.59E+08,,
185.5,9.00E+07,,
185.54,5.15E+07,,
185.58,2.68E+07,,
185.62,1.28E+07,,
185.67,4.69E+06,,
185.71,2.78E+06,,
185.75,4.22E+06,,
185.79,1.12E+07,,
185.84,3.85E+07,,
185.88,9.45E+07,,
185.92,2.12E+08,,
185.96,4.33E+08,,
186.01,9.29E+08,,
186.05,1.54E+09,,
186.09,2.34E+09,,
186.13,3.23E+09,,
186.18,4.25E+09,,
186.22,4.76E+09,,
186.26,4.88E+09,,
186.3,4.55E+09,,
186.35,3.67E+09,,
186.39,2.78E+09,,
186.43,1.92E+09,,
186.47,1.22E+09,,
186.52,6.11E+08,,
186.56,3.31E+08,,
186.6,1.88E+08,,
186.64,1.33E+08,,
186.69,1.34E+08,,
186.73,1.59E+08,,
186.77,1.85E+08,,
186.81,2.01E+08,,
186.86,1.98E+08,,
186.9,1.76E+08,,
186.94,1.44E+08,,
186.98,1.07E+08,,
187.03,6.45E+07,,
187.07,3.90E+07,,
187.11,2.15E+07,,
187.15,1.08E+07,,
187.2,4.02E+06,,
187.24,1.64E+06,,
187.28,6.13E+05,,
187.32,2.09E+05,,
187.37,4.78E+04,,
187.41,1.32E+04,,
187.45,3.35E+03,,
187.49,7.72E+02,,
187.54,1.08E+02,,
187.58,2.03E+01,,
187.62,3.48E+00,,
187.66,5.44E-01,,
187.71,4.70E-02,,
187.75,5.97E-03,,
187.79,6.93E-04,,
187.83,7.33E-05,,
187.88,3.89E-06,,
