Wavelength,Spectra,,,
170.11,7.70E+00,,,
170.15,1.91E+01,,,
170.19,4.25E+01,,,
170.23,8.45E+01,,,
170.28,1.71E+02,,,
170.32,2.66E+02,,,
170.36,3.70E+02,,,
170.4,4.61E+02,,,
170.45,5.20E+02,,,
170.49,5.06E+02,,,
170.53,4.41E+02,,,
170.57,3.44E+02,,,
170.62,2.16E+02,,,
170.66,1.32E+02,,,
170.7,7.19E+01,,,
170.74,3.51E+01,,,
170.79,1.23E+01,,,
170.83,4.69E+00,,,
170.87,1.60E+00,,,
170.91,4.91E-01,,,
170.96,9.57E-02,,,
171,2.29E-02,,,
171.04,4.89E-03,,,
171.08,9.38E-04,,,
171.13,1.02E-04,,,
171.17,1.52E-05,,,
171.21,2.04E-06,,,
171.25,2.45E-07,,,
171.3,1.49E-08,,,
171.34,1.62E-09,,,
171.38,2.62E-09,,,
171.42,2.41E-08,,,
171.47,3.52E-07,,,
171.51,2.66E-06,,,
171.55,1.81E-05,,,
171.59,1.10E-04,,,
171.64,9.07E-04,,,
171.68,4.34E-03,,,
171.72,1.87E-02,,,
171.76,7.22E-02,,,
171.81,3.37E-01,,,
171.85,1.03E+00,,,
171.89,2.83E+00,,,
171.93,7.03E+00,,,
171.98,1.91E+01,,,
172.02,3.81E+01,,,
172.06,6.95E+01,,,
172.1,1.16E+02,,,
172.15,1.98E+02,,,
172.19,2.78E+02,,,
172.23,3.64E+02,,,
172.27,4.44E+02,,,
172.32,5.12E+02,,,
172.36,5.26E+02,,,
172.4,4.97E+02,,,
172.44,4.31E+02,,,
172.49,3.20E+02,,,
172.53,2.34E+02,,,
172.57,1.68E+02,,,
172.61,1.28E+02,,,
172.66,1.13E+02,,,
172.7,1.16E+02,,,
172.74,1.22E+02,,,
172.78,1.22E+02,,,
172.83,1.07E+02,,,
172.87,8.58E+01,,,
172.91,6.21E+01,,,
172.95,4.04E+01,,,
173,2.03E+01,,,
173.04,1.04E+01,,,
173.08,4.79E+00,,,
173.12,1.98E+00,,,
173.17,5.63E-01,,,
173.21,1.83E-01,,,
173.25,5.32E-02,,,
173.29,1.39E-02,,,
173.34,2.25E-03,,,
173.38,4.73E-04,,,
173.42,1.56E-04,,,
173.46,4.18E-04,,,
173.51,3.07E-03,,,
173.55,1.38E-02,,,
173.59,5.60E-02,,,
173.63,2.04E-01,,,
173.68,8.87E-01,,,
173.72,2.55E+00,,,
173.76,6.59E+00,,,
173.8,1.53E+01,,,
173.85,3.80E+01,,,
173.89,6.97E+01,,,
173.93,1.15E+02,,,
173.97,1.71E+02,,,
174.02,2.42E+02,,,
174.06,2.83E+02,,,
174.1,2.99E+02,,,
174.14,2.83E+02,,,
174.19,2.29E+02,,,
174.23,1.71E+02,,,
174.27,1.15E+02,,,
174.31,6.98E+01,,,
174.36,3.24E+01,,,
174.4,1.63E+01,,,
174.44,1.01E+01,,,
174.48,1.35E+01,,,
174.53,4.03E+01,,,
174.57,9.91E+01,,,
174.61,2.22E+02,,,
174.65,4.50E+02,,,
174.7,9.37E+02,,,
174.74,1.50E+03,,,
174.78,2.16E+03,,,
174.82,2.80E+03,,,
174.87,3.35E+03,,,
174.91,3.43E+03,,,
174.95,3.17E+03,,,
174.99,2.64E+03,,,
175.04,1.81E+03,,,
175.08,1.19E+03,,,
175.12,7.04E+02,,,
175.17,3.16E+02,,,
175.21,1.48E+02,,,
175.25,6.24E+01,,,
175.29,2.38E+01,,,
175.34,6.58E+00,,,
175.38,3.08E+00,,,
175.42,3.36E+00,,,
175.46,6.03E+00,,,
175.51,1.27E+01,,,
175.55,2.07E+01,,,
175.59,3.06E+01,,,
175.63,4.06E+01,,,
175.68,5.01E+01,,,
175.72,5.28E+01,,,
175.76,5.01E+01,,,
175.8,4.29E+01,,,
175.85,3.06E+01,,,
175.89,2.07E+01,,,
175.93,1.27E+01,,,
175.97,7.04E+00,,,
176.02,3.19E+00,,,
176.06,2.32E+00,,,
176.1,3.64E+00,,,
176.14,8.59E+00,,,
176.19,2.49E+01,,,
176.23,5.27E+01,,,
176.27,1.01E+02,,,
176.31,1.74E+02,,,
176.36,2.98E+02,,,
176.4,4.08E+02,,,
