Wavelength,Spectra,,
364.32,1.06E-10,,
364.36,3.92E-10,,
364.4,1.41E-09,,
364.45,6.76E-09,,
364.49,2.30E-08,,
364.53,7.67E-08,,
364.57,2.49E-07,,
364.62,1.05E-06,,
364.66,3.25E-06,,
364.7,9.77E-06,,
364.74,2.87E-05,,
364.79,1.07E-04,,
364.83,2.97E-04,,
364.87,8.08E-04,,
364.91,2.15E-03,,
364.96,7.04E-03,,
365,1.77E-02,,
365.04,4.35E-02,,
365.08,1.04E-01,,
365.13,3.02E-01,,
365.17,6.86E-01,,
365.21,1.52E+00,,
365.25,3.31E+00,,
365.3,8.41E+00,,
365.34,1.73E+01,,
365.38,3.47E+01,,
365.42,6.80E+01,,
365.47,1.53E+02,,
365.51,2.83E+02,,
365.55,5.14E+02,,
365.59,9.10E+02,,
365.64,1.80E+03,,
365.68,3.02E+03,,
365.72,4.95E+03,,
365.76,7.92E+03,,
365.81,1.38E+04,,
365.85,2.09E+04,,
365.89,3.10E+04,,
365.93,4.49E+04,,
365.98,6.88E+04,,
366.02,9.43E+04,,
366.06,1.26E+05,,
366.1,1.65E+05,,
366.15,2.23E+05,,
366.19,2.77E+05,,
366.23,3.35E+05,,
366.27,3.95E+05,,
366.32,4.71E+05,,
366.36,5.27E+05,,
366.4,5.77E+05,,
366.44,6.16E+05,,
366.49,6.46E+05,,
366.53,6.54E+05,,
366.57,6.46E+05,,
366.61,6.24E+05,,
366.66,5.77E+05,,
366.7,5.27E+05,,
366.74,4.71E+05,,
366.78,4.11E+05,,
366.83,3.35E+05,,
366.87,2.77E+05,,
366.91,2.23E+05,,
366.95,1.76E+05,,
367,1.26E+05,,
367.04,9.43E+04,,
367.08,6.88E+04,,
367.12,4.90E+04,,
367.17,3.10E+04,,
367.21,2.09E+04,,
367.25,1.38E+04,,
367.29,8.88E+03,,
367.34,4.95E+03,,
367.38,3.02E+03,,
367.42,1.80E+03,,
367.46,1.05E+03,,
367.51,5.14E+02,,
367.55,2.83E+02,,
367.59,1.53E+02,,
367.63,8.02E+01,,
367.68,3.47E+01,,
367.72,1.73E+01,,
367.76,8.41E+00,,
367.8,4.00E+00,,
367.85,1.52E+00,,
367.89,6.86E-01,,
367.93,3.02E-01,,
367.97,1.30E-01,,
368.02,4.35E-02,,
368.06,1.77E-02,,
368.1,7.04E-03,,
368.14,2.73E-03,,
368.19,8.08E-04,,
368.23,2.97E-04,,
368.27,1.07E-04,,
368.31,3.74E-05,,
368.36,9.77E-06,,
368.4,3.25E-06,,
368.44,1.05E-06,,
368.48,3.34E-07,,
368.53,7.67E-08,,
368.57,2.30E-08,,
368.61,6.76E-09,,
368.65,1.94E-09,,
368.7,3.92E-10,,
368.74,1.06E-10,,
422.52,4.21E-13,,
422.56,1.28E-12,,
422.61,5.05E-12,,
422.65,1.48E-11,,
422.69,4.27E-11,,
422.73,1.21E-10,,
422.78,4.33E-10,,
422.82,1.18E-09,,
422.86,3.15E-09,,
422.9,8.26E-09,,
422.95,2.69E-08,,
422.99,6.80E-08,,
423.03,1.69E-07,,
423.07,4.10E-07,,
423.12,1.22E-06,,
423.16,2.85E-06,,
423.2,6.55E-06,,
423.24,1.48E-05,,
423.29,3.99E-05,,
423.33,8.67E-05,,
423.37,1.85E-04,,
423.41,3.87E-04,,
423.46,9.52E-04,,
423.5,1.92E-03,,
423.54,3.79E-03,,
423.58,7.36E-03,,
423.63,1.65E-02,,
423.67,3.08E-02,,
423.71,5.64E-02,,
423.75,1.02E-01,,
423.8,2.07E-01,,
423.84,3.58E-01,,
423.88,6.10E-01,,
423.92,1.02E+00,,
423.97,1.89E+00,,
424.01,3.03E+00,,
424.05,4.79E+00,,
424.09,7.42E+00,,
424.14,1.25E+01,,
424.18,1.87E+01,,
424.22,2.73E+01,,
424.26,3.92E+01,,
424.31,6.03E+01,,
424.35,8.32E+01,,
424.39,1.13E+02,,
424.44,1.62E+02,,
424.48,2.11E+02,,
424.52,2.70E+02,,
424.56,3.40E+02,,
424.61,4.42E+02,,
424.65,5.35E+02,,
424.69,6.35E+02,,
424.73,7.42E+02,,
424.78,8.78E+02,,
424.82,9.85E+02,,
424.86,1.09E+03,,
424.9,1.18E+03,,
424.95,1.27E+03,,
424.99,1.32E+03,,
425.03,1.35E+03,,
425.07,1.36E+03,,
425.12,1.33E+03,,
425.16,1.28E+03,,
425.2,1.22E+03,,
425.24,1.13E+03,,
425.29,1.01E+03,,
425.33,9.05E+02,,
425.37,7.96E+02,,
425.41,6.88E+02,,
425.46,5.59E+02,,
425.5,4.64E+02,,
425.54,3.79E+02,,
425.58,3.04E+02,,
425.63,2.25E+02,,
425.67,1.73E+02,,
425.71,1.31E+02,,
425.75,9.74E+01,,
425.8,6.60E+01,,
425.84,4.78E+01,,
425.88,3.49E+01,,
425.92,2.67E+01,,
425.97,2.30E+01,,
426.01,2.61E+01,,
426.05,3.69E+01,,
426.09,5.91E+01,,
426.14,1.14E+02,,
426.18,1.94E+02,,
426.22,3.26E+02,,
426.26,5.41E+02,,
426.31,9.96E+02,,
426.35,1.59E+03,,
426.39,2.50E+03,,
426.43,3.85E+03,,
426.48,6.46E+03,,
426.52,9.58E+03,,
426.56,1.40E+04,,
426.6,2.00E+04,,
426.65,3.06E+04,,
426.69,4.21E+04,,
426.73,5.69E+04,,
426.77,7.57E+04,,
426.82,1.05E+05,,
426.86,1.35E+05,,
426.9,1.69E+05,,
426.94,2.09E+05,,
426.99,2.65E+05,,
427.03,3.14E+05,,
427.07,3.66E+05,,
427.11,4.20E+05,,
427.16,4.85E+05,,
427.2,5.34E+05,,
427.24,5.78E+05,,
427.28,6.14E+05,,
427.33,6.47E+05,,
427.37,6.62E+05,,
427.41,6.65E+05,,
427.45,6.56E+05,,
427.5,6.30E+05,,
427.54,5.97E+05,,
427.58,5.57E+05,,
427.62,5.10E+05,,
427.67,4.47E+05,,
427.71,3.94E+05,,
427.75,3.41E+05,,
427.79,2.91E+05,,
427.84,2.33E+05,,
427.88,1.93E+05,,
427.92,1.57E+05,,
427.96,1.27E+05,,
428.01,9.80E+04,,
428.05,8.06E+04,,
428.09,6.82E+04,,
428.13,6.01E+04,,
428.18,5.54E+04,,
428.22,5.53E+04,,
428.26,5.76E+04,,
428.3,6.20E+04,,
428.35,6.94E+04,,
428.39,7.61E+04,,
428.43,8.32E+04,,
428.47,8.99E+04,,
428.52,9.73E+04,,
428.56,1.02E+05,,
428.6,1.05E+05,,
428.64,1.07E+05,,
428.69,1.07E+05,,
428.73,1.05E+05,,
428.77,1.01E+05,,
428.81,9.63E+04,,
428.86,8.89E+04,,
428.9,8.22E+04,,
428.94,7.51E+04,,
428.98,6.80E+04,,
429.03,5.95E+04,,
429.07,5.31E+04,,
429.11,4.72E+04,,
429.15,4.20E+04,,
429.2,3.62E+04,,
429.24,3.22E+04,,
429.28,2.88E+04,,
429.32,2.57E+04,,
429.37,2.23E+04,,
429.41,1.99E+04,,
429.45,1.77E+04,,
429.49,1.57E+04,,
429.54,1.33E+04,,
429.58,1.15E+04,,
429.62,9.84E+03,,
429.66,8.33E+03,,
429.71,6.62E+03,,
429.75,5.42E+03,,
429.79,4.38E+03,,
429.83,3.47E+03,,
429.88,2.55E+03,,
429.92,1.95E+03,,
429.96,1.47E+03,,
430,1.09E+03,,
430.05,7.27E+02,,
430.09,5.18E+02,,
430.13,3.62E+02,,
430.17,2.49E+02,,
430.22,1.53E+02,,
430.26,1.01E+02,,
430.3,6.59E+01,,
430.34,4.25E+01,,
430.39,2.45E+01,,
430.43,1.65E+01,,
430.47,1.27E+01,,
430.51,1.27E+01,,
430.56,1.88E+01,,
430.6,3.07E+01,,
430.64,5.28E+01,,
430.68,9.11E+01,,
430.73,1.78E+02,,
430.77,2.99E+02,,
430.81,4.93E+02,,
430.85,8.00E+02,,
430.9,1.43E+03,,
430.94,2.24E+03,,
430.98,3.43E+03,,
431.02,5.18E+03,,
431.07,8.46E+03,,
431.11,1.23E+04,,
431.15,1.75E+04,,
431.2,2.67E+04,,
431.24,3.67E+04,,
431.28,4.95E+04,,
431.32,6.57E+04,,
431.37,9.14E+04,,
431.41,1.17E+05,,
431.45,1.46E+05,,
431.49,1.81E+05,,
431.54,2.29E+05,,
431.58,2.72E+05,,
431.62,3.18E+05,,
431.66,3.64E+05,,
431.71,4.22E+05,,
431.75,4.66E+05,,
431.79,5.06E+05,,
431.83,5.39E+05,,
431.88,5.70E+05,,
431.92,5.85E+05,,
431.96,5.90E+05,,
432,5.85E+05,,
432.05,5.65E+05,,
432.09,5.39E+05,,
432.13,5.06E+05,,
432.17,4.66E+05,,
432.22,4.11E+05,,
432.26,3.64E+05,,
432.3,3.18E+05,,
432.34,2.72E+05,,
432.39,2.19E+05,,
432.43,1.81E+05,,
432.47,1.46E+05,,
432.51,1.17E+05,,
432.56,8.57E+04,,
432.6,6.57E+04,,
432.64,4.95E+04,,
432.68,3.67E+04,,
432.73,2.46E+04,,
432.77,1.75E+04,,
432.81,1.23E+04,,
432.85,8.46E+03,,
432.9,5.18E+03,,
432.94,3.43E+03,,
432.98,2.24E+03,,
433.02,1.43E+03,,
433.07,8.00E+02,,
433.11,4.93E+02,,
433.15,2.99E+02,,
433.19,1.78E+02,,
433.24,9.07E+01,,
433.28,5.19E+01,,
433.32,2.92E+01,,
433.36,1.62E+01,,
433.41,7.54E+00,,
433.45,4.01E+00,,
433.49,2.10E+00,,
433.53,1.08E+00,,
433.58,4.60E-01,,
433.62,2.28E-01,,
433.66,1.11E-01,,
433.7,5.37E-02,,
433.75,2.24E-02,,
433.79,1.32E-02,,
433.83,1.21E-02,,
433.87,1.80E-02,,
433.92,3.91E-02,,
433.96,7.61E-02,,
434,1.47E-01,,
434.04,2.80E-01,,
434.09,6.13E-01,,
434.13,1.13E+00,,
434.17,2.03E+00,,
434.21,3.60E+00,,
434.26,7.20E+00,,
434.3,1.23E+01,,
434.34,2.07E+01,,
434.38,3.42E+01,,
434.43,6.24E+01,,
434.47,9.93E+01,,
434.51,1.55E+02,,
434.55,2.39E+02,,
434.6,3.99E+02,,
434.64,5.91E+02,,
434.68,8.60E+02,,
434.72,1.23E+03,,
434.77,1.88E+03,,
434.81,2.59E+03,,
434.85,3.51E+03,,
434.89,4.68E+03,,
434.94,6.54E+03,,
434.98,8.38E+03,,
435.02,1.06E+04,,
435.06,1.31E+04,,
435.11,1.68E+04,,
435.15,2.00E+04,,
435.19,2.35E+04,,
435.23,2.71E+04,,
435.28,3.17E+04,,
435.32,3.52E+04,,
435.36,3.84E+04,,
435.4,4.13E+04,,
435.45,4.41E+04,,
435.49,4.56E+04,,
435.53,4.64E+04,,
435.57,4.64E+04,,
435.62,4.53E+04,,
435.66,4.36E+04,,
435.7,4.13E+04,,
435.74,3.84E+04,,
435.79,3.43E+04,,
435.83,3.07E+04,,
435.87,2.71E+04,,
435.91,2.35E+04,,
435.96,1.92E+04,,
436,1.60E+04,,
436.04,1.31E+04,,
436.08,1.06E+04,,
436.13,7.89E+03,,
436.17,6.13E+03,,
436.21,4.69E+03,,
436.25,3.53E+03,,
436.3,2.43E+03,,
436.34,1.78E+03,,
436.38,1.32E+03,,
436.42,9.99E+02,,
436.47,7.93E+02,,
436.51,7.70E+02,,
436.55,8.81E+02,,
436.59,1.15E+03,,
436.64,1.76E+03,,
436.68,2.54E+03,,
436.72,3.66E+03,,
436.76,5.24E+03,,
436.81,8.03E+03,,
436.85,1.11E+04,,
436.89,1.51E+04,,
436.93,2.03E+04,,
436.98,2.86E+04,,
437.02,3.68E+04,,
437.06,4.68E+04,,
437.1,5.83E+04,,
437.15,7.51E+04,,
437.19,9.03E+04,,
437.23,1.07E+05,,
437.27,1.24E+05,,
437.32,1.46E+05,,
437.36,1.64E+05,,
437.4,1.80E+05,,
437.44,1.95E+05,,
437.49,2.10E+05,,
437.53,2.19E+05,,
437.57,2.25E+05,,
437.61,2.27E+05,,
437.66,2.24E+05,,
437.7,2.18E+05,,
437.74,2.08E+05,,
437.78,1.95E+05,,
437.83,1.76E+05,,
437.87,1.59E+05,,
437.91,1.42E+05,,
437.96,1.20E+05,,
438,1.03E+05,,
438.04,8.64E+04,,
438.08,7.16E+04,,
438.13,5.53E+04,,
438.17,4.41E+04,,
438.21,3.46E+04,,
438.25,2.67E+04,,
438.3,1.89E+04,,
438.34,1.40E+04,,
438.38,1.03E+04,,
438.42,7.38E+03,,
438.47,4.77E+03,,
438.51,3.31E+03,,
438.55,2.25E+03,,
438.59,1.51E+03,,
438.64,9.06E+02,,
438.68,6.00E+02,,
438.72,4.08E+02,,
438.76,3.01E+02,,
438.81,2.62E+02,,
438.85,2.99E+02,,
438.89,4.02E+02,,
438.93,5.88E+02,,
438.98,9.78E+02,,
439.02,1.47E+03,,
439.06,2.17E+03,,
439.1,3.18E+03,,
439.15,4.99E+03,,
439.19,7.03E+03,,
439.23,9.74E+03,,
439.27,1.33E+04,,
439.32,1.91E+04,,
439.36,2.51E+04,,
439.4,3.24E+04,,
439.44,4.12E+04,,
439.49,5.44E+04,,
439.53,6.66E+04,,
439.57,8.02E+04,,
439.61,9.50E+04,,
439.66,1.15E+05,,
439.7,1.31E+05,,
439.74,1.47E+05,,
439.78,1.62E+05,,
439.83,1.79E+05,,
439.87,1.91E+05,,
439.91,2.00E+05,,
439.95,2.06E+05,,
440,2.08E+05,,
440.04,2.07E+05,,
440.08,2.02E+05,,
440.12,1.93E+05,,
440.17,1.79E+05,,
440.21,1.66E+05,,
440.25,1.51E+05,,
440.29,1.35E+05,,
440.34,1.15E+05,,
440.38,9.88E+04,,
440.42,8.38E+04,,
440.46,6.98E+04,,
440.51,5.44E+04,,
440.55,4.37E+04,,
440.59,3.45E+04,,
440.63,2.68E+04,,
440.68,1.91E+04,,
440.72,1.43E+04,,
440.76,1.05E+04,,
440.8,7.64E+03,,
440.85,4.99E+03,,
440.89,3.48E+03,,
440.93,2.39E+03,,
440.97,1.61E+03,,
441.02,9.66E+02,,
441.06,6.28E+02,,
441.1,4.02E+02,,
441.14,2.53E+02,,
441.19,1.39E+02,,
441.23,8.41E+01,,
441.27,5.02E+01,,
441.31,2.94E+01,,
441.36,1.48E+01,,
441.4,8.36E+00,,
441.44,4.65E+00,,
441.48,2.55E+00,,
441.53,1.18E+00,,
441.57,6.41E-01,,
441.61,3.68E-01,,
441.65,2.54E-01,,
441.7,2.64E-01,,
441.74,3.87E-01,,
441.78,6.43E-01,,
441.82,1.10E+00,,
441.87,2.15E+00,,
441.91,3.62E+00,,
441.95,6.00E+00,,
441.99,9.79E+00,,
442.04,1.76E+01,,
442.08,2.77E+01,,
442.12,4.29E+01,,
442.16,6.52E+01,,
442.21,1.08E+02,,
442.25,1.58E+02,,
442.29,2.28E+02,,
442.33,3.24E+02,,
442.38,4.91E+02,,
442.42,6.72E+02,,
442.46,9.06E+02,,
442.5,1.20E+03,,
442.55,1.67E+03,,
442.59,2.14E+03,,
442.63,2.69E+03,,
442.67,3.34E+03,,
442.72,4.27E+03,,
442.76,5.10E+03,,
442.8,6.01E+03,,
