Wavelength,Spectra,,
319.63,1.34E-09,,
319.68,8.62E-09,,
319.72,3.69E-08,,
319.76,1.53E-07,,
319.8,6.16E-07,,
319.85,3.36E-06,,
319.89,1.26E-05,,
319.93,4.60E-05,,
319.97,1.62E-04,,
320.02,7.51E-04,,
320.06,2.47E-03,,
320.1,7.89E-03,,
320.14,2.44E-02,,
320.19,9.59E-02,,
320.23,2.77E-01,,
320.27,7.74E-01,,
320.31,2.10E+00,,
320.36,7.00E+00,,
320.4,1.77E+01,,
320.44,4.34E+01,,
320.48,1.03E+02,,
320.53,2.92E+02,,
320.57,6.48E+02,,
320.61,1.39E+03,,
320.65,2.91E+03,,
320.7,6.97E+03,,
320.74,1.36E+04,,
320.78,2.56E+04,,
320.82,4.68E+04,,
320.87,9.52E+04,,
320.91,1.62E+05,,
320.95,2.68E+05,,
320.99,4.30E+05,,
321.04,7.43E+05,,
321.08,1.11E+06,,
321.12,1.61E+06,,
321.16,2.26E+06,,
321.21,3.32E+06,,
321.25,4.35E+06,,
321.29,5.53E+06,,
321.33,6.81E+06,,
321.38,8.47E+06,,
321.42,9.73E+06,,
321.46,1.08E+07,,
321.5,1.17E+07,,
321.55,1.24E+07,,
321.59,1.25E+07,,
321.63,1.22E+07,,
321.67,1.15E+07,,
321.72,1.03E+07,,
321.76,9.11E+06,,
321.8,7.81E+06,,
321.84,6.48E+06,,
321.89,4.92E+06,,
321.93,3.81E+06,,
321.97,2.86E+06,,
322.01,2.09E+06,,
322.06,1.34E+06,,
322.1,9.12E+05,,
322.14,6.01E+05,,
322.18,3.84E+05,,
322.23,2.10E+05,,
322.27,1.25E+05,,
322.31,7.21E+04,,
322.35,4.03E+04,,
322.4,1.87E+04,,
322.44,9.77E+03,,
322.48,4.94E+03,,
322.52,2.43E+03,,
322.57,9.54E+02,,
322.61,4.37E+02,,
322.65,1.94E+02,,
322.69,8.34E+01,,
322.74,2.78E+01,,
322.78,1.12E+01,,
322.82,4.35E+00,,
322.86,1.64E+00,,
322.91,4.65E-01,,
322.95,1.64E-01,,
322.99,5.58E-02,,
323.03,1.85E-02,,
323.08,4.43E-03,,
323.12,1.37E-03,,
323.16,4.09E-04,,
323.2,1.19E-04,,
323.25,2.42E-05,,
323.29,6.54E-06,,
323.33,1.72E-06,,
323.38,3.08E-07,,
323.42,7.54E-08,,
323.46,1.79E-08,,
323.5,4.12E-09,,
332.22,7.79E-09,,
332.26,3.22E-08,,
332.3,1.29E-07,,
332.35,7.04E-07,,
332.39,2.65E-06,,
332.43,9.68E-06,,
332.47,3.44E-05,,
332.52,1.61E-04,,
332.56,5.36E-04,,
332.6,1.74E-03,,
332.64,5.46E-03,,
332.69,2.20E-02,,
332.73,6.48E-02,,
332.77,1.86E-01,,
332.81,5.17E-01,,
332.86,1.79E+00,,
332.9,4.66E+00,,
332.94,1.18E+01,,
332.98,2.92E+01,,
333.03,8.66E+01,,
333.07,2.00E+02,,
333.11,4.49E+02,,
