Wavelength,Spectra
174.48,8.68E-33
174.53,2.42E-31
174.57,3.08E-30
174.61,3.53E-29
174.65,3.66E-28
174.7,5.86E-27
174.74,4.80E-26
174.78,3.55E-25
174.82,2.36E-24
174.87,2.18E-23
174.91,1.15E-22
174.95,5.45E-22
174.99,2.33E-21
175.04,1.24E-20
175.08,4.21E-20
175.12,1.29E-19
175.17,4.48E-19
175.21,1.08E-18
175.25,2.36E-18
175.29,4.64E-18
175.34,9.32E-18
175.38,1.45E-17
175.42,2.03E-17
175.46,2.57E-17
175.51,2.97E-17
175.55,2.97E-17
175.59,2.68E-17
175.63,2.17E-17
175.68,1.45E-17
175.72,9.32E-18
175.76,5.40E-18
175.8,2.82E-18
175.85,1.08E-18
175.89,4.48E-19
175.93,1.67E-19
175.97,5.62E-20
176.02,1.24E-20
176.06,3.30E-21
176.1,7.92E-22
176.14,1.71E-22
176.19,2.18E-23
176.23,3.73E-24
176.27,5.75E-25
176.31,7.99E-26
176.36,5.86E-27
176.4,6.45E-28
176.44,6.40E-29
176.48,5.72E-30
176.53,2.42E-31
176.57,1.71E-32
176.61,1.09E-33
206.92,2.56E-80
206.97,7.83E-79
207.01,7.42E-78
207.05,6.55E-77
207.09,5.37E-76
207.14,6.73E-75
207.18,4.69E-74
207.22,3.04E-73
207.26,1.83E-72
207.31,1.57E-71
207.35,8.02E-71
207.39,3.82E-70
207.43,1.69E-69
207.48,9.84E-69
207.52,3.71E-68
207.56,1.30E-67
207.6,4.23E-67
207.65,1.67E-66
207.69,4.63E-66
207.73,1.19E-65
207.77,2.85E-65
207.82,7.67E-65
207.86,1.56E-64
207.9,2.95E-64
207.94,5.18E-64
207.99,9.46E-64
208.03,1.41E-63
208.07,1.96E-63
208.11,2.52E-63
208.16,3.13E-63
208.2,3.43E-63
208.24,3.48E-63
208.28,3.29E-63
208.33,2.77E-63
208.37,2.22E-63
208.41,1.66E-63
208.45,1.15E-63
208.5,6.55E-64
208.54,3.85E-64
208.58,2.10E-64
208.62,1.07E-64
208.67,4.12E-65
208.71,1.77E-65
208.75,7.08E-66
208.8,2.03E-66
208.84,6.88E-67
208.88,2.17E-67
208.92,6.34E-68
208.97,1.23E-68
209.01,3.05E-69
209.05,7.04E-70
209.09,1.51E-70
209.14,1.98E-71
209.18,3.59E-72
209.22,6.05E-73
209.26,9.48E-74
209.31,8.43E-75
209.35,1.12E-75
209.39,1.38E-76
209.43,1.58E-77
209.48,9.38E-79
209.52,2.11E-81
231.58,1.31E-35
231.63,1.65E-34
231.67,1.17E-33
231.71,7.86E-33
231.75,4.96E-32
231.8,4.57E-31
231.84,2.52E-30
231.88,1.32E-29
231.92,6.46E-29
231.97,4.35E-28
232.01,1.87E-27
232.05,7.59E-27
232.09,2.90E-26
232.14,1.43E-25
232.18,4.78E-25
232.22,1.51E-24
232.26,4.49E-24
232.31,1.62E-23
232.35,4.21E-23
232.39,1.04E-22
232.43,2.40E-22
232.48,6.31E-22
232.52,1.28E-21
232.56,2.45E-21
232.6,4.41E-21
232.65,8.49E-21
232.69,1.34E-20
232.73,2.00E-20
232.77,2.80E-20
232.82,3.94E-20
232.86,4.84E-20
232.9,5.61E-20
232.94,6.13E-20
232.99,6.30E-20
233.03,6.03E-20
233.07,5.44E-20
233.11,4.62E-20
233.16,3.47E-20
233.2,2.59E-20
233.24,1.82E-20
233.28,1.20E-20
233.33,6.61E-21
233.37,3.83E-21
233.41,2.09E-21
233.45,1.08E-21
233.5,4.33E-22
233.54,1.95E-22
233.58,8.31E-23
233.62,3.33E-23
233.67,9.79E-24
233.71,3.44E-24
233.75,1.14E-24
233.79,3.55E-25
233.84,7.63E-26
233.88,2.09E-26
233.92,5.38E-27
233.96,1.31E-27
234.01,2.05E-28
234.05,4.36E-29
234.09,8.75E-30
234.13,1.66E-30
234.18,1.90E-31
234.22,3.15E-32
234.26,4.91E-33
234.3,7.23E-34
234.35,6.07E-35
234.39,8.91E-36
234.43,8.25E-36
234.47,5.92E-35
234.52,6.41E-34
234.56,4.04E-33
234.6,2.41E-32
234.64,1.35E-31
234.69,1.08E-30
234.73,5.33E-30
234.77,2.48E-29
234.81,1.09E-28
234.86,6.42E-28
234.9,2.48E-27
234.94,9.06E-27
234.98,3.12E-26
235.03,1.35E-25
235.07,4.09E-25
235.11,1.17E-24
235.15,3.16E-24
235.2,1.01E-23
235.24,2.39E-23
235.28,5.34E-23
235.32,1.13E-22
235.37,2.65E-22
235.41,4.92E-22
