Wavelength,Spectra,,
218.23,1.73E-06,,
218.28,2.60E-05,,
218.32,2.10E-04,,
218.36,1.59E-03,,
218.4,1.13E-02,,
218.45,1.19E-01,,
218.49,7.25E-01,,
218.53,4.14E+00,,
218.57,2.21E+01,,
218.62,1.64E+02,,
218.66,7.54E+02,,
218.7,3.25E+03,,
218.74,1.31E+04,,
218.79,6.82E+04,,
218.83,2.37E+05,,
218.87,7.69E+05,,
218.91,2.34E+06,,
218.96,8.55E+06,,
219,2.24E+07,,
219.04,5.48E+07,,
219.08,1.26E+08,,
219.13,3.23E+08,,
219.17,6.38E+08,,
219.21,1.18E+09,,
219.25,2.04E+09,,
219.3,3.68E+09,,
219.34,5.48E+09,,
219.38,7.64E+09,,
219.42,9.97E+09,,
219.47,1.27E+10,,
219.51,1.42E+10,,
219.55,1.49E+10,,
219.59,1.47E+10,,
219.64,1.31E+10,,
219.68,1.11E+10,,
219.72,8.80E+09,,
219.76,6.53E+09,,
219.81,4.09E+09,,
219.85,2.62E+09,,
219.89,1.56E+09,,
219.93,8.75E+08,,
219.98,3.85E+08,,
220.02,1.86E+08,,
220.06,8.37E+07,,
220.1,3.53E+07,,
220.15,1.09E+07,,
220.19,3.98E+06,,
220.23,1.35E+06,,
220.27,4.30E+05,,
220.32,9.36E+04,,
220.36,2.57E+04,,
220.4,6.58E+03,,
220.44,1.58E+03,,
220.49,2.42E+02,,
220.53,4.99E+01,,
220.57,9.65E+00,,
220.61,1.75E+00,,
220.66,1.88E-01,,
220.7,2.93E-02,,
220.74,4.27E-03,,
220.78,5.83E-04,,
220.83,4.41E-05,,
220.87,5.18E-06,,
259.98,5.87E-05,,
260.03,5.53E-04,,
260.07,3.16E-03,,
260.11,1.72E-02,,
260.15,8.96E-02,,
260.2,6.59E-01,,
260.24,3.09E+00,,
260.28,1.38E+01,,
260.32,5.88E+01,,
260.37,3.37E+02,,
260.41,1.30E+03,,
260.45,4.74E+03,,
260.49,1.66E+04,,
260.54,7.42E+04,,
260.58,2.33E+05,,
260.62,7.00E+05,,
260.66,2.01E+06,,
260.71,7.00E+06,,
260.75,1.81E+07,,
260.79,4.45E+07,,
260.83,1.04E+08,,
260.88,2.84E+08,,
260.92,6.01E+08,,
260.96,1.21E+09,,
261,2.33E+09,,
261.05,4.95E+09,,
261.09,8.58E+09,,
261.13,1.42E+10,,
261.17,2.24E+10,,
261.22,3.71E+10,,
261.26,5.27E+10,,
261.3,7.14E+10,,
261.34,9.23E+10,,
261.39,1.19E+11,,
261.43,1.39E+11,,
261.47,1.54E+11,,
261.51,1.64E+11,,
261.56,1.65E+11,,
261.6,1.57E+11,,
261.64,1.43E+11,,
261.68,1.24E+11,,
261.73,9.77E+10,,
261.77,7.64E+10,,
261.81,5.71E+10,,
261.85,4.06E+10,,
261.9,2.49E+10,,
261.94,1.60E+10,,
261.98,9.77E+09,,
262.02,5.71E+09,,
262.07,2.73E+09,,
262.11,1.43E+09,,
262.15,7.19E+08,,
262.19,3.44E+08,,
262.24,1.28E+08,,
262.28,5.53E+07,,
262.32,2.27E+07,,
262.36,8.91E+06,,
262.41,2.59E+06,,
262.45,9.15E+05,,
262.49,3.08E+05,,
262.53,9.92E+04,,
262.58,2.25E+04,,
262.62,6.51E+03,,
262.66,1.80E+03,,
262.71,3.37E+02,,
262.75,8.39E+01,,
262.79,1.99E+01,,
262.83,4.51E+00,,
262.88,6.59E-01,,
262.92,1.34E-01,,
262.96,2.61E-02,,
263,4.85E-03,,
263.05,5.53E-04,,
263.09,9.24E-05,,
263.13,1.47E-05,,
271.25,1.47E-08,,
271.29,8.40E-08,,
271.34,6.96E-07,,
271.38,3.60E-06,,
271.42,1.79E-05,,
271.46,8.48E-05,,
271.51,5.59E-04,,
271.55,2.41E-03,,
271.59,9.95E-03,,
271.63,3.94E-02,,
271.68,2.07E-01,,
271.72,7.42E-01,,
271.76,2.55E+00,,
271.8,8.41E+00,,
271.85,3.52E+01,,
271.89,1.05E+02,,
271.93,3.01E+02,,
271.97,8.27E+02,,
272.02,2.75E+03,,
272.06,6.86E+03,,
272.1,1.64E+04,,
272.14,3.74E+04,,
272.19,9.91E+04,,
272.23,2.06E+05,,
272.27,4.09E+05,,
272.31,7.79E+05,,
272.36,1.64E+06,,
272.4,2.84E+06,,
272.44,4.71E+06,,
272.48,7.47E+06,,
272.53,1.25E+07,,
272.57,1.80E+07,,
272.61,2.49E+07,,
272.65,3.29E+07,,
272.7,4.40E+07,,
272.74,5.28E+07,,
272.78,6.07E+07,,
272.82,6.68E+07,,
272.87,7.10E+07,,
272.91,7.10E+07,,
272.95,6.80E+07,,
272.99,6.24E+07,,
273.04,5.28E+07,,
273.08,4.40E+07,,
273.12,3.51E+07,,
273.16,2.68E+07,,
273.21,1.80E+07,,
273.25,1.25E+07,,
273.29,8.33E+06,,
273.33,5.30E+06,,
273.38,2.84E+06,,
273.42,1.64E+06,,
273.46,9.09E+05,,
273.5,4.83E+05,,
273.55,2.06E+05,,
273.59,9.91E+04,,
273.63,4.57E+04,,
273.67,2.02E+04,,
273.72,6.86E+03,,
273.76,2.75E+03,,
273.8,1.06E+03,,
273.84,3.89E+02,,
273.89,1.05E+02,,
273.93,3.52E+01,,
273.97,1.13E+01,,
274.01,3.53E+00,,
274.06,1.24E+00,,
274.1,2.24E+00,,
274.14,8.06E+00,,
274.18,3.03E+01,,
274.23,1.50E+02,,
274.27,5.16E+02,,
274.31,1.70E+03,,
274.35,5.36E+03,,
274.4,2.13E+04,,
274.44,6.10E+04,,
274.48,1.68E+05,,
274.52,4.43E+05,,
274.57,1.40E+06,,
274.61,3.37E+06,,
274.65,7.75E+06,,
274.69,1.71E+07,,
274.74,4.33E+07,,
274.78,8.69E+07,,
274.82,1.67E+08,,
274.86,3.08E+08,,
274.91,6.24E+08,,
274.95,1.05E+09,,
274.99,1.68E+09,,
275.03,2.59E+09,,
275.08,4.19E+09,,
275.12,5.87E+09,,
275.16,7.89E+09,,
275.2,1.02E+10,,
275.25,1.31E+10,,
275.29,1.54E+10,,
275.33,1.73E+10,,
275.37,1.86E+10,,
275.42,1.92E+10,,
275.46,1.88E+10,,
275.5,1.77E+10,,
275.54,1.59E+10,,
275.59,1.31E+10,,
275.63,1.08E+10,,
275.67,8.44E+09,,
275.71,6.35E+09,,
275.76,4.19E+09,,
275.8,2.87E+09,,
275.84,1.88E+09,,
275.88,1.18E+09,,
275.93,6.24E+08,,
