Wavelength,Spectra,,,
  170.11,2.38E-18,,,
  170.15,4.62E-18,,,
  170.19,8.01E-18,,,
  170.23,1.25E-17,,,
  170.28,1.85E-17,,,
  170.32,2.24E-17,,,
  170.36,2.44E-17,,,
  170.4,2.37E-17,,,
  170.45,1.96E-17,,,
  170.49,1.49E-17,,,
  170.53,1.01E-17,,,
  170.57,6.17E-18,,,
  170.62,2.84E-18,,,
  170.66,1.35E-18,,,
  170.7,5.74E-19,,,
  170.74,2.19E-19,,,
  170.79,5.61E-20,,,
  170.83,1.67E-20,,,
  170.87,4.48E-21,,,
  170.91,1.23E-21,,,
  170.96,1.22E-21,,,
  171,4.19E-21,,,
  171.04,1.45E-20,,,
  171.08,4.56E-20,,,
  171.13,1.63E-19,,,
  171.17,4.00E-19,,,
  171.21,8.81E-19,,,
  171.25,1.74E-18,,,
  171.3,3.49E-18,,,
  171.34,5.40E-18,,,
  171.38,7.48E-18,,,
  171.42,9.30E-18,,,
  171.47,1.05E-17,,,
  171.51,1.02E-17,,,
  171.55,8.90E-18,,,
  171.59,6.97E-18,,,
  171.64,4.40E-18,,,
  171.68,2.70E-18,,,
  171.72,1.50E-18,,,
  171.76,8.07E-19,,,
  171.81,5.68E-19,,,
  171.85,9.37E-19,,,
  171.89,2.07E-18,,,
  171.93,4.47E-18,,,
  171.98,1.02E-17,,,
  172.02,1.75E-17,,,
  172.06,2.69E-17,,,
  172.1,3.72E-17,,,
  172.15,4.79E-17,,,
  172.19,5.19E-17,,,
  172.23,5.05E-17,,,
  172.27,4.42E-17,,,
  172.32,3.21E-17,,,
  172.36,2.20E-17,,,
  172.4,1.35E-17,,,
  172.44,1.73E-08,,,
  172.49,5.20E-07,,,
  172.53,7.03E-06,,,
  172.57,8.56E-05,,,
  172.61,9.36E-04,,,
  172.66,1.60E-02,,,
  172.7,1.38E-01,,,
  172.74,1.07E+00,,,
  172.78,7.44E+00,,,
  172.83,7.25E+01,,,
  172.87,3.97E+02,,,
  172.91,1.96E+03,,,
  172.95,8.67E+03,,,
  173,4.80E+04,,,
  173.04,1.67E+05,,,
  173.08,5.25E+05,,,
  173.12,1.48E+06,,,
  173.17,4.66E+06,,,
  173.21,1.04E+07,,,
  173.25,2.07E+07,,,
  173.29,3.72E+07,,,
  173.34,6.70E+07,,,
  173.38,9.59E+07,,,
  173.42,1.25E+08,,,
