Wavelength,Spectra,,
169.76,2.21E-09,,
169.8,3.93E-08,,
169.84,6.27E-07,,
169.88,8.96E-06,,
169.92,1.15E-04,,
169.96,1.32E-03,,
170,1.35E-02,,
170.05,2.13E-01,,
170.09,1.71E+00,,
170.13,1.23E+01,,
170.17,7.96E+01,,
170.21,4.60E+02,,
170.25,2.38E+03,,
170.29,1.11E+04,,
170.33,4.60E+04,,
170.37,1.72E+05,,
170.42,7.62E+05,,
170.46,2.22E+06,,
170.5,5.79E+06,,
170.54,1.36E+07,,
170.58,2.84E+07,,
170.62,5.34E+07,,
170.66,8.99E+07,,
170.7,1.36E+08,,
170.74,1.84E+08,,
170.79,2.30E+08,,
170.83,2.45E+08,,
170.87,2.37E+08,,
170.91,2.12E+08,,
170.95,1.82E+08,,
170.99,1.62E+08,,
171.03,1.60E+08,,
171.07,1.75E+08,,
171.11,1.99E+08,,
171.16,2.27E+08,,
171.2,2.37E+08,,
171.24,2.37E+08,,
171.28,2.31E+08,,
171.32,2.27E+08,,
171.36,2.26E+08,,
171.4,2.25E+08,,
171.44,2.16E+08,,
171.48,1.94E+08,,
171.53,1.51E+08,,
171.57,1.11E+08,,
171.61,7.33E+07,,
171.65,4.36E+07,,
171.69,2.33E+07,,
171.73,1.12E+07,,
171.77,4.80E+06,,
171.81,1.85E+06,,
171.85,6.40E+05,,
171.89,1.99E+05,,
171.94,3.95E+04,,
171.98,9.85E+03,,
172.02,3.24E+03,,
172.06,4.73E+03,,
172.1,1.46E+04,,
172.14,4.36E+04,,
172.18,1.18E+05,,
172.22,2.86E+05,,
172.26,6.24E+05,,
172.31,1.42E+06,,
172.35,2.43E+06,,
172.39,3.74E+06,,
172.43,5.16E+06,,
172.47,6.40E+06,,
172.51,7.13E+06,,
172.55,7.13E+06,,
172.59,6.40E+06,,
172.63,5.16E+06,,
172.68,3.39E+06,,
172.72,2.15E+06,,
172.76,1.24E+06,,
172.8,7.06E+05,,
172.84,6.23E+05,,
172.88,1.36E+06,,
172.92,4.16E+06,,
172.96,1.23E+07,,
173,3.28E+07,,
173.05,9.67E+07,,
173.09,2.04E+08,,
