Wavelength,Spectra
253.27,9.26E-10
253.31,6.10E-09
253.35,3.82E-08
253.39,2.28E-07
253.44,1.99E-06
253.48,1.06E-05
253.52,5.39E-05
253.56,2.61E-04
253.61,1.75E-03
253.65,7.57E-03
253.69,3.12E-02
253.73,1.23E-01
253.78,6.32E-01
253.82,2.22E+00
253.86,7.43E+00
253.9,2.37E+01
253.95,9.39E+01
253.99,2.68E+02
254.03,7.26E+02
254.07,1.87E+03
254.12,5.72E+03
254.16,1.32E+04
254.2,2.91E+04
254.24,6.09E+04
254.29,1.43E+05
254.33,2.69E+05
254.37,4.79E+05
254.41,8.14E+05
254.46,1.47E+06
254.5,2.24E+06
254.54,3.24E+06
254.58,4.46E+06
254.63,6.21E+06
254.67,7.66E+06
254.71,8.99E+06
254.75,1.01E+07
254.8,1.08E+07
254.84,1.08E+07
254.88,1.03E+07
254.92,9.29E+06
254.97,7.66E+06
255.01,6.21E+06
255.05,4.80E+06
255.09,3.53E+06
255.14,2.24E+06
255.18,1.47E+06
255.22,9.22E+05
255.26,5.50E+05
255.31,2.69E+05
255.35,1.43E+05
255.39,7.28E+04
255.43,3.52E+04
255.48,1.32E+04
255.52,5.72E+03
255.56,2.36E+03
255.6,9.24E+02
255.65,2.69E+02
255.69,9.94E+01
255.73,4.97E+01
255.77,6.81E+01
255.82,2.32E+02
255.86,6.53E+02
255.9,1.77E+03
255.95,5.72E+03
255.99,1.39E+04
256.03,3.21E+04
256.07,7.06E+04
256.12,1.77E+05
256.16,3.49E+05
256.2,6.56E+05
256.24,1.18E+06
256.29,2.27E+06
256.33,3.65E+06
256.37,5.58E+06
256.41,8.13E+06
256.46,1.22E+07
256.5,1.59E+07
256.54,1.98E+07
256.58,2.34E+07
256.63,2.71E+07
256.67,2.88E+07
256.71,2.91E+07
256.75,2.81E+07
256.8,2.50E+07
256.84,2.16E+07
256.88,1.78E+07
256.92,1.40E+07
256.97,9.64E+06
257.01,6.78E+06
257.05,4.54E+06
257.09,2.90E+06
257.14,1.54E+06
257.18,8.83E+05
257.22,4.81E+05
257.26,2.50E+05
257.31,1.03E+05
257.35,4.79E+04
257.39,2.12E+04
257.43,8.96E+03
257.48,2.85E+03
257.52,1.08E+03
257.56,3.89E+02
257.6,1.34E+02
257.65,3.29E+01
257.69,1.01E+01
257.73,2.97E+00
257.77,8.30E-01
257.82,1.58E-01
257.86,3.95E-02
257.9,9.43E-03
257.94,2.14E-03
257.99,3.14E-04
258.03,6.41E-05
258.07,1.24E-05
258.11,2.30E-06
258.16,2.61E-07
258.2,4.33E-08
258.24,6.83E-09
259.56,1.10E-08
259.6,6.67E-08
259.64,3.88E-07
259.69,3.27E-06
259.73,1.71E-05
259.77,8.55E-05
259.81,4.07E-04
259.86,2.68E-03
259.9,1.15E-02
259.94,4.69E-02
259.98,1.83E-01
260.03,9.40E-01
260.07,3.30E+00
260.11,1.11E+01
260.15,3.53E+01
260.2,1.42E+02
260.24,4.07E+02
260.28,1.12E+03
260.32,2.93E+03
260.37,9.16E+03
260.41,2.16E+04
260.45,4.87E+04
260.49,1.05E+05
260.54,2.57E+05
260.58,4.98E+05
260.62,9.24E+05
260.66,1.64E+06
260.71,3.15E+06
260.75,5.07E+06
260.79,7.79E+06
260.83,1.15E+07
260.88,1.76E+07
260.92,2.37E+07
260.96,3.06E+07
261,3.80E+07
261.05,4.74E+07
261.09,5.44E+07
261.13,6.03E+07
261.17,6.47E+07
261.22,6.76E+07
261.26,6.78E+07
261.3,6.64E+07
261.34,6.38E+07
261.39,5.94E+07
261.43,5.59E+07
261.47,5.27E+07
261.51,5.01E+07
261.56,4.78E+07
261.6,4.62E+07
261.64,4.47E+07
261.68,4.26E+07
261.73,3.91E+07
261.77,3.55E+07
261.81,3.15E+07
261.85,2.72E+07
261.9,2.21E+07
261.94,1.85E+07
261.98,1.56E+07
262.02,1.33E+07
262.07,1.12E+07
262.11,9.87E+06
262.15,8.70E+06
262.19,7.59E+06
262.24,6.21E+06
262.28,5.14E+06
262.32,4.16E+06
262.36,3.36E+06
262.41,2.76E+06
262.45,2.75E+06
262.49,3.29E+06
262.53,4.57E+06
262.58,7.47E+06
262.62,1.11E+07
262.66,1.59E+07
262.71,2.38E+07
262.75,3.13E+07
262.79,3.94E+07
262.83,4.75E+07
262.88,5.64E+07
262.92,6.17E+07
262.96,6.47E+07
263,6.50E+07
263.05,6.16E+07
263.09,5.64E+07
263.13,4.96E+07
263.17,4.19E+07
263.22,3.22E+07
263.26,2.51E+07
263.3,1.91E+07
263.34,1.44E+07
263.39,1.06E+07
263.43,9.30E+06
263.47,9.46E+06
263.51,1.11E+07
263.56,1.50E+07
263.6,1.96E+07
263.64,2.52E+07
263.68,3.16E+07
263.73,4.02E+07
263.77,4.71E+07
263.81,5.38E+07
263.85,5.99E+07
263.9,6.64E+07
263.94,7.04E+07
263.98,7.31E+07
264.02,7.43E+07
264.07,7.35E+07
264.11,7.08E+07
264.15,6.66E+07
264.19,6.12E+07
264.24,5.33E+07
264.28,4.67E+07
264.32,4.05E+07
264.36,3.48E+07
264.41,2.91E+07
264.45,2.57E+07
264.49,2.35E+07
264.53,2.28E+07
264.58,2.41E+07
264.62,2.73E+07
264.66,3.25E+07
264.7,3.96E+07
264.75,5.05E+07
264.79,6.01E+07
264.83,6.92E+07
264.87,7.69E+07
264.92,8.27E+07
264.96,8.36E+07
265,8.10E+07
265.04,7.53E+07
265.09,6.52E+07
265.13,5.61E+07
265.17,4.73E+07
265.21,3.97E+07
265.26,3.30E+07
265.3,3.01E+07
265.34,2.92E+07
265.38,2.99E+07
265.43,3.25E+07
265.47,3.53E+07
265.51,3.84E+07
265.55,4.15E+07
265.6,4.52E+07
265.64,4.77E+07
265.68,4.97E+07
265.72,5.08E+07
265.77,5.07E+07
265.81,4.91E+07
265.85,4.61E+07
265.89,4.19E+07
265.94,3.53E+07
265.98,2.95E+07
266.02,2.37E+07
266.06,1.85E+07
266.11,1.32E+07
266.15,1.02E+07
266.19,8.23E+06
266.23,7.29E+06
266.28,7.27E+06
266.32,7.91E+06
266.36,8.87E+06
266.4,9.89E+06
266.45,1.09E+07
266.49,1.14E+07
266.53,1.13E+07
266.57,1.08E+07
266.62,9.59E+06
266.66,8.28E+06
266.7,6.83E+06
266.74,5.40E+06
266.79,3.77E+06
266.83,2.69E+06
266.87,1.83E+06
266.91,1.19E+06
266.96,6.57E+05
267,3.87E+05
267.04,2.18E+05
267.08,1.19E+05
267.13,5.51E+04
267.17,3.60E+04
267.21,3.90E+04
267.25,6.93E+04
267.3,1.76E+05
267.34,3.67E+05
267.38,7.40E+05
267.42,1.43E+06
267.47,3.05E+06
267.51,5.32E+06
267.55,8.88E+06
267.59,1.42E+07
267.64,2.39E+07
267.68,3.45E+07
267.72,4.77E+07
267.76,6.31E+07
267.81,8.40E+07
267.85,1.01E+08
267.89,1.15E+08
267.93,1.26E+08
267.98,1.34E+08
268.02,1.34E+08
268.06,1.29E+08
268.1,1.20E+08
268.15,1.05E+08
268.19,9.21E+07
268.23,8.00E+07
268.27,6.96E+07
268.32,5.91E+07
268.36,5.25E+07
268.4,4.72E+07
268.44,4.23E+07
268.49,3.64E+07
268.53,3.16E+07
268.57,2.66E+07
268.61,2.16E+07
268.66,1.58E+07
268.7,1.18E+07
268.74,8.42E+06
268.78,5.76E+06
268.83,3.37E+06
268.87,2.09E+06
268.91,1.24E+06
268.95,7.03E+05
269,3.25E+05
269.04,1.67E+05
269.08,8.21E+04
269.12,3.86E+04
269.17,1.42E+04
269.21,6.12E+03
269.25,2.75E+03
269.29,1.71E+03
269.34,2.52E+03
269.38,5.14E+03
269.42,1.09E+04
269.47,2.67E+04
269.51,5.21E+04
269.55,9.73E+04
269.59,1.74E+05
269.64,3.38E+05
269.68,5.48E+05
269.72,8.50E+05
269.76,1.26E+06
269.81,1.94E+06
269.85,2.62E+06
269.89,3.37E+06
269.93,4.16E+06
269.98,5.10E+06
270.02,5.73E+06
270.06,6.20E+06
270.1,6.47E+06
270.15,6.56E+06
270.19,6.50E+06
270.23,6.42E+06
270.27,6.42E+06
270.32,6.67E+06
270.36,7.14E+06
270.4,7.85E+06
270.44,8.72E+06
270.49,9.89E+06
270.53,1.07E+07
270.57,1.13E+07
270.61,1.15E+07
270.66,1.13E+07
270.7,1.07E+07
270.74,9.96E+06
270.78,9.09E+06
270.83,8.05E+06
270.87,7.37E+06
270.91,6.86E+06
270.95,6.51E+06
271,6.20E+06
271.04,5.97E+06
271.08,5.68E+06
271.12,5.29E+06
271.17,4.64E+06
271.21,4.02E+06
271.25,3.35E+06
271.29,2.68E+06
271.34,1.92E+06
271.38,1.40E+06
271.42,9.73E+05
271.46,6.50E+05
271.51,3.69E+05
271.55,2.24E+05
271.59,1.30E+05
271.63,7.26E+04
271.68,3.40E+04
271.72,1.99E+04
271.76,1.59E+04
271.8,2.11E+04
271.85,4.53E+04
271.89,8.82E+04
271.93,1.67E+05
271.97,3.06E+05
272.02,6.12E+05
272.06,1.02E+06
272.1,1.61E+06
272.14,2.46E+06
272.19,3.91E+06
272.23,5.41E+06
272.27,7.17E+06
272.31,9.11E+06
272.36,1.16E+07
272.4,1.34E+07
272.44,1.49E+07
272.48,1.59E+07
272.53,1.63E+07
272.57,1.60E+07
272.61,1.53E+07
272.65,1.41E+07
272.7,1.25E+07
272.74,1.11E+07
272.78,9.91E+06
272.82,8.91E+06
272.87,8.06E+06
272.91,7.77E+06
272.95,7.89E+06
272.99,8.46E+06
273.04,9.85E+06
273.08,1.15E+07
273.12,1.35E+07
273.16,1.58E+07
273.21,1.86E+07
273.25,2.05E+07
273.29,2.18E+07
273.33,2.24E+07
273.38,2.18E+07
273.42,2.04E+07
273.46,1.83E+07
273.5,1.58E+07
273.55,1.23E+07
273.59,9.61E+06
273.63,7.21E+06
273.67,5.19E+06
273.72,3.27E+06
273.76,2.20E+06
273.8,1.50E+06
273.84,1.13E+06
273.89,1.05E+06
273.93,1.27E+06
273.97,1.76E+06
274.01,2.50E+06
274.06,3.83E+06
274.1,5.21E+06
274.14,6.83E+06
274.18,8.64E+06
274.23,1.10E+07
274.27,1.29E+07
274.31,1.45E+07
274.35,1.58E+07
274.4,1.68E+07
274.44,1.69E+07
274.48,1.66E+07
274.52,1.57E+07
274.57,1.41E+07
274.61,1.27E+07
274.65,1.12E+07
274.69,9.90E+06
274.74,8.85E+06
274.78,8.64E+06
274.82,9.10E+06
274.86,1.03E+07
274.91,1.26E+07
274.95,1.50E+07
274.99,1.75E+07
275.03,2.00E+07
275.08,2.25E+07
275.12,2.37E+07
275.16,2.40E+07
275.2,2.34E+07
275.25,2.14E+07
275.29,1.93E+07
275.33,1.68E+07
275.37,1.43E+07
275.42,1.15E+07
275.46,9.60E+06
275.5,8.18E+06
275.54,7.15E+06
275.59,6.35E+06
275.63,6.02E+06
275.67,5.92E+06
275.71,6.08E+06
275.76,6.71E+06
275.8,7.65E+06
275.84,9.07E+06
275.88,1.10E+07
275.93,1.40E+07
275.97,1.68E+07
276.01,1.96E+07
276.05,2.23E+07
276.1,2.50E+07
276.14,2.64E+07
276.18,2.69E+07
276.23,2.62E+07
276.27,2.49E+07
276.31,2.29E+07
276.35,2.07E+07
276.4,1.79E+07
276.44,1.57E+07
276.48,1.39E+07
276.52,1.23E+07
276.57,1.07E+07
276.61,9.54E+06
276.65,8.50E+06
276.69,7.49E+06
276.74,6.21E+06
276.78,5.18E+06
276.82,4.20E+06
276.86,3.28E+06
276.91,2.29E+06
276.95,1.65E+06
276.99,1.14E+06
277.03,7.53E+05
277.08,4.26E+05
277.12,2.57E+05
277.16,1.49E+05
277.2,8.30E+04
277.25,3.76E+04
277.29,1.91E+04
277.33,9.27E+03
277.37,4.32E+03
277.42,1.57E+03
277.46,6.66E+02
277.5,2.71E+02
277.54,1.06E+02
277.59,3.10E+01
277.63,1.17E+01
277.67,6.36E+00
277.71,9.31E+00
277.76,3.13E+01
277.8,8.70E+01
277.84,2.33E+02
277.88,6.02E+02
277.93,1.86E+03
277.97,4.36E+03
278.01,9.83E+03
278.05,2.13E+04
278.1,5.27E+04
278.14,1.04E+05
278.18,1.97E+05
278.22,3.58E+05
278.27,7.12E+05
278.31,1.18E+06
278.35,1.87E+06
278.39,2.86E+06
278.44,4.57E+06
278.48,6.35E+06
278.52,8.47E+06
278.56,1.09E+07
278.61,1.40E+07
278.65,1.63E+07
278.69,1.83E+07
278.73,1.97E+07
278.78,2.04E+07
278.82,2.01E+07
278.86,1.91E+07
278.9,1.75E+07
278.95,1.50E+07
278.99,1.30E+07
279.03,1.11E+07
279.07,9.50E+06
279.12,8.03E+06
279.16,7.25E+06
279.2,6.76E+06
279.24,6.46E+06
279.29,6.23E+06
279.33,6.09E+06
279.37,5.95E+06
279.41,5.84E+06
279.46,5.80E+06
279.5,5.91E+06
279.54,6.17E+06
279.58,6.61E+06
279.63,7.38E+06
279.67,8.10E+06
279.71,8.86E+06
279.75,9.59E+06
279.8,1.04E+07
279.84,1.10E+07
279.88,1.15E+07
279.92,1.20E+07
279.97,1.24E+07
280.01,1.27E+07
280.05,1.29E+07
280.09,1.28E+07
280.14,1.24E+07
280.18,1.18E+07
280.22,1.09E+07
280.26,9.72E+06
280.31,8.03E+06
280.35,6.62E+06
280.39,5.26E+06
280.43,4.01E+06
280.48,2.71E+06
280.52,1.89E+06
280.56,1.27E+06
280.6,8.19E+05
280.65,4.47E+05
280.69,2.63E+05
280.73,1.48E+05
280.77,8.05E+04
280.82,3.54E+04
280.86,1.75E+04
280.9,8.32E+03
280.94,3.80E+03
280.99,1.34E+03
281.03,5.59E+02
281.07,2.23E+02
281.11,8.57E+01
281.16,2.44E+01
281.2,8.55E+00
281.24,2.87E+00
281.28,9.35E-01
281.33,2.53E-01
281.37,2.00E-01
281.41,4.68E-01
281.45,1.43E+00
281.5,5.67E+00
281.54,1.64E+01
281.58,4.56E+01
281.62,1.22E+02
281.67,3.95E+02
281.71,9.67E+02
281.75,2.28E+03
281.79,5.17E+03
281.84,1.36E+04
281.88,2.83E+04
281.92,5.66E+04
281.96,1.09E+05
282.01,2.34E+05
282.05,4.14E+05
282.09,7.03E+05
282.13,1.15E+06
282.18,2.02E+06
282.22,3.04E+06
282.26,4.41E+06
282.3,6.15E+06
282.35,8.83E+06
282.39,1.13E+07
282.43,1.40E+07
282.47,1.66E+07
282.52,1.96E+07
282.56,2.14E+07
282.6,2.25E+07
282.64,2.28E+07
282.69,2.20E+07
282.73,2.04E+07
282.77,1.83E+07
282.81,1.58E+07
282.86,1.24E+07
282.9,9.85E+06
282.94,7.50E+06
282.99,5.06E+06
283.03,3.54E+06
283.07,2.38E+06
283.11,1.54E+06
283.16,8.44E+05
283.2,5.00E+05
283.24,2.85E+05
283.28,1.56E+05
283.33,6.97E+04
283.37,3.50E+04
283.41,1.69E+04
283.45,7.84E+03
283.5,2.84E+03
283.54,1.21E+03
283.58,4.92E+02
283.62,1.93E+02
283.67,5.66E+01
283.71,2.03E+01
283.75,7.00E+00
283.79,2.32E+00
283.84,5.52E-01
283.88,1.67E-01
283.92,4.87E-02
283.96,1.36E-02
284.01,2.62E-03
284.05,6.71E-04
284.09,1.65E-04
