Wavelength,Spectra,,,
170.11,5.87E-13,,,
170.15,5.85E-12,,,
170.19,5.23E-11,,,
170.23,4.18E-10,,,
170.28,4.83E-09,,,
170.32,3.02E-08,,,
170.36,1.70E-07,,,
170.4,8.52E-07,,,
170.45,5.50E-06,,,
170.49,2.16E-05,,,
170.53,7.61E-05,,,
170.57,2.40E-04,,,
170.62,8.66E-04,,,
170.66,2.14E-03,,,
170.7,4.73E-03,,,
170.74,9.37E-03,,,
170.79,1.89E-02,,,
170.83,2.93E-02,,,
170.87,4.07E-02,,,
170.91,5.06E-02,,,
170.96,5.71E-02,,,
171,5.55E-02,,,
171.04,4.84E-02,,,
171.08,3.78E-02,,,
171.13,2.38E-02,,,
171.17,1.46E-02,,,
171.21,7.98E-03,,,
171.25,3.92E-03,,,
171.3,1.38E-03,,,
171.34,5.29E-04,,,
171.38,1.82E-04,,,
171.42,5.67E-05,,,
171.47,1.59E-05,,,
171.51,2.41E-05,,,
171.55,8.65E-05,,,
171.59,3.09E-04,,,
171.64,1.32E-03,,,
171.68,3.72E-03,,,
171.72,9.44E-03,,,
171.76,2.15E-02,,,
171.81,5.18E-02,,,
171.85,9.29E-02,,,
171.89,1.50E-01,,,
171.93,2.18E-01,,,
171.98,3.00E-01,,,
172.02,3.47E-01,,,
172.06,3.65E-01,,,
172.1,3.55E-01,,,
172.15,3.22E-01,,,
172.19,3.07E-01,,,
172.23,3.31E-01,,,
172.27,4.15E-01,,,
172.32,6.10E-01,,,
172.36,8.14E-01,,,
172.4,1.01E+00,,,
172.44,1.14E+00,,,
172.49,1.16E+00,,,
172.53,1.04E+00,,,
172.57,8.35E-01,,,
172.61,6.04E-01,,,
172.66,3.47E-01,,,
172.7,1.97E-01,,,
172.74,1.01E-01,,,
172.78,4.64E-02,,,
172.83,1.60E-02,,,
172.87,8.42E-03,,,
172.91,9.46E-03,,,
172.95,1.82E-02,,,
173,4.28E-02,,,
173.04,7.67E-02,,,
173.08,1.24E-01,,,
173.12,1.80E-01,,,
173.17,2.47E-01,,,
173.21,2.82E-01,,,
173.25,2.90E-01,,,
173.29,2.68E-01,,,
173.34,2.09E-01,,,
173.38,1.53E-01,,,
173.42,1.18E-01,,,
173.46,2.26E-01,,,
173.51,2.23E+00,,,
173.55,1.54E+01,,,
173.59,9.73E+01,,,
173.63,5.53E+02,,,
173.68,4.18E+03,,,
173.72,1.88E+04,,,
173.76,7.58E+04,,,
173.8,2.76E+05,,,
173.85,1.19E+06,,,
173.89,3.42E+06,,,
173.93,8.83E+06,,,
173.97,2.05E+07,,,
174.02,5.08E+07,,,
174.06,9.31E+07,,,
174.1,1.54E+08,,,
174.14,2.29E+08,,,
174.19,3.27E+08,,,
174.23,3.88E+08,,,
174.27,4.21E+08,,,
174.31,4.21E+08,,,
174.36,3.86E+08,,,
174.4,3.47E+08,,,
174.44,3.09E+08,,,
174.48,2.77E+08,,,
174.53,2.38E+08,,,
174.57,2.03E+08,,,
174.61,1.62E+08,,,
174.65,1.19E+08,,,
174.7,7.12E+07,,,
174.74,4.22E+07,,,
174.78,2.26E+07,,,
174.82,1.09E+07,,,
174.87,3.80E+06,,,
174.91,1.45E+06,,,
174.95,5.00E+05,,,
174.99,1.55E+05,,,
175.04,3.09E+04,,,
175.08,7.56E+03,,,
