Wavelength,Spectra,,,
170.11,1.88E-27,,,
170.15,2.28E-27,,,
170.19,2.48E-27,,,
170.23,2.41E-27,,,
170.28,1.99E-27,,,
170.32,1.51E-27,,,
170.36,1.03E-27,,,
170.4,6.25E-28,,,
170.45,2.88E-28,,,
170.49,1.36E-28,,,
170.53,5.80E-29,,,
170.57,2.21E-29,,,
170.62,6.17E-30,,,
170.66,3.59E-30,,,
170.7,6.67E-30,,,
170.74,1.82E-29,,,
170.79,5.94E-29,,,
170.83,1.36E-28,,,
170.87,2.80E-28,,,
170.91,5.21E-28,,,
170.96,9.83E-28,,,
171,1.46E-27,,,
171.04,1.99E-27,,,
171.08,2.47E-27,,,
171.13,2.89E-27,,,
171.17,3.00E-27,,,
171.21,2.90E-27,,,
171.25,2.61E-27,,,
171.3,2.05E-27,,,
171.34,1.55E-27,,,
171.38,1.07E-27,,,
171.42,6.78E-28,,,
171.47,3.35E-28,,,
171.51,1.71E-28,,,
171.55,8.02E-29,,,
171.59,3.88E-29,,,
171.64,3.02E-29,,,
171.68,5.03E-29,,,
171.72,9.64E-29,,,
171.76,1.74E-28,,,
171.81,3.13E-28,,,
171.85,4.45E-28,,,
171.89,5.68E-28,,,
171.93,6.50E-28,,,
171.98,6.61E-28,,,
172.02,5.93E-28,,,
172.06,4.78E-28,,,
172.1,3.45E-28,,,
172.15,1.98E-28,,,
172.19,1.12E-28,,,
172.23,5.70E-29,,,
172.27,2.61E-29,,,
172.32,8.80E-30,,,
172.36,4.60E-30,,,
172.4,6.31E-30,,,
172.44,1.63E-29,,,
172.49,5.45E-29,,,
172.53,1.28E-28,,,
172.57,2.72E-28,,,
172.61,5.17E-28,,,
172.66,9.94E-28,,,
172.7,1.49E-27,,,
172.74,2.01E-27,,,
172.78,2.46E-27,,,
172.83,2.78E-27,,,
172.87,2.81E-27,,,
172.91,2.71E-27,,,
172.95,2.59E-27,,,
173,2.53E-27,,,
173.04,2.56E-27,,,
173.08,2.56E-27,,,
173.12,2.46E-27,,,
173.17,2.10E-27,,,
173.21,1.67E-27,,,
173.25,1.21E-27,,,
173.29,7.86E-28,,,
173.34,3.97E-28,,,
173.38,2.07E-28,,,
173.42,1.06E-28,,,
173.46,6.82E-29,,,
173.51,8.69E-29,,,
173.55,1.47E-28,,,
173.59,2.44E-28,,,
173.63,3.72E-28,,,
173.68,5.44E-28,,,
173.72,6.55E-28,,,
173.76,7.09E-28,,,
173.8,6.90E-28,,,
173.85,5.76E-28,,,
173.89,4.42E-28,,,
173.93,3.05E-28,,,
173.97,1.89E-28,,,
174.02,8.98E-29,,,
174.06,4.39E-29,,,
174.1,1.93E-29,,,
174.14,7.64E-30,,,
174.19,2.07E-30,,,
174.23,6.44E-31,,,
174.27,1.81E-31,,,
174.31,4.55E-32,,,
174.36,7.01E-33,,,
174.4,1.39E-33,,,
174.44,2.49E-34,,,
174.48,4.00E-35,,,
174.53,3.51E-36,,,
174.57,4.44E-37,,,
174.61,5.06E-38,,,
174.65,5.18E-39,,,
174.7,2.59E-40,,,
174.74,2.09E-41,,,
174.78,1.52E-42,,,
174.82,9.90E-44,,,
182.44,1.09E-43,,,
182.48,1.35E-42,,,
182.52,1.53E-41,,,
182.56,1.57E-40,,,
182.61,2.51E-39,,,
182.65,2.08E-38,,,
182.69,1.57E-37,,,
182.73,1.07E-36,,,
182.78,1.04E-35,,,
182.82,5.75E-35,,,
182.86,2.89E-34,,,
182.9,1.32E-33,,,
182.95,7.74E-33,,,
182.99,2.86E-32,,,
183.03,9.60E-32,,,
183.07,2.93E-31,,,
183.12,1.04E-30,,,
183.16,2.56E-30,,,
183.2,5.75E-30,,,
183.24,1.18E-29,,,
183.29,2.53E-29,,,
183.33,4.24E-29,,,
183.37,6.54E-29,,,
183.41,9.45E-29,,,
183.46,1.41E-28,,,
183.5,1.91E-28,,,
183.54,2.64E-28,,,
183.58,3.72E-28,,,
183.63,5.74E-28,,,
183.67,7.84E-28,,,
183.71,1.01E-27,,,
183.75,1.21E-27,,,
183.8,1.36E-27,,,
183.84,1.34E-27,,,
183.88,1.22E-27,,,
183.92,1.01E-27,,,
183.97,7.18E-28,,,
184.01,5.15E-28,,,
184.05,3.94E-28,,,
184.09,4.03E-28,,,
184.14,6.87E-28,,,
184.18,1.23E-27,,,
184.22,2.13E-27,,,
184.26,3.43E-27,,,
184.31,5.49E-27,,,
184.35,7.21E-27,,,
184.39,8.65E-27,,,
184.43,9.48E-27,,,
184.48,9.36E-27,,,
184.52,8.42E-27,,,
184.56,7.04E-27,,,
184.6,5.67E-27,,,
184.65,4.73E-27,,,
184.69,5.14E-27,,,
184.73,6.97E-27,,,
184.77,1.04E-26,,,
184.82,1.65E-26,,,
184.86,2.22E-26,,,
184.9,2.74E-26,,,
184.94,3.11E-26,,,
184.99,3.21E-26,,,
185.03,2.99E-26,,,
185.07,2.55E-26,,,
185.11,2.00E-26,,,
185.16,1.31E-26,,,
185.2,8.51E-27,,,
185.24,5.20E-27,,,
185.28,3.18E-27,,,
185.33,2.24E-27,,,
185.37,2.58E-27,,,
185.41,3.78E-27,,,
185.45,5.74E-27,,,
185.5,8.94E-27,,,
185.54,1.17E-26,,,
185.58,1.41E-26,,,
185.62,1.56E-26,,,
185.67,1.56E-26,,,
185.71,1.43E-26,,,
185.75,1.20E-26,,,
185.79,9.30E-27,,,
185.84,6.21E-27,,,
185.88,4.41E-27,,,
185.92,3.39E-27,,,
185.96,3.07E-27,,,
186.01,3.35E-27,,,
186.05,3.78E-27,,,
186.09,4.10E-27,,,
186.13,4.15E-27,,,
186.18,3.73E-27,,,
186.22,3.10E-27,,,
186.26,2.35E-27,,,
186.3,1.62E-27,,,
186.35,8.97E-28,,,
186.39,5.04E-28,,,
186.43,2.58E-28,,,
186.47,1.22E-28,,,
186.52,4.44E-29,,,
186.56,2.14E-29,,,
186.6,1.41E-29,,,
186.64,1.35E-29,,,
186.69,1.54E-29,,,
186.73,1.66E-29,,,
186.77,1.65E-29,,,
186.81,1.51E-29,,,
186.86,1.18E-29,,,
186.9,8.75E-30,,,
186.94,5.93E-30,,,
186.98,3.66E-30,,,
187.03,1.76E-30,,,
187.07,8.86E-31,,,
187.11,4.06E-31,,,
187.15,1.70E-31,,,
187.2,5.02E-32,,,
187.24,1.71E-32,,,
187.28,5.30E-33,,,
187.32,1.50E-33,,,
187.37,2.73E-34,,,
187.41,6.28E-35,,,
187.45,1.32E-35,,,
187.49,2.53E-36,,,
187.54,2.82E-37,,,
187.58,4.40E-38,,,
187.62,6.27E-39,,,
187.66,8.14E-40,,,
187.71,6.02E-41,,,
187.75,4.96E-41,,,
187.79,3.96E-40,,,
187.83,3.26E-39,,,
187.88,4.02E-38,,,
187.92,2.71E-37,,,
187.96,1.67E-36,,,
188,9.42E-36,,,
188.05,7.21E-35,,,
188.09,3.32E-34,,,
188.13,1.40E-33,,,
188.17,5.38E-33,,,
188.22,2.55E-32,,,
188.26,8.02E-32,,,
188.3,2.31E-31,,,
188.34,6.06E-31,,,
188.39,1.78E-30,,,
188.43,3.83E-30,,,
188.47,7.51E-30,,,
188.51,1.35E-29,,,
188.56,2.46E-29,,,
188.6,3.61E-29,,,
188.64,4.83E-29,,,
188.69,6.13E-29,,,
188.73,6.71E-29,,,
188.77,6.71E-29,,,
188.81,6.13E-29,,,
188.86,4.83E-29,,,
188.9,3.61E-29,,,
188.94,2.46E-29,,,
188.98,1.54E-29,,,
189.03,7.51E-30,,,
189.07,3.83E-30,,,
189.11,1.78E-30,,,
189.15,7.60E-31,,,
189.2,2.31E-31,,,
189.24,8.02E-32,,,
189.28,2.55E-32,,,
189.32,7.42E-33,,,
189.37,1.40E-33,,,
189.41,3.32E-34,,,
189.45,7.21E-35,,,
189.49,1.43E-35,,,
189.54,1.67E-36,,,
189.58,2.71E-37,,,
189.62,4.03E-38,,,
189.66,6.20E-39,,,
189.71,1.26E-38,,,
189.75,1.04E-37,,,
189.79,8.04E-37,,,
189.83,5.71E-36,,,
189.88,5.86E-35,,,
189.92,3.42E-34,,,
189.96,1.83E-33,,,
190,8.95E-33,,,
190.05,5.76E-32,,,
190.09,2.32E-31,,,
190.13,8.52E-31,,,
190.17,2.87E-30,,,
190.22,1.16E-29,,,
190.26,3.21E-29,,,
190.3,8.15E-29,,,
190.34,1.89E-28,,,
190.39,4.79E-28,,,
190.43,9.14E-28,,,
190.47,1.60E-27,,,
190.51,2.55E-27,,,
190.56,4.06E-27,,,
190.6,5.33E-27,,,
190.64,6.41E-27,,,
190.68,7.06E-27,,,
190.73,7.04E-27,,,
190.77,6.36E-27,,,
190.81,5.27E-27,,,
190.85,4.00E-27,,,
190.9,2.52E-27,,,
190.94,1.59E-27,,,
190.98,9.58E-28,,,
191.02,6.05E-28,,,
191.07,4.82E-28,,,
191.11,5.74E-28,,,
191.15,7.82E-28,,,
191.19,1.05E-27,,,
191.24,1.40E-27,,,
191.28,1.60E-27,,,
191.32,1.68E-27,,,
191.36,1.65E-27,,,
191.41,1.51E-27,,,
191.45,1.41E-27,,,
191.49,1.41E-27,,,
191.53,1.59E-27,,,
191.58,2.12E-27,,,
191.62,2.74E-27,,,
