Wavelength,Spectra,,
323.97,1.74E-08,,
324.01,7.46E-08,,
324.06,4.40E-07,,
324.1,1.76E-06,,
324.14,6.82E-06,,
324.18,2.57E-05,,
324.23,1.29E-04,,
324.27,4.54E-04,,
324.31,1.55E-03,,
324.35,5.13E-03,,
324.4,2.20E-02,,
324.44,6.80E-02,,
324.48,2.04E-01,,
324.52,5.95E-01,,
324.57,2.17E+00,,
324.61,5.91E+00,,
324.65,1.56E+01,,
324.69,4.00E+01,,
324.74,1.24E+02,,
324.78,2.98E+02,,
324.82,6.93E+02,,
324.86,1.56E+03,,
324.91,4.14E+03,,
324.95,8.73E+03,,
324.99,1.79E+04,,
325.03,3.54E+04,,
325.08,8.00E+04,,
325.12,1.48E+05,,
325.16,2.67E+05,,
325.2,4.66E+05,,
325.25,8.96E+05,,
325.29,1.46E+06,,
325.33,2.32E+06,,
325.37,3.56E+06,,
325.42,5.83E+06,,
325.46,8.37E+06,,
325.5,1.17E+07,,
325.54,1.58E+07,,
325.59,2.20E+07,,
325.63,2.78E+07,,
325.67,3.41E+07,,
325.71,4.05E+07,,
325.76,4.82E+07,,
325.8,5.36E+07,,
325.84,5.77E+07,,
325.88,6.04E+07,,
325.93,6.13E+07,,
325.97,5.99E+07,,
326.01,5.68E+07,,
326.05,5.23E+07,,
326.1,4.52E+07,,
326.14,3.89E+07,,
326.18,3.25E+07,,
326.22,2.63E+07,,
326.27,1.94E+07,,
326.31,1.47E+07,,
326.35,1.08E+07,,
326.39,7.67E+06,,
326.44,4.81E+06,,
326.48,3.20E+06,,
326.52,2.07E+06,,
326.56,1.30E+06,,
326.61,6.94E+05,,
326.65,4.06E+05,,
326.69,2.31E+05,,
326.73,1.27E+05,,
326.78,5.81E+04,,
326.82,2.99E+04,,
326.86,1.50E+04,,
326.9,7.26E+03,,
326.95,2.82E+03,,
326.99,1.28E+03,,
327.03,5.63E+02,,
327.07,2.40E+02,,
327.12,7.95E+01,,
327.16,3.17E+01,,
327.2,1.23E+01,,
327.24,4.61E+00,,
327.29,1.30E+00,,
327.33,4.57E-01,,
327.37,1.56E-01,,
327.41,5.14E-02,,
327.46,1.24E-02,,
327.5,3.81E-03,,
327.54,1.14E-03,,
327.58,3.32E-04,,
327.63,6.80E-05,,
327.67,1.85E-05,,
327.71,4.88E-06,,
327.75,1.25E-06,,
327.8,2.18E-07,,
327.84,5.20E-08,,
327.88,1.21E-08,,
330.82,2.62E-08,,
330.86,1.10E-07,,
330.9,4.51E-07,,
330.94,1.79E-06,,
