Wavelength,Spectra,,,
176.53,1.68E-43,,,
176.57,2.53E-42,,,
176.61,3.45E-41,,,
176.66,7.83E-40,,,
176.7,8.49E-39,,,
176.74,8.32E-38,,,
176.79,1.25E-36,,,
176.83,9.75E-36,,,
176.87,6.87E-35,,,
176.91,4.38E-34,,,
176.96,3.84E-33,,,
177,1.94E-32,,,
177.04,8.90E-32,,,
177.08,3.68E-31,,,
177.13,1.89E-30,,,
177.17,6.21E-30,,,
177.21,1.85E-29,,,
177.25,4.96E-29,,,
177.3,1.48E-28,,,
177.34,3.17E-28,,,
177.38,6.13E-28,,,
177.43,1.21E-27,,,
177.47,1.87E-27,,,
177.51,2.59E-27,,,
177.55,3.26E-27,,,
177.6,3.76E-27,,,
177.64,3.76E-27,,,
177.68,3.40E-27,,,
177.72,2.77E-27,,,
177.77,1.87E-27,,,
177.81,1.21E-27,,,
177.85,7.12E-28,,,
177.9,3.17E-28,,,
177.94,1.48E-28,,,
177.98,6.26E-29,,,
178.02,2.39E-29,,,
178.07,6.25E-30,,,
178.11,1.98E-30,,,
178.15,6.80E-31,,,
178.19,3.84E-31,,,
178.24,4.10E-31,,,
178.28,4.94E-31,,,
178.32,5.56E-31,,,
178.36,5.70E-31,,,
178.41,5.10E-31,,,
178.45,4.17E-31,,,
178.49,3.09E-31,,,
178.54,1.84E-31,,,
178.58,1.08E-31,,,
178.62,5.77E-32,,,
178.66,2.78E-32,,,
178.71,9.71E-33,,,
178.75,3.74E-33,,,
178.79,1.30E-33,,,
178.83,4.08E-34,,,
178.88,8.35E-35,,,
178.92,2.09E-35,,,
178.96,4.75E-36,,,
179,9.73E-37,,,
179.05,1.17E-37,,,
179.09,1.91E-38,,,
179.13,2.82E-39,,,
179.18,2.24E-40,,,
179.22,2.65E-41,,,
179.26,2.82E-42,,,
179.3,2.72E-43,,,
179.35,1.27E-44,,,
179.39,9.75E-46,,,
179.99,9.23E-46,,,
180.03,1.23E-44,,,
180.07,1.48E-43,,,
180.11,1.62E-42,,,
180.16,2.80E-41,,,
180.2,2.46E-40,,,
180.24,1.96E-39,,,
180.29,2.28E-38,,,
180.33,1.46E-37,,,
180.37,8.47E-37,,,
180.41,4.46E-36,,,
180.46,3.11E-35,,,
180.5,1.32E-34,,,
180.54,5.09E-34,,,
180.58,1.79E-33,,,
180.63,7.54E-33,,,
180.67,2.15E-32,,,
180.71,5.64E-32,,,
180.75,1.36E-31,,,
180.8,3.63E-31,,,
180.84,7.33E-31,,,
180.88,1.38E-30,,,
180.93,2.77E-30,,,
180.97,4.51E-30,,,
181.01,6.86E-30,,,
181.05,9.77E-30,,,
181.1,1.37E-29,,,
181.14,1.65E-29,,,
181.18,1.83E-29,,,
