Wavelength,Spectra,,,
169.95,3.01E-12,,,
170,9.68E-11,,,
170.04,1.38E-09,,,
170.08,1.75E-08,,,
170.12,2.00E-07,,,
170.16,2.05E-06,,,
170.2,1.88E-05,,,
170.24,1.55E-04,,,
170.28,1.14E-03,,,
170.33,1.19E-02,,,
170.37,6.83E-02,,,
170.41,3.53E-01,,,
170.45,1.63E+00,,,
170.49,6.77E+00,,,
170.53,2.52E+01,,,
170.57,8.40E+01,,,
170.62,3.24E+02,,,
170.66,8.45E+02,,,
170.7,1.97E+03,,,
170.74,4.13E+03,,,
170.78,7.75E+03,,,
170.82,1.30E+04,,,
170.86,1.96E+04,,,
170.91,2.81E+04,,,
170.95,3.32E+04,,,
170.99,3.50E+04,,,
171.03,3.32E+04,,,
171.07,2.81E+04,,,
171.11,2.14E+04,,,
171.15,1.46E+04,,,
171.19,8.92E+03,,,
171.24,4.13E+03,,,
171.28,1.97E+03,,,
171.32,8.45E+02,,,
171.36,3.24E+02,,,
171.4,1.12E+02,,,
171.44,3.72E+01,,,
171.48,2.01E+01,,,
171.53,4.93E+01,,,
171.57,1.41E+02,,,
171.61,3.73E+02,,,
171.65,8.87E+02,,,
171.69,1.89E+03,,,
171.73,3.62E+03,,,
171.77,6.23E+03,,,
171.82,1.06E+04,,,
171.86,1.43E+04,,,
171.9,1.74E+04,,,
171.94,1.93E+04,,,
171.98,1.96E+04,,,
172.02,1.86E+04,,,
172.06,1.71E+04,,,
172.1,1.59E+04,,,
172.15,1.51E+04,,,
172.19,1.49E+04,,,
172.23,1.45E+04,,,
172.27,1.35E+04,,,
172.31,1.19E+04,,,
172.35,9.91E+03,,,
172.39,7.90E+03,,,
172.44,5.73E+03,,,
172.48,4.33E+03,,,
172.52,3.19E+03,,,
172.56,2.24E+03,,,
172.6,1.48E+03,,,
172.64,9.00E+02,,,
172.68,5.01E+02,,,
172.73,2.09E+02,,,
172.77,9.29E+01,,,
172.81,3.71E+01,,,
172.85,1.33E+01,,,
172.89,4.30E+00,,,
172.93,1.25E+00,,,
172.97,3.25E-01,,,
173.01,7.60E-02,,,
173.06,1.06E-02,,,
173.1,1.95E-03,,,
173.14,3.22E-04,,,
173.18,4.76E-05,,,
173.22,6.34E-06,,,
173.26,7.59E-07,,,
173.3,1.06E-07,,,
173.35,4.47E-07,,,
173.39,3.95E-06,,,
173.43,3.17E-05,,,
173.47,2.29E-04,,,
173.51,1.49E-03,,,
173.55,8.70E-03,,,
173.59,4.58E-02,,,
173.64,3.15E-01,,,
173.68,1.31E+00,,,
173.72,4.89E+00,,,
173.76,1.64E+01,,,
173.8,4.97E+01,,,
173.84,1.35E+02,,,
173.88,3.32E+02,,,
173.92,7.32E+02,,,
173.97,1.70E+03,,,
174.01,2.95E+03,,,
