Wavelength,Spectra,,,
173.5,2.62E-19,,,
173.54,4.66E-18,,,
173.59,1.27E-16,,,
173.63,1.59E-15,,,
173.67,1.79E-14,,,
173.71,1.82E-13,,,
173.75,1.66E-12,,,
173.79,1.37E-11,,,
173.84,1.64E-10,,,
173.88,1.07E-09,,,
173.92,6.25E-09,,,
173.96,3.30E-08,,,
174,1.57E-07,,,
174.05,9.49E-07,,,
174.09,3.57E-06,,,
174.13,1.21E-05,,,
174.17,3.68E-05,,,
174.21,1.01E-04,,,
174.26,3.08E-04,,,
174.3,6.67E-04,,,
174.34,1.30E-03,,,
174.38,2.30E-03,,,
174.42,3.64E-03,,,
174.47,5.59E-03,,,
174.51,7.01E-03,,,
174.55,7.92E-03,,,
174.59,8.06E-03,,,
174.63,7.39E-03,,,
174.67,6.10E-03,,,
174.72,4.15E-03,,,
174.76,2.71E-03,,,
174.8,1.59E-03,,,
174.84,8.44E-04,,,
174.88,4.03E-04,,,
174.93,1.38E-04,,,
174.97,5.22E-05,,,
175.01,1.78E-05,,,
175.05,5.44E-06,,,
175.09,1.50E-06,,,
175.14,2.60E-07,,,
175.18,5.68E-08,,,
175.22,1.12E-08,,,
175.26,1.98E-09,,,
175.3,3.16E-10,,,
175.34,4.55E-11,,,
175.39,3.48E-12,,,
175.43,3.96E-13,,,
175.47,4.06E-14,,,
175.51,3.75E-15,,,
175.55,3.12E-16,,,
175.6,1.21E-17,,,
175.64,5.38E-19,,,
175.68,1.72E-20,,,
175.72,4.13E-20,,,
175.76,8.95E-20,,,
175.81,2.04E-19,,,
175.85,3.51E-19,,,
175.89,5.44E-19,,,
175.93,7.61E-19,,,
175.97,9.61E-19,,,
176.02,1.12E-18,,,
176.06,1.13E-18,,,
176.1,1.07E-18,,,
176.14,9.66E-19,,,
176.18,9.19E-19,,,
176.22,1.01E-18,,,
176.27,1.40E-18,,,
176.31,1.92E-18,,,
176.35,2.54E-18,,,
176.39,3.14E-18,,,
176.43,3.56E-18,,,
176.48,3.69E-18,,,
176.52,3.48E-18,,,
176.56,3.07E-18,,,
176.6,2.56E-18,,,
176.64,2.05E-18,,,
176.69,1.53E-18,,,
176.73,1.24E-18,,,
176.77,1.04E-18,,,
176.81,9.35E-19,,,
176.85,8.72E-19,,,
176.9,8.07E-19,,,
176.94,7.53E-19,,,
176.98,7.12E-19,,,
177.02,7.21E-19,,,
177.06,8.16E-19,,,
177.1,1.01E-18,,,
177.15,1.37E-18,,,
177.19,1.67E-18,,,
177.23,1.89E-18,,,
177.27,1.97E-18,,,
177.31,1.87E-18,,,
177.36,1.54E-18,,,
177.4,1.18E-18,,,
177.44,8.26E-19,,,
177.48,5.26E-19,,,
177.52,3.04E-19,,,
177.57,1.34E-19,,,
177.61,6.20E-20,,,
177.65,2.61E-20,,,
177.69,9.98E-21,,,
177.73,3.45E-21,,,
177.77,1.08E-21,,,
177.82,2.21E-22,,,
177.86,5.52E-23,,,
177.9,1.25E-23,,,
177.94,2.56E-24,,,
177.98,4.75E-25,,,
178.03,5.01E-26,,,
178.07,7.39E-27,,,
178.11,9.86E-28,,,
178.15,1.19E-28,,,
178.19,1.30E-29,,,
178.24,7.04E-31,,,
178.28,6.10E-32,,,
178.32,4.75E-33,,,
178.36,3.37E-34,,,
179.28,3.10E-39,,,
179.33,8.43E-38,,,
179.37,1.06E-36,,,
179.41,1.21E-35,,,
179.45,1.25E-34,,,
179.49,1.17E-33,,,
179.53,9.95E-33,,,
179.58,1.26E-31,,,
179.62,8.55E-31,,,
179.66,5.27E-30,,,
179.7,2.95E-29,,,
179.74,1.49E-28,,,
179.79,9.88E-28,,,
179.83,4.01E-27,,,
179.87,1.48E-26,,,
179.91,4.93E-26,,,
179.95,1.49E-25,,,
180,5.17E-25,,,
180.04,1.25E-24,,,
180.08,2.75E-24,,,
180.12,5.48E-24,,,
180.16,9.89E-24,,,
180.21,1.80E-23,,,
180.25,2.60E-23,,,
180.29,3.41E-23,,,
180.33,4.05E-23,,,
180.37,4.36E-23,,,
180.41,4.26E-23,,,
180.46,3.60E-23,,,
180.5,2.81E-23,,,
180.54,1.99E-23,,,
180.58,1.28E-23,,,
180.62,7.45E-24,,,
180.67,3.30E-24,,,
180.71,1.54E-24,,,
180.75,6.52E-25,,,
180.79,2.50E-25,,,
180.83,8.68E-26,,,
180.88,2.02E-26,,,
180.92,5.61E-27,,,
180.96,1.42E-27,,,
181,3.24E-28,,,
181.04,2.33E-20,,,
181.08,3.30E-19,,,
181.13,7.94E-18,,,
181.17,9.06E-17,,,
181.21,9.40E-16,,,
181.25,8.85E-15,,,
181.29,7.56E-14,,,
181.34,9.65E-13,,,
181.38,6.64E-12,,,
181.42,4.15E-11,,,
181.46,2.36E-10,,,
181.5,1.21E-09,,,
181.55,8.23E-09,,,
181.59,3.41E-08,,,
181.63,1.29E-07,,,
181.67,4.40E-07,,,
181.71,1.37E-06,,,
181.76,4.91E-06,,,
181.8,1.23E-05,,,
181.84,2.79E-05,,,
181.88,5.75E-05,,,
181.92,1.08E-04,,,
181.96,1.83E-04,,,
182.01,3.10E-04,,,
182.05,4.24E-04,,,
182.09,5.27E-04,,,
182.13,5.94E-04,,,
182.17,6.09E-04,,,
182.22,5.48E-04,,,
182.26,4.52E-04,,,
182.3,3.40E-04,,,
182.34,2.34E-04,,,
182.38,1.52E-04,,,
182.43,9.49E-05,,,
182.47,8.72E-05,,,
182.51,1.12E-04,,,
182.55,1.67E-04,,,
182.59,2.49E-04,,,
182.64,3.84E-04,,,
182.68,5.11E-04,,,
