Wavelength,Spectra
170.11,2.28E+04
170.15,2.54E+04
170.19,2.75E+04
170.23,3.03E+04
170.28,3.68E+04
170.32,4.50E+04
170.36,5.52E+04
170.4,6.53E+04
170.45,7.34E+04
170.49,7.35E+04
170.53,6.72E+04
170.57,5.62E+04
170.62,4.00E+04
170.66,2.85E+04
170.7,2.02E+04
170.74,1.55E+04
170.79,1.52E+04
170.83,2.05E+04
170.87,3.23E+04
170.91,5.30E+04
170.96,9.39E+04
171,1.39E+05
171.04,1.93E+05
171.08,2.51E+05
171.13,3.16E+05
171.17,3.50E+05
171.21,3.58E+05
171.25,3.36E+05
171.3,2.73E+05
171.34,2.08E+05
171.38,1.43E+05
171.42,8.86E+04
171.47,4.21E+04
171.51,2.07E+04
171.55,9.37E+03
171.59,4.43E+03
171.64,3.43E+03
171.68,5.39E+03
171.72,9.56E+03
171.76,1.60E+04
171.81,2.65E+04
171.85,3.58E+04
171.89,4.43E+04
171.93,5.06E+04
171.98,5.50E+04
172.02,5.69E+04
172.06,5.94E+04
172.1,6.42E+04
172.15,7.47E+04
172.19,8.56E+04
172.23,9.67E+04
172.27,1.07E+05
172.32,1.18E+05
172.36,1.26E+05
172.4,1.36E+05
172.44,1.55E+05
172.49,2.18E+05
172.53,3.49E+05
172.57,6.35E+05
172.61,1.19E+06
172.66,2.44E+06
172.7,3.97E+06
172.74,5.86E+06
172.78,7.82E+06
172.83,9.71E+06
172.87,1.03E+07
172.91,9.79E+06
172.95,8.43E+06
173,6.07E+06
173.04,4.18E+06
173.08,2.63E+06
173.12,1.52E+06
173.17,6.95E+05
173.21,3.52E+05
173.25,1.78E+05
173.29,9.64E+04
173.34,5.73E+04
173.38,4.80E+04
173.42,4.71E+04
173.46,5.05E+04
173.51,5.74E+04
173.55,6.31E+04
173.59,6.83E+04
173.63,7.28E+04
173.68,7.83E+04
173.72,8.25E+04
173.76,8.60E+04
173.8,8.78E+04
173.85,8.84E+04
173.89,9.02E+04
173.93,9.65E+04
173.97,1.10E+05
174.02,1.40E+05
174.06,1.74E+05
174.1,2.13E+05
174.14,2.54E+05
174.19,2.98E+05
174.23,3.18E+05
174.27,3.20E+05
174.31,3.01E+05
174.36,2.55E+05
174.4,2.08E+05
174.44,1.59E+05
174.48,1.15E+05
174.53,6.98E+04
174.57,4.52E+04
174.61,3.32E+04
174.65,4.10E+04
174.7,1.10E+05
174.74,2.71E+05
174.78,6.19E+05
174.82,1.28E+06
174.87,2.77E+06
174.91,4.54E+06
174.95,6.73E+06
174.99,8.99E+06
175.04,1.12E+07
175.08,1.19E+07
175.12,1.14E+07
175.17,9.51E+06
175.21,7.43E+06
175.25,5.36E+06
175.29,3.61E+06
175.34,2.05E+06
175.38,1.25E+06
175.42,7.41E+05
175.46,4.28E+05
175.51,2.04E+05
175.55,1.07E+05
175.59,5.30E+04
175.63,2.54E+04
175.68,1.14E+04
175.72,8.38E+03
175.76,8.78E+03
175.8,1.05E+04
175.85,1.26E+04
175.89,1.32E+04
175.93,1.25E+04
175.97,1.08E+04
176.02,7.91E+03
176.06,5.99E+03
176.1,5.16E+03
176.14,6.09E+03
176.19,1.06E+04
176.23,1.75E+04
176.27,2.71E+04
176.31,3.85E+04
176.36,5.34E+04
176.4,6.41E+04
176.44,7.35E+04
176.48,8.35E+04
176.53,1.02E+05
176.57,1.28E+05
176.61,1.66E+05
176.65,2.16E+05
176.7,2.86E+05
176.74,3.32E+05
176.78,3.57E+05
176.82,3.51E+05
176.87,3.02E+05
176.91,2.42E+05
176.95,1.78E+05
176.99,1.22E+05
177.04,7.60E+04
177.08,5.99E+04
177.12,6.21E+04
177.16,8.28E+04
177.21,1.38E+05
177.25,2.09E+05
177.29,3.03E+05
177.33,4.13E+05
177.38,5.50E+05
177.42,6.34E+05
177.46,6.73E+05
177.5,6.58E+05
177.55,5.67E+05
177.59,4.62E+05
177.63,3.58E+05
177.67,2.90E+05
