Wavelength,Spectra,,,
176.44,5.53E-06,,,
176.48,7.56E-05,,,
176.53,1.72E-03,,,
176.57,1.88E-02,,,
176.61,1.84E-01,,,
176.65,1.64E+00,,,
176.7,2.18E+01,,,
176.74,1.54E+02,,,
176.78,9.82E+02,,,
176.82,5.66E+03,,,
176.87,4.39E+04,,,
176.91,2.01E+05,,,
176.95,8.34E+05,,,
176.99,3.12E+06,,,
177.04,1.41E+07,,,
177.08,4.21E+07,,,
177.12,1.13E+08,,,
177.16,2.75E+08,,,
177.21,7.25E+08,,,
177.25,1.40E+09,,,
177.29,2.45E+09,,,
177.33,3.87E+09,,,
177.38,5.95E+09,,,
177.42,7.47E+09,,,
177.46,8.48E+09,,,
177.5,8.70E+09,,,
177.55,7.79E+09,,,
177.59,6.36E+09,,,
177.63,4.69E+09,,,
177.67,3.12E+09,,,
177.72,1.63E+09,,,
177.76,8.64E+08,,,
177.8,4.18E+08,,,
177.84,1.92E+08,,,
177.89,1.03E+08,,,
177.93,1.43E+08,,,
177.97,2.91E+08,,,
178.01,5.94E+08,,,
178.06,1.28E+09,,,
178.1,2.12E+09,,,
178.14,3.17E+09,,,
178.18,4.28E+09,,,
178.23,5.42E+09,,,
178.27,5.85E+09,,,
178.31,5.71E+09,,,
178.35,5.05E+09,,,
178.4,3.78E+09,,,
178.44,2.74E+09,,,
178.48,1.92E+09,,,
178.52,1.45E+09,,,
178.57,1.37E+09,,,
178.61,1.65E+09,,,
178.65,2.11E+09,,,
178.69,2.57E+09,,,
178.74,2.93E+09,,,
178.78,2.93E+09,,,
178.82,2.65E+09,,,
178.86,2.16E+09,,,
178.91,1.46E+09,,,
178.95,9.56E+08,,,
178.99,5.65E+08,,,
179.03,3.02E+08,,,
179.08,1.20E+08,,,
179.12,5.13E+07,,,
179.16,1.98E+07,,,
179.2,6.92E+06,,,
179.25,1.62E+06,,,
179.29,4.51E+05,,,
179.33,1.14E+05,,,
179.37,2.60E+04,,,
179.42,3.56E+03,,,
179.46,6.49E+02,,,
179.5,1.07E+02,,,
179.54,1.60E+01,,,
179.59,1.29E+00,,,
179.63,1.53E-01,,,
179.67,1.65E-02,,,
179.71,1.61E-03,,,
179.76,7.61E-05,,,
179.8,5.92E-06,,,
179.84,4.17E-07,,,
184.77,4.06E-07,,,
184.82,1.03E-05,,,
184.86,1.17E-04,,,
184.9,1.23E-03,,,
184.94,1.17E-02,,,
184.99,1.72E-01,,,
185.03,1.34E+00,,,
185.07,9.45E+00,,,
185.11,6.10E+01,,,
185.16,5.53E+02,,,
185.2,2.91E+03,,,
185.24,1.40E+04,,,
185.28,6.14E+04,,,
185.33,3.44E+05,,,
185.37,1.23E+06,,,
185.41,4.03E+06,,,
185.45,1.20E+07,,,
185.5,4.17E+07,,,
185.54,1.02E+08,,,
185.58,2.27E+08,,,
185.62,4.64E+08,,,
185.67,1.00E+09,,,
185.71,1.67E+09,,,
185.75,2.55E+09,,,
185.79,3.56E+09,,,
185.84,4.77E+09,,,
185.88,5.45E+09,,,
185.92,5.70E+09,,,
185.96,5.44E+09,,,
186.01,4.54E+09,,,
186.05,3.54E+09,,,
186.09,2.53E+09,,,
186.13,1.65E+09,,,
186.18,8.56E+08,,,
186.22,4.56E+08,,,
186.26,2.22E+08,,,
186.3,9.90E+07,,,
186.35,3.17E+07,,,
186.39,1.15E+07,,,
186.43,3.82E+06,,,
186.47,1.16E+06,,,
186.52,2.28E+05,,,
186.56,5.63E+04,,,
186.6,1.27E+04,,,
186.64,2.60E+03,,,
186.69,3.16E+02,,,
186.73,5.28E+01,,,
186.77,8.05E+00,,,
186.81,1.12E+00,,,
186.86,8.36E-02,,,
186.9,9.45E-03,,,
186.94,9.75E-04,,,
186.98,9.17E-05,,,
187.03,4.18E-06,,,
187.07,3.13E-07,,,
212.24,1.41E-08,,,
212.28,1.36E-07,,,
212.32,1.56E-06,,,
212.37,2.27E-05,,,
212.41,1.79E-04,,,
212.45,1.32E-03,,,
212.49,9.14E-03,,,
212.54,9.31E-02,,,
212.58,5.53E-01,,,
212.62,3.07E+00,,,
212.66,1.60E+01,,,
