Wavelength,Spectra,,
181.12,2.34E-05,,
181.16,3.09E-04,,
181.2,3.70E-03,,
181.24,4.02E-02,,
181.29,6.92E-01,,
181.33,6.05E+00,,
181.37,4.81E+01,,
181.41,3.47E+02,,
181.46,3.58E+03,,
181.5,2.08E+04,,
181.54,1.10E+05,,
181.58,5.25E+05,,
181.63,3.25E+06,,
181.67,1.25E+07,,
181.71,4.38E+07,,
181.75,1.39E+08,,
181.8,5.17E+08,,
181.84,1.32E+09,,
181.88,3.07E+09,,
181.93,7.70E+09,,
181.97,1.44E+10,,
182.01,2.45E+10,,
182.05,3.78E+10,,
182.1,5.68E+10,,
182.14,7.05E+10,,
182.18,7.95E+10,,
182.22,8.15E+10,,
182.27,7.33E+10,,
182.31,6.05E+10,,
182.35,4.53E+10,,
182.39,3.08E+10,,
182.44,1.66E+10,,
182.48,9.09E+09,,
182.52,4.52E+09,,
182.56,2.04E+09,,
182.61,6.60E+08,,
182.65,2.40E+08,,
182.69,7.91E+07,,
182.73,2.37E+07,,
182.78,4.59E+06,,
182.82,1.11E+06,,
182.86,2.43E+05,,
182.9,4.83E+04,,
182.95,5.61E+03,,
182.99,8.98E+02,,
183.03,1.31E+02,,
183.07,1.73E+01,,
183.12,1.20E+00,,
183.16,1.28E-01,,
183.2,1.23E-02,,
183.24,1.08E-03,,
183.29,4.51E-05,,
200.97,4.37E-09,,
201.01,4.66E-08,,
201.06,8.06E-07,,
201.1,7.21E-06,,
201.14,5.97E-05,,
201.18,4.57E-04,,
201.23,5.20E-03,,
201.27,3.34E-02,,
201.31,1.98E-01,,
201.35,1.09E+00,,
201.4,8.18E+00,,
201.44,3.76E+01,,
201.48,1.60E+02,,
201.52,6.30E+02,,
201.57,3.13E+03,,
201.61,1.03E+04,,
201.65,3.14E+04,,
201.69,8.87E+04,,
201.74,2.91E+05,,
201.78,6.87E+05,,
201.82,1.50E+06,,
201.86,3.04E+06,,
201.91,6.57E+06,,
201.95,1.11E+07,,
201.99,1.75E+07,,
202.03,2.53E+07,,
202.08,3.61E+07,,
202.12,4.39E+07,,
202.16,4.94E+07,,
202.21,5.13E+07,,
202.25,4.83E+07,,
202.29,4.21E+07,,
202.33,3.40E+07,,
202.38,2.33E+07,,
202.42,1.57E+07,,
202.46,9.83E+06,,
202.5,5.69E+06,,
202.55,2.57E+06,,
202.59,1.25E+06,,
202.63,5.58E+05,,
202.67,2.31E+05,,
202.72,6.90E+04,,
202.76,2.40E+04,,
202.8,7.71E+03,,
202.84,2.29E+03,,
202.89,4.50E+02,,
202.93,1.12E+02,,
202.97,2.59E+01,,
203.01,5.52E+00,,
203.06,7.16E-01,,
203.1,1.28E-01,,
203.14,2.11E-02,,
203.18,3.23E-03,,
203.23,2.77E-04,,
203.27,3.54E-05,,
203.31,4.20E-06,,
203.35,4.60E-07,,
203.4,2.60E-08,,
203.44,2.39E-09,,
204.08,7.59E-09,,
204.12,7.83E-08,,
204.16,7.49E-07,,
204.2,6.64E-06,,
204.25,9.13E-05,,
204.29,6.82E-04,,
204.33,4.73E-03,,
204.37,3.04E-02,,
204.42,2.79E-01,,
204.46,1.51E+00,,
204.5,7.57E+00,,
204.54,3.52E+01,,
204.59,2.16E+02,,
204.63,8.48E+02,,
204.67,3.08E+03,,
204.71,1.04E+04,,
204.76,4.26E+04,,
204.8,1.21E+05,,
204.84,3.18E+05,,
204.88,7.76E+05,,
204.93,2.13E+06,,
204.97,4.37E+06,,
205.01,8.33E+06,,
205.05,1.47E+07,,
