Wavelength,Spectra
243.32,2.76E-08
243.36,1.91E-07
243.4,1.26E-06
243.45,1.23E-05
243.49,7.15E-05
243.53,3.95E-04
243.57,2.07E-03
243.62,1.52E-02
243.66,7.05E-02
243.7,3.10E-01
243.74,1.29E+00
243.79,7.16E+00
243.83,2.65E+01
243.87,9.29E+01
243.91,3.09E+02
243.96,1.29E+03
244,3.80E+03
244.04,1.06E+04
244.08,2.81E+04
244.13,8.82E+04
244.17,2.07E+05
244.21,4.62E+05
244.25,9.75E+05
244.3,2.30E+06
244.34,4.31E+06
244.38,7.66E+06
244.42,1.29E+07
244.47,2.29E+07
244.51,3.42E+07
244.55,4.84E+07
244.59,6.50E+07
244.64,8.70E+07
244.68,1.04E+08
244.72,1.17E+08
244.76,1.25E+08
244.81,1.26E+08
244.85,1.19E+08
244.89,1.07E+08
244.93,9.13E+07
244.98,6.93E+07
245.02,5.24E+07
245.06,3.75E+07
245.1,2.55E+07
245.15,1.46E+07
245.19,8.77E+06
245.23,5.01E+06
245.27,2.71E+06
245.32,1.17E+06
245.36,5.60E+05
245.4,2.55E+05
245.44,1.10E+05
245.49,3.56E+04
245.53,1.36E+04
245.57,4.93E+03
245.61,1.70E+03
245.66,4.14E+02
245.7,1.26E+02
245.74,3.64E+01
245.78,9.98E+00
245.83,1.84E+00
245.87,4.46E-01
245.91,1.03E-01
245.95,2.24E-02
246,3.10E-03
246.04,6.00E-04
246.08,1.10E-04
246.12,1.92E-05
246.17,2.07E-06
246.21,7.68E-07
246.25,2.94E-06
246.29,1.73E-05
246.34,1.50E-04
246.38,7.97E-04
246.42,4.02E-03
246.46,1.92E-02
246.51,1.26E-01
246.55,5.38E-01
246.59,2.17E+00
246.63,8.32E+00
246.68,4.15E+01
246.72,1.41E+02
246.76,4.57E+02
246.8,1.40E+03
246.85,5.31E+03
246.89,1.45E+04
246.93,3.75E+04
246.97,9.23E+04
247.02,2.64E+05
247.06,5.78E+05
247.1,1.20E+06
247.14,2.37E+06
247.19,5.13E+06
247.23,8.99E+06
247.27,1.50E+07
247.31,2.36E+07
247.36,3.88E+07
247.4,5.45E+07
247.44,7.26E+07
247.48,9.19E+07
247.53,1.15E+08
247.57,1.29E+08
247.61,1.37E+08
247.65,1.39E+08
247.7,1.32E+08
247.74,1.19E+08
247.78,1.01E+08
247.82,8.22E+07
247.87,5.89E+07
247.91,4.25E+07
247.95,2.91E+07
247.99,1.89E+07
248.04,1.03E+07
248.08,5.93E+06
248.12,3.26E+06
248.16,1.70E+06
248.21,6.98E+05
248.25,3.23E+05
248.29,1.42E+05
248.33,5.93E+04
248.38,1.85E+04
248.42,6.85E+03
248.46,2.41E+03
248.5,8.07E+02
248.55,1.91E+02
248.59,5.66E+01
248.63,1.60E+01
248.67,4.28E+00
248.72,7.66E-01
248.76,1.82E-01
248.8,4.12E-02
248.84,8.85E-03
248.89,1.20E-03
248.93,2.29E-04
248.97,4.15E-05
249.01,7.12E-06
249.06,7.33E-07
249.1,1.12E-07
249.14,1.62E-08
274.65,5.70E-08
274.69,3.18E-07
274.74,2.57E-06
274.78,1.30E-05
274.82,6.34E-05
274.86,2.96E-04
274.91,1.91E-03
274.95,8.12E-03
274.99,3.31E-02
275.03,1.29E-01
275.08,6.68E-01
275.12,2.37E+00
275.16,8.09E+00
275.2,2.64E+01
275.25,1.09E+02
