Wavelength,Spectra
376.99,8.89E-08
377.03,3.07E-07
377.07,1.04E-06
377.11,3.44E-06
377.16,1.49E-05
377.2,4.67E-05
377.24,1.44E-04
377.29,5.67E-04
377.33,1.66E-03
377.37,4.75E-03
377.41,1.33E-02
377.46,4.66E-02
377.5,1.24E-01
377.54,3.23E-01
377.58,8.22E-01
377.63,2.56E+00
377.67,6.20E+00
377.71,1.47E+01
377.75,3.40E+01
377.8,9.42E+01
377.84,2.08E+02
377.88,4.47E+02
377.92,9.42E+02
377.97,2.32E+03
378.01,4.65E+03
378.05,9.11E+03
378.09,1.75E+04
378.14,3.82E+04
378.18,6.96E+04
378.22,1.24E+05
378.26,2.17E+05
378.31,4.21E+05
378.35,6.98E+05
378.39,1.13E+06
378.43,1.80E+06
378.48,3.10E+06
378.52,4.68E+06
378.56,6.91E+06
378.6,9.97E+06
378.65,1.53E+07
378.69,2.10E+07
378.73,2.82E+07
378.77,3.70E+07
378.82,5.05E+07
378.86,6.30E+07
378.9,7.70E+07
378.94,9.20E+07
378.99,1.11E+08
379.03,1.27E+08
379.07,1.41E+08
379.11,1.53E+08
379.16,1.65E+08
379.2,1.70E+08
379.24,1.72E+08
379.28,1.70E+08
379.33,1.63E+08
379.37,1.53E+08
379.41,1.41E+08
379.45,1.27E+08
379.5,1.08E+08
379.54,9.20E+07
379.58,7.70E+07
379.62,6.30E+07
379.67,4.76E+07
379.71,3.70E+07
379.75,2.82E+07
379.79,2.10E+07
379.84,1.41E+07
379.88,9.97E+06
379.92,6.91E+06
379.96,4.68E+06
380.01,2.79E+06
380.05,1.80E+06
380.09,1.13E+06
380.13,6.98E+05
380.18,3.69E+05
380.22,2.17E+05
380.26,1.24E+05
380.3,6.96E+04
380.35,3.27E+04
380.39,1.75E+04
380.43,9.11E+03
380.47,4.65E+03
380.52,1.94E+03
380.56,9.42E+02
380.6,4.47E+02
380.64,2.08E+02
380.69,7.71E+01
380.73,3.40E+01
380.77,1.47E+01
380.81,6.20E+00
380.86,2.05E+00
380.9,8.22E-01
380.94,3.23E-01
380.98,1.24E-01
381.03,3.64E-02
381.07,1.33E-02
381.11,4.75E-03
381.15,1.66E-03
381.2,4.32E-04
381.24,1.44E-04
381.28,4.67E-05
381.32,1.49E-05
381.37,3.44E-06
381.41,1.04E-06
381.45,3.07E-07
381.49,8.89E-08
381.54,1.83E-08
382.85,1.09E-07
382.9,5.06E-07
382.94,1.69E-06
382.98,5.49E-06
383.02,1.75E-05
383.07,7.24E-05
383.11,2.20E-04
383.15,6.53E-04
383.19,1.90E-03
383.24,7.00E-03
383.28,1.94E-02
383.32,5.26E-02
383.36,1.40E-01
383.41,4.59E-01
383.45,1.16E+00
383.49,2.87E+00
383.53,6.96E+00
383.58,2.04E+01
383.62,4.70E+01
383.66,1.06E+02
383.7,2.35E+02
383.75,6.13E+02
383.79,1.29E+03
383.83,2.66E+03
383.87,5.36E+03
383.92,1.25E+04
383.96,2.40E+04
384,4.51E+04
384.05,9.62E+04
384.09,1.72E+05
384.13,3.02E+05
384.17,5.18E+05
384.22,9.86E+05
384.26,1.61E+06
384.3,2.57E+06
384.34,4.03E+06
384.39,6.84E+06
384.43,1.02E+07
384.47,1.49E+07
384.51,2.12E+07
384.56,3.21E+07
384.6,4.37E+07
384.64,5.81E+07
384.68,7.57E+07
384.73,1.02E+08
384.77,1.27E+08
384.81,1.54E+08
384.85,1.83E+08
384.9,2.20E+08
384.94,2.49E+08
384.98,2.76E+08
385.02,3.00E+08
385.07,3.22E+08
385.11,3.32E+08
385.15,3.36E+08
385.19,3.32E+08
385.24,3.18E+08
385.28,3.00E+08
385.32,2.76E+08
385.36,2.49E+08
385.41,2.13E+08
385.45,1.83E+08
385.49,1.54E+08
385.53,1.27E+08
385.58,9.65E+07
385.62,7.57E+07
385.66,5.81E+07
385.7,4.37E+07
385.75,2.96E+07
385.79,2.12E+07
385.83,1.49E+07
385.87,1.02E+07
385.92,6.17E+06
385.96,4.03E+06
386,2.57E+06
386.04,1.61E+06
386.09,8.69E+05
386.13,5.18E+05
386.17,3.02E+05
386.21,1.72E+05
386.26,8.29E+04
386.3,4.51E+04
386.34,2.40E+04
386.38,1.25E+04
386.43,5.36E+03
386.47,2.66E+03
386.51,1.29E+03
386.55,6.13E+02
386.6,2.35E+02
386.64,1.06E+02
386.68,4.70E+01
386.72,2.04E+01
386.77,6.96E+00
386.81,2.87E+00
386.85,1.16E+00
386.89,4.59E-01
386.94,1.41E-01
386.98,5.54E-02
387.02,2.72E-02
387.06,2.80E-02
387.11,7.31E-02
387.15,1.85E-01
387.19,4.68E-01
387.23,1.16E+00
387.28,3.52E+00
387.32,8.33E+00
387.36,1.93E+01
387.4,4.38E+01
387.45,1.19E+02
387.49,2.57E+02
387.53,5.44E+02
387.57,1.13E+03
387.62,2.73E+03
387.66,5.39E+03
387.7,1.04E+04
387.74,1.98E+04
387.79,4.28E+04
387.83,7.74E+04
387.87,1.37E+05
387.91,2.37E+05
387.96,4.58E+05
388,7.57E+05
388.04,1.23E+06
388.08,1.94E+06
388.13,3.35E+06
388.17,5.06E+06
388.21,7.48E+06
388.25,1.08E+07
388.3,1.67E+07
388.34,2.31E+07
388.38,3.12E+07
388.42,4.13E+07
388.47,5.69E+07
388.51,7.18E+07
388.55,8.87E+07
388.59,1.07E+08
388.64,1.32E+08
388.68,1.52E+08
388.72,1.72E+08
388.76,1.90E+08
388.81,2.10E+08
388.85,2.21E+08
388.89,2.28E+08
388.93,2.30E+08
388.98,2.27E+08
389.02,2.18E+08
389.06,2.06E+08
389.1,1.90E+08
389.15,1.67E+08
389.19,1.47E+08
389.23,1.27E+08
389.27,1.07E+08
389.32,8.43E+07
389.36,6.79E+07
389.4,5.35E+07
389.44,4.13E+07
389.49,2.90E+07
389.53,2.13E+07
389.57,1.54E+07
389.61,1.08E+07
389.66,6.80E+06
389.7,4.57E+06
389.74,3.01E+06
389.78,1.94E+06
389.83,1.09E+06
389.87,6.69E+05
389.91,4.03E+05
389.95,2.37E+05
390,1.19E+05
390.04,6.69E+04
390.08,3.68E+04
390.12,1.98E+04
390.17,8.87E+03
390.21,4.56E+03
390.25,2.29E+03
390.29,1.13E+03
390.34,4.52E+02
390.38,2.14E+02
390.42,1.01E+02
390.46,5.31E+01
390.51,4.15E+01
390.55,6.36E+01
390.59,1.26E+02
390.63,2.61E+02
390.68,6.44E+02
390.72,1.30E+03
390.76,2.57E+03
390.81,5.86E+03
390.85,1.11E+04
390.89,2.04E+04
390.93,3.70E+04
390.98,7.54E+04
391.02,1.30E+05
391.06,2.20E+05
391.1,3.65E+05
391.15,6.67E+05
391.19,1.06E+06
391.23,1.64E+06
391.27,2.48E+06
391.32,4.07E+06
391.36,5.90E+06
391.4,8.38E+06
391.44,1.17E+07
391.49,1.72E+07
391.53,2.29E+07
391.57,2.99E+07
391.61,3.83E+07
391.66,5.10E+07
391.7,6.29E+07
391.74,7.63E+07
391.78,9.11E+07
391.83,1.12E+08
391.87,1.30E+08
391.91,1.49E+08
391.95,1.69E+08
392,1.97E+08
392.04,2.21E+08
392.08,2.47E+08
392.12,2.75E+08
392.17,3.12E+08
392.21,3.44E+08
392.25,3.76E+08
392.29,4.09E+08
392.34,4.47E+08
392.38,4.75E+08
392.42,4.97E+08
392.46,5.14E+08
392.51,5.23E+08
392.55,5.21E+08
392.59,5.10E+08
392.63,4.90E+08
392.68,4.54E+08
392.72,4.18E+08
392.76,3.77E+08
392.8,3.34E+08
392.85,2.78E+08
392.89,2.35E+08
392.93,1.95E+08
392.97,1.58E+08
393.02,1.19E+08
393.06,9.18E+07
393.1,6.97E+07
393.14,5.18E+07
393.19,3.48E+07
393.23,2.47E+07
393.27,1.72E+07
393.31,1.17E+07
393.36,7.02E+06
393.4,4.56E+06
393.44,2.90E+06
393.48,1.81E+06
393.53,9.75E+05
393.57,5.83E+05
393.61,3.45E+05
393.65,2.06E+05
393.7,1.23E+05
393.74,1.07E+05
393.78,1.31E+05
393.82,2.00E+05
393.87,3.81E+05
393.91,6.45E+05
393.95,1.08E+06
393.99,1.77E+06
394.04,3.21E+06
394.08,5.04E+06
394.12,7.75E+06
394.16,1.17E+07
394.21,1.90E+07
394.25,2.73E+07
394.29,3.85E+07
394.33,5.31E+07
394.38,7.73E+07
394.42,1.02E+08
394.46,1.32E+08
394.5,1.67E+08
394.55,2.18E+08
394.59,2.63E+08
394.63,3.12E+08
394.67,3.62E+08
394.72,4.23E+08
394.76,4.69E+08
394.8,5.09E+08
394.84,5.42E+08
394.89,5.68E+08
394.93,5.77E+08
394.97,5.74E+08
395.01,5.60E+08
395.06,5.26E+08
395.1,4.90E+08
395.14,4.47E+08
395.18,3.99E+08
395.23,3.37E+08
395.27,2.87E+08
395.31,2.40E+08
395.35,1.97E+08
395.4,1.50E+08
395.44,1.18E+08
395.48,9.26E+07
395.52,7.27E+07
395.57,5.59E+07
395.61,4.90E+07
395.65,4.80E+07
395.69,5.35E+07
395.74,7.05E+07
395.78,9.37E+07
395.82,1.27E+08
395.86,1.72E+08
395.91,2.48E+08
395.95,3.26E+08
395.99,4.21E+08
396.03,5.33E+08
396.08,6.98E+08
396.12,8.48E+08
396.16,1.01E+09
396.2,1.18E+09
396.25,1.40E+09
396.29,1.57E+09
396.33,1.72E+09
396.37,1.86E+09
396.42,2.00E+09
396.46,2.08E+09
396.5,2.12E+09
396.54,2.13E+09
396.59,2.11E+09
396.63,2.06E+09
396.67,1.98E+09
396.71,1.90E+09
396.76,1.78E+09
396.8,1.68E+09
396.84,1.59E+09
396.88,1.50E+09
396.93,1.41E+09
396.97,1.34E+09
397.01,1.28E+09
397.05,1.23E+09
397.1,1.17E+09
397.14,1.12E+09
397.18,1.06E+09
397.22,9.96E+08
397.27,9.09E+08
397.31,8.33E+08
397.35,7.52E+08
397.4,6.47E+08
397.44,5.64E+08
397.48,4.82E+08
397.52,4.05E+08
397.57,3.17E+08
397.61,2.55E+08
397.65,2.02E+08
397.69,1.57E+08
397.74,1.11E+08
397.78,8.23E+07
397.82,6.00E+07
397.86,4.30E+07
397.91,2.77E+07
397.95,1.94E+07
397.99,1.37E+07
398.03,1.02E+07
398.08,8.25E+06
398.12,8.44E+06
398.16,1.02E+07
398.2,1.35E+07
398.25,2.04E+07
398.29,2.85E+07
398.33,3.95E+07
398.37,5.39E+07
398.42,7.75E+07
398.46,1.02E+08
398.5,1.30E+08
398.54,1.64E+08
398.59,2.14E+08
398.63,2.58E+08
398.67,3.07E+08
398.71,3.59E+08
398.76,4.26E+08
398.8,4.81E+08
398.84,5.36E+08
398.88,5.90E+08
398.93,6.56E+08
398.97,7.09E+08
399.01,7.60E+08
399.05,8.13E+08
399.1,8.80E+08
399.14,9.36E+08
399.18,9.95E+08
399.22,1.06E+09
399.27,1.13E+09
399.31,1.19E+09
399.35,1.25E+09
399.39,1.30E+09
399.44,1.35E+09
399.48,1.38E+09
399.52,1.40E+09
399.56,1.40E+09
399.61,1.37E+09
399.65,1.34E+09
399.69,1.29E+09
399.73,1.23E+09
399.78,1.15E+09
399.82,1.08E+09
399.86,1.01E+09
399.9,9.37E+08
399.95,8.57E+08
399.99,8.00E+08
400.03,7.50E+08
400.07,7.09E+08
400.12,6.69E+08
400.16,6.45E+08
400.2,6.28E+08
400.24,6.16E+08
400.29,6.04E+08
400.33,5.96E+08
400.37,5.87E+08
400.41,5.75E+08
400.46,5.54E+08
400.5,5.31E+08
400.54,5.04E+08
400.58,4.71E+08
400.63,4.25E+08
400.67,3.84E+08
400.71,3.43E+08
400.75,3.02E+08
400.8,2.53E+08
400.84,2.19E+08
400.88,1.89E+08
400.92,1.66E+08
400.97,1.46E+08
401.01,1.39E+08
401.05,1.38E+08
401.09,1.45E+08
401.14,1.61E+08
401.18,1.81E+08
401.22,2.04E+08
401.26,2.30E+08
401.31,2.64E+08
401.35,2.90E+08
401.39,3.14E+08
401.43,3.34E+08
401.48,3.51E+08
401.52,3.58E+08
401.56,3.58E+08
401.6,3.51E+08
401.65,3.33E+08
401.69,3.12E+08
401.73,2.87E+08
401.77,2.58E+08
401.82,2.20E+08
401.86,1.90E+08
401.9,1.61E+08
401.94,1.33E+08
401.99,1.02E+08
402.03,8.10E+07
402.07,6.30E+07
402.11,4.82E+07
402.16,3.38E+07
402.2,2.54E+07
402.24,1.93E+07
402.28,1.54E+07
402.33,1.34E+07
402.37,1.41E+07
402.41,1.69E+07
402.45,2.21E+07
402.5,3.27E+07
402.54,4.53E+07
402.58,6.22E+07
402.62,8.44E+07
402.67,1.21E+08
402.71,1.58E+08
402.75,2.03E+08
402.79,2.57E+08
402.84,3.36E+08
402.88,4.08E+08
402.92,4.88E+08
402.96,5.73E+08
403.01,6.84E+08
403.05,7.74E+08
403.09,8.61E+08
403.13,9.42E+08
403.18,1.03E+09
403.22,1.09E+09
403.26,1.13E+09
403.3,1.16E+09
403.35,1.17E+09
403.39,1.16E+09
403.43,1.13E+09
403.47,1.09E+09
403.52,1.03E+09
403.56,9.80E+08
403.6,9.23E+08
403.64,8.68E+08
403.69,8.02E+08
403.73,7.54E+08
403.77,7.12E+08
403.81,6.76E+08
403.86,6.39E+08
403.9,6.16E+08
403.94,5.98E+08
403.98,5.85E+08
404.03,5.74E+08
404.07,5.70E+08
404.11,5.69E+08
404.16,5.72E+08
404.2,5.77E+08
404.24,5.83E+08
404.28,5.89E+08
404.33,5.95E+08
404.37,5.97E+08
404.41,5.94E+08
404.45,5.87E+08
