Wavelength,Spectra,,
170.11,3.36E+04,,
170.15,1.19E+05,,
170.19,3.77E+05,,
170.23,1.07E+06,,
170.28,3.39E+06,,
170.32,7.52E+06,,
170.36,1.50E+07,,
170.4,2.66E+07,,
170.45,4.70E+07,,
170.49,6.53E+07,,
170.53,8.14E+07,,
170.57,9.08E+07,,
170.62,8.93E+07,,
170.66,7.78E+07,,
170.7,6.08E+07,,
170.74,4.25E+07,,
170.79,2.33E+07,,
170.83,1.27E+07,,
170.87,6.23E+06,,
170.91,2.73E+06,,
170.96,8.34E+05,,
171,2.86E+05,,
171.04,8.75E+04,,
171.08,2.41E+04,,
171.13,4.10E+03,,
171.17,8.79E+02,,
171.21,1.69E+02,,
171.25,2.91E+01,,
171.3,2.76E+00,,
171.34,3.71E-01,,
171.38,4.52E-02,,
171.42,1.05E-02,,
171.47,1.04E-01,,
171.51,9.44E-01,,
171.55,7.72E+00,,
171.59,5.67E+01,,
171.64,5.89E+02,,
171.68,3.39E+03,,
171.72,1.76E+04,,
171.76,8.15E+04,,
171.81,4.78E+05,,
171.85,1.74E+06,,
171.89,5.70E+06,,
171.93,1.68E+07,,
171.98,5.55E+07,,
172.02,1.28E+08,,
172.06,2.66E+08,,
172.1,4.95E+08,,
172.15,9.27E+08,,
172.19,1.36E+09,,
172.23,1.80E+09,,
172.27,2.14E+09,,
172.32,2.32E+09,,
172.36,2.21E+09,,
172.4,1.92E+09,,
172.44,1.53E+09,,
172.49,1.02E+09,,
172.53,6.82E+08,,
172.57,4.24E+08,,
172.61,2.47E+08,,
172.66,1.14E+08,,
172.7,5.66E+07,,
172.74,2.60E+07,,
172.78,1.10E+07,,
172.83,3.28E+06,,
172.87,1.12E+06,,
172.91,3.47E+05,,
172.95,9.78E+04,,
173,2.46E+04,,
173.04,3.83E+04,,
173.08,1.42E+05,,
173.12,5.18E+05,,
173.17,2.27E+06,,
173.21,6.56E+06,,
173.25,1.71E+07,,
173.29,4.00E+07,,
173.34,9.96E+07,,
173.38,1.84E+08,,
173.42,3.05E+08,,
173.46,4.56E+08,,
173.51,6.52E+08,,
173.55,7.72E+08,,
173.59,8.28E+08,,
173.63,8.05E+08,,
173.68,6.82E+08,,
173.72,5.42E+08,,
173.76,3.99E+08,,
173.8,2.74E+08,,
173.85,1.57E+08,,
173.89,9.48E+07,,
173.93,5.40E+07,,
173.97,2.89E+07,,
174.02,1.20E+07,,
174.06,5.41E+06,,
174.1,2.26E+06,,
174.14,9.42E+05,,
174.19,6.27E+05,,
174.23,1.18E+06,,
174.27,2.74E+06,,
174.31,5.99E+06,,
174.36,1.38E+07,,
174.4,2.40E+07,,
174.44,3.75E+07,,
174.48,5.27E+07,,
