Wavelength,Spectra,,
189.71,2.19E-07,,
189.75,2.68E-06,,
189.79,3.00E-05,,
189.83,3.08E-04,,
189.88,4.99E-03,,
189.92,4.20E-02,,
189.96,3.24E-01,,
190,2.28E+00,,
190.05,2.32E+01,,
190.09,1.35E+02,,
190.13,7.14E+02,,
190.17,3.47E+03,,
190.22,2.21E+04,,
190.26,8.83E+04,,
190.3,3.23E+05,,
190.34,1.08E+06,,
190.39,4.32E+06,,
190.43,1.19E+07,,
190.47,2.98E+07,,
190.51,6.87E+07,,
190.56,1.72E+08,,
190.6,3.26E+08,,
190.64,5.64E+08,,
190.68,8.94E+08,,
190.73,1.41E+09,,
190.77,1.83E+09,,
190.81,2.18E+09,,
190.85,2.38E+09,,
190.9,2.35E+09,,
190.94,2.11E+09,,
190.98,1.73E+09,,
191.02,1.30E+09,,
191.07,8.03E+08,,
191.11,4.96E+08,,
191.15,2.80E+08,,
191.19,1.45E+08,,
191.24,5.62E+07,,
191.28,2.39E+07,,
191.32,9.28E+06,,
191.36,3.31E+06,,
191.41,8.05E+05,,
191.45,2.35E+05,,
191.49,6.30E+04,,
191.53,1.55E+04,,
191.58,2.36E+03,,
191.62,4.74E+02,,
191.66,8.75E+01,,
191.7,1.48E+01,,
191.75,1.41E+00,,
191.79,1.96E-01,,
191.83,2.49E-02,,
191.87,2.89E-03,,
191.92,1.73E-04,,
191.96,1.65E-05,,
192,1.45E-06,,
192.04,1.16E-07,,
209.48,1.79E-07,,
209.52,1.73E-06,,
209.56,1.56E-05,,
209.6,1.30E-04,,
209.65,1.68E-03,,
209.69,1.20E-02,,
209.73,7.92E-02,,
209.77,4.88E-01,,
209.82,4.29E+00,,
209.86,2.25E+01,,
209.9,1.10E+02,,
209.94,4.98E+02,,
209.99,2.98E+03,,
210.03,1.15E+04,,
210.07,4.14E+04,,
210.11,1.38E+05,,
210.16,5.64E+05,,
210.2,1.60E+06,,
210.24,4.24E+06,,
210.28,1.04E+07,,
210.33,2.91E+07,,
210.37,6.09E+07,,
210.41,1.19E+08,,
210.45,2.15E+08,,
210.5,4.08E+08,,
210.54,6.28E+08,,
210.58,9.01E+08,,
210.62,1.20E+09,,
210.67,1.56E+09,,
210.71,1.77E+09,,
210.75,1.86E+09,,
210.79,1.83E+09,,
210.84,1.62E+09,,
210.88,1.35E+09,,
210.92,1.05E+09,,
210.96,7.59E+08,,
211.01,4.57E+08,,
211.05,2.81E+08,,
211.09,1.61E+08,,
211.13,8.57E+07,,
211.18,3.52E+07,,
211.22,1.59E+07,,
211.26,6.72E+06,,
211.3,2.63E+06,,
211.35,7.38E+05,,
211.39,2.46E+05,,
211.43,7.63E+04,,
211.47,2.20E+04,,
211.52,4.21E+03,,
211.56,1.03E+03,,
211.6,2.36E+02,,
211.64,5.01E+01,,
211.69,6.53E+00,,
211.73,1.18E+00,,
211.77,1.99E-01,,
211.81,3.11E-02,,
211.86,2.76E-03,,
211.9,3.67E-04,,
211.94,4.55E-05,,
211.98,5.24E-06,,
212.03,3.18E-07,,
269.25,4.47E-06,,
269.29,2.64E-05,,
269.34,2.29E-04,,
269.38,1.23E-03,,
269.42,6.30E-03,,
269.47,4.57E-02,,
269.51,2.13E-01,,
269.55,9.47E-01,,
269.59,4.04E+00,,
269.64,2.33E+01,,
269.68,8.99E+01,,
269.72,3.32E+02,,
269.76,1.18E+03,,
269.81,5.38E+03,,
269.85,1.73E+04,,
269.89,5.31E+04,,
269.93,1.56E+05,,
269.98,5.66E+05,,
270.02,1.51E+06,,
270.06,3.86E+06,,
270.1,9.43E+06,,
270.15,2.71E+07,,
270.19,6.01E+07,,
270.23,1.28E+08,,
270.27,2.59E+08,,
270.32,5.91E+08,,
270.36,1.09E+09,,
270.4,1.92E+09,,
270.44,3.23E+09,,
270.49,5.85E+09,,
270.53,8.95E+09,,
270.57,1.31E+10,,
270.61,1.84E+10,,
270.66,2.64E+10,,
270.7,3.35E+10,,
270.74,4.08E+10,,
270.78,4.75E+10,,
270.83,5.41E+10,,
270.87,5.71E+10,,
270.91,5.77E+10,,
270.95,5.59E+10,,
271,5.05E+10,,
271.04,4.43E+10,,
271.08,3.72E+10,,
271.12,2.99E+10,,
271.17,2.14E+10,,
271.21,1.56E+10,,
271.25,1.09E+10,,
271.29,7.28E+09,,
271.34,4.13E+09,,
271.38,2.50E+09,,
271.42,1.45E+09,,
271.46,8.06E+08,,
271.51,3.63E+08,,
271.55,1.83E+08,,
271.59,8.80E+07,,
271.63,4.06E+07,,
271.68,1.45E+07,,
271.72,6.06E+06,,
271.76,2.43E+06,,
271.8,9.30E+05,,
271.85,2.64E+05,,
271.89,9.16E+04,,
271.93,3.05E+04,,
271.97,9.69E+03,,
