Wavelength,Spectra,,
303.31,4.02E-13,,
303.35,1.90E-12,,
303.39,8.70E-12,,
303.44,5.55E-11,,
303.48,2.35E-10,,
303.52,9.62E-10,,
303.56,3.80E-09,,
303.61,2.02E-08,,
303.65,7.40E-08,,
303.69,2.62E-07,,
303.73,8.94E-07,,
303.78,3.96E-06,,
303.82,1.25E-05,,
303.86,3.82E-05,,
303.9,1.13E-04,,
303.95,4.16E-04,,
303.99,1.14E-03,,
304.03,3.00E-03,,
304.07,7.66E-03,,
304.12,2.35E-02,,
304.16,5.56E-02,,
304.2,1.27E-01,,
304.24,2.79E-01,,
304.29,7.15E-01,,
304.33,1.46E+00,,
304.37,2.88E+00,,
304.41,5.48E+00,,
304.46,1.17E+01,,
304.5,2.06E+01,,
304.54,3.51E+01,,
304.58,5.78E+01,,
304.63,1.03E+02,,
304.67,1.56E+02,,
304.71,2.30E+02,,
304.75,3.27E+02,,
304.8,4.84E+02,,
304.84,6.38E+02,,
304.88,8.11E+02,,
304.92,9.97E+02,,
304.97,1.23E+03,,
305.01,1.40E+03,,
305.05,1.54E+03,,
305.09,1.63E+03,,
305.14,1.68E+03,,
305.18,1.65E+03,,
305.22,1.57E+03,,
305.26,1.44E+03,,
305.31,1.23E+03,,
305.35,1.04E+03,,
305.39,8.57E+02,,
305.43,6.80E+02,,
305.48,4.84E+02,,
305.52,3.56E+02,,
305.56,2.52E+02,,
305.6,1.73E+02,,
305.65,1.03E+02,,
305.69,6.51E+01,,
305.73,3.99E+01,,
305.77,2.36E+01,,
305.82,1.17E+01,,
305.86,6.40E+00,,
305.9,3.39E+00,,
305.94,1.74E+00,,
305.99,7.15E-01,,
306.03,3.39E-01,,
306.07,1.55E-01,,
306.11,6.85E-02,,
306.16,2.35E-02,,
306.2,9.63E-03,,
306.24,3.81E-03,,
306.28,1.45E-03,,
306.33,4.16E-04,,
306.37,1.47E-04,,
306.41,5.03E-05,,
306.45,1.66E-05,,
306.5,3.96E-06,,
306.54,1.21E-06,,
306.58,3.57E-07,,
306.62,1.02E-07,,
306.67,2.02E-08,,
306.71,5.34E-09,,
306.75,1.36E-09,,
306.79,3.35E-10,,
306.84,5.55E-11,,
306.88,1.27E-11,,
306.92,2.79E-12,,
306.96,5.94E-13,,
313,6.83E-13,,
313.04,3.09E-12,,
313.09,1.95E-11,,
313.13,8.18E-11,,
313.17,3.33E-10,,
313.21,1.31E-09,,
313.26,6.97E-09,,
313.3,2.55E-08,,
313.34,9.07E-08,,
313.38,3.12E-07,,
313.43,1.39E-06,,
313.47,4.45E-06,,
313.51,1.38E-05,,
313.55,4.13E-05,,
313.6,1.55E-04,,
313.64,4.33E-04,,
313.68,1.17E-03,,
313.72,3.05E-03,,
313.77,9.68E-03,,
313.81,2.35E-02,,
313.85,5.53E-02,,
313.89,1.26E-01,,
313.94,3.37E-01,,
313.98,7.13E-01,,
314.02,1.46E+00,,
314.06,2.90E+00,,
314.11,6.54E+00,,
314.15,1.21E+01,,
314.19,2.16E+01,,
314.23,3.74E+01,,
314.28,7.09E+01,,
314.32,1.14E+02,,
314.36,1.78E+02,,
314.4,2.68E+02,,
314.45,4.29E+02,,
314.49,6.02E+02,,
314.53,8.18E+02,,
314.57,1.08E+03,,
314.62,1.45E+03,,
314.66,1.77E+03,,
314.7,2.10E+03,,
314.74,2.41E+03,,
314.79,2.73E+03,,
314.83,2.91E+03,,
314.87,3.01E+03,,
314.91,3.01E+03,,
314.96,2.88E+03,,
315,2.67E+03,,
315.04,2.41E+03,,
315.08,2.10E+03,,
315.13,1.69E+03,,
315.17,1.37E+03,,
315.21,1.08E+03,,
315.25,8.21E+02,,
315.3,5.63E+02,,
315.34,4.08E+02,,
315.38,2.97E+02,,
315.42,2.27E+02,,
315.47,1.97E+02,,
315.51,2.18E+02,,
315.55,2.83E+02,,
315.59,3.97E+02,,
315.64,6.21E+02,,
315.68,8.74E+02,,
315.72,1.20E+03,,
315.76,1.60E+03,,
315.81,2.19E+03,,
315.85,2.71E+03,,
315.89,3.26E+03,,
315.93,3.80E+03,,
315.98,4.39E+03,,
316.02,4.76E+03,,
316.06,4.99E+03,,
316.1,5.07E+03,,
316.15,4.95E+03,,
316.19,4.68E+03,,
316.23,4.28E+03,,
316.27,3.80E+03,,
316.32,3.13E+03,,
316.36,2.58E+03,,
316.4,2.06E+03,,
316.44,1.60E+03,,
316.49,1.11E+03,,
316.53,7.97E+02,,
316.57,5.56E+02,,
316.62,3.39E+02,,
316.66,2.20E+02,,
316.7,1.38E+02,,
316.74,8.41E+01,,
316.79,4.32E+01,,
316.83,2.45E+01,,
316.87,1.34E+01,,
316.91,7.14E+00,,
316.96,3.09E+00,,
317,1.53E+00,,
317.04,7.32E-01,,
317.08,3.40E-01,,
317.13,1.24E-01,,
317.17,5.36E-02,,
317.21,2.24E-02,,
317.25,9.06E-03,,
317.3,2.80E-03,,
317.34,1.05E-03,,
317.38,3.84E-04,,
317.42,1.36E-04,,
