Wavelength,Spectra
170.11,1.64E+05
170.15,2.12E+05
170.19,2.53E+05
170.23,2.81E+05
170.28,2.99E+05
170.32,3.00E+05
170.36,2.93E+05
170.4,2.81E+05
170.45,2.63E+05
170.49,2.53E+05
170.53,2.52E+05
170.57,2.66E+05
170.62,3.16E+05
170.66,3.89E+05
170.7,4.99E+05
170.74,6.42E+05
170.79,8.48E+05
170.83,1.00E+06
170.87,1.10E+06
170.91,1.14E+06
170.96,1.06E+06
171,9.30E+05
171.04,7.65E+05
171.08,6.01E+05
171.13,4.30E+05
171.17,3.38E+05
171.21,2.86E+05
171.25,2.68E+05
171.3,2.83E+05
171.34,3.16E+05
171.38,3.66E+05
171.42,4.34E+05
171.47,5.50E+05
171.51,6.71E+05
171.55,8.15E+05
171.59,9.74E+05
171.64,1.17E+06
171.68,1.28E+06
171.72,1.32E+06
171.76,1.28E+06
171.81,1.12E+06
171.85,9.62E+05
171.89,8.16E+05
171.93,7.11E+05
171.98,6.62E+05
172.02,6.91E+05
172.06,7.79E+05
172.1,9.23E+05
172.15,1.15E+06
172.19,1.34E+06
172.23,1.51E+06
172.27,1.62E+06
172.32,1.68E+06
172.36,1.68E+06
172.4,1.63E+06
172.44,1.53E+06
172.49,1.35E+06
172.53,1.16E+06
172.57,9.60E+05
172.61,7.77E+05
172.66,6.09E+05
172.7,5.45E+05
172.74,5.56E+05
172.78,6.37E+05
172.83,8.14E+05
172.87,9.81E+05
172.91,1.13E+06
172.95,1.24E+06
173,1.27E+06
173.04,1.22E+06
173.08,1.11E+06
173.12,9.59E+05
173.17,7.52E+05
173.21,5.97E+05
173.25,4.73E+05
173.29,3.97E+05
173.34,3.85E+05
173.38,4.44E+05
173.42,5.57E+05
173.46,7.01E+05
173.51,8.78E+05
173.55,9.85E+05
173.59,1.04E+06
173.63,1.06E+06
173.68,1.05E+06
173.72,1.06E+06
173.76,1.11E+06
173.8,1.21E+06
173.85,1.40E+06
173.89,1.56E+06
173.93,1.70E+06
173.97,1.79E+06
174.02,1.79E+06
174.06,1.69E+06
174.1,1.50E+06
174.14,1.26E+06
174.19,9.24E+05
174.23,6.84E+05
174.27,5.02E+05
174.31,3.88E+05
174.36,3.29E+05
174.4,3.32E+05
174.44,3.67E+05
174.48,4.28E+05
174.53,5.38E+05
174.57,6.47E+05
174.61,7.60E+05
174.65,8.52E+05
174.7,8.99E+05
174.74,8.63E+05
174.78,7.67E+05
174.82,6.33E+05
174.87,4.51E+05
174.91,3.25E+05
174.95,2.30E+05
174.99,1.68E+05
175.04,1.29E+05
175.08,1.19E+05
175.12,1.22E+05
175.17,1.41E+05
175.21,1.70E+05
175.25,2.13E+05
175.29,2.72E+05
175.34,3.64E+05
175.38,4.47E+05
175.42,5.34E+05
175.46,6.22E+05
175.51,7.32E+05
175.55,8.18E+05
175.59,8.98E+05
175.63,9.61E+05
175.68,9.95E+05
175.72,9.73E+05
175.76,9.11E+05
175.8,8.23E+05
175.85,7.07E+05
175.89,6.30E+05
175.93,5.73E+05
175.97,5.30E+05
176.02,4.80E+05
176.06,4.35E+05
176.1,3.86E+05
176.14,3.42E+05
176.19,3.07E+05
176.23,3.04E+05
176.27,3.21E+05
176.31,3.51E+05
176.36,3.94E+05
176.4,4.23E+05
176.44,4.44E+05
176.48,4.57E+05
176.53,4.62E+05
176.57,4.57E+05
176.61,4.42E+05
176.65,4.21E+05
176.7,4.01E+05
176.74,4.03E+05
176.78,4.31E+05
176.82,4.80E+05
176.87,5.54E+05
176.91,6.01E+05
176.95,6.24E+05
176.99,6.24E+05
177.04,6.13E+05
177.08,6.15E+05
177.12,6.37E+05
177.16,6.76E+05
177.21,7.22E+05
177.25,7.34E+05
177.29,7.15E+05
177.33,6.67E+05
177.38,5.85E+05
177.42,5.18E+05
177.46,4.61E+05
177.5,4.21E+05
177.55,4.00E+05
177.59,4.04E+05
177.63,4.19E+05
177.67,4.33E+05
177.72,4.29E+05
177.76,4.01E+05
177.8,3.54E+05
177.84,3.00E+05
177.89,2.44E+05
177.93,2.19E+05
177.97,2.12E+05
178.01,2.17E+05
178.06,2.29E+05
178.1,2.32E+05
178.14,2.28E+05
178.18,2.17E+05
178.23,2.00E+05
178.27,1.86E+05
