Wavelength,Spectra
306.54,3.78E-09
306.58,1.78E-08
306.62,8.08E-08
306.67,5.11E-07
306.71,2.15E-06
306.75,8.78E-06
306.79,3.46E-05
306.84,1.83E-04
306.88,6.69E-04
306.92,2.36E-03
306.96,8.06E-03
307.01,3.57E-02
307.05,1.13E-01
307.09,3.46E-01
307.13,1.02E+00
307.18,3.79E+00
307.22,1.04E+01
307.26,2.76E+01
307.3,7.08E+01
307.35,2.19E+02
307.39,5.21E+02
307.43,1.20E+03
307.47,2.67E+03
307.52,6.90E+03
307.56,1.42E+04
307.6,2.84E+04
307.64,5.47E+04
307.69,1.18E+05
307.73,2.12E+05
307.77,3.65E+05
307.81,6.10E+05
307.86,1.11E+06
307.9,1.71E+06
307.94,2.56E+06
307.98,3.71E+06
308.03,5.62E+06
308.07,7.55E+06
308.11,9.80E+06
308.15,1.23E+07
308.2,1.56E+07
308.24,1.81E+07
308.28,2.04E+07
308.32,2.22E+07
308.37,2.35E+07
308.41,2.37E+07
308.45,2.31E+07
308.49,2.18E+07
308.54,1.93E+07
308.58,1.69E+07
308.62,1.43E+07
308.66,1.17E+07
308.71,8.64E+06
308.75,6.54E+06
308.79,4.79E+06
308.83,3.40E+06
308.88,2.10E+06
308.92,1.38E+06
308.96,8.77E+05
309,5.39E+05
309.05,2.79E+05
309.09,1.59E+05
309.13,8.75E+04
309.17,4.65E+04
309.22,2.02E+04
309.26,9.95E+03
309.3,4.75E+03
309.34,2.19E+03
309.39,7.94E+02
309.43,3.39E+02
309.47,1.40E+02
309.51,5.61E+01
309.56,1.70E+01
309.6,6.30E+00
309.64,2.26E+00
309.68,7.83E-01
309.73,1.99E-01
309.77,6.38E-02
309.81,1.98E-02
309.86,4.40E-03
309.9,1.32E-03
309.94,5.65E-04
309.98,8.50E-04
310.03,3.51E-03
310.07,1.14E-02
310.11,3.63E-02
310.15,1.11E-01
310.2,4.32E-01
310.24,1.23E+00
310.28,3.39E+00
310.32,9.05E+00
310.37,2.95E+01
310.41,7.29E+01
310.45,1.75E+02
310.49,4.05E+02
310.54,1.11E+03
310.58,2.38E+03
310.62,4.97E+03
310.66,1.00E+04
310.71,2.29E+04
310.75,4.29E+04
310.79,7.77E+04
310.83,1.36E+05
310.88,2.62E+05
310.92,4.26E+05
310.96,6.71E+05
311,1.02E+06
311.05,1.65E+06
311.09,2.33E+06
311.13,3.19E+06
311.17,4.22E+06
311.22,5.73E+06
311.26,7.04E+06
311.3,8.38E+06
311.34,9.65E+06
311.39,1.10E+07
311.43,1.18E+07
311.47,1.23E+07
311.51,1.25E+07
311.56,1.24E+07
311.6,1.22E+07
311.64,1.20E+07
311.68,1.21E+07
311.73,1.29E+07
311.77,1.43E+07
311.81,1.67E+07
311.85,2.02E+07
311.9,2.60E+07
311.94,3.19E+07
311.98,3.86E+07
312.02,4.57E+07
312.07,5.48E+07
312.11,6.15E+07
312.15,6.73E+07
312.19,7.17E+07
312.24,7.47E+07
312.28,7.49E+07
312.32,7.32E+07
312.36,6.96E+07
312.41,6.29E+07
312.45,5.63E+07
312.49,4.91E+07
312.53,4.16E+07
312.58,3.26E+07
312.62,2.59E+07
312.66,2.01E+07
312.7,1.51E+07
312.75,1.02E+07
312.79,7.15E+06
