Wavelength,Spectra,,
187.66,3.08E-07,,
187.71,7.03E-06,,
187.75,7.76E-05,,
187.79,7.83E-04,,
187.83,7.22E-03,,
187.88,1.02E-01,,
187.92,7.71E-01,,
187.96,5.31E+00,,
188,3.35E+01,,
188.05,2.94E+02,,
188.09,1.52E+03,,
188.13,7.13E+03,,
188.17,3.07E+04,,
188.22,1.67E+05,,
188.26,5.88E+05,,
188.3,1.89E+06,,
188.34,5.55E+06,,
188.39,1.88E+07,,
188.43,4.51E+07,,
188.47,9.89E+07,,
188.51,1.98E+08,,
188.56,4.17E+08,,
188.6,6.83E+08,,
188.64,1.02E+09,,
188.69,1.49E+09,,
188.73,1.83E+09,,
188.77,2.05E+09,,
188.81,2.09E+09,,
188.86,1.90E+09,,
188.9,1.59E+09,,
188.94,1.21E+09,,
188.98,8.46E+08,,
189.03,4.76E+08,,
189.07,2.72E+08,,
189.11,1.42E+08,,
189.15,6.75E+07,,
189.2,2.36E+07,,
189.24,9.19E+06,,
189.28,3.27E+06,,
189.32,1.07E+06,,
189.37,2.31E+05,,
189.41,6.15E+04,,
189.45,1.50E+04,,
189.49,3.33E+03,,
189.54,5.47E+02,,
189.58,6.18E+02,,
189.62,2.64E+03,,
189.66,1.18E+04,,
189.71,6.82E+04,,
189.75,2.51E+05,,
189.79,8.46E+05,,
189.83,2.61E+06,,
189.88,9.42E+06,,
189.92,2.38E+07,,
189.96,5.51E+07,,
190,1.17E+08,,
190.05,2.64E+08,,
190.09,4.58E+08,,
190.13,7.28E+08,,
190.17,1.06E+09,,
190.22,1.50E+09,,
190.26,1.79E+09,,
190.3,1.95E+09,,
190.34,1.95E+09,,
190.39,1.72E+09,,
190.43,1.41E+09,,
190.47,1.06E+09,,
190.51,7.28E+08,,
190.56,4.02E+08,,
190.6,2.27E+08,,
190.64,1.17E+08,,
190.68,5.51E+07,,
190.73,1.90E+07,,
190.77,7.36E+06,,
190.81,2.61E+06,,
190.85,8.46E+05,,
190.9,1.83E+05,,
190.94,4.90E+04,,
190.98,1.40E+04,,
191.02,1.24E+04,,
191.07,5.52E+04,,
191.11,1.98E+05,,
191.15,6.56E+05,,
191.19,1.99E+06,,
191.24,7.06E+06,,
191.28,1.76E+07,,
191.32,4.03E+07,,
191.36,8.45E+07,,
191.41,1.89E+08,,
191.45,3.25E+08,,
191.49,5.14E+08,,
191.53,7.44E+08,,
191.58,1.05E+09,,
191.62,1.24E+09,,
191.66,1.36E+09,,
191.7,1.36E+09,,
191.75,1.20E+09,,
191.79,9.87E+08,,
191.83,7.44E+08,,
191.87,5.14E+08,,
191.92,2.86E+08,,
191.96,1.63E+08,,
192,8.45E+07,,
192.04,4.03E+07,,
192.09,1.41E+07,,
192.13,5.54E+06,,
192.17,1.99E+06,,
192.21,6.56E+05,,
192.26,1.45E+05,,
192.3,3.92E+04,,
192.34,9.74E+03,,
192.38,2.22E+03,,
192.43,3.08E+02,,
192.47,5.76E+01,,
192.51,9.88E+00,,
192.55,1.55E+00,,
192.6,1.36E-01,,
192.64,1.75E-02,,
192.68,2.08E-03,,
192.72,2.25E-04,,
192.77,1.42E-05,,
192.81,1.97E-05,,
192.85,1.83E-04,,
192.89,1.64E-03,,
