Wavelength,Spectra,,,
177.16,3.84E-08,,,
177.21,1.03E-06,,,
177.25,1.28E-05,,,
177.29,1.44E-04,,,
177.33,1.46E-03,,,
177.38,2.29E-02,,,
177.42,1.85E-01,,,
177.46,1.35E+00,,,
177.5,8.95E+00,,,
177.55,8.24E+01,,,
177.59,4.34E+02,,,
177.63,2.07E+03,,,
177.67,8.92E+03,,,
177.72,4.80E+04,,,
177.76,1.65E+05,,,
177.8,5.13E+05,,,
177.84,1.44E+06,,,
177.89,4.54E+06,,,
177.93,1.02E+07,,,
177.97,2.06E+07,,,
178.01,3.77E+07,,,
178.06,6.96E+07,,,
178.1,1.02E+08,,,
178.14,1.34E+08,,,
178.18,1.60E+08,,,
178.23,1.73E+08,,,
178.27,1.64E+08,,,
178.31,1.41E+08,,,
178.35,1.10E+08,,,
178.4,6.96E+07,,,
178.44,4.31E+07,,,
178.48,2.42E+07,,,
178.52,1.22E+07,,,
178.57,4.54E+06,,,
178.61,1.83E+06,,,
178.65,6.70E+05,,,
178.69,2.21E+05,,,
178.74,4.80E+04,,,
178.78,1.26E+04,,,
178.82,3.01E+03,,,
178.86,6.48E+02,,,
178.91,8.24E+01,,,
178.95,1.41E+01,,,
178.99,2.19E+00,,,
179.03,3.07E-01,,,
179.08,2.29E-02,,,
179.12,2.56E-03,,,
179.16,2.59E-04,,,
179.2,2.36E-05,,,
179.25,1.03E-06,,,
179.29,7.51E-08,,,
179.63,6.67E-07,,,
179.67,9.39E-06,,,
179.71,1.20E-04,,,
179.76,2.52E-03,,,
179.8,2.58E-02,,,
179.84,2.40E-01,,,
179.88,2.02E+00,,,
179.93,2.53E+01,,,
179.97,1.71E+02,,,
180.01,1.05E+03,,,
180.05,5.81E+03,,,
180.1,4.31E+04,,,
180.14,1.92E+05,,,
180.18,7.76E+05,,,
180.22,2.84E+06,,,
180.27,1.26E+07,,,
180.31,3.69E+07,,,
180.35,9.82E+07,,,
180.39,2.37E+08,,,
180.44,6.22E+08,,,
180.48,1.21E+09,,,
180.52,2.12E+09,,,
180.56,3.37E+09,,,
180.61,5.25E+09,,,
180.65,6.71E+09,,,
180.69,7.77E+09,,,
180.73,8.16E+09,,,
180.78,7.56E+09,,,
180.82,6.37E+09,,,
180.86,4.87E+09,,,
180.9,3.37E+09,,,
180.95,1.86E+09,,,
180.99,1.03E+09,,,
181.03,5.19E+08,,,
181.07,2.37E+08,,,
181.12,7.76E+07,,,
181.16,2.84E+07,,,
181.2,9.44E+06,,,
181.24,2.84E+06,,,
181.29,5.53E+05,,,
181.33,1.35E+05,,,
181.37,3.75E+04,,,
181.41,4.44E+04,,,
181.46,2.33E+05,,,
181.5,8.76E+05,,,
181.54,3.00E+06,,,
181.58,9.34E+06,,,
181.63,3.37E+07,,,
181.67,8.43E+07,,,
181.71,1.91E+08,,,
181.75,3.95E+08,,,
181.8,8.53E+08,,,
181.84,1.42E+09,,,
181.88,2.13E+09,,,
181.93,3.11E+09,,,
181.97,3.78E+09,,,
182.01,4.16E+09,,,
182.05,4.16E+09,,,
182.1,3.63E+09,,,
182.14,2.92E+09,,,
182.18,2.14E+09,,,
182.22,1.43E+09,,,
182.27,7.75E+08,,,
182.31,4.72E+08,,,
182.35,3.46E+08,,,
182.39,3.67E+08,,,
182.44,5.48E+08,,,
182.48,7.76E+08,,,
182.52,1.03E+09,,,
182.56,1.24E+09,,,
182.61,1.38E+09,,,
182.65,1.34E+09,,,
182.69,1.19E+09,,,
182.73,9.60E+08,,,
182.78,6.40E+08,,,
182.82,4.16E+08,,,
182.86,2.45E+08,,,
182.9,1.31E+08,,,
182.95,5.27E+07,,,
182.99,2.28E+07,,,
183.03,8.93E+06,,,
183.07,3.18E+06,,,
183.12,7.66E+05,,,
183.16,2.20E+05,,,
183.2,5.74E+04,,,
183.24,1.36E+04,,,
183.29,1.97E+03,,,
183.33,3.76E+02,,,
183.37,6.53E+01,,,
183.41,1.03E+01,,,
183.46,8.94E-01,,,
183.5,1.14E-01,,,
183.54,1.31E-02,,,
183.58,1.38E-03,,,
183.63,7.18E-05,,,
183.67,6.07E-06,,,
183.71,4.66E-07,,,
192.51,3.13E-11,,,
192.55,3.56E-10,,,
192.6,6.59E-09,,,
192.64,6.18E-08,,,
192.68,5.33E-07,,,
192.72,4.22E-06,,,
192.77,4.97E-05,,,
192.81,3.25E-04,,,
192.85,1.95E-03,,,
192.89,1.07E-02,,,
192.94,8.03E-02,,,
192.98,3.65E-01,,,
193.02,1.52E+00,,,
193.06,5.84E+00,,,
193.11,2.78E+01,,,
193.15,8.79E+01,,,
193.19,2.55E+02,,,
193.23,6.81E+02,,,
193.28,2.06E+03,,,
193.32,4.53E+03,,,
193.36,9.16E+03,,,
193.4,1.70E+04,,,
193.45,3.27E+04,,,
193.49,5.01E+04,,,
193.53,7.04E+04,,,
193.57,9.10E+04,,,
193.62,1.11E+05,,,
193.66,1.19E+05,,,
193.7,1.16E+05,,,
193.74,1.04E+05,,,
193.79,8.09E+04,,,
193.83,6.00E+04,,,
193.87,4.09E+04,,,
193.91,2.56E+04,,,
193.96,1.26E+04,,,
194,6.51E+03,,,
194.04,3.09E+03,,,
194.08,1.34E+03,,,
194.13,4.21E+02,,,
194.17,1.51E+02,,,
194.21,4.99E+01,,,
194.25,1.51E+01,,,
194.3,3.08E+00,,,
194.34,1.05E+00,,,
194.38,1.42E+00,,,
194.42,4.82E+00,,,
194.47,2.29E+01,,,
194.51,7.27E+01,,,
194.55,2.13E+02,,,
194.59,5.71E+02,,,
194.64,1.75E+03,,,
194.68,3.88E+03,,,
