Wavelength,Spectra
205.61,3.41E-06
205.65,3.22E-05
205.69,2.82E-04
205.73,2.29E-03
205.78,2.82E-02
205.82,1.94E-01
205.86,1.23E+00
205.9,7.29E+00
205.95,6.04E+01
205.99,3.02E+02
206.03,1.40E+03
206.07,6.01E+03
206.12,3.35E+04
206.16,1.22E+05
206.2,4.11E+05
206.24,1.29E+06
206.29,4.81E+06
206.33,1.27E+07
206.37,3.12E+07
206.41,7.11E+07
206.46,1.79E+08
206.5,3.45E+08
206.54,6.15E+08
206.58,1.02E+09
206.63,1.72E+09
206.67,2.41E+09
206.71,3.14E+09
206.75,3.78E+09
206.8,4.30E+09
206.84,4.38E+09
206.88,4.14E+09
206.92,3.63E+09
206.97,2.78E+09
207.01,2.06E+09
207.05,1.42E+09
207.09,9.05E+08
207.14,4.65E+08
207.18,2.51E+08
207.22,1.26E+08
207.26,5.83E+07
207.31,2.01E+07
207.35,7.90E+06
207.39,2.88E+06
207.43,9.73E+05
207.48,2.26E+05
207.52,6.45E+04
207.56,1.71E+04
207.6,4.20E+03
207.65,6.56E+02
207.69,1.36E+02
207.73,2.63E+01
207.77,4.71E+00
207.82,4.93E-01
207.86,7.46E-02
207.9,1.05E-02
207.94,1.36E-03
207.99,9.61E-05
208.03,1.06E-05
208.07,1.08E-06
212.66,5.88E-08
212.71,9.74E-07
212.75,8.50E-06
212.79,6.92E-05
212.83,5.25E-04
212.88,6.00E-03
212.92,3.89E-02
212.96,2.35E-01
213,1.33E+00
213.05,1.05E+01
213.09,5.04E+01
213.13,2.27E+02
213.17,9.49E+02
213.22,5.16E+03
213.26,1.85E+04
213.3,6.17E+04
213.34,1.92E+05
213.39,7.20E+05
213.43,1.92E+06
213.47,4.75E+06
213.51,1.10E+07
213.56,2.84E+07
213.6,5.62E+07
213.64,1.04E+08
213.68,1.78E+08
213.73,3.18E+08
213.77,4.67E+08
213.81,6.39E+08
213.85,8.16E+08
213.9,1.00E+09
213.94,1.10E+09
213.98,1.12E+09
214.02,1.06E+09
214.07,8.99E+08
214.11,7.29E+08
214.15,5.51E+08
214.19,3.88E+08
214.24,2.27E+08
214.28,1.37E+08
214.32,7.70E+07
214.36,4.03E+07
214.41,1.63E+07
214.45,7.29E+06
214.49,3.04E+06
214.53,1.19E+06
214.58,3.30E+05
214.62,1.10E+05
214.66,3.41E+04
214.7,9.85E+03
214.75,1.89E+03
214.79,4.68E+02
214.83,1.08E+02
214.87,2.32E+01
214.92,3.07E+00
214.96,5.64E-01
215,9.66E-02
215.04,1.54E-02
215.09,1.41E-03
215.13,1.92E-04
215.17,2.45E-05
215.21,2.90E-06
215.26,1.83E-07
216.28,1.08E-06
216.32,9.39E-06
216.36,7.63E-05
216.41,9.52E-04
216.45,6.65E-03
216.49,4.34E-02
216.53,2.65E-01
216.58,2.31E+00
216.62,1.21E+01
216.66,5.92E+01
216.7,2.71E+02
216.75,1.65E+03
216.79,6.48E+03
216.83,2.38E+04
216.87,8.17E+04
216.92,3.47E+05
216.96,1.02E+06
217,2.82E+06
217.04,7.27E+06
217.09,2.16E+07
217.13,4.77E+07
217.17,9.87E+07
217.21,1.91E+08
217.26,3.96E+08
217.3,6.57E+08
217.34,1.02E+09
217.38,1.48E+09
217.43,2.15E+09
217.47,2.69E+09
217.51,3.16E+09
217.55,3.49E+09
217.6,3.65E+09
217.64,3.59E+09
217.68,3.41E+09
217.72,3.17E+09
217.77,2.91E+09
217.81,2.74E+09
217.85,2.62E+09
217.89,2.50E+09
217.94,2.29E+09
217.98,2.05E+09
218.02,1.75E+09
218.06,1.41E+09
218.11,9.86E+08
218.15,6.89E+08
218.19,4.51E+08
218.23,2.77E+08
218.28,1.36E+08
218.32,7.19E+07
218.36,3.54E+07
218.4,1.63E+07
218.45,5.64E+06
218.49,2.23E+06
218.53,8.26E+05
218.57,2.86E+05
218.62,6.90E+04
218.66,2.05E+04
218.7,5.70E+03
218.74,1.48E+03
218.79,2.50E+02
218.83,5.58E+01
218.87,1.17E+01
218.91,2.27E+00
218.96,2.68E-01
219,4.50E-02
219.04,7.05E-03
219.08,1.03E-03
219.13,8.52E-05
219.17,1.07E-05
219.21,1.26E-06
219.25,1.39E-07
229.76,4.05E-07
229.8,3.15E-06
229.84,2.31E-05
229.88,1.59E-04
229.93,1.64E-03
229.97,9.88E-03
230.01,5.61E-02
230.05,3.00E-01
230.1,2.25E+00
230.14,1.05E+01
230.18,4.62E+01
230.22,1.92E+02
230.27,1.04E+03
230.31,3.78E+03
230.35,1.29E+04
230.39,4.15E+04
230.44,1.64E+05
230.48,4.61E+05
230.52,1.22E+06
230.56,3.04E+06
230.61,8.76E+06
230.65,1.91E+07
230.69,3.92E+07
230.73,7.57E+07
230.78,1.59E+08
230.82,2.68E+08
230.86,4.26E+08
230.9,6.38E+08
230.95,9.72E+08
230.99,1.27E+09
231.03,1.57E+09
231.07,1.82E+09
231.12,2.02E+09
231.16,2.05E+09
231.2,1.96E+09
231.24,1.77E+09
231.29,1.42E+09
231.33,1.12E+09
231.37,8.31E+08
231.41,5.80E+08
231.46,3.40E+08
231.5,2.08E+08
231.54,1.19E+08
231.58,6.46E+07
231.63,2.76E+07
231.67,1.30E+07
231.71,5.81E+06
231.75,2.44E+06
231.8,7.56E+05
231.84,2.77E+05
231.88,9.58E+04
231.92,3.12E+04
231.97,7.04E+03
232.01,2.00E+03
232.05,5.36E+02
232.09,1.35E+02
232.14,2.22E+01
232.18,4.89E+00
232.22,1.02E+00
232.26,1.99E-01
232.31,2.37E-02
232.35,4.05E-03
232.39,6.52E-04
232.43,9.89E-05
232.48,8.60E-06
232.52,1.14E-06
251.31,1.30E-07
251.35,8.74E-07
251.4,8.78E-06
251.44,5.25E-05
251.48,2.99E-04
251.52,1.62E-03
251.57,1.25E-02
251.61,6.03E-02
251.65,2.78E-01
251.69,1.22E+00
251.74,7.18E+00
251.78,2.81E+01
251.82,1.04E+02
251.86,3.70E+02
251.91,1.67E+03
251.95,5.29E+03
251.99,1.59E+04
252.03,4.55E+04
